,ACS SM Equity,ACS SM Equity,ACS SM Equity,ACS SM Equity,ACS SM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,14.8486,14.8741,14.7296,14.7933,787330.0
2010-01-02,14.8486,14.8741,14.7296,14.7933,787330.0
2010-01-03,14.8486,14.8741,14.7296,14.7933,787330.0
2010-01-04,14.9081,15.2395,14.9038,15.2395,843480.0
2010-01-05,16.0003,16.489,15.2608,15.5073,3204659.0
2010-01-06,15.5498,15.5498,15.4053,15.5392,837003.0
2010-01-07,15.418,15.5073,15.2353,15.384,2596808.0
2010-01-08,15.554,15.7198,15.4903,15.7198,1550602.0
2010-01-09,15.554,15.7198,15.4903,15.7198,1550602.0
2010-01-10,15.554,15.7198,15.4903,15.7198,1550602.0
2010-01-11,15.8515,16.0215,15.7963,15.843,7425377.0
2010-01-12,15.9519,16.1435,15.4641,15.6601,1105773.0
2010-01-13,15.4946,15.8713,15.4794,15.8713,3733936.0
2010-01-14,16.0041,16.0041,15.8408,15.9824,1091569.0
2010-01-15,16.0041,16.0259,15.6383,15.7385,1402613.0
2010-01-16,16.0041,16.0259,15.6383,15.7385,1402613.0
2010-01-17,16.0041,16.0259,15.6383,15.7385,1402613.0
2010-01-18,15.7385,15.8387,15.5904,15.7211,1125585.0
2010-01-19,15.7037,15.9258,15.4946,15.83,1713321.0
2010-01-20,15.7755,15.9127,15.3858,15.512,636616.0
2010-01-21,15.5316,15.5752,15.1462,15.1876,2242025.0
2010-01-22,15.1876,15.3248,15.0156,15.1811,1616333.0
2010-01-23,15.1876,15.3248,15.0156,15.1811,1616333.0
2010-01-24,15.1876,15.3248,15.0156,15.1811,1616333.0
2010-01-25,15.0025,15.3161,15.0025,15.242,1232238.0
2010-01-26,15.1767,15.3444,15.0722,15.2464,596003.0
2010-01-27,15.094,15.1963,14.898,15.0374,656771.0
2010-01-28,15.0787,15.1179,14.8153,14.8458,1376440.0
2010-01-29,14.9742,14.9764,14.7587,14.8893,565696.0
2010-01-30,14.9742,14.9764,14.7587,14.8893,565696.0
2010-01-31,14.9742,14.9764,14.7587,14.8893,565696.0
2010-02-01,14.7521,14.9328,14.7195,14.8545,485905.0
2010-02-02,14.8305,15.0199,14.7195,14.9808,779711.0
2010-02-03,14.996,15.1462,14.7456,14.7739,982977.0
2010-02-04,14.8196,14.8392,13.8659,13.9748,2481236.0
2010-02-05,13.7657,14.297,13.4631,14.1533,3042765.0
2010-02-06,13.7657,14.297,13.4631,14.1533,3042765.0
2010-02-07,13.7657,14.297,13.4631,14.1533,3042765.0
2010-02-08,14.1751,14.3449,13.9966,14.2382,1140164.0
2010-02-09,14.1424,14.3841,14.0793,14.3275,1150960.0
2010-02-10,14.3297,14.6759,14.2927,14.419,928384.0
2010-02-11,14.4952,14.5453,14.0161,14.2404,1493096.0
2010-02-12,14.3624,14.4451,14.1272,14.2404,1534905.0
2010-02-13,14.3624,14.4451,14.1272,14.2404,1534905.0
2010-02-14,14.3624,14.4451,14.1272,14.2404,1534905.0
2010-02-15,14.3711,14.5104,14.3145,14.3885,492261.0
2010-02-16,14.4495,14.5409,14.1359,14.3928,576290.0
2010-02-17,14.3928,14.5474,14.358,14.4582,731872.0
2010-02-18,14.3841,14.5845,14.3275,14.5017,687035.0
2010-02-19,14.4212,14.7957,14.2862,14.7412,1438657.0
2010-02-20,14.4212,14.7957,14.2862,14.7412,1438657.0
2010-02-21,14.4212,14.7957,14.2862,14.7412,1438657.0
2010-02-22,14.824,14.824,14.5017,14.652,468292.0
2010-02-23,14.6694,14.8196,14.382,14.5191,532922.0
2010-02-24,14.5714,14.5714,14.2535,14.456,599793.0
2010-02-25,14.4146,14.5366,13.9682,14.1424,1174399.0
2010-02-26,14.2121,14.3493,14.0401,14.2143,792827.0
2010-02-27,14.2121,14.3493,14.0401,14.2143,792827.0
2010-02-28,14.2121,14.3493,14.0401,14.2143,792827.0
