,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,6.091,6.13,5.975,6.104,1933600.0
2010-01-02,6.091,6.13,5.975,6.104,1933600.0
2010-01-03,6.091,6.13,5.975,6.104,1933600.0
2010-01-04,6.266,6.492,6.266,6.421,7645238.0
2010-01-05,6.711,6.84,6.646,6.84,25593300.0
2010-01-06,6.892,7.33,6.84,7.292,56597504.0
2010-01-07,7.176,7.176,6.763,6.943,30692300.0
2010-01-08,7.034,7.034,6.75,6.93,10147300.0
2010-01-09,7.034,7.034,6.75,6.93,10147300.0
2010-01-10,7.034,7.034,6.75,6.93,10147300.0
2010-01-11,7.098,7.163,6.943,7.137,8151400.0
2010-01-12,7.163,7.524,7.15,7.485,31147704.0
2010-01-13,7.356,7.743,7.317,7.55,34344200.0
2010-01-14,7.614,7.86,7.55,7.73,61565323.0
2010-01-15,7.614,7.653,7.485,7.537,17927000.0
2010-01-16,7.614,7.653,7.485,7.537,17927000.0
2010-01-17,7.614,7.653,7.485,7.537,17927000.0
2010-01-18,7.537,7.537,7.046,7.163,15564800.0
2010-01-19,7.046,7.214,7.034,7.176,3768000.0
2010-01-20,7.292,7.421,6.93,6.982,9973000.0
2010-01-21,6.956,7.085,6.943,6.956,5235341.0
2010-01-22,6.93,7.253,6.763,7.021,7871750.0
2010-01-23,6.93,7.253,6.763,7.021,7871750.0
2010-01-24,6.93,7.253,6.763,7.021,7871750.0
2010-01-25,6.995,7.098,6.711,6.853,7038757.0
2010-01-26,6.659,6.659,6.375,6.492,10607575.0
2010-01-27,6.504,6.904,6.504,6.788,10717440.0
2010-01-28,6.969,7.163,6.904,7.059,18664856.0
2010-01-29,6.93,7.214,6.737,7.085,9327118.0
2010-01-30,6.93,7.214,6.737,7.085,9327118.0
2010-01-31,6.93,7.214,6.737,7.085,9327118.0
2010-02-01,7.163,7.163,7.059,7.137,6842970.0
2010-02-02,7.434,7.511,7.292,7.33,7923538.0
2010-02-03,7.485,7.485,7.15,7.292,16532400.0
2010-02-04,7.305,7.343,7.15,7.292,5364961.0
2010-02-05,7.214,7.214,6.763,6.84,12550340.0
2010-02-06,7.214,7.214,6.763,6.84,12550340.0
2010-02-07,7.214,7.214,6.763,6.84,12550340.0
