,TRUL CN Equity
,BEST_PE_RATIO
2020-01-01,6.093
2020-01-02,5.909
2020-01-03,5.756
2020-01-04,5.756
2020-01-05,5.756
2020-01-06,5.51
2020-01-07,5.245
2020-01-08,5.282
2020-01-09,5.187
2020-01-10,5.16
2020-01-11,5.16
2020-01-12,5.16
2020-01-13,5.262
2020-01-14,5.253
2020-01-15,5.377
2020-01-16,5.604
2020-01-17,5.586
2020-01-18,5.586
2020-01-19,5.586
2020-01-20,5.648
2020-01-21,5.609
2020-01-22,5.526
2020-01-23,5.772
2020-01-24,5.75
2020-01-25,5.75
2020-01-26,5.75
2020-01-27,5.64
2020-01-28,5.585
2020-01-29,5.764
2020-01-30,5.717
2020-01-31,5.585
2020-02-01,5.585
2020-02-02,5.585
2020-02-03,5.343
2020-02-04,5.343
2020-02-05,5.346
2020-02-06,5.341
2020-02-07,5.215
2020-02-08,5.215
2020-02-09,5.215
2020-02-10,5.184
2020-02-11,5.255
2020-02-12,5.195
2020-02-13,5.276
2020-02-14,5.5
2020-02-15,5.5
2020-02-16,5.5
2020-02-17,5.5
2020-02-18,5.615
2020-02-19,5.635
2020-02-20,5.703
2020-02-21,5.53
2020-02-22,5.53
2020-02-23,5.53
2020-02-24,5.313
2020-02-25,5.115
2020-02-26,5.019
2020-02-27,4.745
2020-02-28,4.931
2020-02-29,4.931
2020-03-01,4.931
2020-03-02,4.853
2020-03-03,4.665
2020-03-04,4.698
2020-03-05,4.665
2020-03-06,4.634
2020-03-07,4.634
2020-03-08,4.634
2020-03-09,4.267
2020-03-10,4.289
2020-03-11,3.973
2020-03-12,3.273
2020-03-13,3.471
2020-03-14,3.471
2020-03-15,3.471
2020-03-16,3.204
2020-03-17,3.264
2020-03-18,3.063
2020-03-19,3.23
2020-03-20,3.39
2020-03-21,3.39
2020-03-22,3.39
2020-03-23,3.989
2020-03-24,4.407
2020-03-25,4.499
2020-03-26,4.805
2020-03-27,4.813
2020-03-28,4.813
2020-03-29,4.813
2020-03-30,4.851
2020-03-31,4.915
2020-04-01,4.863
2020-04-02,5.076
2020-04-03,5.037
