,NESZ MK Equity,NESZ MK Equity,NESZ MK Equity,NESZ MK Equity,NESZ MK Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,21.967,22.289,21.967,22.222,5600.0
2010-01-02,21.967,22.289,21.967,22.222,5600.0
2010-01-03,21.967,22.289,21.967,22.222,5600.0
2010-01-04,22.289,22.746,22.289,22.746,6100.0
2010-01-05,23.055,23.055,22.826,23.028,32700.0
2010-01-06,23.095,23.162,23.095,23.162,7900.0
2010-01-07,23.162,23.363,23.162,23.162,1100.0
2010-01-08,23.377,23.377,23.095,23.162,21900.0
2010-01-09,23.377,23.377,23.095,23.162,21900.0
2010-01-10,23.377,23.377,23.095,23.162,21900.0
2010-01-11,23.162,23.162,22.638,22.638,3500.0
2010-01-12,22.706,23.082,22.155,22.786,361800.0
2010-01-13,22.491,22.491,22.356,22.356,1800.0
2010-01-14,22.356,22.826,22.356,22.692,7400.0
2010-01-15,22.894,22.961,22.692,22.692,4400.0
2010-01-16,22.894,22.961,22.692,22.692,4400.0
2010-01-17,22.894,22.961,22.692,22.692,4400.0
2010-01-18,22.894,22.961,22.692,22.692,4400.0
2010-01-19,23.028,23.028,22.706,23.028,3700.0
2010-01-20,22.491,22.961,22.491,22.759,3100.0
2010-01-21,22.732,22.732,22.692,22.692,200.0
2010-01-22,22.638,22.638,22.612,22.612,5200.0
2010-01-23,22.638,22.638,22.612,22.612,5200.0
2010-01-24,22.638,22.638,22.612,22.612,5200.0
2010-01-25,22.558,22.571,22.491,22.491,3000.0
2010-01-26,22.504,22.504,22.356,22.356,10000.0
2010-01-27,22.356,22.356,22.168,22.168,6200.0
2010-01-28,22.289,22.679,22.276,22.679,4200.0
2010-01-29,22.558,22.558,22.195,22.195,8900.0
2010-01-30,22.558,22.558,22.195,22.195,8900.0
2010-01-31,22.558,22.558,22.195,22.195,8900.0
2010-02-01,22.558,22.558,22.195,22.195,8900.0
2010-02-02,22.37,22.397,22.262,22.262,3000.0
2010-02-03,22.8,22.813,22.692,22.813,6400.0
2010-02-04,22.826,22.826,22.759,22.826,4100.0
2010-02-05,22.303,22.397,22.303,22.316,9500.0
2010-02-06,22.303,22.397,22.303,22.316,9500.0
2010-02-07,22.303,22.397,22.303,22.316,9500.0
2010-02-08,22.316,22.759,22.316,22.759,600.0
2010-02-09,22.316,22.759,22.316,22.759,600.0
2010-02-10,22.356,22.692,22.222,22.692,8700.0
2010-02-11,22.625,22.625,22.316,22.316,800.0
2010-02-12,22.746,22.746,22.746,22.746,100.0
2010-02-13,22.746,22.746,22.746,22.746,100.0
2010-02-14,22.746,22.746,22.746,22.746,100.0
2010-02-15,22.746,22.746,22.746,22.746,100.0
2010-02-16,22.746,22.746,22.746,22.746,100.0
2010-02-17,22.746,22.759,22.746,22.759,2700.0
2010-02-18,22.692,22.692,22.612,22.652,6200.0
2010-02-19,22.236,22.437,22.236,22.437,6000.0
2010-02-20,22.236,22.437,22.236,22.437,6000.0
2010-02-21,22.236,22.437,22.236,22.437,6000.0
2010-02-22,22.437,22.437,22.424,22.424,3600.0
2010-02-23,22.424,22.813,22.424,22.813,500.0
2010-02-24,22.759,22.8,22.491,22.8,3400.0
2010-02-25,22.356,22.759,22.356,22.759,200.0
2010-02-26,22.356,22.759,22.356,22.759,200.0
2010-02-27,22.356,22.759,22.356,22.759,200.0
2010-02-28,22.356,22.759,22.356,22.759,200.0
2010-03-01,22.826,23.149,22.826,23.149,7700.0
2010-03-02,23.162,23.202,23.149,23.149,11400.0
2010-03-03,23.149,23.149,23.095,23.095,12100.0
2010-03-04,22.92,23.028,22.894,23.028,1500.0
2010-03-05,23.86,23.86,23.028,23.095,10600.0
2010-03-06,23.86,23.86,23.028,23.095,10600.0
2010-03-07,23.86,23.86,23.028,23.095,10600.0
2010-03-08,23.108,23.122,22.518,23.082,5200.0
2010-03-09,23.149,23.162,22.826,22.894,14700.0
2010-03-10,22.961,23.229,22.961,23.176,19200.0
2010-03-11,23.176,23.176,23.162,23.162,5900.0
2010-03-12,23.162,23.162,23.162,23.162,21500.0
2010-03-13,23.162,23.162,23.162,23.162,21500.0
2010-03-14,23.162,23.162,23.162,23.162,21500.0
2010-03-15,23.162,23.162,22.826,23.028,22900.0
2010-03-16,22.894,22.961,22.894,22.894,21800.0
2010-03-17,22.894,22.894,22.853,22.867,17900.0
2010-03-18,22.867,22.867,22.826,22.826,10100.0
2010-03-19,22.8,22.826,22.786,22.813,10000.0
2010-03-20,22.8,22.826,22.786,22.813,10000.0
2010-03-21,22.8,22.826,22.786,22.813,10000.0
2010-03-22,22.813,22.826,22.746,22.826,8100.0
2010-03-23,22.826,23.149,22.826,23.149,2500.0
2010-03-24,23.028,23.149,23.028,23.149,27300.0
2010-03-25,22.894,23.095,22.894,23.082,1700.0
2010-03-26,23.108,23.135,23.082,23.135,3200.0
2010-03-27,23.108,23.135,23.082,23.135,3200.0
2010-03-28,23.108,23.135,23.082,23.135,3200.0
2010-03-29,23.162,23.162,23.162,23.162,15400.0
2010-03-30,23.162,23.162,23.162,23.162,1000.0
2010-03-31,23.229,23.229,22.92,22.92,9700.0
2010-04-01,23.108,23.35,23.068,23.229,24700.0
2010-04-02,23.229,23.283,23.229,23.243,8900.0
2010-04-03,23.229,23.283,23.229,23.243,8900.0
2010-04-04,23.229,23.283,23.229,23.243,8900.0
2010-04-05,23.296,23.296,23.243,23.243,7700.0
2010-04-06,23.176,23.498,23.176,23.498,9100.0
2010-04-07,23.498,24.102,23.498,24.089,23300.0
2010-04-08,24.169,24.169,23.82,24.142,38700.0
2010-04-09,23.847,24.169,23.713,24.142,14800.0
2010-04-10,23.847,24.169,23.713,24.142,14800.0
2010-04-11,23.847,24.169,23.713,24.142,14800.0
2010-04-12,24.142,24.169,23.874,24.008,6900.0
2010-04-13,23.981,23.981,23.753,23.753,6000.0
2010-04-14,24.129,24.142,23.726,23.753,16200.0
2010-04-15,23.753,23.753,23.672,23.739,12600.0
2010-04-16,23.739,23.753,23.726,23.753,18200.0
2010-04-17,23.739,23.753,23.726,23.753,18200.0
2010-04-18,23.739,23.753,23.726,23.753,18200.0
2010-04-19,23.726,23.726,23.632,23.632,8300.0
2010-04-20,23.753,23.753,23.632,23.753,9900.0
2010-04-21,23.605,23.753,23.605,23.619,4800.0
