,HEIM MK Equity,HEIM MK Equity,HEIM MK Equity,HEIM MK Equity,HEIM MK Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,3.533,3.533,3.498,3.518,38600.0
2010-01-02,3.533,3.533,3.498,3.518,38600.0
2010-01-03,3.533,3.533,3.498,3.518,38600.0
2010-01-04,3.523,3.543,3.523,3.533,25500.0
2010-01-05,3.533,3.543,3.533,3.543,19100.0
2010-01-06,3.538,3.543,3.533,3.533,14100.0
2010-01-07,3.533,3.533,3.518,3.528,46200.0
2010-01-08,3.528,3.528,3.518,3.518,90500.0
2010-01-09,3.528,3.528,3.518,3.518,90500.0
2010-01-10,3.528,3.528,3.518,3.518,90500.0
2010-01-11,3.493,3.503,3.482,3.503,20800.0
2010-01-12,3.503,3.523,3.503,3.523,18900.0
2010-01-13,3.508,3.523,3.503,3.523,23900.0
2010-01-14,3.523,3.543,3.523,3.533,21400.0
2010-01-15,3.523,3.523,3.503,3.508,42900.0
2010-01-16,3.523,3.523,3.503,3.508,42900.0
2010-01-17,3.523,3.523,3.503,3.508,42900.0
2010-01-18,3.518,3.518,3.498,3.503,32800.0
2010-01-19,3.493,3.518,3.493,3.503,113200.0
2010-01-20,3.498,3.498,3.493,3.498,76600.0
2010-01-21,3.503,3.503,3.498,3.498,98000.0
2010-01-22,3.477,3.482,3.447,3.447,59800.0
2010-01-23,3.477,3.482,3.447,3.447,59800.0
2010-01-24,3.477,3.482,3.447,3.447,59800.0
2010-01-25,3.493,3.493,3.452,3.493,19300.0
2010-01-26,3.482,3.482,3.462,3.462,12400.0
2010-01-27,3.442,3.447,3.432,3.432,90600.0
2010-01-28,3.442,3.442,3.381,3.442,54300.0
2010-01-29,3.442,3.442,3.417,3.442,30500.0
2010-01-30,3.442,3.442,3.417,3.442,30500.0
2010-01-31,3.442,3.442,3.417,3.442,30500.0
2010-02-01,3.442,3.442,3.417,3.442,30500.0
2010-02-02,3.442,3.442,3.437,3.442,60200.0
2010-02-03,3.442,3.442,3.437,3.437,29500.0
2010-02-04,3.437,3.442,3.401,3.417,68200.0
2010-02-05,3.406,3.417,3.396,3.401,37300.0
2010-02-06,3.406,3.417,3.396,3.401,37300.0
2010-02-07,3.406,3.417,3.396,3.401,37300.0
2010-02-08,3.391,3.391,3.366,3.391,30300.0
2010-02-09,3.366,3.366,3.341,3.341,106300.0
2010-02-10,3.391,3.442,3.381,3.442,55000.0
2010-02-11,3.442,3.467,3.442,3.462,22200.0
2010-02-12,3.467,3.487,3.467,3.487,7700.0
2010-02-13,3.467,3.487,3.467,3.487,7700.0
2010-02-14,3.467,3.487,3.467,3.487,7700.0
2010-02-15,3.467,3.487,3.467,3.487,7700.0
2010-02-16,3.467,3.487,3.467,3.487,7700.0
2010-02-17,3.487,3.513,3.487,3.493,19000.0
2010-02-18,3.493,3.513,3.493,3.498,23500.0
2010-02-19,3.503,3.508,3.498,3.503,26300.0
2010-02-20,3.503,3.508,3.498,3.503,26300.0
2010-02-21,3.503,3.508,3.498,3.503,26300.0
2010-02-22,3.513,3.568,3.513,3.543,33400.0
2010-02-23,3.548,3.584,3.548,3.553,27500.0
2010-02-24,3.574,3.589,3.553,3.568,37700.0
2010-02-25,3.563,3.579,3.543,3.543,58400.0
2010-02-26,3.563,3.579,3.543,3.543,58400.0
2010-02-27,3.563,3.579,3.543,3.543,58400.0
2010-02-28,3.563,3.579,3.543,3.543,58400.0
2010-03-01,3.543,3.543,3.472,3.518,376600.0
2010-03-02,3.518,3.518,3.472,3.493,287200.0
2010-03-03,3.477,3.482,3.467,3.477,254900.0
2010-03-04,3.493,3.493,3.472,3.493,10100.0
2010-03-05,3.477,3.477,3.467,3.472,60900.0
2010-03-06,3.477,3.477,3.467,3.472,60900.0
2010-03-07,3.477,3.477,3.467,3.472,60900.0
2010-03-08,3.543,3.543,3.482,3.493,55900.0
2010-03-09,3.493,3.493,3.472,3.477,15100.0
2010-03-10,3.477,3.543,3.442,3.543,592400.0
2010-03-11,3.493,3.543,3.472,3.493,10000.0
2010-03-12,3.543,3.548,3.518,3.543,230400.0
2010-03-13,3.543,3.548,3.518,3.543,230400.0
2010-03-14,3.543,3.548,3.518,3.543,230400.0
2010-03-15,3.543,3.548,3.543,3.543,67800.0
2010-03-16,3.543,3.568,3.533,3.563,85300.0
2010-03-17,3.553,3.553,3.543,3.543,58500.0
2010-03-18,3.543,3.553,3.523,3.548,74300.0
2010-03-19,3.548,3.558,3.523,3.523,88400.0
2010-03-20,3.548,3.558,3.523,3.523,88400.0
2010-03-21,3.548,3.558,3.523,3.523,88400.0
2010-03-22,3.523,3.533,3.523,3.523,3000.0
2010-03-23,3.523,3.543,3.523,3.538,26000.0
2010-03-24,3.538,3.538,3.523,3.523,21000.0
2010-03-25,3.543,3.543,3.523,3.543,56000.0
2010-03-26,3.533,3.533,3.518,3.533,29800.0
2010-03-27,3.533,3.533,3.518,3.533,29800.0
2010-03-28,3.533,3.533,3.518,3.533,29800.0
2010-03-29,3.533,3.533,3.523,3.533,40000.0
2010-03-30,3.543,3.543,3.528,3.528,39300.0
2010-03-31,3.523,3.523,3.508,3.508,62000.0
2010-04-01,3.513,3.528,3.513,3.523,21800.0
2010-04-02,3.528,3.528,3.508,3.508,29400.0
2010-04-03,3.528,3.528,3.508,3.508,29400.0
2010-04-04,3.528,3.528,3.508,3.508,29400.0
2010-04-05,3.518,3.528,3.518,3.528,17200.0
2010-04-06,3.533,3.579,3.533,3.579,86200.0
2010-04-07,3.579,3.594,3.579,3.594,36500.0
2010-04-08,3.619,3.619,3.579,3.594,49000.0
2010-04-09,3.594,3.644,3.594,3.594,575800.0
2010-04-10,3.594,3.644,3.594,3.594,575800.0
2010-04-11,3.594,3.644,3.594,3.594,575800.0
2010-04-12,3.654,3.654,3.629,3.629,43200.0
2010-04-13,3.599,3.629,3.599,3.629,106400.0
2010-04-14,3.644,3.644,3.629,3.634,19000.0
2010-04-15,3.629,3.634,3.614,3.624,51300.0
2010-04-16,3.645,3.645,3.563,3.583,20000.0
2010-04-17,3.645,3.645,3.563,3.583,20000.0
2010-04-18,3.645,3.645,3.563,3.583,20000.0
2010-04-19,3.542,3.573,3.542,3.542,22900.0
2010-04-20,3.532,3.573,3.532,3.573,1300.0
2010-04-21,3.573,3.573,3.537,3.568,23200.0
2010-04-22,3.563,3.563,3.542,3.547,130600.0
2010-04-23,3.557,3.557,3.542,3.547,66800.0
