,RIO AU Equity,RIO AU Equity,RIO AU Equity,RIO AU Equity,RIO AU Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,36.5875,36.6511,36.4506,36.6218,722917.0
2010-01-02,36.5875,36.6511,36.4506,36.6218,722917.0
2010-01-03,36.5875,36.6511,36.4506,36.6218,722917.0
2010-01-04,36.5289,36.6756,36.4359,36.6364,791923.0
2010-01-05,37.0912,37.3357,37.0668,37.3357,2125651.0
2010-01-06,37.458,38.5778,37.4482,38.4262,2712791.0
2010-01-07,38.8761,38.9103,38.4702,38.6316,2616772.0
2010-01-08,38.7783,38.8908,38.5876,38.6365,1414667.0
2010-01-09,38.7783,38.8908,38.5876,38.6365,1414667.0
2010-01-10,38.7783,38.8908,38.5876,38.6365,1414667.0
2010-01-11,38.7587,39.1891,38.7538,39.1206,2333659.0
2010-01-12,38.5827,38.8565,38.3235,38.3235,1946103.0
2010-01-13,37.8981,38.2159,37.6634,37.7123,2420675.0
2010-01-14,38.211,38.8516,38.1719,38.7049,1886892.0
2010-01-15,39.0766,39.0913,38.1524,38.4458,2456294.0
2010-01-16,39.0766,39.0913,38.1524,38.4458,2456294.0
2010-01-17,39.0766,39.0913,38.1524,38.4458,2456294.0
2010-01-18,37.947,38.3822,37.9225,38.2991,1950869.0
2010-01-19,38.5338,38.6071,38.1181,38.1181,1778725.0
2010-01-20,38.6805,38.7147,38.1524,38.1621,1787821.0
2010-01-21,37.6291,37.8247,36.9445,36.9445,4304665.0
2010-01-22,35.7024,35.8932,35.5068,35.6682,4581745.0
2010-01-23,35.7024,35.8932,35.5068,35.6682,4581745.0
2010-01-24,35.7024,35.8932,35.5068,35.6682,4581745.0
2010-01-25,35.2037,36.1523,35.0374,35.8638,2433481.0
2010-01-26,35.2037,36.1523,35.0374,35.8638,2433481.0
2010-01-27,34.6706,34.788,34.1816,34.1816,5592346.0
2010-01-28,34.3283,35.1352,34.255,34.9347,4324219.0
2010-01-29,34.0349,34.0349,33.2525,33.2525,7036722.0
2010-01-30,34.0349,34.0349,33.2525,33.2525,7036722.0
2010-01-31,34.0349,34.0349,33.2525,33.2525,7036722.0
2010-02-01,33.6437,34.1621,32.964,32.964,4690298.0
2010-02-02,34.2794,34.7684,34.2305,34.7244,3232580.0
2010-02-03,35.5997,35.6682,35.0129,35.2085,2581549.0
2010-02-04,34.964,35.0325,34.1572,34.2892,2419006.0
2010-02-05,32.2256,32.876,32.0349,32.5679,5476084.0
2010-02-06,32.2256,32.876,32.0349,32.5679,5476084.0
2010-02-07,32.2256,32.876,32.0349,32.5679,5476084.0
2010-02-08,32.8124,33.1303,32.7733,32.8515,2794147.0
2010-02-09,32.5924,32.9591,32.2843,32.7586,3690334.0
2010-02-10,34.2256,34.2256,33.0373,33.2232,4121053.0
2010-02-11,33.3748,34.3626,33.3748,34.0936,2880983.0
2010-02-12,35.4286,35.4433,34.8516,35.1792,5185488.0
2010-02-13,35.4286,35.4433,34.8516,35.1792,5185488.0
2010-02-14,35.4286,35.4433,34.8516,35.1792,5185488.0
2010-02-15,34.7978,34.8516,34.3479,34.5093,2223334.0
2010-02-16,34.8516,35.0374,34.3137,34.5141,2553991.0
2010-02-17,35.1547,35.6829,35.0129,35.6584,2923888.0
2010-02-18,35.453,35.453,35.1499,35.2574,2184621.0
2010-02-19,35.453,35.453,34.3283,34.7195,3104006.0
2010-02-20,35.453,35.453,34.3283,34.7195,3104006.0
2010-02-21,35.453,35.453,34.3283,34.7195,3104006.0
2010-02-22,35.4482,35.6144,35.3699,35.4579,3034674.0
2010-02-23,35.3552,35.7024,35.2721,35.5753,2433062.0
2010-02-24,34.6226,34.987,34.5487,34.6718,6408137.0
2010-02-25,35.0905,35.0905,34.1793,34.1793,3494536.0
2010-02-26,34.529,34.7654,34.1547,34.7211,4895300.0
2010-02-27,34.529,34.7654,34.1547,34.7211,4895300.0
2010-02-28,34.529,34.7654,34.1547,34.7211,4895300.0
2010-03-01,35.0264,35.2727,34.9723,35.1643,1892364.0
2010-03-02,35.4598,35.7652,35.3564,35.4697,3110313.0
2010-03-03,35.8785,36.4793,35.8391,36.3808,3737877.0
2010-03-04,36.6911,36.7994,36.4054,36.6418,2302355.0
2010-03-05,36.6418,37.0851,36.5236,36.9423,2841318.0
2010-03-06,36.6418,37.0851,36.5236,36.9423,2841318.0
2010-03-07,36.6418,37.0851,36.5236,36.9423,2841318.0
2010-03-08,37.75,37.9322,37.6515,37.8928,2377810.0
2010-03-09,37.5283,37.6268,37.1787,37.5037,2534713.0
2010-03-10,37.1836,37.3707,36.9669,37.1097,4097493.0
2010-03-11,37.3806,37.4742,37.0605,37.2082,2730707.0
2010-03-12,37.4052,37.6909,37.2821,37.4101,2164635.0
2010-03-13,37.4052,37.6909,37.2821,37.4101,2164635.0
2010-03-14,37.4052,37.6909,37.2821,37.4101,2164635.0
2010-03-15,37.6515,37.7943,37.0752,37.1245,2444610.0
2010-03-16,37.2821,37.4052,37.0408,37.1836,1978466.0
2010-03-17,37.5776,37.7746,37.4151,37.7746,2734670.0
2010-03-18,38.011,38.1883,37.75,37.9174,2485041.0
2010-03-19,37.8435,37.8632,37.4791,37.5234,1447471.0
2010-03-20,37.8435,37.8632,37.4791,37.5234,1447471.0
2010-03-21,37.8435,37.8632,37.4791,37.5234,1447471.0
2010-03-22,37.026,37.0949,36.9373,36.9521,1382336.0
2010-03-23,37.1934,37.4594,37.1934,37.2919,2030187.0
2010-03-24,37.9223,38.1046,37.7795,38.0208,2820509.0
2010-03-25,37.9223,38.7202,37.8485,38.7202,3766265.0
2010-03-26,38.3163,38.6118,37.8485,38.5724,7983820.0
2010-03-27,38.3163,38.6118,37.8485,38.5724,7983820.0
2010-03-28,38.3163,38.6118,37.8485,38.5724,7983820.0
2010-03-29,38.7399,38.8088,38.2671,38.6069,1985081.0
2010-03-30,38.9073,39.1536,38.8433,39.0305,2414955.0
2010-03-31,39.1043,39.2767,38.6118,38.6118,2815096.0
2010-04-01,39.0551,39.2028,38.8138,39.2028,1998556.0
2010-04-02,39.0551,39.2028,38.8138,39.2028,1998556.0
2010-04-03,39.0551,39.2028,38.8138,39.2028,1998556.0
2010-04-04,39.0551,39.2028,38.8138,39.2028,1998556.0
2010-04-05,39.0551,39.2028,38.8138,39.2028,1998556.0
2010-04-06,39.523,39.8726,39.523,39.715,2075023.0
2010-04-07,39.8677,40.0154,39.7741,39.8234,1520492.0
2010-04-08,39.3998,39.5968,39.3063,39.3998,2274265.0
2010-04-09,39.4983,39.523,39.1388,39.1388,1775805.0
2010-04-10,39.4983,39.523,39.1388,39.1388,1775805.0
2010-04-11,39.4983,39.523,39.1388,39.1388,1775805.0
2010-04-12,39.7446,39.8923,39.6658,39.7249,1690073.0
2010-04-13,39.4491,39.5968,39.0403,39.1536,1697188.0
2010-04-14,39.4048,39.5821,39.3801,39.4491,2517037.0
2010-04-15,39.6953,39.9416,39.4245,39.4245,2738993.0
2010-04-16,39.3998,39.4934,39.1487,39.2373,2062499.0
2010-04-17,39.3998,39.4934,39.1487,39.2373,2062499.0
2010-04-18,39.3998,39.4934,39.1487,39.2373,2062499.0
2010-04-19,38.6315,38.7891,38.3656,38.3951,2202066.0
2010-04-20,38.5133,38.8827,38.5133,38.6857,1768081.0
2010-04-21,39.06,39.06,38.6709,38.6709,2835998.0
2010-04-22,37.8731,37.947,37.6662,37.8534,5224397.0
2010-04-23,37.553,37.8583,37.5283,37.6515,4226619.0
2010-04-24,37.553,37.8583,37.5283,37.6515,4226619.0
2010-04-25,37.553,37.8583,37.5283,37.6515,4226619.0
2010-04-26,37.553,37.8583,37.5283,37.6515,4226619.0
2010-04-27,37.8485,38.0208,37.5579,37.6268,6928486.0
2010-04-28,36.6418,36.7403,36.4202,36.6615,7149686.0
2010-04-29,36.1247,36.3857,35.6716,35.7504,4554867.0
2010-04-30,35.775,36.1198,35.4598,35.5091,8086043.0
2010-05-01,35.775,36.1198,35.4598,35.5091,8086043.0
2010-05-02,35.775,36.1198,35.4598,35.5091,8086043.0
2010-05-03,33.6278,34.4305,33.3914,33.9824,7095942.0
2010-05-04,33.2239,33.3864,32.5787,33.0269,7503910.0
2010-05-05,32.165,33.8789,32.0567,33.6278,7645900.0
2010-05-06,33.3421,33.3815,32.2931,32.3522,7584675.0
2010-05-07,31.5199,33.0466,31.5199,32.0025,8252014.0
2010-05-08,31.5199,33.0466,31.5199,32.0025,8252014.0
2010-05-09,31.5199,33.0466,31.5199,32.0025,8252014.0
2010-05-10,32.8989,33.8839,32.7462,33.8839,6972690.0
2010-05-11,34.2532,34.2532,33.0466,33.0466,5455789.0
2010-05-12,33.3421,33.6327,32.8004,33.0072,4687183.0
2010-05-13,33.4899,33.7115,33.0959,33.6327,4502269.0
2010-05-14,33.2929,33.7263,33.1008,33.4899,2061024.0
2010-05-15,33.2929,33.7263,33.1008,33.4899,2061024.0
2010-05-16,33.2929,33.7263,33.1008,33.4899,2061024.0
2010-05-17,32.5049,32.5049,31.5937,31.5937,5533956.0
2010-05-18,31.9336,31.9828,31.3032,31.4509,4982314.0
2010-05-19,31.1259,31.4411,30.7319,30.9683,5747439.0
2010-05-20,31.052,31.2736,30.5841,30.658,6859450.0
2010-05-21,29.5203,30.6334,28.9884,30.4364,9390834.0
2010-05-22,29.5203,30.6334,28.9884,30.4364,9390834.0
2010-05-23,29.5203,30.6334,28.9884,30.4364,9390834.0
2010-05-24,30.9042,31.5937,30.7023,31.5937,8406686.0
2010-05-25,30.7072,31.1357,30.3871,30.3871,4219803.0
2010-05-26,31.7661,31.8301,31.2293,31.4952,4703540.0
2010-05-27,31.8449,33.0121,31.707,33.0121,6891349.0
2010-05-28,33.7213,33.7361,32.9678,33.5884,12592117.0
2010-05-29,33.7213,33.7361,32.9678,33.5884,12592117.0
2010-05-30,33.7213,33.7361,32.9678,33.5884,12592117.0
2010-05-31,32.9235,33.283,32.8201,33.0663,2253791.0
2010-06-01,32.9974,33.1747,32.5787,32.9383,1938927.0
2010-06-02,32.7511,33.4209,32.6772,32.8792,2411623.0
2010-06-03,33.5096,34.007,33.4505,34.007,2551070.0
2010-06-04,33.5145,33.6031,33.0565,33.2879,2649615.0
2010-06-05,33.5145,33.6031,33.0565,33.2879,2649615.0
2010-06-06,33.5145,33.6031,33.0565,33.2879,2649615.0
2010-06-07,32.0616,32.2832,31.8745,32.2832,4325025.0
2010-06-08,32.3768,33.0417,32.3423,32.8742,3330921.0
2010-06-09,32.7757,32.7856,32.2635,32.692,2191486.0
2010-06-10,32.8742,33.4751,32.8447,33.4258,2451123.0
2010-06-11,34.071,34.1941,33.8001,34.0316,3293891.0
2010-06-12,34.071,34.1941,33.8001,34.0316,3293891.0
2010-06-13,34.071,34.1941,33.8001,34.0316,3293891.0
2010-06-14,34.071,34.1941,33.8001,34.0316,3293891.0
2010-06-15,34.0562,34.1892,33.7263,34.1892,2287088.0
2010-06-16,34.5487,35.1545,34.4995,35.1348,4221335.0
2010-06-17,35.0412,35.0658,34.465,34.5093,3048262.0
2010-06-18,34.6718,35.2481,34.5684,34.8935,2858632.0
2010-06-19,34.6718,35.2481,34.5684,34.8935,2858632.0
2010-06-20,34.6718,35.2481,34.5684,34.8935,2858632.0
2010-06-21,35.4598,35.7012,35.12,35.6273,3674638.0
2010-06-22,35.3613,35.8785,35.2825,35.514,2955100.0
2010-06-23,34.9181,35.1939,34.7408,34.7408,2678828.0
2010-06-24,35.5189,35.6962,35.184,35.3269,3402313.0
2010-06-25,34.4748,34.8147,34.1793,34.2778,9848235.0
2010-06-26,34.4748,34.8147,34.1793,34.2778,9848235.0
2010-06-27,34.4748,34.8147,34.1793,34.2778,9848235.0
2010-06-28,34.4256,34.4798,33.7509,33.7854,2665480.0
2010-06-29,33.9922,34.5142,33.6967,33.6967,2730132.0
2010-06-30,32.6231,32.9333,32.5246,32.8299,5268055.0
2010-07-01,32.0715,32.3719,31.5937,32.0616,6559615.0
2010-07-02,32.5541,32.825,31.9779,32.1601,3106296.0
2010-07-03,32.5541,32.825,31.9779,32.1601,3106296.0
2010-07-04,32.5541,32.825,31.9779,32.1601,3106296.0
2010-07-05,32.3473,32.4655,32.0862,32.1355,1639721.0
2010-07-06,31.8646,32.101,31.4706,32.0616,3751326.0
2010-07-07,32.628,32.7708,32.3226,32.4261,3156685.0
