,CIM AU Equity,CIM AU Equity,CIM AU Equity,CIM AU Equity,CIM AU Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,23.9221,24.1296,23.8719,23.9536,234483.0
2010-01-02,23.9221,24.1296,23.8719,23.9536,234483.0
2010-01-03,23.9221,24.1296,23.8719,23.9536,234483.0
2010-01-04,23.9787,24.513,23.9536,24.3558,296896.0
2010-01-05,24.4753,24.9215,24.3684,24.8901,458366.0
2010-01-06,25.0472,25.1541,24.9467,25.1101,594082.0
2010-01-07,25.1415,25.2924,25.0472,25.1101,391490.0
2010-01-08,25.1415,25.2295,24.9152,25.0032,593237.0
2010-01-09,25.1415,25.2295,24.9152,25.0032,593237.0
2010-01-10,25.1415,25.2295,24.9152,25.0032,593237.0
2010-01-11,25.1038,26.0403,25.0472,25.9398,794846.0
2010-01-12,26.0906,26.21,25.3929,25.4621,811218.0
2010-01-13,25.1729,25.3929,24.9907,25.1415,539025.0
2010-01-14,25.3175,25.8329,25.0535,25.0535,458115.0
2010-01-15,25.4495,25.4495,25.0284,25.1918,622896.0
2010-01-16,25.4495,25.4495,25.0284,25.1918,622896.0
2010-01-17,25.4495,25.4495,25.0284,25.1918,622896.0
2010-01-18,24.9655,25.0158,24.6513,24.8272,907956.0
2010-01-19,24.7015,25.0912,24.3998,24.5821,473069.0
2010-01-20,24.7644,24.9844,24.2553,24.337,452721.0
2010-01-21,24.3118,24.7958,24.2553,24.6575,531455.0
2010-01-22,24.1987,24.3873,23.9913,24.0604,1248311.0
2010-01-23,24.1987,24.3873,23.9913,24.0604,1248311.0
2010-01-24,24.1987,24.3873,23.9913,24.0604,1248311.0
2010-01-25,23.8279,24.3307,23.6896,24.1673,422142.0
2010-01-26,23.8279,24.3307,23.6896,24.1673,422142.0
2010-01-27,23.9221,24.1736,23.8907,24.1359,732501.0
2010-01-28,24.1359,24.381,23.9347,24.2113,654091.0
2010-01-29,24.0416,24.161,23.9347,24.0101,840150.0
2010-01-30,24.0416,24.161,23.9347,24.0101,840150.0
2010-01-31,24.0416,24.161,23.9347,24.0101,840150.0
2010-02-01,23.9159,24.0101,23.457,23.8844,727970.0
2010-02-02,24.2741,24.2867,23.5199,24.0353,810737.0
2010-02-03,24.2553,24.8461,24.1924,24.7518,708638.0
2010-02-04,24.6701,24.6764,23.897,24.3873,505636.0
2010-02-05,23.6707,23.8216,23.325,23.4445,564307.0
2010-02-06,23.6707,23.8216,23.325,23.4445,564307.0
2010-02-07,23.6707,23.8216,23.325,23.4445,564307.0
2010-02-08,23.1742,23.3942,22.7091,22.9919,606250.0
2010-02-09,22.6588,22.8788,22.2691,22.6211,1056030.0
2010-02-10,23.0611,23.7524,22.9856,23.325,1025742.0
2010-02-11,23.237,24.2616,23.1742,24.073,525106.0
2010-02-12,24.381,24.381,22.9416,23.4382,1082220.0
2010-02-13,24.381,24.381,22.9416,23.4382,1082220.0
2010-02-14,24.381,24.381,22.9416,23.4382,1082220.0
2010-02-15,23.4445,24.073,23.4445,23.6079,664259.0
2010-02-16,23.5387,23.9787,23.4633,23.5073,898115.0
2010-02-17,23.7336,24.0541,23.5953,23.853,733858.0
2010-02-18,23.9033,24.0353,23.6016,23.8027,793378.0
2010-02-19,23.8027,24.1736,23.6707,23.8153,1401072.0
2010-02-20,23.8027,24.1736,23.6707,23.8153,1401072.0
2010-02-21,23.8027,24.1736,23.6707,23.8153,1401072.0
2010-02-22,24.1673,24.205,23.8907,23.9787,721552.0
2010-02-23,23.7587,24.073,23.7587,24.0416,421636.0
2010-02-24,23.9159,23.9473,23.5765,23.7524,878532.0
2010-02-25,23.765,24.0353,23.4445,23.5513,794047.0
2010-02-26,23.6016,24.0919,23.501,23.6959,953944.0
2010-02-27,23.6016,24.0919,23.501,23.6959,953944.0
2010-02-28,23.6016,24.0919,23.501,23.6959,953944.0
2010-03-01,23.6267,23.9724,23.5765,23.853,567755.0
2010-03-02,24.1107,24.3873,24.0101,24.2616,716622.0
2010-03-03,24.1359,24.337,24.0919,24.2616,690478.0
2010-03-04,24.3747,24.6198,24.1673,24.425,810165.0
2010-03-05,24.3684,24.7015,24.3056,24.7015,694543.0
2010-03-06,24.3684,24.7015,24.3056,24.7015,694543.0
