,MFG AU Equity,MFG AU Equity,MFG AU Equity,MFG AU Equity,MFG AU Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,0.4801,0.4801,0.4801,0.4801,13162.0
2010-01-02,0.4801,0.4801,0.4801,0.4801,13162.0
2010-01-03,0.4801,0.4801,0.4801,0.4801,13162.0
2010-01-04,0.4801,0.4907,0.4749,0.4749,113506.0
2010-01-05,0.4801,0.4907,0.4749,0.4749,113506.0
2010-01-06,0.4854,0.5013,0.4854,0.5013,21000.0
2010-01-07,0.5013,0.5013,0.4907,0.496,136930.0
2010-01-08,0.496,0.496,0.4801,0.4801,120520.0
2010-01-09,0.496,0.496,0.4801,0.4801,120520.0
2010-01-10,0.496,0.496,0.4801,0.4801,120520.0
2010-01-11,0.4749,0.4749,0.4538,0.4722,71411.0
2010-01-12,0.4749,0.4749,0.4538,0.4722,71411.0
2010-01-13,0.4538,0.4696,0.4538,0.4696,14805.0
2010-01-14,0.4564,0.4564,0.4538,0.4538,11667.0
2010-01-15,0.4538,0.4538,0.4538,0.4538,3667.0
2010-01-16,0.4538,0.4538,0.4538,0.4538,3667.0
2010-01-17,0.4538,0.4538,0.4538,0.4538,3667.0
2010-01-18,0.4696,0.4696,0.4617,0.4617,28027.0
2010-01-19,0.4617,0.467,0.459,0.4643,17821.0
2010-01-20,0.4643,0.4643,0.4538,0.4617,134213.0
2010-01-21,0.459,0.459,0.4564,0.459,90920.0
2010-01-22,0.4538,0.459,0.4538,0.459,125759.0
2010-01-23,0.4538,0.459,0.4538,0.459,125759.0
2010-01-24,0.4538,0.459,0.4538,0.459,125759.0
2010-01-25,0.4617,0.4617,0.4564,0.4564,50466.0
2010-01-26,0.4617,0.4617,0.4564,0.4564,50466.0
2010-01-27,0.4564,0.4564,0.4485,0.4485,56353.0
2010-01-28,0.4485,0.467,0.4485,0.467,36334.0
2010-01-29,0.4643,0.467,0.4643,0.467,65000.0
2010-01-30,0.4643,0.467,0.4643,0.467,65000.0
2010-01-31,0.4643,0.467,0.4643,0.467,65000.0
2010-02-01,0.4538,0.4643,0.4432,0.4643,46145.0
2010-02-02,0.4643,0.4643,0.4485,0.4485,165792.0
