,GVA US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,10.88
2020-01-14,11.201
2020-01-15,11.38
2020-01-16,11.471
2020-01-17,11.146
2020-01-18,11.146
2020-01-19,11.146
2020-01-20,11.146
2020-01-21,11.155
2020-01-22,11.063
2020-01-23,11.309
2020-01-24,11.167
2020-01-25,11.167
2020-01-26,11.167
2020-01-27,11.188
2020-01-28,11.263
2020-01-29,11.559
2020-01-30,11.546
2020-01-31,11.301
2020-02-01,11.301
2020-02-02,11.301
2020-02-03,11.251
2020-02-04,11.426
2020-02-05,11.788
2020-02-06,11.259
2020-02-07,11.271
2020-02-08,11.271
2020-02-09,11.271
2020-02-10,11.438
2020-02-11,11.651
2020-02-12,11.875
2020-02-13,11.805
2020-02-14,11.8
2020-02-15,11.8
2020-02-16,11.8
2020-02-17,11.8
2020-02-18,11.725
2020-02-19,11.363
2020-02-20,11.097
2020-02-21,10.834
2020-02-22,10.834
2020-02-23,10.834
2020-02-24,10.43
2020-02-25,9.872
2020-02-26,9.201
2020-02-27,8.981
2020-02-28,8.464
2020-02-29,8.464
2020-03-01,8.464
2020-03-02,8.31
2020-03-03,8.164
2020-03-04,8.252
2020-03-05,7.498
2020-03-06,7.289
2020-03-07,7.289
2020-03-08,7.289
2020-03-09,6.594
2020-03-10,6.331
2020-03-11,6.223
2020-03-12,4.865
2020-03-13,5.298
2020-03-14,5.298
2020-03-15,5.298
2020-03-16,4.661
2020-03-17,4.207
2020-03-18,4.669
2020-03-19,5.936
2020-03-20,5.057
2020-03-21,5.057
2020-03-22,5.057
2020-03-23,5.286
2020-03-24,5.765
2020-03-25,5.69
2020-03-26,5.977
2020-03-27,5.607
2020-03-28,5.607
2020-03-29,5.607
2020-03-30,5.703
2020-03-31,6.385
2020-04-01,6.481
2020-04-02,6.515
2020-04-03,5.93
2020-04-04,5.93
2020-04-05,5.93
2020-04-06,6.481
2020-04-07,6.637
2020-04-08,6.969
2020-04-09,7.045
2020-04-10,7.045
2020-04-11,7.045
2020-04-12,7.045
2020-04-13,6.965
2020-04-14,6.931
2020-04-15,6.523
2020-04-16,6.187
2020-04-17,6.868
2020-04-18,6.868
2020-04-19,6.868
2020-04-20,6.229
2020-04-21,6.46
2020-04-22,6.414
2020-04-23,6.574
2020-04-24,6.578
2020-04-25,6.578
2020-04-26,6.578
2020-04-27,7.02
2020-04-28,7.154
2020-04-29,7.579
2020-04-30,6.915
2020-05-01,6.502
2020-05-02,6.502
2020-05-03,6.502
2020-05-04,6.519
2020-05-05,6.456
2020-05-06,6.187
2020-05-07,6.368
2020-05-08,6.692
2020-05-09,6.692
2020-05-10,6.692
2020-05-11,6.418
2020-05-12,6.086
2020-05-13,5.762
2020-05-14,5.775
2020-05-15,5.951
2020-05-16,5.951
2020-05-17,5.951
2020-05-18,6.587
2020-05-19,6.629
2020-05-20,6.759
2020-05-21,6.94
2020-05-22,6.898
2020-05-23,6.898
2020-05-24,6.898
2020-05-25,6.898
2020-05-26,7.344
2020-05-27,7.668
2020-05-28,7.297
2020-05-29,7.403
2020-05-30,7.403
2020-05-31,7.403
2020-06-01,7.495
2020-06-02,7.76
2020-06-03,7.987
2020-06-04,8.412
2020-06-05,9.018
2020-06-06,9.018
2020-06-07,9.018
2020-06-08,9.085
2020-06-09,8.635
2020-06-10,7.962
2020-06-11,7.07
2020-06-12,7.314
2020-06-13,7.314
2020-06-14,7.314
2020-06-15,7.554
2020-06-16,8.736
2020-06-17,8.143
2020-06-18,8.151
2020-06-19,8.059
2020-06-20,8.059
2020-06-21,8.059
2020-06-22,7.882
2020-06-23,7.92
2020-06-24,7.491
2020-06-25,7.802
2020-06-26,7.756
2020-06-27,7.756
2020-06-28,7.756
2020-06-29,8.141
2020-06-30,8.107
2020-07-01,7.599
2020-07-02,7.709
2020-07-03,7.709
2020-07-04,7.709
2020-07-05,7.709
2020-07-06,7.794
2020-07-07,7.514
2020-07-08,7.595
2020-07-09,7.184
2020-07-10,7.472
2020-07-11,7.472
2020-07-12,7.472
2020-07-13,7.43
2020-07-14,7.565
2020-07-15,8.018
2020-07-16,7.993
2020-07-17,8.129
2020-07-18,8.129
2020-07-19,8.129
2020-07-20,8.035
2020-07-21,8.146
2020-07-22,8.006
2020-07-23,8.107
2020-07-24,7.824
2020-07-25,7.824
2020-07-26,7.824
2020-07-27,7.853
2020-07-28,7.4
2020-07-29,7.591
2020-07-30,7.37
2020-07-31,7.184
2020-08-01,7.184
2020-08-02,7.184
2020-08-03,7.464
2020-08-04,7.514
2020-08-05,7.764
2020-08-06,7.68
2020-08-07,8.048
2020-08-08,8.048
2020-08-09,8.048
2020-08-10,8.34
2020-08-11,8.573
2020-08-12,8.294
2020-08-13,8.146
2020-08-14,8.268
2020-08-15,8.268
2020-08-16,8.268
2020-08-17,8.124
2020-08-18,7.951
2020-08-19,7.917
2020-08-20,7.857
2020-08-21,7.616
2020-08-22,7.616
2020-08-23,7.616
2020-08-24,7.9
2020-08-25,7.807
2020-08-26,7.756
2020-08-27,7.968
2020-08-28,7.997
2020-08-29,7.997
2020-08-30,7.997
2020-08-31,7.874
2020-09-01,8.069
2020-09-02,7.976
2020-09-03,7.722
2020-09-04,7.963
