,UAL US Equity
,BEST_PE_RATIO
2020-01-01,5.758
2020-01-02,5.865
2020-01-03,5.745
2020-01-04,5.745
2020-01-05,5.745
2020-01-06,5.732
2020-01-07,5.671
2020-01-08,5.706
2020-01-09,5.748
2020-01-10,5.707
2020-01-11,5.707
2020-01-12,5.707
2020-01-13,5.679
2020-01-14,5.742
2020-01-15,5.771
2020-01-16,5.852
2020-01-17,5.863
2020-01-18,5.863
2020-01-19,5.863
2020-01-20,5.863
2020-01-21,5.607
2020-01-22,5.447
2020-01-23,5.548
2020-01-24,5.353
2020-01-25,5.353
2020-01-26,5.353
2020-01-27,5.074
2020-01-28,5.036
2020-01-29,4.916
2020-01-30,5.082
2020-01-31,4.889
2020-02-01,4.889
2020-02-02,4.889
2020-02-03,4.896
2020-02-04,5.156
2020-02-05,5.35
2020-02-06,5.261
2020-02-07,5.195
2020-02-08,5.195
2020-02-09,5.195
2020-02-10,5.194
2020-02-11,5.263
2020-02-12,5.373
2020-02-13,5.293
2020-02-14,5.199
2020-02-15,5.199
2020-02-16,5.199
2020-02-17,5.199
2020-02-18,5.244
2020-02-19,5.191
2020-02-20,5.223
2020-02-21,5.099
2020-02-22,5.099
2020-02-23,5.099
2020-02-24,4.933
2020-02-25,4.612
2020-02-26,4.348
2020-02-27,4.244
2020-02-28,4.025
2020-02-29,4.025
2020-03-01,4.025
2020-03-02,4.004
2020-03-03,3.81
2020-03-04,3.887
2020-03-05,3.372
2020-03-06,3.405
2020-03-07,3.405
2020-03-08,3.405
2020-03-09,3.058
2020-03-10,3.435
2020-03-11,3.225
2020-03-12,2.424
2020-03-13,2.722
2020-03-14,2.722
2020-03-15,2.722
2020-03-16,2.318
2020-03-17,2.005
2020-03-18,1.397
2020-03-19,1.391
2020-03-20,1.601
2020-03-21,1.601
2020-03-22,1.601
2020-03-23,1.716
2020-03-24,2.157
2020-03-25,2.392
2020-03-26,2.324
2020-03-27,2.146
2020-03-28,2.146
2020-03-29,2.146
2020-03-30,1.971
2020-03-31,2.062
2020-04-01,1.676
2020-04-02,1.531
2020-04-03,1.496
2020-04-04,1.496
2020-04-05,1.496
2020-04-06,1.57
2020-04-07,1.6
2020-04-08,1.798
2020-04-09,2.059
2020-04-10,2.059
2020-04-11,2.059
2020-04-12,2.059
2020-04-13,1.89
2020-04-14,2.02
2020-04-15,2.082
2020-04-16,1.844
2020-04-17,1.901
2020-04-18,1.901
2020-04-19,1.901
2020-04-20,1.816
2020-04-21,1.822
2020-04-22,1.692
2020-04-23,1.681
2020-04-24,1.671
2020-04-25,1.671
2020-04-26,1.671
2020-04-27,1.634
2020-04-28,1.82
2020-04-29,2.04
2020-04-30,1.933
2020-05-01,1.74
2020-05-02,1.74
2020-05-03,1.74
2020-05-04,1.651
2020-05-05,1.576
2020-05-06,1.497
2020-05-07,1.487
2020-05-08,1.661
2020-05-09,1.661
2020-05-10,1.661
2020-05-11,1.567
2020-05-12,1.488
2020-05-13,1.354
2020-05-14,1.327
2020-05-15,1.302
2020-05-16,1.302
2020-05-17,1.302
2020-05-18,1.577
2020-05-19,1.548
2020-05-20,1.628
2020-05-21,1.689
2020-05-22,1.66
2020-05-23,1.66
2020-05-24,1.66
2020-05-25,1.66
2020-05-26,1.931
2020-05-27,2.006
2020-05-28,1.888
2020-05-29,1.833
2020-05-30,1.833
2020-05-31,1.833
2020-06-01,1.925
2020-06-02,1.955
2020-06-03,2.199
2020-06-04,2.556
2020-06-05,2.772
2020-06-06,2.772
2020-06-07,2.772
2020-06-08,3.182
2020-06-09,2.918
2020-06-10,2.596
2020-06-11,2.178
2020-06-12,2.592
2020-06-13,2.592
2020-06-14,2.592
2020-06-15,2.549
2020-06-16,2.628
2020-06-17,2.565
2020-06-18,2.571
2020-06-19,2.408
2020-06-20,2.408
2020-06-21,2.408
2020-06-22,2.388
2020-06-23,2.358
2020-06-24,2.161
2020-06-25,2.267
2020-06-26,2.15
2020-06-27,2.15
2020-06-28,2.15
2020-06-29,2.305
2020-06-30,2.262
2020-07-01,2.252
2020-07-02,2.231
2020-07-03,2.231
2020-07-04,2.231
2020-07-05,2.231
2020-07-06,2.301
2020-07-07,2.127
2020-07-08,2.126
