,PFE US Equity
,BEST_PE_RATIO
2020-01-01,7.306
2020-01-02,7.299
2020-01-03,7.26
2020-01-04,7.26
2020-01-05,7.26
2020-01-06,7.25
2020-01-07,6.652
2020-01-08,6.706
2020-01-09,7.252
2020-01-10,7.364
2020-01-11,7.364
2020-01-12,7.364
2020-01-13,7.543
2020-01-14,7.669
2020-01-15,7.784
2020-01-16,7.772
2020-01-17,7.554
2020-01-18,7.554
2020-01-19,7.554
2020-01-20,7.554
2020-01-21,7.523
2020-01-22,7.495
2020-01-23,6.989
2020-01-24,6.836
2020-01-25,6.836
2020-01-26,6.836
2020-01-27,6.894
2020-01-28,7.253
2020-01-29,7.146
2020-01-30,8.208
2020-01-31,8.246
2020-02-01,8.246
2020-02-02,8.246
2020-02-03,8.305
2020-02-04,8.345
2020-02-05,8.452
2020-02-06,8.471
2020-02-07,8.425
2020-02-08,8.425
2020-02-09,8.425
2020-02-10,7.532
2020-02-11,7.588
2020-02-12,7.518
2020-02-13,7.357
2020-02-14,7.273
2020-02-15,7.273
2020-02-16,7.273
2020-02-17,7.273
2020-02-18,7.235
2020-02-19,7.217
2020-02-20,7.141
2020-02-21,7.116
2020-02-22,7.116
2020-02-23,7.116
2020-02-24,6.906
2020-02-25,6.759
2020-02-26,6.916
2020-02-27,6.793
2020-02-28,6.657
2020-02-29,6.657
2020-03-01,6.657
2020-03-02,6.948
2020-03-03,6.833
2020-03-04,7.251
2020-03-05,7.064
2020-03-06,6.976
2020-03-07,6.976
2020-03-08,6.976
2020-03-09,6.996
2020-03-10,7.168
2020-03-11,6.666
2020-03-12,6.221
2020-03-13,6.778
2020-03-14,6.778
2020-03-15,6.778
2020-03-16,6.254
2020-03-17,6.664
2020-03-18,6.706
2020-03-19,6.304
2020-03-20,6.012
2020-03-21,6.012
2020-03-22,6.012
2020-03-23,5.904
2020-03-24,6.155
2020-03-25,6.165
2020-03-26,6.579
2020-03-27,6.403
2020-03-28,6.403
2020-03-29,6.403
2020-03-30,6.77
2020-03-31,6.764
2020-04-01,6.579
2020-04-02,6.811
2020-04-03,6.971
2020-04-04,6.971
2020-04-05,6.971
2020-04-06,7.164
2020-04-07,6.965
2020-04-08,7.17
2020-04-09,7.334
