,OGS US Equity
,BEST_PE_RATIO
2020-01-01,18.143
2020-01-02,17.922
2020-01-03,17.947
2020-01-04,17.947
2020-01-05,17.947
2020-01-06,17.856
2020-01-07,17.642
2020-01-08,17.555
2020-01-09,17.59
2020-01-10,17.749
2020-01-11,17.749
2020-01-12,17.749
2020-01-13,18.001
2020-01-14,18.009
2020-01-15,18.259
2020-01-16,18.399
2020-01-17,18.37
2020-01-18,18.37
2020-01-19,18.37
2020-01-20,18.37
2020-01-21,18.478
2020-01-22,18.478
2020-01-23,18.478
2020-01-24,18.478
2020-01-25,18.478
2020-01-26,18.478
2020-01-27,18.478
2020-01-28,18.478
2020-01-29,18.478
2020-01-30,18.478
2020-01-31,18.478
2020-02-01,18.478
2020-02-02,18.478
2020-02-03,18.478
2020-02-04,18.478
2020-02-05,18.478
2020-02-06,18.478
2020-02-07,18.478
2020-02-08,18.478
2020-02-09,18.478
2020-02-10,18.478
2020-02-11,18.478
2020-02-12,18.478
2020-02-13,18.478
2020-02-14,18.478
2020-02-15,18.478
2020-02-16,18.478
2020-02-17,18.478
2020-02-18,18.478
2020-02-19,18.478
2020-02-20,18.478
2020-02-21,18.478
2020-02-22,18.478
2020-02-23,18.478
2020-02-24,18.478
2020-02-25,18.478
2020-02-26,18.478
2020-02-27,18.478
2020-02-28,18.478
2020-02-29,18.478
2020-03-01,18.478
2020-03-02,18.478
2020-03-03,18.478
2020-03-04,18.478
2020-03-05,18.478
2020-03-06,18.478
2020-03-07,18.478
2020-03-08,18.478
2020-03-09,18.478
2020-03-10,18.478
2020-03-11,18.478
2020-03-12,18.478
2020-03-13,18.478
2020-03-14,18.478
2020-03-15,18.478
2020-03-16,18.478
2020-03-17,18.478
2020-03-18,14.11
2020-03-19,14.888
2020-03-20,13.279
2020-03-21,13.279
2020-03-22,13.279
2020-03-23,13.215
2020-03-24,14.096
2020-03-25,14.04
2020-03-26,15.206
2020-03-27,15.515
2020-03-28,15.515
2020-03-29,15.515
2020-03-30,16.322
2020-03-31,16.342
2020-04-01,15.124
2020-04-02,15.429
2020-04-03,15.23
2020-04-04,15.23
2020-04-05,15.23
2020-04-06,16.772
2020-04-07,16.183
2020-04-08,16.889
2020-04-09,17.796
2020-04-10,17.796
2020-04-11,17.796
2020-04-12,17.796
2020-04-13,17.004
2020-04-14,17.635
2020-04-15,16.701
2020-04-16,16.785
2020-04-17,17.344
2020-04-18,17.344
2020-04-19,17.344
2020-04-20,16.414
2020-04-21,16.66
2020-04-22,16.996
2020-04-23,16.756
2020-04-24,16.756
2020-04-25,16.756
2020-04-26,16.756
2020-04-27,16.756
2020-04-28,16.756
2020-04-29,16.756
2020-04-30,16.756
2020-05-01,16.756
2020-05-02,16.756
2020-05-03,16.756
2020-05-04,16.756
2020-05-05,16.756
2020-05-06,16.756
2020-05-07,16.756
2020-05-08,16.756
2020-05-09,16.756
2020-05-10,16.756
2020-05-11,16.756
2020-05-12,16.756
2020-05-13,16.756
2020-05-14,16.756
2020-05-15,16.756
2020-05-16,16.756
2020-05-17,16.756
2020-05-18,16.756
2020-05-19,16.756
2020-05-20,16.756
2020-05-21,16.756
2020-05-22,16.756
2020-05-23,16.756
2020-05-24,16.756
2020-05-25,16.756
2020-05-26,16.756
2020-05-27,16.756
2020-05-28,16.756
2020-05-29,16.559
2020-05-30,16.559
2020-05-31,16.559
2020-06-01,16.354
2020-06-02,16.304
2020-06-03,16.586
2020-06-04,16.224
2020-06-05,16.366
2020-06-06,16.366
2020-06-07,16.366
2020-06-08,16.663
2020-06-09,16.555
2020-06-10,16.265
2020-06-11,15.127
2020-06-12,15.171
2020-06-13,15.171
2020-06-14,15.171
2020-06-15,15.307
2020-06-16,15.47
2020-06-17,15.03
2020-06-18,15.056
2020-06-19,14.693
2020-06-20,14.693
2020-06-21,14.693
2020-06-22,14.936
2020-06-23,14.873
2020-06-24,14.782
2020-06-25,14.603
2020-06-26,14.496
2020-06-27,14.496
2020-06-28,14.496
2020-06-29,14.76
2020-06-30,15.194
2020-07-01,15.184
2020-07-02,15.253
2020-07-03,15.253
2020-07-04,15.253
2020-07-05,15.253
2020-07-06,15.064
2020-07-07,14.863
2020-07-08,14.873
2020-07-09,14.607
2020-07-10,14.818
2020-07-11,14.818
2020-07-12,14.818
2020-07-13,14.926
2020-07-14,14.849
2020-07-15,14.877
2020-07-16,14.747
2020-07-17,14.8
2020-07-18,14.8
2020-07-19,14.8
2020-07-20,14.571
2020-07-21,14.963
2020-07-22,15.322
2020-07-23,15.587
2020-07-24,15.234
2020-07-25,15.234
2020-07-26,15.234
2020-07-27,15.234
2020-07-28,15.234
2020-07-29,15.234
2020-07-30,15.234
2020-07-31,15.234
2020-08-01,15.234
2020-08-02,15.234
2020-08-03,15.234
2020-08-04,15.234
2020-08-05,15.234
2020-08-06,15.234
2020-08-07,15.234
2020-08-08,15.234
2020-08-09,15.234
2020-08-10,15.234
2020-08-11,15.234
2020-08-12,15.234
2020-08-13,15.234
2020-08-14,15.234
2020-08-15,15.234
2020-08-16,15.234
2020-08-17,15.234
2020-08-18,15.234
2020-08-19,15.234
2020-08-20,15.234
2020-08-21,15.234
2020-08-22,15.234
2020-08-23,15.234
2020-08-24,15.234
2020-08-25,15.234
2020-08-26,15.234
2020-08-27,15.234
2020-08-28,15.234
2020-08-29,15.234
2020-08-30,15.234
2020-08-31,15.234
2020-09-01,15.234
2020-09-02,15.234
2020-09-03,15.234
2020-09-04,15.234
2020-09-05,15.234
2020-09-06,15.234
2020-09-07,15.234
2020-09-08,15.234
2020-09-09,15.234
2020-09-10,15.234
2020-09-11,15.234
2020-09-12,15.234
2020-09-13,15.234
2020-09-14,15.234
2020-09-15,15.234
2020-09-16,15.234
2020-09-17,15.234
2020-09-18,15.234
2020-09-19,15.234
2020-09-20,15.234
2020-09-21,15.234
2020-09-22,15.234
2020-09-23,15.234
2020-09-24,15.234
2020-09-25,15.234
2020-09-26,15.234
2020-09-27,15.234
2020-09-28,15.234
2020-09-29,15.234
2020-09-30,15.234
2020-10-01,15.234
2020-10-02,15.234
2020-10-03,15.234
2020-10-04,15.234
2020-10-05,15.234
2020-10-06,15.234
2020-10-07,15.234
2020-10-08,15.234
2020-10-09,15.234
2020-10-10,15.234
2020-10-11,15.234
2020-10-12,15.234
2020-10-13,15.234
2020-10-14,15.234
2020-10-15,15.234
2020-10-16,15.234
2020-10-17,15.234
2020-10-18,15.234
2020-10-19,15.234
2020-10-20,15.234
2020-10-21,15.234
2020-10-22,15.234
2020-10-23,15.234
2020-10-24,15.234
2020-10-25,15.234
2020-10-26,15.234
2020-10-27,15.234
2020-10-28,15.234
2020-10-29,15.234
2020-10-30,15.234
2020-10-31,15.234
2020-11-01,15.234
2020-11-02,15.234
2020-11-03,15.234
2020-11-04,15.234
2020-11-05,15.234
2020-11-06,15.234
2020-11-07,15.234
2020-11-08,15.234
2020-11-09,15.234
2020-11-10,15.234
2020-11-11,15.234
2020-11-12,15.234
2020-11-13,15.234
2020-11-14,15.234
2020-11-15,15.234
2020-11-16,15.234
2020-11-17,15.234
2020-11-18,15.234
2020-11-19,15.234
2020-11-20,15.234
2020-11-21,15.234
2020-11-22,15.234
2020-11-23,15.234
2020-11-24,15.234
2020-11-25,15.234
2020-11-26,15.234
2020-11-27,15.234
2020-11-28,15.234
2020-11-29,15.234
2020-11-30,15.234
2020-12-01,15.234
2020-12-02,15.234
2020-12-03,15.234
2020-12-04,15.234
2020-12-05,15.234
2020-12-06,15.234
2020-12-07,15.234
2020-12-08,15.234
2020-12-09,15.234
2020-12-10,15.234
2020-12-11,15.234
2020-12-12,15.234
2020-12-13,15.234
2020-12-14,15.234
2020-12-15,15.234
2020-12-16,15.234
2020-12-17,15.234
2020-12-18,15.234
2020-12-19,15.234
2020-12-20,15.234
2020-12-21,15.234
2020-12-22,15.234
2020-12-23,15.234
2020-12-24,15.234
2020-12-25,15.234
2020-12-26,15.234
2020-12-27,15.234
2020-12-28,15.234
2020-12-29,15.234
2020-12-30,15.234
2020-12-31,15.234
2021-01-01,15.234
2021-01-02,15.234
2021-01-03,15.234
2021-01-04,15.234
2021-01-05,15.234
2021-01-06,15.234
2021-01-07,15.234
2021-01-08,15.234
2021-01-09,15.234
2021-01-10,15.234
2021-01-11,15.234
2021-01-12,15.234
2021-01-13,15.234
2021-01-14,15.234
2021-01-15,15.234
2021-01-16,15.234
2021-01-17,15.234
2021-01-18,15.234
2021-01-19,15.234
2021-01-20,15.234
2021-01-21,15.234
2021-01-22,15.234
2021-01-23,15.234
2021-01-24,15.234
2021-01-25,15.234
2021-01-26,15.234
2021-01-27,15.234
2021-01-28,15.234
2021-01-29,15.234
2021-01-30,15.234
2021-01-31,15.234
2021-02-01,15.234
2021-02-02,15.234
2021-02-03,15.234
2021-02-04,15.234
2021-02-05,15.234
2021-02-06,15.234
2021-02-07,15.234
2021-02-08,15.234
2021-02-09,15.234
2021-02-10,15.234
2021-02-11,15.234
2021-02-12,15.234
2021-02-13,15.234
2021-02-14,15.234
2021-02-15,15.234
2021-02-16,15.234
2021-02-17,15.234
2021-02-18,15.234
2021-02-19,15.234
2021-02-20,15.234
2021-02-21,15.234
2021-02-22,15.234
2021-02-23,15.234
2021-02-24,15.234
2021-02-25,15.234
2021-02-26,15.234
2021-02-27,15.234
2021-02-28,15.234
2021-03-01,15.234
2021-03-02,15.234
2021-03-03,15.234
2021-03-04,15.234
2021-03-05,15.234
2021-03-06,15.234
2021-03-07,15.234
2021-03-08,15.234
2021-03-09,15.234
2021-03-10,15.234
2021-03-11,15.234
2021-03-12,15.234
2021-03-13,15.234
2021-03-14,15.234
2021-03-15,15.234
2021-03-16,15.234
2021-03-17,15.234
2021-03-18,15.234
2021-03-19,15.234
2021-03-20,15.234
2021-03-21,15.234
2021-03-22,15.234
2021-03-23,15.234
2021-03-24,15.234
2021-03-25,15.234
2021-03-26,15.234
2021-03-27,15.234
2021-03-28,15.234
2021-03-29,15.234
2021-03-30,15.234
2021-03-31,15.234
2021-04-01,15.234
2021-04-02,15.234
2021-04-03,15.234
2021-04-04,15.234
2021-04-05,15.234
2021-04-06,15.234
2021-04-07,15.234
2021-04-08,15.234
2021-04-09,15.234
2021-04-10,15.234
2021-04-11,15.234
2021-04-12,15.234
2021-04-13,15.234
2021-04-14,15.234
2021-04-15,15.234
2021-04-16,15.234
2021-04-17,15.234
2021-04-18,15.234
2021-04-19,15.234
2021-04-20,15.234
2021-04-21,15.234
2021-04-22,15.234
2021-04-23,15.234
2021-04-24,15.234
