,HES US Equity
,BEST_PE_RATIO
2020-01-01,11.693
2020-01-02,11.852
2020-01-03,12.223
2020-01-04,12.223
2020-01-05,12.223
2020-01-06,12.402
2020-01-07,12.416
2020-01-08,11.992
2020-01-09,12.092
2020-01-10,11.991
2020-01-11,11.991
2020-01-12,11.991
2020-01-13,12.129
2020-01-14,10.504
2020-01-15,10.507
2020-01-16,10.541
2020-01-17,10.48
2020-01-18,10.48
2020-01-19,10.48
2020-01-20,10.48
2020-01-21,10.269
2020-01-22,10.075
2020-01-23,9.975
2020-01-24,9.657
2020-01-25,9.657
2020-01-26,9.657
2020-01-27,11.748
2020-01-28,11.813
2020-01-29,10.996
2020-01-30,11.565
2020-01-31,11.172
2020-02-01,11.172
2020-02-02,11.172
2020-02-03,11.533
2020-02-04,11.787
2020-02-05,12.122
2020-02-06,11.656
2020-02-07,11.333
2020-02-08,11.333
2020-02-09,11.333
2020-02-10,11.231
2020-02-11,11.478
2020-02-12,12.011
2020-02-13,12.261
2020-02-14,12.332
2020-02-15,12.332
2020-02-16,12.332
2020-02-17,12.332
2020-02-18,12.496
2020-02-19,12.992
2020-02-20,13.227
2020-02-21,13.166
2020-02-22,13.166
2020-02-23,13.166
2020-02-24,12.308
2020-02-25,11.729
2020-02-26,11.421
2020-02-27,11.245
2020-02-28,11.482
2020-02-29,11.482
2020-03-01,11.482
2020-03-02,11.688
2020-03-03,11.793
2020-03-04,11.65
2020-03-05,11.135
2020-03-06,10.162
2020-03-07,10.162
2020-03-08,10.162
2020-03-09,6.74
2020-03-10,8.11
2020-03-11,7.499
2020-03-12,6.712
2020-03-13,7.192
2020-03-14,7.192
2020-03-15,7.192
2020-03-16,3.839
2020-03-17,3.786
2020-03-18,3.781
2020-03-19,3.905
2020-03-20,4.288
2020-03-21,4.288
2020-03-22,4.288
2020-03-23,4.039
2020-03-24,4.823
2020-03-25,4.854
2020-03-26,5.125
2020-03-27,4.754
2020-03-28,4.754
2020-03-29,4.754
2020-03-30,4.461
2020-03-31,4.652
2020-04-01,4.468
2020-04-02,4.932
2020-04-03,4.683
2020-04-04,4.683
2020-04-05,4.683
2020-04-06,4.908
2020-04-07,4.91
2020-04-08,5.958
2020-04-09,6.141
2020-04-10,6.141
2020-04-11,6.141
2020-04-12,6.141
2020-04-13,5.568
2020-04-14,5.385
2020-04-15,4.941
2020-04-16,4.54
2020-04-17,5.211
2020-04-18,5.211
2020-04-19,5.211
2020-04-20,5.012
