,SYY US Equity
,BEST_PE_RATIO
2020-01-01,14.933
2020-01-02,14.858
2020-01-03,14.804
2020-01-04,14.804
2020-01-05,14.804
2020-01-06,14.784
2020-01-07,14.665
2020-01-08,14.835
2020-01-09,14.853
2020-01-10,14.904
2020-01-11,14.904
2020-01-12,14.904
2020-01-13,14.693
2020-01-14,14.461
2020-01-15,14.505
2020-01-16,14.507
2020-01-17,14.535
2020-01-18,14.535
2020-01-19,14.535
2020-01-20,14.535
2020-01-21,14.607
2020-01-22,14.591
2020-01-23,14.67
2020-01-24,14.502
2020-01-25,14.502
2020-01-26,14.502
2020-01-27,14.451
2020-01-28,14.509
2020-01-29,14.372
2020-01-30,14.539
2020-01-31,14.416
2020-02-01,14.416
2020-02-02,14.416
2020-02-03,13.937
2020-02-04,13.643
2020-02-05,13.759
2020-02-06,13.926
2020-02-07,14.061
2020-02-08,14.061
2020-02-09,14.061
2020-02-10,13.988
2020-02-11,13.863
2020-02-12,14.079
2020-02-13,14.166
2020-02-14,14.215
2020-02-15,14.215
2020-02-16,14.215
2020-02-17,14.215
2020-02-18,13.964
2020-02-19,13.85
2020-02-20,13.943
2020-02-21,14.003
2020-02-22,14.003
2020-02-23,14.003
2020-02-24,13.73
2020-02-25,13.459
2020-02-26,13.245
2020-02-27,12.665
2020-02-28,12.114
2020-02-29,12.114
2020-03-01,12.114
2020-03-02,12.665
2020-03-03,12.45
2020-03-04,12.841
2020-03-05,12.296
2020-03-06,12.169
2020-03-07,12.169
2020-03-08,12.169
2020-03-09,11.133
2020-03-10,11.345
2020-03-11,10.024
2020-03-12,7.908
2020-03-13,8.555
2020-03-14,8.555
2020-03-15,8.555
2020-03-16,6.861
2020-03-17,6.372
2020-03-18,5.678
2020-03-19,6.745
2020-03-20,6.421
2020-03-21,6.421
2020-03-22,6.421
2020-03-23,6.592
2020-03-24,7.085
2020-03-25,8.297
2020-03-26,10.155
2020-03-27,9.579
2020-03-28,9.579
2020-03-29,9.579
2020-03-30,8.801
2020-03-31,8.664
2020-04-01,7.95
2020-04-02,7.925
2020-04-03,7.582
2020-04-04,7.582
2020-04-05,7.582
2020-04-06,8.639
2020-04-07,8.843
2020-04-08,9.069
2020-04-09,9.518
2020-04-10,9.518
2020-04-11,9.518
2020-04-12,9.518
2020-04-13,9.031
2020-04-14,9.275
2020-04-15,8.849
2020-04-16,8.779
2020-04-17,9.657
2020-04-18,9.657
2020-04-19,9.657
2020-04-20,9.522
2020-04-21,9.424
2020-04-22,9.856
2020-04-23,11.178
2020-04-24,11.926
2020-04-25,11.926
2020-04-26,11.926
2020-04-27,12.34
2020-04-28,12.547
2020-04-29,13.167
2020-04-30,12.659
2020-05-01,11.869
2020-05-02,11.869
2020-05-03,11.869
2020-05-04,12.11
2020-05-05,11.314
2020-05-06,12.954
2020-05-07,13.054
2020-05-08,13.306
2020-05-09,13.306
2020-05-10,13.306
2020-05-11,12.909
2020-05-12,12.305
2020-05-13,11.658
2020-05-14,11.98
2020-05-15,11.89
2020-05-16,11.89
2020-05-17,11.89
2020-05-18,12.617
2020-05-19,12.301
2020-05-20,12.589
2020-05-21,12.565
2020-05-22,12.39
2020-05-23,12.39
2020-05-24,12.39
2020-05-25,12.39
2020-05-26,13.194
2020-05-27,13.635
2020-05-28,13.395
2020-05-29,13.206
2020-05-30,13.206
2020-05-31,13.206
2020-06-01,12.813
2020-06-02,12.692
2020-06-03,13.243
2020-06-04,13.129
2020-06-05,13.801
2020-06-06,13.801
2020-06-07,13.801
2020-06-08,14.365
2020-06-09,13.756
2020-06-10,12.77
2020-06-11,11.959
2020-06-12,12.158
2020-06-13,12.158
2020-06-14,12.158
2020-06-15,12.297
2020-06-16,12.667
2020-06-17,12.208
2020-06-18,12.533
2020-06-19,12.158
2020-06-20,12.158
2020-06-21,12.158
2020-06-22,12.324
2020-06-23,13.059
2020-06-24,12.297
2020-06-25,12.324
2020-06-26,11.719
2020-06-27,11.719
2020-06-28,11.719
2020-06-29,12.194
2020-06-30,12.248
2020-07-01,12.133
2020-07-02,12.214
2020-07-03,12.214
2020-07-04,12.214
2020-07-05,12.214
2020-07-06,12.146
2020-07-07,11.979
2020-07-08,11.999
2020-07-09,11.518
2020-07-10,11.819
2020-07-11,11.819
2020-07-12,11.819
2020-07-13,11.848
2020-07-14,11.966
2020-07-15,12.526
2020-07-16,12.341
2020-07-17,12.239
2020-07-18,12.239
2020-07-19,12.239
2020-07-20,11.981
2020-07-21,11.646
2020-07-22,11.778
2020-07-23,11.693
2020-07-24,11.693
2020-07-25,11.693
2020-07-26,11.693
2020-07-27,11.49
2020-07-28,11.386
2020-07-29,11.49
2020-07-30,11.384
2020-07-31,11.227
2020-08-01,11.227
2020-08-02,11.227
2020-08-03,11.074
2020-08-04,11.494
2020-08-05,11.681
2020-08-06,11.981
2020-08-07,12.278
2020-08-08,12.278
2020-08-09,12.278
2020-08-10,12.767
2020-08-11,12.787
2020-08-12,12.547
2020-08-13,12.316
2020-08-14,12.514
2020-08-15,12.514
2020-08-16,12.514
2020-08-17,12.547
2020-08-18,12.524
2020-08-19,12.207
2020-08-20,12.175
2020-08-21,12.076
2020-08-22,12.076
2020-08-23,12.076
2020-08-24,12.507
2020-08-25,12.232
2020-08-26,12.085
2020-08-27,12.046
2020-08-28,12.419
2020-08-29,12.419
2020-08-30,12.419
2020-08-31,12.068
2020-09-01,11.833
2020-09-02,11.979
2020-09-03,11.886
2020-09-04,11.841
2020-09-05,11.841
2020-09-06,11.841
2020-09-07,11.841
2020-09-08,11.711
2020-09-09,12.093
2020-09-10,12.164
2020-09-11,12.266
2020-09-12,12.266
2020-09-13,12.266
2020-09-14,12.713
2020-09-15,12.876
2020-09-16,13.437
2020-09-17,13.467
2020-09-18,13.315
2020-09-19,13.315
2020-09-20,13.315
2020-09-21,13.01
2020-09-22,13.004
2020-09-23,12.293
2020-09-24,12.505
2020-09-25,12.596
2020-09-26,12.596
2020-09-27,12.596
2020-09-28,12.564
2020-09-29,12.425
2020-09-30,12.639
2020-10-01,12.813
2020-10-02,12.925
2020-10-03,12.925
2020-10-04,12.925
2020-10-05,13.001
2020-10-06,13.232
2020-10-07,13.562
2020-10-08,13.881
2020-10-09,13.909
2020-10-10,13.909
2020-10-11,13.909
2020-10-12,13.807
2020-10-13,13.316
2020-10-14,13.688
2020-10-15,13.623
2020-10-16,13.459
2020-10-17,13.459
2020-10-18,13.459
2020-10-19,13.005
2020-10-20,13.053
2020-10-21,12.896
2020-10-22,13.181
2020-10-23,13.098
2020-10-24,13.098
2020-10-25,13.098
2020-10-26,12.289
2020-10-27,11.792
2020-10-28,11.075
2020-10-29,11.176
2020-10-30,11.18
2020-10-31,11.18
2020-11-01,11.18
2020-11-02,11.539
2020-11-03,12.281
2020-11-04,12.196
2020-11-05,12.215
2020-11-06,12.221
2020-11-07,12.221
2020-11-08,12.221
2020-11-09,14.273
2020-11-10,14.514
2020-11-11,13.753
2020-11-12,13.656
2020-11-13,14.365
2020-11-14,14.365
2020-11-15,14.365
2020-11-16,15.054
2020-11-17,14.905
2020-11-18,14.393
2020-11-19,14.455
2020-11-20,14.056
2020-11-21,14.056
2020-11-22,14.056
2020-11-23,14.319
2020-11-24,14.548
2020-11-25,14.393
2020-11-26,14.393
2020-11-27,14.305
2020-11-28,14.305
2020-11-29,14.305
2020-11-30,14.315
2020-12-01,14.745
2020-12-02,14.592
2020-12-03,14.979
2020-12-04,15.669
2020-12-05,15.669
2020-12-06,15.669
2020-12-07,15.218
2020-12-08,15.388
2020-12-09,15.326
2020-12-10,15.493
2020-12-11,15.22
2020-12-12,15.22
2020-12-13,15.22
2020-12-14,14.728
2020-12-15,14.905
2020-12-16,14.819
2020-12-17,14.931
2020-12-18,14.498
2020-12-19,14.498
2020-12-20,14.498
2020-12-21,14.536
2020-12-22,14.426
2020-12-23,14.616
2020-12-24,14.526
2020-12-25,14.526
2020-12-26,14.526
2020-12-27,14.526
2020-12-28,14.809
2020-12-29,14.608
2020-12-30,14.7
2020-12-31,14.895
2021-01-01,14.895
2021-01-02,14.895
2021-01-03,14.895
2021-01-04,14.504
2021-01-05,15.92
2021-01-06,17.026
2021-01-07,17.035
2021-01-08,17.476
2021-01-09,17.476
2021-01-10,17.476
2021-01-11,17.476
