,CIR US Equity
,BEST_PE_RATIO
2020-01-01,8.741
2020-01-02,8.807
2020-01-03,8.724
2020-01-04,8.724
2020-01-05,8.724
2020-01-06,8.588
2020-01-07,8.437
2020-01-08,8.35
2020-01-09,8.369
2020-01-10,8.178
2020-01-11,8.178
2020-01-12,8.178
2020-01-13,8.473
2020-01-14,8.277
2020-01-15,8.273
2020-01-16,8.441
2020-01-17,8.416
2020-01-18,8.416
2020-01-19,8.416
2020-01-20,8.416
2020-01-21,8.324
2020-01-22,8.429
2020-01-23,8.454
2020-01-24,8.348
2020-01-25,8.348
2020-01-26,8.348
2020-01-27,8.177
2020-01-28,8.271
2020-01-29,8.181
2020-01-30,8.188
2020-01-31,7.821
2020-02-01,7.821
2020-02-02,7.821
2020-02-03,7.925
2020-02-04,8.1
2020-02-05,8.333
2020-02-06,8.275
2020-02-07,8.237
2020-02-08,8.237
2020-02-09,8.237
2020-02-10,8.315
2020-02-11,8.414
2020-02-12,8.392
2020-02-13,8.448
2020-02-14,8.518
2020-02-15,8.518
2020-02-16,8.518
2020-02-17,8.518
2020-02-18,8.375
2020-02-19,8.224
2020-02-20,8.09
2020-02-21,8.26
2020-02-22,8.26
2020-02-23,8.26
2020-02-24,7.702
2020-02-25,7.36
2020-02-26,7.228
2020-02-27,6.944
2020-02-28,6.776
2020-02-29,6.776
2020-03-01,6.776
2020-03-02,8.441
2020-03-03,8.239
2020-03-04,8.282
2020-03-05,8.096
2020-03-06,7.362
2020-03-07,7.362
2020-03-08,7.362
2020-03-09,6.306
2020-03-10,6.112
2020-03-11,5.691
2020-03-12,4.503
2020-03-13,4.635
2020-03-14,4.635
2020-03-15,4.635
2020-03-16,3.515
2020-03-17,2.975
2020-03-18,2.018
2020-03-19,2.456
2020-03-20,2.19
2020-03-21,2.19
2020-03-22,2.19
2020-03-23,2.239
2020-03-24,2.47
2020-03-25,2.846
2020-03-26,3.094
2020-03-27,2.696
2020-03-28,2.696
2020-03-29,2.696
2020-03-30,2.6
2020-03-31,2.602
2020-04-01,2.154
2020-04-02,2.329
2020-04-03,2.074
2020-04-04,2.074
2020-04-05,2.074
2020-04-06,2.823
2020-04-07,2.828
2020-04-08,3.005
