,1981718D US Equity
,BEST_PE_RATIO
2020-01-01,16.578
2020-01-02,16.848
2020-01-03,16.464
2020-01-04,16.464
2020-01-05,16.464
2020-01-06,16.424
2020-01-07,16.59
2020-01-08,16.6
2020-01-09,16.614
2020-01-10,16.51
2020-01-11,16.51
2020-01-12,16.51
2020-01-13,16.514
2020-01-14,16.385
2020-01-15,16.178
2020-01-16,16.828
2020-01-17,16.605
2020-01-18,16.605
2020-01-19,16.605
2020-01-20,16.605
2020-01-21,16.689
2020-01-22,16.739
2020-01-23,16.478
2020-01-24,15.982
2020-01-25,15.982
2020-01-26,15.982
2020-01-27,15.507
2020-01-28,15.699
2020-01-29,15.572
2020-01-30,15.988
2020-01-31,15.416
2020-02-01,15.416
2020-02-02,15.416
2020-02-03,15.471
2020-02-04,16.03
2020-02-05,16.468
2020-02-06,16.234
2020-02-07,16.062
2020-02-08,16.062
2020-02-09,16.062
2020-02-10,15.905
2020-02-11,16.208
2020-02-12,16.267
2020-02-13,16.153
2020-02-14,16.057
2020-02-15,16.057
2020-02-16,16.057
2020-02-17,16.057
2020-02-18,15.882
2020-02-19,16.144
2020-02-20,16.533
2020-02-21,15.717
2020-02-22,15.717
2020-02-23,15.717
2020-02-24,14.859
2020-02-25,14.115
2020-02-26,14.018
2020-02-27,14.157
2020-02-28,13.665
2020-02-29,13.665
2020-03-01,13.665
2020-03-02,14.131
2020-03-03,12.856
2020-03-04,12.457
2020-03-05,11.868
2020-03-06,11.709
2020-03-07,11.709
2020-03-08,11.709
2020-03-09,10.127
2020-03-10,11.376
2020-03-11,11.149
2020-03-12,9.665
2020-03-13,11.522
2020-03-14,11.522
2020-03-15,11.522
2020-03-16,10.076
2020-03-17,11.039
2020-03-18,10.476
2020-03-19,10.611
2020-03-20,10.449
2020-03-21,10.449
2020-03-22,10.449
2020-03-23,9.858
2020-03-24,10.658
2020-03-25,12.127
2020-03-26,12.159
2020-03-27,11.975
2020-03-28,11.975
2020-03-29,11.975
2020-03-30,12.228
2020-03-31,12.006
2020-04-01,11.847
2020-04-02,12.394
2020-04-03,12.199
2020-04-04,12.199
2020-04-05,12.199
2020-04-06,13.132
2020-04-07,12.584
2020-04-08,13.331
2020-04-09,13.52
2020-04-10,13.52
2020-04-11,13.52
2020-04-12,13.52
2020-04-13,12.822
2020-04-14,13.249
2020-04-15,12.7
2020-04-16,12.716
2020-04-17,13.168
2020-04-18,13.168
2020-04-19,13.168
2020-04-20,13.397
2020-04-21,13.228
2020-04-22,13.168
2020-04-23,12.957
2020-04-24,12.604
2020-04-25,12.604
2020-04-26,12.604
2020-04-27,13.122
2020-04-28,13.051
2020-04-29,13.923
2020-04-30,13.54
2020-05-01,13.099
2020-05-02,13.099
2020-05-03,13.099
2020-05-04,12.844
2020-05-05,12.538
2020-05-06,12.475
2020-05-07,12.726
2020-05-08,13.174
2020-05-09,13.174
2020-05-10,13.174
2020-05-11,12.835
2020-05-12,12.331
2020-05-13,11.892
2020-05-14,11.959
2020-05-15,11.614
2020-05-16,11.614
2020-05-17,11.614
2020-05-18,12.063
2020-05-19,11.601
2020-05-20,11.902
2020-05-21,11.725
2020-05-22,11.582
2020-05-23,11.582
2020-05-24,11.582
2020-05-25,11.582
2020-05-26,12.238
2020-05-27,13.184
2020-05-28,12.797
2020-05-29,12.661
2020-05-30,12.661
2020-05-31,12.661
2020-06-01,12.96
2020-06-02,13.184
2020-06-03,14.054
2020-06-04,15.318
2020-06-05,15.705
2020-06-06,15.705
2020-06-07,15.705
2020-06-08,15.341
2020-06-09,14.705
2020-06-10,13.97
2020-06-11,13.262
2020-06-12,13.335
2020-06-13,13.335
2020-06-14,13.335
2020-06-15,13.403
2020-06-16,13.525
2020-06-17,13.406
2020-06-18,13.491
2020-06-19,13.413
2020-06-20,13.413
2020-06-21,13.413
2020-06-22,13.355
2020-06-23,13.158
2020-06-24,12.384
2020-06-25,12.476
2020-06-26,11.614
2020-06-27,11.614
2020-06-28,11.614
2020-06-29,12.014
2020-06-30,12.393
2020-07-01,12.115
2020-07-02,12.164
2020-07-03,12.164
2020-07-04,12.164
2020-07-05,12.164
2020-07-06,12.389
2020-07-07,12.184
2020-07-08,12.384
2020-07-09,12.097
2020-07-10,12.162
2020-07-11,12.162
2020-07-12,12.162
2020-07-13,11.83
2020-07-14,11.897
2020-07-15,12.225
2020-07-16,11.953
2020-07-17,11.443
2020-07-18,11.443
2020-07-19,11.443
2020-07-20,11.589
2020-07-21,11.801
2020-07-22,11.177
2020-07-23,11.127
2020-07-24,10.695
2020-07-25,10.695
2020-07-26,10.695
2020-07-27,10.229
2020-07-28,10.185
2020-07-29,10.297
2020-07-30,10.165
2020-07-31,10.037
2020-08-01,10.037
2020-08-02,10.037
2020-08-03,10.095
2020-08-04,10.285
2020-08-05,10.355
2020-08-06,10.11
2020-08-07,10.389
2020-08-08,10.389
2020-08-09,10.389
2020-08-10,10.316
2020-08-11,10.66
2020-08-12,10.635
2020-08-13,10.558
2020-08-14,10.702
2020-08-15,10.702
2020-08-16,10.702
2020-08-17,10.562
2020-08-18,10.65
2020-08-19,10.878
2020-08-20,10.532
2020-08-21,10.507
2020-08-22,10.507
2020-08-23,10.507
2020-08-24,10.701
2020-08-25,10.833
2020-08-26,10.802
2020-08-27,10.994
2020-08-28,11.03
2020-08-29,11.03
2020-08-30,11.03
2020-08-31,10.805
2020-09-01,10.892
2020-09-02,10.943
2020-09-03,10.774
2020-09-04,11.005
2020-09-05,11.005
2020-09-06,11.005
2020-09-07,11.005
2020-09-08,10.552
2020-09-09,10.664
2020-09-10,10.56
2020-09-11,10.732
2020-09-12,10.732
2020-09-13,10.732
2020-09-14,10.87
2020-09-15,10.577
2020-09-16,10.864
2020-09-17,10.853
2020-09-18,10.916
2020-09-19,10.916
2020-09-20,10.916
2020-09-21,10.686
2020-09-22,10.608
2020-09-23,10.546
2020-09-24,10.409
2020-09-25,10.597
2020-09-26,10.597
2020-09-27,10.597
2020-09-28,10.975
2020-09-29,10.855
2020-09-30,10.969
2020-10-01,11.589
2020-10-02,11.56
2020-10-03,11.56
2020-10-04,11.56
2020-10-05,11.32
2020-10-06,11.32
2020-10-07,11.32
