,AGCO US Equity
,BEST_PE_RATIO
2020-01-01,1.98
2020-01-02,2.005
2020-01-03,1.977
2020-01-04,1.977
2020-01-05,1.977
2020-01-06,1.958
2020-01-07,1.94
2020-01-08,1.943
2020-01-09,1.943
2020-01-10,1.891
2020-01-11,1.891
2020-01-12,1.891
2020-01-13,1.91
2020-01-14,1.911
2020-01-15,1.898
2020-01-16,1.92
2020-01-17,1.916
2020-01-18,1.916
2020-01-19,1.916
2020-01-20,1.916
2020-01-21,1.874
2020-01-22,1.864
2020-01-23,1.86
2020-01-24,1.841
2020-01-25,1.841
2020-01-26,1.841
2020-01-27,1.771
2020-01-28,1.799
2020-01-29,1.804
2020-01-30,1.822
2020-01-31,1.798
2020-02-01,1.798
2020-02-02,1.798
2020-02-03,1.825
2020-02-04,1.863
2020-02-05,1.877
2020-02-06,1.771
2020-02-07,1.713
2020-02-08,1.713
2020-02-09,1.713
2020-02-10,1.712
2020-02-11,1.726
2020-02-12,1.766
2020-02-13,1.715
2020-02-14,1.715
2020-02-15,1.715
2020-02-16,1.715
2020-02-17,1.715
2020-02-18,1.711
2020-02-19,1.705
2020-02-20,1.733
2020-02-21,1.762
2020-02-22,1.762
2020-02-23,1.762
2020-02-24,1.734
2020-02-25,1.649
2020-02-26,1.6
2020-02-27,1.577
2020-02-28,1.552
2020-02-29,1.552
2020-03-01,1.552
2020-03-02,1.634
2020-03-03,1.568
2020-03-04,1.613
2020-03-05,1.566
2020-03-06,1.578
2020-03-07,1.578
2020-03-08,1.578
2020-03-09,1.464
2020-03-10,1.53
2020-03-11,1.444
2020-03-12,1.292
2020-03-13,1.421
2020-03-14,1.421
2020-03-15,1.421
2020-03-16,1.232
2020-03-17,1.169
2020-03-18,0.95
2020-03-19,1.14
2020-03-20,1.035
2020-03-21,1.035
2020-03-22,1.035
2020-03-23,1.014
2020-03-24,1.102
2020-03-25,1.143
2020-03-26,1.218
2020-03-27,1.187
2020-03-28,1.187
2020-03-29,1.187
2020-03-30,1.215
2020-03-31,1.214
2020-04-01,1.148
2020-04-02,1.147
2020-04-03,1.118
2020-04-04,1.118
2020-04-05,1.118
2020-04-06,1.225
2020-04-07,1.262
2020-04-08,1.312
2020-04-09,1.338
2020-04-10,1.338
2020-04-11,1.338
2020-04-12,1.338
2020-04-13,1.308
2020-04-14,1.281
2020-04-15,1.227
2020-04-16,1.154
2020-04-17,1.271
2020-04-18,1.271
2020-04-19,1.271
2020-04-20,1.263
2020-04-21,1.225
2020-04-22,1.242
2020-04-23,1.257
2020-04-24,1.278
2020-04-25,1.278
2020-04-26,1.278
2020-04-27,1.304
2020-04-28,1.327
2020-04-29,1.386
2020-04-30,1.358
2020-05-01,1.292
2020-05-02,1.292
2020-05-03,1.292
2020-05-04,1.275
2020-05-05,1.26
2020-05-06,1.246
2020-05-07,1.27
2020-05-08,1.314
2020-05-09,1.314
2020-05-10,1.314
2020-05-11,1.294
2020-05-12,1.224
2020-05-13,1.171
2020-05-14,1.178
2020-05-15,1.179
2020-05-16,1.179
2020-05-17,1.179
2020-05-18,1.271
2020-05-19,1.249
2020-05-20,1.317
2020-05-21,1.317
2020-05-22,1.337
2020-05-23,1.337
2020-05-24,1.337
2020-05-25,1.337
2020-05-26,1.471
2020-05-27,1.499
2020-05-28,1.488
2020-05-29,1.424
2020-05-30,1.424
2020-05-31,1.424
2020-06-01,1.459
2020-06-02,1.471
2020-06-03,1.533
2020-06-04,1.574
2020-06-05,1.624
2020-06-06,1.624
2020-06-07,1.624
2020-06-08,1.64
2020-06-09,1.588
2020-06-10,1.51
2020-06-11,1.403
2020-06-12,1.424
2020-06-13,1.424
2020-06-14,1.424
2020-06-15,1.435
2020-06-16,1.451
2020-06-17,1.409
2020-06-18,1.397
2020-06-19,1.398
2020-06-20,1.398
2020-06-21,1.398
2020-06-22,1.398
2020-06-23,1.408
2020-06-24,1.37
2020-06-25,1.393
2020-06-26,1.359
2020-06-27,1.359
2020-06-28,1.359
2020-06-29,1.405
2020-06-30,1.43
2020-07-01,1.391
2020-07-02,1.409
2020-07-03,1.409
2020-07-04,1.409
2020-07-05,1.409
2020-07-06,1.456
2020-07-07,1.423
2020-07-08,1.402
2020-07-09,1.377
2020-07-10,1.401
2020-07-11,1.401
2020-07-12,1.401
2020-07-13,1.482
2020-07-14,1.561
2020-07-15,1.595
2020-07-16,1.589
2020-07-17,1.614
2020-07-18,1.614
2020-07-19,1.614
2020-07-20,1.581
2020-07-21,1.598
2020-07-22,1.63
2020-07-23,1.641
2020-07-24,1.635
2020-07-25,1.635
2020-07-26,1.635
2020-07-27,1.635
2020-07-28,1.6
2020-07-29,1.635
2020-07-30,1.751
2020-07-31,1.692
2020-08-01,1.692
2020-08-02,1.692
2020-08-03,1.743
2020-08-04,1.751
2020-08-05,1.77
2020-08-06,1.761
2020-08-07,2.937
2020-08-08,2.937
2020-08-09,2.937
2020-08-10,3.011
2020-08-11,3.127
2020-08-12,3.139
2020-08-13,3.124
2020-08-14,3.151
2020-08-15,3.151
2020-08-16,3.151
2020-08-17,3.979
2020-08-18,3.911
2020-08-19,3.918
2020-08-20,3.868
2020-08-21,3.922
2020-08-22,3.922
2020-08-23,3.922
2020-08-24,3.922
2020-08-25,3.874
2020-08-26,3.887
2020-08-27,3.949
2020-08-28,3.948
2020-08-29,3.948
2020-08-30,3.948
2020-08-31,3.87
2020-09-01,3.995
2020-09-02,4.018
2020-09-03,4.001
2020-09-04,4.016
2020-09-05,4.016
2020-09-06,4.016
2020-09-07,4.016
2020-09-08,3.974
2020-09-09,4.079
2020-09-10,4.084
2020-09-11,4.107
2020-09-12,4.107
2020-09-13,4.107
2020-09-14,4.118
2020-09-15,4.12
2020-09-16,4.151
2020-09-17,4.151
2020-09-18,4.089
2020-09-19,4.089
2020-09-20,4.089
2020-09-21,3.853
2020-09-22,4.479
2020-09-23,4.403
2020-09-24,4.413
2020-09-25,4.461
2020-09-26,4.461
2020-09-27,4.461
2020-09-28,4.547
2020-09-29,4.532
2020-09-30,4.633
2020-10-01,4.573
2020-10-02,8.874
2020-10-03,8.874
2020-10-04,8.874
2020-10-05,9.049
2020-10-06,9.089
2020-10-07,9.318
2020-10-08,9.402
2020-10-09,9.509
2020-10-10,9.509
2020-10-11,9.509
2020-10-12,9.157
2020-10-13,9.166
2020-10-14,9.128
2020-10-15,9.154
2020-10-16,9.251
2020-10-17,9.251
2020-10-18,9.251
2020-10-19,9.241
2020-10-20,9.211
2020-10-21,9.023
2020-10-22,9.075
