,COP US Equity
,BEST_PE_RATIO
2020-01-01,17.073
2020-01-02,17.186
2020-01-03,17.249
2020-01-04,17.249
2020-01-05,17.249
2020-01-06,17.453
2020-01-07,17.453
2020-01-08,17.049
2020-01-09,17.346
2020-01-10,17.175
2020-01-11,17.175
2020-01-12,17.175
2020-01-13,17.099
2020-01-14,12.728
2020-01-15,12.7
2020-01-16,12.714
2020-01-17,12.714
2020-01-18,12.714
2020-01-19,12.714
2020-01-20,12.714
2020-01-21,12.511
2020-01-22,12.311
2020-01-23,12.337
2020-01-24,12.235
2020-01-25,12.235
2020-01-26,12.235
2020-01-27,11.927
2020-01-28,11.954
2020-01-29,11.819
2020-01-30,11.897
2020-01-31,11.612
2020-02-01,11.612
2020-02-02,11.612
2020-02-03,11.563
2020-02-04,8.79
2020-02-05,10.605
2020-02-06,10.538
2020-02-07,10.463
2020-02-08,10.463
2020-02-09,10.463
2020-02-10,10.441
2020-02-11,10.593
2020-02-12,10.782
2020-02-13,10.688
2020-02-14,10.651
2020-02-15,10.651
2020-02-16,10.651
2020-02-17,10.651
2020-02-18,10.593
2020-02-19,10.768
2020-02-20,10.698
2020-02-21,10.619
2020-02-22,10.619
2020-02-23,10.619
2020-02-24,10.244
2020-02-25,9.781
2020-02-26,9.298
2020-02-27,8.564
2020-02-28,8.798
2020-02-29,8.798
2020-03-01,8.798
2020-03-02,8.945
2020-03-03,8.743
2020-03-04,8.981
2020-03-05,8.667
2020-03-06,8.236
2020-03-07,8.236
2020-03-08,8.236
2020-03-09,6.191
2020-03-10,6.338
2020-03-11,5.916
2020-03-12,5.124
2020-03-13,5.702
2020-03-14,5.702
2020-03-15,5.702
2020-03-16,4.933
2020-03-17,4.965
2020-03-18,4.288
2020-03-19,3.984
2020-03-20,4.179
2020-03-21,4.179
2020-03-22,4.179
2020-03-23,3.822
2020-03-24,4.786
2020-03-25,4.817
2020-03-26,4.996
2020-03-27,4.554
2020-03-28,4.554
2020-03-29,4.554
2020-03-30,4.56
2020-03-31,4.795
2020-04-01,4.612
2020-04-02,5.272
2020-04-03,5.124
2020-04-04,5.124
2020-04-05,5.124
2020-04-06,5.107
2020-04-07,5.18
2020-04-08,5.555
2020-04-09,5.407
2020-04-10,5.407
2020-04-11,5.407
2020-04-12,5.407
2020-04-13,6.424
2020-04-14,6.382
2020-04-15,6.03
2020-04-16,5.819
2020-04-17,6.164
2020-04-18,6.164
2020-04-19,6.164
2020-04-20,6.043
2020-04-21,5.802
2020-04-22,6.115
2020-04-23,6.791
2020-04-24,6.774
2020-04-25,6.774
2020-04-26,6.774
2020-04-27,6.973
2020-04-28,7.222
2020-04-29,7.922
2020-04-30,7.902
2020-05-01,6.892
2020-05-02,6.892
2020-05-03,6.892
2020-05-04,8.331
2020-05-05,8.447
2020-05-06,8.358
2020-05-07,8.757
2020-05-08,8.982
2020-05-09,8.982
2020-05-10,8.982
2020-05-11,8.813
2020-05-12,8.669
2020-05-13,8.317
2020-05-14,8.325
2020-05-15,8.521
2020-05-16,8.521
2020-05-17,8.521
2020-05-18,9.09
2020-05-19,8.896
2020-05-20,9.205
2020-05-21,9.115
2020-05-22,11.976
2020-05-23,11.976
2020-05-24,11.976
2020-05-25,11.976
2020-05-26,13.385
2020-05-27,13.692
2020-05-28,14.634
2020-05-29,14.363
2020-05-30,14.363
2020-05-31,14.363
2020-06-01,14.775
2020-06-02,15.051
2020-06-03,15.364
2020-06-04,15.225
2020-06-05,16.546
2020-06-06,16.546
2020-06-07,16.546
2020-06-08,17.131
2020-06-09,16.559
2020-06-10,15.633
2020-06-11,14.343
2020-06-12,14.891
2020-06-13,14.891
2020-06-14,14.891
2020-06-15,14.761
2020-06-16,15.361
2020-06-17,13.546
2020-06-18,13.678
2020-06-19,13.447
2020-06-20,13.447
2020-06-21,13.447
2020-06-22,13.404
2020-06-23,14.341
2020-06-24,13.417
2020-06-25,13.768
2020-06-26,13.208
2020-06-27,13.208
2020-06-28,13.208
2020-06-29,12.782
2020-06-30,12.677
2020-07-01,12.317
2020-07-02,12.631
2020-07-03,12.631
2020-07-04,12.631
2020-07-05,12.631
2020-07-06,12.586
2020-07-07,12.286
2020-07-08,12.407
2020-07-09,11.594
2020-07-10,11.999
2020-07-11,11.999
2020-07-12,11.999
2020-07-13,11.99
2020-07-14,12.84
2020-07-15,12.974
2020-07-16,12.964
2020-07-17,12.583
2020-07-18,12.583
2020-07-19,12.583
2020-07-20,12.385
2020-07-21,13.119
2020-07-22,12.872
2020-07-23,12.75
2020-07-24,11.44
2020-07-25,11.44
2020-07-26,11.44
2020-07-27,11.295
2020-07-28,11.065
2020-07-29,11.343
2020-07-30,10.889
2020-07-31,11.586
2020-08-01,11.586
2020-08-02,11.586
2020-08-03,11.799
2020-08-04,12.098
2020-08-05,12.22
2020-08-06,12.229
2020-08-07,12.31
2020-08-08,12.31
2020-08-09,12.31
2020-08-10,12.74
2020-08-11,12.763
2020-08-12,13.39
2020-08-13,12.869
2020-08-14,12.929
2020-08-15,12.929
2020-08-16,12.929
2020-08-17,12.891
2020-08-18,11.613
2020-08-19,11.417
2020-08-20,11.164
2020-08-21,11.006
2020-08-22,11.006
2020-08-23,11.006
2020-08-24,11.211
2020-08-25,11.205
2020-08-26,10.833
2020-08-27,11.003
2020-08-28,11.07
2020-08-29,11.07
2020-08-30,11.07
2020-08-31,10.928
2020-09-01,10.718
2020-09-02,10.493
2020-09-03,10.38
2020-09-04,10.343
2020-09-05,10.343
2020-09-06,10.343
2020-09-07,10.343
2020-09-08,9.824
2020-09-09,9.939
2020-09-10,9.495
2020-09-11,9.55
2020-09-12,9.55
2020-09-13,9.55
2020-09-14,9.668
2020-09-15,9.749
2020-09-16,10.439
2020-09-17,10.74
2020-09-18,10.674
2020-09-19,10.674
2020-09-20,10.674
2020-09-21,10.225
2020-09-22,10.207
2020-09-23,9.743
2020-09-24,9.945
2020-09-25,9.974
2020-09-26,9.974
2020-09-27,9.974
2020-09-28,9.977
2020-09-29,9.607
2020-09-30,9.888
2020-10-01,9.971
2020-10-02,10.168
2020-10-03,10.168
2020-10-04,10.168
2020-10-05,10.652
2020-10-06,10.348
2020-10-07,10.945
2020-10-08,11.449
2020-10-09,11.473
2020-10-10,11.473
2020-10-11,11.473
2020-10-12,11.623
2020-10-13,11.64
2020-10-14,12.176
2020-10-15,12.483
2020-10-16,12.054
2020-10-17,12.054
2020-10-18,12.054
2020-10-19,11.132
2020-10-20,11.1
2020-10-21,10.036
2020-10-22,10.363
2020-10-23,10.568
2020-10-24,10.568
2020-10-25,10.568
2020-10-26,9.847
2020-10-27,9.845
2020-10-28,9.367
2020-10-29,9.946
2020-10-30,9.9
2020-10-31,9.9
2020-11-01,9.9
2020-11-02,10.955
2020-11-03,10.621
2020-11-04,11.009
2020-11-05,10.915
2020-11-06,10.578
2020-11-07,10.578
2020-11-08,10.578
2020-11-09,12.096
2020-11-10,12.876
2020-11-11,12.785
2020-11-12,12.427
2020-11-13,12.92
2020-11-14,12.92
2020-11-15,12.92
2020-11-16,13.914
2020-11-17,14.195
2020-11-18,14.496
2020-11-19,14.603
2020-11-20,14.67
2020-11-21,14.67
2020-11-22,14.67
2020-11-23,15.802
2020-11-24,16.431
2020-11-25,16.142
2020-11-26,16.142
2020-11-27,15.828
2020-11-28,15.828
2020-11-29,15.828
2020-11-30,14.637
2020-12-01,14.529
2020-12-02,14.788
2020-12-03,15.243
2020-12-04,16.379
2020-12-05,16.379
2020-12-06,16.379
2020-12-07,15.849
2020-12-08,15.798
2020-12-09,15.805
2020-12-10,16.286
2020-12-11,16.094
2020-12-12,16.094
2020-12-13,16.094
2020-12-14,15.47
2020-12-15,15.645
2020-12-16,15.47
2020-12-17,15.405
2020-12-18,14.203
2020-12-19,14.203
2020-12-20,14.203
2020-12-21,13.946
2020-12-22,13.527
2020-12-23,13.891
