,EFX US Equity
,BEST_PE_RATIO
2020-01-01,12.242
2020-01-02,12.44
2020-01-03,12.482
2020-01-04,12.482
2020-01-05,12.482
2020-01-06,12.535
2020-01-07,12.512
2020-01-08,12.78
2020-01-09,12.929
2020-01-10,14.105
2020-01-11,14.105
2020-01-12,14.105
2020-01-13,14.285
2020-01-14,14.15
2020-01-15,14.399
2020-01-16,14.519
2020-01-17,14.712
2020-01-18,14.712
2020-01-19,14.712
2020-01-20,14.712
2020-01-21,14.838
2020-01-22,14.877
2020-01-23,14.897
2020-01-24,14.806
2020-01-25,14.806
2020-01-26,14.806
2020-01-27,14.712
2020-01-28,14.868
2020-01-29,14.846
2020-01-30,14.683
2020-01-31,14.411
2020-02-01,14.411
2020-02-02,14.411
2020-02-03,14.639
2020-02-04,14.934
2020-02-05,14.987
2020-02-06,14.995
2020-02-07,14.96
2020-02-08,14.96
2020-02-09,14.96
2020-02-10,14.875
2020-02-11,14.739
2020-02-12,14.855
2020-02-13,15.599
2020-02-14,15.667
2020-02-15,15.667
2020-02-16,15.667
2020-02-17,15.667
2020-02-18,15.347
2020-02-19,14.143
2020-02-20,14.104
2020-02-21,13.938
2020-02-22,13.938
2020-02-23,13.938
2020-02-24,13.603
2020-02-25,13.296
2020-02-26,13.401
2020-02-27,12.676
2020-02-28,12.41
2020-02-29,12.41
2020-03-01,12.41
2020-03-02,13.181
2020-03-03,13.25
2020-03-04,14.266
2020-03-05,13.862
2020-03-06,13.505
2020-03-07,13.505
2020-03-08,13.505
2020-03-09,12.411
2020-03-10,13.39
2020-03-11,12.743
2020-03-12,11.866
2020-03-13,12.325
2020-03-14,12.325
2020-03-15,12.325
2020-03-16,11.293
2020-03-17,11.738
2020-03-18,10.871
2020-03-19,10.109
2020-03-20,9.254
2020-03-21,9.254
2020-03-22,9.254
2020-03-23,9.164
2020-03-24,9.956
2020-03-25,10.136
2020-03-26,10.656
2020-03-27,10.472
2020-03-28,10.472
2020-03-29,10.472
2020-03-30,10.695
2020-03-31,10.463
2020-04-01,9.939
2020-04-02,9.575
2020-04-03,9.339
2020-04-04,9.339
2020-04-05,9.339
2020-04-06,9.973
2020-04-07,10.182
2020-04-08,10.746
2020-04-09,10.881
2020-04-10,10.881
2020-04-11,10.881
2020-04-12,10.881
2020-04-13,10.636
2020-04-14,11.369
2020-04-15,10.884
2020-04-16,10.686
2020-04-17,11.209
2020-04-18,11.209
2020-04-19,11.209
2020-04-20,11.02
2020-04-21,11.391
2020-04-22,11.605
2020-04-23,12.708
2020-04-24,12.718
2020-04-25,12.718
2020-04-26,12.718
2020-04-27,13.363
2020-04-28,13.614
2020-04-29,13.887
2020-04-30,13.442
2020-05-01,13.344
2020-05-02,13.344
2020-05-03,13.344
2020-05-04,13.714
2020-05-05,14.189
2020-05-06,14.154
2020-05-07,14.352
2020-05-08,14.456
2020-05-09,14.456
2020-05-10,14.456
2020-05-11,14.278
2020-05-12,14.078
2020-05-13,13.829
2020-05-14,14.036
2020-05-15,13.976
2020-05-16,13.976
2020-05-17,13.976
2020-05-18,14.138
2020-05-19,14.149
2020-05-20,14.468
2020-05-21,14.234
2020-05-22,14.266
2020-05-23,14.266
2020-05-24,14.266
2020-05-25,14.266
2020-05-26,14.675
2020-05-27,14.641
