,REGN US Equity
,BEST_PE_RATIO
2020-01-01,14.32
2020-01-02,13.863
2020-01-03,13.707
2020-01-04,13.707
2020-01-05,13.707
2020-01-06,13.803
2020-01-07,13.855
2020-01-08,14.199
2020-01-09,14.238
2020-01-10,14.162
2020-01-11,14.162
2020-01-12,14.162
2020-01-13,14.07
2020-01-14,14.393
2020-01-15,14.509
2020-01-16,14.316
2020-01-17,14.33
2020-01-18,14.33
2020-01-19,14.33
2020-01-20,14.33
2020-01-21,13.505
2020-01-22,13.335
2020-01-23,13.241
2020-01-24,12.005
2020-01-25,12.005
2020-01-26,12.005
2020-01-27,11.801
2020-01-28,11.963
2020-01-29,11.504
2020-01-30,11.482
2020-01-31,11.577
2020-02-01,11.577
2020-02-02,11.577
2020-02-03,11.686
2020-02-04,12.196
2020-02-05,12.749
2020-02-06,12.644
2020-02-07,12.386
2020-02-08,12.386
2020-02-09,12.386
2020-02-10,12.443
2020-02-11,12.782
2020-02-12,13.09
2020-02-13,12.849
2020-02-14,12.873
2020-02-15,12.873
2020-02-16,12.873
2020-02-17,12.873
2020-02-18,12.811
2020-02-19,12.913
2020-02-20,12.859
2020-02-21,12.988
2020-02-22,12.988
2020-02-23,12.988
2020-02-24,13.705
2020-02-25,13.889
2020-02-26,14.052
2020-02-27,13.245
2020-02-28,13.643
2020-02-29,13.643
2020-03-01,13.643
2020-03-02,14.262
2020-03-03,13.601
2020-03-04,14.542
2020-03-05,14.386
2020-03-06,14.57
2020-03-07,14.57
2020-03-08,14.57
2020-03-09,13.981
2020-03-10,13.998
2020-03-11,13.654
2020-03-12,12.69
2020-03-13,13.679
2020-03-14,13.679
2020-03-15,13.679
2020-03-16,12.952
2020-03-17,14.447
2020-03-18,14.25
2020-03-19,14.392
2020-03-20,12.882
2020-03-21,12.882
2020-03-22,12.882
2020-03-23,13.347
2020-03-24,13.169
2020-03-25,12.59
2020-03-26,13.25
2020-03-27,13.169
2020-03-28,13.169
2020-03-29,13.169
2020-03-30,13.428
2020-03-31,13.862
2020-04-01,14.099
2020-04-02,14.159
2020-04-03,14.004
2020-04-04,14.004
2020-04-05,14.004
2020-04-06,14.242
2020-04-07,14.164
2020-04-08,14.47
2020-04-09,14.488
2020-04-10,14.488
2020-04-11,14.488
2020-04-12,14.488
2020-04-13,14.602
2020-04-14,14.823
2020-04-15,14.452
2020-04-16,14.753
2020-04-17,15.121
2020-04-18,15.121
2020-04-19,15.121
2020-04-20,15.224
2020-04-21,15.128
2020-04-22,15.326
2020-04-23,15.549
2020-04-24,15.568
2020-04-25,15.568
2020-04-26,15.568
2020-04-27,14.623
2020-04-28,14.118
2020-04-29,13.785
2020-04-30,14.045
2020-05-01,13.996
2020-05-02,13.996
2020-05-03,13.996
2020-05-04,14.43
2020-05-05,15.534
2020-05-06,14.92
2020-05-07,15.091
2020-05-08,15.187
2020-05-09,15.187
2020-05-10,15.187
2020-05-11,15.476
2020-05-12,15.029
2020-05-13,15.557
2020-05-14,15.388
2020-05-15,15.546
2020-05-16,15.546
2020-05-17,15.546
2020-05-18,15.103
2020-05-19,15.031
2020-05-20,15.551
2020-05-21,15.122
2020-05-22,15.363
2020-05-23,15.363
2020-05-24,15.363
2020-05-25,15.363
2020-05-26,14.602
2020-05-27,14.57
2020-05-28,15.486
2020-05-29,16.413
2020-05-30,16.413
2020-05-31,16.413
2020-06-01,15.928
2020-06-02,15.982
2020-06-03,15.635
2020-06-04,15.487
2020-06-05,15.447
2020-06-06,15.447
2020-06-07,15.447
2020-06-08,15.629
2020-06-09,15.747
2020-06-10,15.695
2020-06-11,15.446
2020-06-12,15.245
2020-06-13,15.245
2020-06-14,15.245
2020-06-15,14.969
2020-06-16,14.924
2020-06-17,15.181
2020-06-18,15.036
2020-06-19,16.209
2020-06-20,16.209
2020-06-21,16.209
2020-06-22,15.82
2020-06-23,15.827
2020-06-24,15.23
2020-06-25,15.606
2020-06-26,15.389
2020-06-27,15.389
2020-06-28,15.389
2020-06-29,15.377
2020-06-30,15.984
2020-07-01,15.613
2020-07-02,15.953
2020-07-03,15.953
2020-07-04,15.953
2020-07-05,15.953
2020-07-06,16.076
2020-07-07,16.344
2020-07-08,16.203
2020-07-09,16.211
2020-07-10,15.712
2020-07-11,15.712
2020-07-12,15.712
2020-07-13,15.339
2020-07-14,16.021
2020-07-15,15.809
2020-07-16,15.796
2020-07-17,16.069
2020-07-18,16.069
2020-07-19,16.069
2020-07-20,16.555
2020-07-21,16.022
2020-07-22,15.989
2020-07-23,15.808
2020-07-24,15.272
2020-07-25,15.272
2020-07-26,15.272
2020-07-27,15.985
2020-07-28,15.825
2020-07-29,15.854
2020-07-30,15.837
2020-07-31,15.852
2020-08-01,15.852
2020-08-02,15.852
2020-08-03,16.18
2020-08-04,16.262
2020-08-05,15.424
2020-08-06,15.197
2020-08-07,15.432
2020-08-08,15.432
2020-08-09,15.432
2020-08-10,15.069
2020-08-11,14.735
2020-08-12,15.067
2020-08-13,15.031
2020-08-14,15.073
2020-08-15,15.073
2020-08-16,15.073
2020-08-17,15.273
2020-08-18,15.221
2020-08-19,15.492
2020-08-20,15.179
2020-08-21,14.899
2020-08-22,14.899
2020-08-23,14.899
2020-08-24,14.639
2020-08-25,15.027
2020-08-26,15.064
2020-08-27,15.137
2020-08-28,14.84
2020-08-29,14.84
2020-08-30,14.84
2020-08-31,15.267
2020-09-01,14.596
2020-09-02,15.026
2020-09-03,14.22
2020-09-04,14.292
2020-09-05,14.292
2020-09-06,14.292
2020-09-07,14.292
2020-09-08,13.838
2020-09-09,14.066
2020-09-10,13.547
2020-09-11,13.416
2020-09-12,13.416
2020-09-13,13.416
2020-09-14,13.894
2020-09-15,14.281
2020-09-16,14.016
2020-09-17,13.914
2020-09-18,13.674
2020-09-19,13.674
2020-09-20,13.674
2020-09-21,13.685
2020-09-22,14.075
2020-09-23,13.919
2020-09-24,13.729
2020-09-25,14.137
2020-09-26,14.137
2020-09-27,14.137
2020-09-28,14.129
2020-09-29,14.171
2020-09-30,13.724
2020-10-01,13.934
2020-10-02,13.852
2020-10-03,13.852
2020-10-04,13.852
2020-10-05,14.921
2020-10-06,14.292
2020-10-07,14.539
2020-10-08,14.463
2020-10-09,14.516
2020-10-10,14.516
2020-10-11,14.516
2020-10-12,14.504
2020-10-13,14.655
2020-10-14,14.445
2020-10-15,14.013
2020-10-16,14.362
2020-10-17,14.362
2020-10-18,14.362
2020-10-19,14.063
2020-10-20,13.907
2020-10-21,13.797
2020-10-22,13.877
2020-10-23,13.976
2020-10-24,13.976
2020-10-25,13.976
2020-10-26,14.119
2020-10-27,14.041
2020-10-28,13.668
2020-10-29,13.397
2020-10-30,13.353
2020-10-31,13.353
2020-11-01,13.353
2020-11-02,13.477
2020-11-03,13.688
2020-11-04,14.424
2020-11-05,14.336
2020-11-06,13.964
2020-11-07,13.964
2020-11-08,13.964
2020-11-09,13.711
2020-11-10,13.563
2020-11-11,13.77
2020-11-12,13.504
2020-11-13,13.738
2020-11-14,13.738
2020-11-15,13.738
2020-11-16,13.565
2020-11-17,13.052
2020-11-18,12.589
2020-11-19,12.484
2020-11-20,12.582
2020-11-21,12.582
2020-11-22,12.582
2020-11-23,12.508
2020-11-24,12.125
2020-11-25,12.178
2020-11-26,12.178
2020-11-27,12.315
2020-11-28,12.315
2020-11-29,12.315
2020-11-30,12.376
2020-12-01,12.329
2020-12-02,12.114
2020-12-03,11.963
2020-12-04,11.81
2020-12-05,11.81
2020-12-06,11.81
2020-12-07,11.881
2020-12-08,11.923
2020-12-09,11.719
2020-12-10,11.487
2020-12-11,11.506
2020-12-12,11.506
2020-12-13,11.506
2020-12-14,12.0
2020-12-15,11.794
2020-12-16,11.678
2020-12-17,11.91
2020-12-18,11.974
2020-12-19,11.974
2020-12-20,11.974
2020-12-21,11.923
2020-12-22,11.762
2020-12-23,11.813
2020-12-24,11.735
2020-12-25,11.735
2020-12-26,11.735
2020-12-27,11.735
2020-12-28,11.592
2020-12-29,11.622
2020-12-30,11.48
2020-12-31,11.595
2021-01-01,11.595
2021-01-02,11.595
2021-01-03,11.595
2021-01-04,11.613
2021-01-05,11.627
2021-01-06,11.306
2021-01-07,11.573
2021-01-08,11.996
2021-01-09,11.996
2021-01-10,11.996
2021-01-11,12.097
2021-01-12,12.268
2021-01-13,12.313
2021-01-14,12.458
2021-01-15,12.458
2021-01-16,12.458
2021-01-17,12.458
2021-01-18,12.458
2021-01-19,12.847
2021-01-20,13.049
2021-01-21,12.885
2021-01-22,12.948
2021-01-23,12.948
2021-01-24,12.948
2021-01-25,13.253
2021-01-26,13.154
2021-01-27,12.413
2021-01-28,12.19
2021-01-29,12.131
2021-01-30,12.131
2021-01-31,12.131
2021-02-01,12.037
2021-02-02,11.845
2021-02-03,11.637
2021-02-04,11.818
2021-02-05,12.1
2021-02-06,12.1
2021-02-07,12.1
2021-02-08,12.141
2021-02-09,12.037
2021-02-10,12.05
2021-02-11,12.142
2021-02-12,12.02
2021-02-13,12.02
2021-02-14,12.02
2021-02-15,12.02
2021-02-16,11.898
2021-02-17,11.922
2021-02-18,11.807
2021-02-19,11.656
2021-02-20,11.656
2021-02-21,11.656
2021-02-22,11.376
2021-02-23,11.56
2021-02-24,11.327
2021-02-25,11.193
2021-02-26,11.128
2021-02-27,11.128
2021-02-28,11.128
2021-03-01,11.437
2021-03-02,11.234
2021-03-03,11.034
2021-03-04,11.099
2021-03-05,11.4
2021-03-06,11.4
2021-03-07,11.4
2021-03-08,11.44
2021-03-09,11.624
2021-03-10,11.558
2021-03-11,11.607
2021-03-12,11.644
2021-03-13,11.644
2021-03-14,11.644
2021-03-15,11.939
2021-03-16,11.895
2021-03-17,12.237
2021-03-18,11.71
2021-03-19,11.686
2021-03-20,11.686
2021-03-21,11.686
2021-03-22,11.921
2021-03-23,11.589
2021-03-24,11.356
2021-03-25,11.434
2021-03-26,11.771
2021-03-27,11.771
2021-03-28,11.771
2021-03-29,11.885
2021-03-30,11.617
2021-03-31,11.678
2021-04-01,11.722
2021-04-02,11.722
2021-04-03,11.722
2021-04-04,11.722
2021-04-05,11.96
2021-04-06,11.815
2021-04-07,11.891
2021-04-08,11.626
2021-04-09,11.473
2021-04-10,11.473
2021-04-11,11.473
2021-04-12,11.415
2021-04-13,11.518
2021-04-14,11.617
2021-04-15,11.943
2021-04-16,12.147
2021-04-17,12.147
2021-04-18,12.147
2021-04-19,12.11
2021-04-20,12.271
2021-04-21,12.321
2021-04-22,11.93
2021-04-23,11.884
2021-04-24,11.884
2021-04-25,11.884
2021-04-26,12.189
2021-04-27,11.961
2021-04-28,11.863
2021-04-29,11.796
2021-04-30,11.706
2021-05-01,11.706
2021-05-02,11.706
2021-05-03,11.884
2021-05-04,11.811
2021-05-05,11.743
2021-05-06,12.355
2021-05-07,12.24
2021-05-08,12.24
2021-05-09,12.24
2021-05-10,12.319
2021-05-11,12.291
2021-05-12,12.437
2021-05-13,12.683
2021-05-14,12.669
2021-05-15,12.669
2021-05-16,12.669
2021-05-17,12.844
2021-05-18,12.66
2021-05-19,12.514
2021-05-20,12.586
2021-05-21,12.427
2021-05-22,12.427
2021-05-23,12.427
2021-05-24,12.273
2021-05-25,12.214
2021-05-26,12.192
2021-05-27,12.148
2021-05-28,12.321
2021-05-29,12.321
2021-05-30,12.321
2021-05-31,12.321
2021-06-01,12.341
2021-06-02,12.393
2021-06-03,12.401
2021-06-04,12.553
2021-06-05,12.553
2021-06-06,12.553
2021-06-07,12.615
2021-06-08,12.405
2021-06-09,12.783
2021-06-10,13.033
2021-06-11,12.874
2021-06-12,12.874
2021-06-13,12.874
2021-06-14,12.952
2021-06-15,12.921
2021-06-16,12.826
2021-06-17,13.13
2021-06-18,13.177
2021-06-19,13.177
2021-06-20,13.177
2021-06-21,12.963
2021-06-22,12.957
2021-06-23,12.855
2021-06-24,13.21
