,ROP US Equity
,BEST_PE_RATIO
2020-01-01,19.622
2020-01-02,20.228
2020-01-03,20.11
2020-01-04,20.11
2020-01-05,20.11
2020-01-06,19.92
2020-01-07,20.021
2020-01-08,20.24
2020-01-09,20.531
2020-01-10,20.544
2020-01-11,20.544
2020-01-12,20.544
2020-01-13,20.752
2020-01-14,20.669
2020-01-15,20.721
2020-01-16,20.841
2020-01-17,21.065
2020-01-18,21.065
2020-01-19,21.065
2020-01-20,21.065
2020-01-21,20.983
2020-01-22,20.839
2020-01-23,20.994
2020-01-24,20.904
2020-01-25,20.904
2020-01-26,20.904
2020-01-27,20.662
2020-01-28,20.963
2020-01-29,20.994
2020-01-30,21.6
2020-01-31,21.172
2020-02-01,21.172
2020-02-02,21.172
2020-02-03,21.063
2020-02-04,21.423
2020-02-05,21.398
2020-02-06,21.359
2020-02-07,21.381
2020-02-08,21.381
2020-02-09,21.381
2020-02-10,21.733
2020-02-11,21.621
2020-02-12,21.693
2020-02-13,21.545
2020-02-14,21.786
2020-02-15,21.786
2020-02-16,21.786
2020-02-17,21.786
2020-02-18,21.597
2020-02-19,21.522
2020-02-20,21.302
2020-02-21,21.482
2020-02-22,21.482
2020-02-23,21.482
2020-02-24,20.803
2020-02-25,20.298
2020-02-26,20.247
2020-02-27,19.693
2020-02-28,19.51
2020-02-29,19.51
2020-03-01,19.51
2020-03-02,20.027
2020-03-03,19.557
2020-03-04,20.356
2020-03-05,19.501
2020-03-06,19.434
2020-03-07,19.434
2020-03-08,19.434
2020-03-09,17.492
2020-03-10,18.947
2020-03-11,17.923
2020-03-12,16.139
2020-03-13,17.392
2020-03-14,17.392
2020-03-15,17.392
2020-03-16,15.713
2020-03-17,17.163
2020-03-18,15.936
2020-03-19,16.642
2020-03-20,15.707
2020-03-21,15.707
2020-03-22,15.707
2020-03-23,14.107
2020-03-24,15.692
2020-03-25,15.82
2020-03-26,16.992
2020-03-27,16.963
2020-03-28,16.963
2020-03-29,16.963
2020-03-30,17.61
2020-03-31,17.297
2020-04-01,16.29
2020-04-02,16.923
2020-04-03,16.624
2020-04-04,16.624
2020-04-05,16.624
2020-04-06,17.342
2020-04-07,17.12
2020-04-08,17.674
2020-04-09,17.527
2020-04-10,17.527
2020-04-11,17.527
2020-04-12,17.527
2020-04-13,17.487
2020-04-14,17.761
2020-04-15,17.452
2020-04-16,17.23
2020-04-17,17.89
2020-04-18,17.89
2020-04-19,17.89
2020-04-20,17.798
2020-04-21,17.257
2020-04-22,17.427
2020-04-23,17.447
2020-04-24,17.025
2020-04-25,17.025
2020-04-26,17.025
2020-04-27,17.477
2020-04-28,18.713
2020-04-29,18.932
2020-04-30,18.949
2020-05-01,18.857
2020-05-02,18.857
2020-05-03,18.857
2020-05-04,18.952
2020-05-05,19.218
2020-05-06,19.512
2020-05-07,15.164
2020-05-08,15.257
2020-05-09,15.257
2020-05-10,15.257
2020-05-11,15.502
2020-05-12,15.199
2020-05-13,15.011
2020-05-14,15.22
2020-05-15,15.39
2020-05-16,15.39
2020-05-17,15.39
2020-05-18,16.911
2020-05-19,16.514
2020-05-20,16.982
2020-05-21,16.851
2020-05-22,16.944
2020-05-23,16.944
2020-05-24,16.944
2020-05-25,16.944
2020-05-26,17.093
2020-05-27,17.504
2020-05-28,17.621
2020-05-29,18.178
2020-05-30,18.178
2020-05-31,18.178
2020-06-01,17.9
2020-06-02,18.262
2020-06-03,18.532
2020-06-04,18.568
2020-06-05,18.733
2020-06-06,18.733
2020-06-07,18.733
2020-06-08,18.552
2020-06-09,18.563
2020-06-10,18.521
2020-06-11,18.109
2020-06-12,17.994
2020-06-13,17.994
2020-06-14,17.994
2020-06-15,18.189
2020-06-16,18.402
2020-06-17,18.567
2020-06-18,18.563
2020-06-19,18.029
2020-06-20,18.029
2020-06-21,18.029
2020-06-22,18.466
2020-06-23,18.346
2020-06-24,17.861
2020-06-25,18.157
2020-06-26,17.874
2020-06-27,17.874
2020-06-28,17.874
2020-06-29,17.801
2020-06-30,17.922
2020-07-01,17.988
2020-07-02,18.057
2020-07-03,18.057
2020-07-04,18.057
2020-07-05,18.057
2020-07-06,18.15
2020-07-07,20.106
2020-07-08,20.463
2020-07-09,20.335
2020-07-10,20.181
2020-07-11,20.181
2020-07-12,20.181
2020-07-13,19.888
2020-07-14,20.425
2020-07-15,20.58
2020-07-16,20.876
2020-07-17,21.063
2020-07-18,21.063
2020-07-19,21.063
2020-07-20,21.38
2020-07-21,21.4
2020-07-22,21.535
2020-07-23,21.64
2020-07-24,21.382
2020-07-25,21.382
2020-07-26,21.382
2020-07-27,21.662
2020-07-28,21.785
2020-07-29,22.613
2020-07-30,22.387
2020-07-31,22.369
2020-08-01,22.369
2020-08-02,22.369
2020-08-03,22.508
2020-08-04,22.415
2020-08-05,22.509
2020-08-06,22.6
2020-08-07,22.803
2020-08-08,22.803
2020-08-09,22.803
2020-08-10,22.825
2020-08-11,22.483
2020-08-12,23.103
2020-08-13,23.438
2020-08-14,22.18
2020-08-15,22.18
2020-08-16,22.18
2020-08-17,21.982
2020-08-18,21.884
2020-08-19,21.656
2020-08-20,21.674
2020-08-21,21.31
2020-08-22,21.31
2020-08-23,21.31
2020-08-24,21.319
2020-08-25,21.274
2020-08-26,21.332
2020-08-27,21.116
2020-08-28,21.221
2020-08-29,21.221
2020-08-30,21.221
2020-08-31,21.073
2020-09-01,21.528
2020-09-02,21.896
2020-09-03,21.21
2020-09-04,20.843
2020-09-05,20.843
2020-09-06,20.843
2020-09-07,20.843
2020-09-08,19.433
2020-09-09,19.727
2020-09-10,19.525
2020-09-11,19.712
2020-09-12,19.712
2020-09-13,19.712
2020-09-14,19.547
2020-09-15,19.924
2020-09-16,19.753
2020-09-17,19.673
2020-09-18,19.306
2020-09-19,19.306
2020-09-20,19.306
2020-09-21,19.349
2020-09-22,19.373
2020-09-23,19.063
2020-09-24,19.298
2020-09-25,19.639
2020-09-26,19.639
2020-09-27,19.639
2020-09-28,19.761
2020-09-29,19.799
2020-09-30,19.491
2020-10-01,19.41
