,SIVBQ US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,9.537
2020-01-28,9.846
2020-01-29,9.64
2020-01-30,9.723
2020-01-31,9.417
2020-02-01,9.417
2020-02-02,9.417
2020-02-03,9.588
2020-02-04,9.982
2020-02-05,10.294
2020-02-06,10.27
2020-02-07,10.076
2020-02-08,10.076
2020-02-09,10.076
2020-02-10,10.043
2020-02-11,10.331
2020-02-12,10.388
2020-02-13,10.421
2020-02-14,10.4
2020-02-15,10.4
2020-02-16,10.4
2020-02-17,10.4
2020-02-18,10.232
2020-02-19,10.462
2020-02-20,10.611
2020-02-21,10.244
2020-02-22,10.244
2020-02-23,10.244
2020-02-24,9.533
2020-02-25,9.097
2020-02-26,8.789
2020-02-27,8.283
2020-02-28,8.157
2020-02-29,8.157
2020-03-01,8.157
2020-03-02,8.493
2020-03-03,7.783
2020-03-04,7.93
2020-03-05,7.252
2020-03-06,6.835
2020-03-07,6.835
2020-03-08,6.835
2020-03-09,5.805
2020-03-10,6.347
2020-03-11,5.829
2020-03-12,5.367
2020-03-13,6.139
2020-03-14,6.139
2020-03-15,6.139
2020-03-16,5.132
2020-03-17,5.853
2020-03-18,5.898
2020-03-19,6.59
2020-03-20,5.903
2020-03-21,5.903
2020-03-22,5.903
2020-03-23,5.612
2020-03-24,6.206
2020-03-25,6.466
2020-03-26,6.721
2020-03-27,6.244
2020-03-28,6.244
2020-03-29,6.244
2020-03-30,6.104
2020-03-31,5.92
2020-04-01,5.486
2020-04-02,5.601
2020-04-03,5.46
2020-04-04,5.46
2020-04-05,5.46
2020-04-06,6.243
2020-04-07,6.274
2020-04-08,7.251
2020-04-09,7.987
2020-04-10,7.987
2020-04-11,7.987
2020-04-12,7.987
2020-04-13,7.329
2020-04-14,7.4
2020-04-15,6.963
2020-04-16,6.94
2020-04-17,7.471
2020-04-18,7.471
2020-04-19,7.471
2020-04-20,7.513
2020-04-21,7.118
2020-04-22,7.204
2020-04-23,7.355
2020-04-24,7.625
2020-04-25,7.625
2020-04-26,7.625
2020-04-27,7.983
2020-04-28,8.009
2020-04-29,8.348
2020-04-30,8.005
2020-05-01,7.661
2020-05-02,7.661
2020-05-03,7.661
2020-05-04,7.557
2020-05-05,7.494
2020-05-06,7.46
2020-05-07,7.61
2020-05-08,7.702
2020-05-09,7.702
2020-05-10,7.702
2020-05-11,7.428
2020-05-12,7.039
2020-05-13,6.626
2020-05-14,7.181
2020-05-15,7.161
2020-05-16,7.161
2020-05-17,7.161
2020-05-18,7.769
2020-05-19,7.589
2020-05-20,8.078
2020-05-21,7.909
2020-05-22,7.853
2020-05-23,7.853
2020-05-24,7.853
2020-05-25,7.853
2020-05-26,8.647
2020-05-27,9.174
2020-05-28,8.935
2020-05-29,8.9
2020-05-30,8.9
2020-05-31,8.9
2020-06-01,8.819
2020-06-02,8.699
2020-06-03,9.117
2020-06-04,9.249
2020-06-05,9.747
2020-06-06,9.747
2020-06-07,9.747
2020-06-08,9.782
2020-06-09,9.71
2020-06-10,9.192
2020-06-11,8.452
2020-06-12,8.642
2020-06-13,8.642
2020-06-14,8.642
2020-06-15,8.978
2020-06-16,9.192
2020-06-17,9.082
2020-06-18,9.141
2020-06-19,9.194
2020-06-20,9.194
2020-06-21,9.194
2020-06-22,9.113
2020-06-23,9.137
2020-06-24,8.619
2020-06-25,8.91
2020-06-26,8.448
2020-06-27,8.448
2020-06-28,8.448
2020-06-29,8.574
2020-06-30,8.932
2020-07-01,8.549
2020-07-02,8.634
2020-07-03,8.634
2020-07-04,8.634
2020-07-05,8.634
2020-07-06,8.844
2020-07-07,7.724
2020-07-08,7.804
2020-07-09,7.496
2020-07-10,7.881
2020-07-11,7.881
2020-07-12,7.881
2020-07-13,7.971
2020-07-14,7.736
2020-07-15,8.207
2020-07-16,8.185
2020-07-17,8.088
2020-07-18,8.088
2020-07-19,8.088
2020-07-20,8.062
2020-07-21,8.354
2020-07-22,8.253
2020-07-23,8.36
2020-07-24,9.026
2020-07-25,9.026
2020-07-26,9.026
2020-07-27,8.84
2020-07-28,8.675
2020-07-29,8.961
2020-07-30,8.827
2020-07-31,8.785
2020-08-01,8.785
2020-08-02,8.785
2020-08-03,8.914
2020-08-04,8.88
2020-08-05,9.078
2020-08-06,8.985
2020-08-07,9.297
2020-08-08,9.297
2020-08-09,9.297
2020-08-10,9.405
2020-08-11,9.904
2020-08-12,9.909
2020-08-13,9.777
2020-08-14,9.807
2020-08-15,9.807
2020-08-16,9.807
2020-08-17,9.624
2020-08-18,9.46
2020-08-19,9.52
2020-08-20,9.429
2020-08-21,9.378
2020-08-22,9.378
2020-08-23,9.378
2020-08-24,9.767
2020-08-25,9.969
2020-08-26,9.767
2020-08-27,9.872
2020-08-28,9.989
2020-08-29,9.989
2020-08-30,9.989
2020-08-31,10.003
2020-09-01,10.034
2020-09-02,10.153
2020-09-03,10.145
2020-09-04,10.174
2020-09-05,10.174
2020-09-06,10.174
2020-09-07,10.174
2020-09-08,9.925
