,AMAT US Equity
,BEST_PE_RATIO
2020-01-01,6.714
2020-01-02,6.841
2020-01-03,6.732
2020-01-04,6.732
2020-01-05,6.732
2020-01-06,6.587
2020-01-07,6.777
2020-01-08,6.773
2020-01-09,6.816
2020-01-10,6.761
2020-01-11,6.761
2020-01-12,6.761
2020-01-13,6.798
2020-01-14,6.858
2020-01-15,6.811
2020-01-16,6.952
2020-01-17,6.913
2020-01-18,6.913
2020-01-19,6.913
2020-01-20,6.913
2020-01-21,6.951
2020-01-22,7.027
2020-01-23,7.027
2020-01-24,6.819
2020-01-25,6.819
2020-01-26,6.819
2020-01-27,6.495
2020-01-28,6.62
2020-01-29,6.579
2020-01-30,6.627
2020-01-31,6.378
2020-02-01,6.378
2020-02-02,6.378
2020-02-03,6.568
2020-02-04,6.93
2020-02-05,7.017
2020-02-06,6.95
2020-02-07,6.787
2020-02-08,6.787
2020-02-09,6.787
2020-02-10,6.92
2020-02-11,7.089
2020-02-12,7.19
2020-02-13,7.41
2020-02-14,7.353
2020-02-15,7.353
2020-02-16,7.353
2020-02-17,7.353
2020-02-18,7.189
2020-02-19,7.438
2020-02-20,7.326
2020-02-21,7.091
2020-02-22,7.091
2020-02-23,7.091
2020-02-24,6.739
2020-02-25,6.494
2020-02-26,6.599
2020-02-27,6.289
2020-02-28,6.413
2020-02-29,6.413
2020-03-01,6.413
2020-03-02,6.638
2020-03-03,6.404
2020-03-04,6.677
2020-03-05,6.524
2020-03-06,6.376
2020-03-07,6.376
2020-03-08,6.376
2020-03-09,5.745
2020-03-10,6.197
2020-03-11,5.791
2020-03-12,4.977
2020-03-13,5.615
2020-03-14,5.615
2020-03-15,5.615
2020-03-16,4.472
2020-03-17,4.95
2020-03-18,4.323
2020-03-19,4.434
2020-03-20,4.192
2020-03-21,4.192
2020-03-22,4.192
2020-03-23,4.432
2020-03-24,4.98
2020-03-25,4.935
2020-03-26,5.428
2020-03-27,4.971
2020-03-28,4.971
2020-03-29,4.971
2020-03-30,5.219
2020-03-31,5.055
2020-04-01,4.777
2020-04-02,4.771
2020-04-03,4.665
2020-04-04,4.665
2020-04-05,4.665
2020-04-06,5.092
2020-04-07,5.247
2020-04-08,5.678
2020-04-09,5.471
2020-04-10,5.471
2020-04-11,5.471
2020-04-12,5.471
2020-04-13,5.503
2020-04-14,5.789
2020-04-15,5.557
2020-04-16,5.763
2020-04-17,5.87
2020-04-18,5.87
2020-04-19,5.87
2020-04-20,5.586
2020-04-21,5.332
2020-04-22,5.749
2020-04-23,5.616
2020-04-24,5.709
2020-04-25,5.709
2020-04-26,5.709
2020-04-27,5.63
2020-04-28,5.563
2020-04-29,5.996
2020-04-30,5.481
2020-05-01,5.174
2020-05-02,5.174
2020-05-03,5.174
2020-05-04,5.25
2020-05-05,5.39
2020-05-06,5.572
2020-05-07,5.655
2020-05-08,5.937
2020-05-09,5.937
2020-05-10,5.937
2020-05-11,5.959
2020-05-12,5.774
2020-05-13,5.681
2020-05-14,6.005
2020-05-15,6.881
2020-05-16,6.881
2020-05-17,6.881
2020-05-18,7.187
2020-05-19,7.334
2020-05-20,7.551
2020-05-21,7.304
2020-05-22,7.22
2020-05-23,7.22
2020-05-24,7.22
2020-05-25,7.22
2020-05-26,7.32
2020-05-27,7.487
2020-05-28,7.257
2020-05-29,7.458
2020-05-30,7.458
2020-05-31,7.458
2020-06-01,7.392
2020-06-02,7.406
2020-06-03,7.674
2020-06-04,7.716
2020-06-05,7.99
2020-06-06,7.99
2020-06-07,7.99
2020-06-08,7.951
2020-06-09,7.937
2020-06-10,7.946
2020-06-11,7.355
2020-06-12,7.507
2020-06-13,7.507
2020-06-14,7.507
2020-06-15,7.573
2020-06-16,7.771
2020-06-17,7.965
2020-06-18,8.015
2020-06-19,8.091
2020-06-20,8.091
2020-06-21,8.091
2020-06-22,8.133
2020-06-23,8.076
2020-06-24,7.961
2020-06-25,7.962
2020-06-26,7.75
2020-06-27,7.75
2020-06-28,7.75
2020-06-29,7.84
2020-06-30,8.024
2020-07-01,7.922
2020-07-02,8.097
2020-07-03,8.097
2020-07-04,8.097
2020-07-05,8.097
2020-07-06,8.424
2020-07-07,8.254
2020-07-08,8.332
2020-07-09,8.428
2020-07-10,8.308
2020-07-11,8.308
2020-07-12,8.308
2020-07-13,8.165
2020-07-14,8.302
2020-07-15,8.243
2020-07-16,8.275
2020-07-17,8.27
2020-07-18,8.27
2020-07-19,8.27
2020-07-20,8.46
2020-07-21,8.47
2020-07-22,8.525
2020-07-23,8.447
2020-07-24,8.047
2020-07-25,8.047
2020-07-26,8.047
2020-07-27,8.364
2020-07-28,8.27
2020-07-29,8.396
2020-07-30,8.551
2020-07-31,8.539
2020-08-01,8.539
2020-08-02,8.539
2020-08-03,8.63
2020-08-04,8.608
2020-08-05,8.611
2020-08-06,8.444
2020-08-07,8.439
2020-08-08,8.439
2020-08-09,8.439
2020-08-10,8.66
2020-08-11,8.557
2020-08-12,8.828
2020-08-13,8.638
2020-08-14,9.101
2020-08-15,9.101
2020-08-16,9.101
2020-08-17,9.01
2020-08-18,8.941
2020-08-19,8.895
2020-08-20,8.614
2020-08-21,8.409
2020-08-22,8.409
2020-08-23,8.409
2020-08-24,8.607
2020-08-25,8.649
2020-08-26,8.61
2020-08-27,8.376
2020-08-28,8.517
2020-08-29,8.517
2020-08-30,8.517
2020-08-31,8.318
2020-09-01,8.358
2020-09-02,8.788
2020-09-03,8.3
2020-09-04,8.232
2020-09-05,8.232
2020-09-06,8.232
2020-09-07,8.232
2020-09-08,7.512
2020-09-09,7.454
2020-09-10,7.443
2020-09-11,7.427
2020-09-12,7.427
2020-09-13,7.427
2020-09-14,7.624
2020-09-15,7.724
2020-09-16,7.626
2020-09-17,7.608
2020-09-18,7.582
2020-09-19,7.582
2020-09-20,7.582
2020-09-21,7.74
2020-09-22,7.817
2020-09-23,7.731
2020-09-24,7.804
2020-09-25,7.863
2020-09-26,7.863
2020-09-27,7.863
2020-09-28,8.016
2020-09-29,8.055
2020-09-30,8.028
2020-10-01,8.19
2020-10-02,7.861
2020-10-03,7.861
2020-10-04,7.861
2020-10-05,8.183
2020-10-06,8.156
2020-10-07,8.254
2020-10-08,8.453
2020-10-09,8.547
2020-10-10,8.547
2020-10-11,8.547
2020-10-12,8.734
2020-10-13,8.736
2020-10-14,8.64
2020-10-15,8.576
2020-10-16,8.507
2020-10-17,8.507
2020-10-18,8.507
2020-10-19,8.379
2020-10-20,8.408
2020-10-21,8.387
2020-10-22,8.332
2020-10-23,8.231
2020-10-24,8.231
2020-10-25,8.231
2020-10-26,8.036
2020-10-27,7.944
2020-10-28,7.74
2020-10-29,8.035
2020-10-30,7.998
2020-10-31,7.998
2020-11-01,7.998
2020-11-02,8.147
2020-11-03,8.349
2020-11-04,8.759
2020-11-05,9.446
2020-11-06,9.524
2020-11-07,9.524
2020-11-08,9.524
2020-11-09,9.628
2020-11-10,9.37
2020-11-11,9.609
2020-11-12,9.426
2020-11-13,9.579
2020-11-14,9.579
2020-11-15,9.579
2020-11-16,9.799
2020-11-17,9.784
2020-11-18,9.99
2020-11-19,10.193
2020-11-20,10.124
2020-11-21,10.124
2020-11-22,10.124
2020-11-23,10.622
2020-11-24,10.945
2020-11-25,10.706
2020-11-26,10.706
2020-11-27,10.907
2020-11-28,10.907
2020-11-29,10.907
2020-11-30,10.883
2020-12-01,11.119
2020-12-02,11.254
2020-12-03,11.361
2020-12-04,11.722
2020-12-05,11.722
2020-12-06,11.722
2020-12-07,11.762
2020-12-08,11.843
2020-12-09,11.588
2020-12-10,11.597
2020-12-11,11.651
2020-12-12,11.651
2020-12-13,11.651
2020-12-14,11.678
2020-12-15,11.674
2020-12-16,11.684
2020-12-17,11.546
2020-12-18,11.36
2020-12-19,11.36
2020-12-20,11.36
2020-12-21,11.402
2020-12-22,11.3
2020-12-23,11.088
2020-12-24,11.259
2020-12-25,11.259
2020-12-26,11.259
2020-12-27,11.259
2020-12-28,11.199
2020-12-29,11.119
2020-12-30,11.477
2020-12-31,11.387
2021-01-01,11.387
2021-01-02,11.387
2021-01-03,11.387
2021-01-04,11.463
2021-01-05,11.823
2021-01-06,11.985
2021-01-07,12.477
2021-01-08,12.609
2021-01-09,12.609
2021-01-10,12.609
2021-01-11,12.926
2021-01-12,13.196
2021-01-13,12.938
2021-01-14,13.96
2021-01-15,13.609
2021-01-16,13.609
2021-01-17,13.609
2021-01-18,13.609
2021-01-19,14.412
2021-01-20,14.23
2021-01-21,14.247
2021-01-22,14.03
2021-01-23,14.03
2021-01-24,14.03
2021-01-25,14.267
2021-01-26,13.925
2021-01-27,13.008
2021-01-28,13.347
2021-01-29,12.757
2021-01-30,12.757
2021-01-31,12.757
2021-02-01,13.355
2021-02-02,13.669
2021-02-03,13.178
2021-02-04,13.623
2021-02-05,13.289
2021-02-06,13.289
2021-02-07,13.289
2021-02-08,14.012
2021-02-09,13.905
2021-02-10,13.971
2021-02-11,14.91
2021-02-12,15.399
2021-02-13,15.399
2021-02-14,15.399
2021-02-15,15.399
2021-02-16,15.616
2021-02-17,15.268
2021-02-18,14.967
2021-02-19,15.404
2021-02-20,15.404
2021-02-21,15.404
2021-02-22,14.858
2021-02-23,14.975
2021-02-24,15.866
2021-02-25,14.718
2021-02-26,15.269
2021-02-27,15.269
2021-02-28,15.269
2021-03-01,15.793
2021-03-02,15.18
2021-03-03,14.913
2021-03-04,13.983
2021-03-05,14.656
2021-03-06,14.656
2021-03-07,14.656
2021-03-08,13.653
2021-03-09,14.756
2021-03-10,14.557
2021-03-11,15.14
2021-03-12,14.765
2021-03-13,14.765
