,DRI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,11.975
2020-01-10,11.991
2020-01-11,11.991
2020-01-12,11.991
2020-01-13,11.855
2020-01-14,11.747
2020-01-15,11.65
2020-01-16,11.83
2020-01-17,11.884
2020-01-18,11.884
2020-01-19,11.884
2020-01-20,11.884
2020-01-21,11.991
2020-01-22,12.036
2020-01-23,12.313
2020-01-24,12.257
2020-01-25,12.257
2020-01-26,12.257
2020-01-27,12.183
2020-01-28,12.295
2020-01-29,12.479
2020-01-30,12.375
2020-01-31,12.188
2020-02-01,12.188
2020-02-02,12.188
2020-02-03,12.03
2020-02-04,12.097
2020-02-05,12.298
2020-02-06,12.719
2020-02-07,12.636
2020-02-08,12.636
2020-02-09,12.636
2020-02-10,12.749
2020-02-11,12.795
2020-02-12,12.826
2020-02-13,12.807
2020-02-14,12.748
2020-02-15,12.748
2020-02-16,12.748
2020-02-17,12.748
2020-02-18,12.621
2020-02-19,12.641
2020-02-20,12.641
2020-02-21,12.685
2020-02-22,12.685
2020-02-23,12.685
2020-02-24,12.348
2020-02-25,11.705
2020-02-26,11.215
2020-02-27,10.407
2020-02-28,10.213
2020-02-29,10.213
2020-03-01,10.213
2020-03-02,10.349
2020-03-03,9.983
2020-03-04,9.957
2020-03-05,9.212
2020-03-06,9.233
2020-03-07,9.233
2020-03-08,9.233
2020-03-09,8.11
2020-03-10,8.652
2020-03-11,7.354
2020-03-12,6.198
2020-03-13,6.886
2020-03-14,6.886
2020-03-15,6.886
2020-03-16,5.188
2020-03-17,4.42
2020-03-18,3.601
2020-03-19,5.41
2020-03-20,4.974
2020-03-21,4.974
2020-03-22,4.974
2020-03-23,5.233
2020-03-24,6.856
2020-03-25,7.436
2020-03-26,7.705
2020-03-27,6.954
2020-03-28,6.954
2020-03-29,6.954
2020-03-30,7.233
2020-03-31,6.929
2020-04-01,5.855
2020-04-02,5.637
2020-04-03,5.786
2020-04-04,5.786
2020-04-05,5.786
2020-04-06,6.666
2020-04-07,7.509
2020-04-08,8.096
2020-04-09,8.194
2020-04-10,8.194
2020-04-11,8.194
2020-04-12,8.194
2020-04-13,7.754
2020-04-14,7.787
2020-04-15,7.487
2020-04-16,7.384
2020-04-17,8.068
2020-04-18,8.068
2020-04-19,8.068
2020-04-20,7.869
2020-04-21,8.064
2020-04-22,8.698
2020-04-23,8.516
2020-04-24,8.764
2020-04-25,8.764
2020-04-26,8.764
2020-04-27,9.22
2020-04-28,9.526
2020-04-29,9.96
2020-04-30,9.397
2020-05-01,8.895
2020-05-02,8.895
2020-05-03,8.895
2020-05-04,8.993
2020-05-05,8.786
2020-05-06,8.687
2020-05-07,8.982
2020-05-08,9.516
2020-05-09,9.516
2020-05-10,9.516
2020-05-11,9.415
2020-05-12,8.955
2020-05-13,8.39
2020-05-14,8.489
2020-05-15,8.865
2020-05-16,8.865
2020-05-17,8.865
2020-05-18,9.609
2020-05-19,9.656
2020-05-20,9.974
2020-05-21,9.834
2020-05-22,9.631
2020-05-23,9.631
2020-05-24,9.631
2020-05-25,9.631
2020-05-26,9.993
2020-05-27,10.387
2020-05-28,10.124
2020-05-29,9.788
2020-05-30,9.788
2020-05-31,9.788
2020-06-01,9.973
2020-06-02,9.949
2020-06-03,10.943
2020-06-04,10.957
2020-06-05,10.9
2020-06-06,10.9
2020-06-07,10.9
2020-06-08,10.792
2020-06-09,10.301
2020-06-10,9.904
2020-06-11,9.288
2020-06-12,9.901
2020-06-13,9.901
2020-06-14,9.901
2020-06-15,9.974
2020-06-16,10.001
2020-06-17,9.673
2020-06-18,9.665
2020-06-19,9.321
2020-06-20,9.321
2020-06-21,9.321
2020-06-22,9.464
2020-06-23,9.994
2020-06-24,9.392
2020-06-25,9.782
2020-06-26,9.657
2020-06-27,9.657
2020-06-28,9.657
2020-06-29,10.145
2020-06-30,10.031
2020-07-01,10.076
2020-07-02,9.9
2020-07-03,9.9
2020-07-04,9.9
2020-07-05,9.9
2020-07-06,9.932
2020-07-07,9.561
2020-07-08,9.684
2020-07-09,9.449
2020-07-10,9.548
2020-07-11,9.548
2020-07-12,9.548
2020-07-13,9.655
2020-07-14,9.659
2020-07-15,10.479
2020-07-16,10.157
2020-07-17,10.266
2020-07-18,10.266
2020-07-19,10.266
2020-07-20,9.839
2020-07-21,10.0
2020-07-22,10.25
2020-07-23,10.088
2020-07-24,10.415
2020-07-25,10.415
2020-07-26,10.415
2020-07-27,10.115
2020-07-28,10.045
2020-07-29,10.442
2020-07-30,10.403
2020-07-31,10.052
2020-08-01,10.052
2020-08-02,10.052
2020-08-03,9.866
2020-08-04,10.129
2020-08-05,10.033
2020-08-06,10.131
2020-08-07,10.471
2020-08-08,10.471
2020-08-09,10.471
2020-08-10,10.798
2020-08-11,11.144
2020-08-12,11.205
2020-08-13,11.182
2020-08-14,11.118
2020-08-15,11.118
2020-08-16,11.118
2020-08-17,11.096
2020-08-18,10.954
2020-08-19,10.563
2020-08-20,10.7
2020-08-21,10.938
2020-08-22,10.938
2020-08-23,10.938
2020-08-24,10.961
2020-08-25,10.925
2020-08-26,10.941
2020-08-27,11.342
2020-08-28,11.884
2020-08-29,11.884
2020-08-30,11.884
2020-08-31,11.462
2020-09-01,11.524
2020-09-02,11.943
2020-09-03,11.783
