,GD US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,9.025
2020-01-31,8.737
2020-02-01,8.737
2020-02-02,8.737
2020-02-03,8.795
2020-02-04,8.94
2020-02-05,9.161
2020-02-06,9.269
2020-02-07,9.299
2020-02-08,9.299
2020-02-09,9.299
2020-02-10,9.275
2020-02-11,9.309
2020-02-12,9.4
2020-02-13,9.433
2020-02-14,9.365
2020-02-15,9.365
2020-02-16,9.365
2020-02-17,9.365
2020-02-18,9.369
2020-02-19,9.29
2020-02-20,9.26
2020-02-21,9.342
2020-02-22,9.342
2020-02-23,9.342
2020-02-24,9.193
2020-02-25,8.661
2020-02-26,8.543
2020-02-27,8.274
2020-02-28,7.952
2020-02-29,7.952
2020-03-01,7.952
2020-03-02,8.218
2020-03-03,8.02
2020-03-04,8.38
2020-03-05,8.135
2020-03-06,8.119
2020-03-07,8.119
2020-03-08,8.119
2020-03-09,7.471
2020-03-10,7.734
2020-03-11,7.393
2020-03-12,6.585
2020-03-13,6.954
2020-03-14,6.954
2020-03-15,6.954
2020-03-16,6.309
2020-03-17,6.553
2020-03-18,6.031
2020-03-19,5.878
2020-03-20,5.677
2020-03-21,5.677
2020-03-22,5.677
2020-03-23,5.309
2020-03-24,5.688
2020-03-25,6.075
2020-03-26,6.631
2020-03-27,6.477
2020-03-28,6.477
2020-03-29,6.477
2020-03-30,7.594
2020-03-31,7.521
2020-04-01,7.242
2020-04-02,7.271
2020-04-03,7.144
2020-04-04,7.144
2020-04-05,7.144
2020-04-06,7.599
2020-04-07,7.639
2020-04-08,7.874
2020-04-09,8.081
2020-04-10,8.081
2020-04-11,8.081
2020-04-12,8.081
2020-04-13,7.849
2020-04-14,7.937
2020-04-15,7.669
2020-04-16,7.59
2020-04-17,7.92
2020-04-18,7.92
2020-04-19,7.92
2020-04-20,7.751
2020-04-21,7.547
2020-04-22,7.643
2020-04-23,7.478
2020-04-24,7.41
2020-04-25,7.41
2020-04-26,7.41
2020-04-27,7.708
2020-04-28,7.822
2020-04-29,7.686
2020-04-30,7.347
2020-05-01,7.002
2020-05-02,7.002
2020-05-03,7.002
2020-05-04,6.837
2020-05-05,6.923
2020-05-06,6.67
2020-05-07,6.966
2020-05-08,7.416
2020-05-09,7.416
2020-05-10,7.416
2020-05-11,7.332
2020-05-12,7.235
2020-05-13,7.205
2020-05-14,7.282
2020-05-15,7.173
2020-05-16,7.173
2020-05-17,7.173
2020-05-18,7.642
2020-05-19,7.462
2020-05-20,7.506
2020-05-21,7.598
2020-05-22,7.592
2020-05-23,7.592
2020-05-24,7.592
2020-05-25,7.592
2020-05-26,7.926
2020-05-27,8.243
2020-05-28,8.136
2020-05-29,8.045
2020-05-30,8.045
2020-05-31,8.045
2020-06-01,8.069
2020-06-02,8.182
2020-06-03,8.505
2020-06-04,8.607
2020-06-05,8.888
2020-06-06,8.888
2020-06-07,8.888
2020-06-08,9.193
2020-06-09,8.957
2020-06-10,8.66
2020-06-11,8.139
2020-06-12,8.175
2020-06-13,8.175
2020-06-14,8.175
2020-06-15,8.388
2020-06-16,8.547
2020-06-17,8.605
2020-06-18,8.715
2020-06-19,8.636
2020-06-20,8.636
2020-06-21,8.636
2020-06-22,8.427
2020-06-23,8.369
2020-06-24,8.024
2020-06-25,8.052
2020-06-26,8.002
2020-06-27,8.002
2020-06-28,8.002
2020-06-29,8.183
2020-06-30,8.189
2020-07-01,8.122
2020-07-02,8.131
2020-07-03,8.131
2020-07-04,8.131
2020-07-05,8.131
2020-07-06,8.195
2020-07-07,8.014
2020-07-08,7.943
2020-07-09,7.618
2020-07-10,7.836
2020-07-11,7.836
2020-07-12,7.836
2020-07-13,7.883
2020-07-14,7.913
2020-07-15,8.047
2020-07-16,8.197
2020-07-17,8.22
2020-07-18,8.22
2020-07-19,8.22
2020-07-20,8.032
2020-07-21,8.163
2020-07-22,8.368
2020-07-23,8.339
2020-07-24,8.292
2020-07-25,8.292
2020-07-26,8.292
2020-07-27,8.187
2020-07-28,8.22
2020-07-29,8.193
2020-07-30,8.148
2020-07-31,8.03
2020-08-01,8.03
2020-08-02,8.03
2020-08-03,8.157
2020-08-04,8.13
2020-08-05,8.238
2020-08-06,8.235
2020-08-07,8.447
2020-08-08,8.447
2020-08-09,8.447
2020-08-10,8.645
2020-08-11,8.771
2020-08-12,8.637
2020-08-13,8.556
2020-08-14,8.639
2020-08-15,8.639
2020-08-16,8.639
2020-08-17,8.488
2020-08-18,8.45
2020-08-19,8.452
2020-08-20,8.366
2020-08-21,8.303
2020-08-22,8.303
2020-08-23,8.303
2020-08-24,8.497
2020-08-25,8.395
2020-08-26,8.34
2020-08-27,8.449
2020-08-28,8.44
2020-08-29,8.44
2020-08-30,8.44
2020-08-31,8.278
2020-09-01,8.324
2020-09-02,8.531
2020-09-03,8.421
2020-09-04,8.408
2020-09-05,8.408
2020-09-06,8.408
2020-09-07,8.408
2020-09-08,8.145
2020-09-09,8.102
