,DISCB US Equity
,BEST_PE_RATIO
2020-01-01,6.715
2020-01-02,6.715
2020-01-03,6.715
2020-01-04,6.715
2020-01-05,6.715
2020-01-06,7.5
2020-01-07,7.683
2020-01-08,7.683
2020-01-09,6.863
2020-01-10,7.111
2020-01-11,7.111
2020-01-12,7.111
2020-01-13,6.811
2020-01-14,6.811
2020-01-15,6.811
2020-01-16,6.811
2020-01-17,6.811
2020-01-18,6.811
2020-01-19,6.811
2020-01-20,6.811
2020-01-21,7.013
2020-01-22,6.741
2020-01-23,6.741
2020-01-24,6.741
2020-01-25,6.741
2020-01-26,6.741
2020-01-27,6.741
2020-01-28,6.741
2020-01-29,6.72
2020-01-30,6.72
2020-01-31,6.72
2020-02-01,6.72
2020-02-02,6.72
2020-02-03,6.72
2020-02-04,6.72
2020-02-05,6.72
2020-02-06,5.149
2020-02-07,5.97
2020-02-08,5.97
2020-02-09,5.97
2020-02-10,5.954
2020-02-11,5.954
2020-02-12,5.954
2020-02-13,5.373
2020-02-14,5.373
2020-02-15,5.373
2020-02-16,5.373
2020-02-17,5.373
2020-02-18,5.373
2020-02-19,6.029
2020-02-20,5.18
2020-02-21,5.18
2020-02-22,5.18
2020-02-23,5.18
2020-02-24,5.18
2020-02-25,5.18
2020-02-26,5.237
2020-02-27,4.991
2020-02-28,4.991
2020-02-29,4.991
2020-03-01,4.991
2020-03-02,4.799
2020-03-03,4.446
2020-03-04,4.618
2020-03-05,4.618
2020-03-06,4.618
2020-03-07,4.618
2020-03-08,4.618
2020-03-09,4.618
2020-03-10,4.618
2020-03-11,4.166
2020-03-12,4.144
2020-03-13,4.144
2020-03-14,4.144
2020-03-15,4.144
2020-03-16,3.729
2020-03-17,3.503
2020-03-18,4.069
2020-03-19,4.075
2020-03-20,3.425
2020-03-21,3.425
2020-03-22,3.425
2020-03-23,3.84
2020-03-24,3.619
2020-03-25,3.975
2020-03-26,3.975
2020-03-27,3.798
2020-03-28,3.798
2020-03-29,3.798
2020-03-30,3.798
2020-03-31,3.798
2020-04-01,3.798
2020-04-02,3.798
2020-04-03,3.798
2020-04-04,3.798
2020-04-05,3.798
2020-04-06,3.785
2020-04-07,3.881
2020-04-08,3.693
2020-04-09,4.039
2020-04-10,4.039
2020-04-11,4.039
2020-04-12,4.039
2020-04-13,4.039
2020-04-14,4.231
2020-04-15,4.231
2020-04-16,3.517
2020-04-17,4.634
2020-04-18,4.634
2020-04-19,4.634
2020-04-20,4.634
2020-04-21,4.707
2020-04-22,4.019
2020-04-23,5.901
2020-04-24,5.901
2020-04-25,5.901
2020-04-26,5.901
2020-04-27,5.399
2020-04-28,5.642
2020-04-29,5.087
2020-04-30,5.969
2020-05-01,10.078
2020-05-02,10.078
2020-05-03,10.078
2020-05-04,8.816
2020-05-05,8.177
2020-05-06,8.696
2020-05-07,8.135
2020-05-08,7.697
2020-05-09,7.697
2020-05-10,7.697
2020-05-11,9.954
2020-05-12,9.587
2020-05-13,9.84
2020-05-14,9.347
2020-05-15,9.646
2020-05-16,9.646
2020-05-17,9.646
2020-05-18,9.345
2020-05-19,9.238
2020-05-20,9.005
2020-05-21,8.617
2020-05-22,9.041
2020-05-23,9.041
2020-05-24,9.041
2020-05-25,9.041
2020-05-26,9.138
2020-05-27,9.11
2020-05-28,8.854
2020-05-29,8.981
2020-05-30,8.981
2020-05-31,8.981
2020-06-01,8.995
2020-06-02,8.99
2020-06-03,9.104
2020-06-04,8.874
2020-06-05,8.998
2020-06-06,8.998
2020-06-07,8.998
2020-06-08,9.223
2020-06-09,9.478
2020-06-10,9.417
2020-06-11,8.495
2020-06-12,8.823
2020-06-13,8.823
2020-06-14,8.823
2020-06-15,9.587
2020-06-16,9.065
2020-06-17,9.57
2020-06-18,9.271
2020-06-19,9.563
2020-06-20,9.563
2020-06-21,9.563
2020-06-22,9.226
2020-06-23,9.711
2020-06-24,9.228
2020-06-25,10.194
2020-06-26,9.653
2020-06-27,9.653
2020-06-28,9.653
2020-06-29,9.595
2020-06-30,9.223
2020-07-01,8.864
2020-07-02,8.864
2020-07-03,8.864
2020-07-04,8.864
2020-07-05,8.864
2020-07-06,9.951
2020-07-07,9.951
2020-07-08,9.12
2020-07-09,9.194
2020-07-10,9.194
2020-07-11,9.194
2020-07-12,9.194
2020-07-13,8.983
2020-07-14,8.983
2020-07-15,8.983
2020-07-16,9.942
2020-07-17,9.706
2020-07-18,9.706
2020-07-19,9.706
2020-07-20,9.706
2020-07-21,9.819
2020-07-22,9.728
2020-07-23,9.728
2020-07-24,9.522
2020-07-25,9.522
2020-07-26,9.522
2020-07-27,9.698
2020-07-28,9.552
2020-07-29,8.664
2020-07-30,8.664
2020-07-31,8.343
2020-08-01,8.343
2020-08-02,8.343
