,TALO US Equity
,BEST_PE_RATIO
2020-01-01,6.484
2020-01-02,6.454
2020-01-03,6.574
2020-01-04,6.574
2020-01-05,6.574
2020-01-06,6.652
2020-01-07,6.733
2020-01-08,6.273
2020-01-09,6.273
2020-01-10,6.129
2020-01-11,6.129
2020-01-12,6.129
2020-01-13,6.069
2020-01-14,6.052
2020-01-15,6.082
2020-01-16,6.153
2020-01-17,6.166
2020-01-18,6.166
2020-01-19,6.166
2020-01-20,6.166
2020-01-21,5.798
2020-01-22,5.634
2020-01-23,5.697
2020-01-24,5.602
2020-01-25,5.602
2020-01-26,5.602
2020-01-27,5.2
2020-01-28,5.776
2020-01-29,5.647
2020-01-30,5.61
2020-01-31,5.067
2020-02-01,5.067
2020-02-02,5.067
2020-02-03,4.615
2020-02-04,4.551
2020-02-05,4.754
2020-02-06,4.511
2020-02-07,4.407
2020-02-08,4.407
2020-02-09,4.407
2020-02-10,4.203
2020-02-11,4.234
2020-02-12,4.371
2020-02-13,4.444
2020-02-14,4.35
2020-02-15,4.35
2020-02-16,4.35
2020-02-17,4.35
2020-02-18,4.305
2020-02-19,4.433
2020-02-20,4.345
2020-02-21,4.227
2020-02-22,4.227
2020-02-23,4.227
2020-02-24,3.917
2020-02-25,3.813
2020-02-26,3.6
2020-02-27,3.27
2020-02-28,3.357
2020-02-29,3.357
2020-03-01,3.357
2020-03-02,3.421
2020-03-03,3.622
2020-03-04,3.548
2020-03-05,3.29
2020-03-06,3.068
2020-03-07,3.068
2020-03-08,3.068
2020-03-09,2.12
2020-03-10,2.202
2020-03-11,1.872
2020-03-12,1.974
2020-03-13,1.737
2020-03-14,1.737
2020-03-15,1.737
2020-03-16,1.479
2020-03-17,1.852
2020-03-18,1.798
2020-03-19,2.143
2020-03-20,2.909
2020-03-21,2.909
2020-03-22,2.909
2020-03-23,2.37
2020-03-24,2.483
2020-03-25,2.848
2020-03-26,2.919
2020-03-27,2.531
2020-03-28,2.531
2020-03-29,2.531
2020-03-30,2.257
2020-03-31,2.277
2020-04-01,2.028
2020-04-02,2.372
2020-04-03,2.372
2020-04-04,2.372
2020-04-05,2.372
2020-04-06,2.376
2020-04-07,2.503
2020-04-08,2.729
2020-04-09,2.685
2020-04-10,2.685
2020-04-11,2.685
2020-04-12,2.685
2020-04-13,2.752
2020-04-14,3.034
2020-04-15,2.974
2020-04-16,2.491
2020-04-17,2.721
2020-04-18,2.721
2020-04-19,2.721
2020-04-20,2.824
2020-04-21,2.709
2020-04-22,2.994
2020-04-23,3.307
2020-04-24,3.596
2020-04-25,3.596
2020-04-26,3.596
2020-04-27,3.521
2020-04-28,3.632
2020-04-29,4.444
2020-04-30,4.511
2020-05-01,4.04
2020-05-02,4.04
2020-05-03,4.04
2020-05-04,4.424
2020-05-05,4.372
2020-05-06,4.226
2020-05-07,4.523
2020-05-08,4.772
2020-05-09,4.772
2020-05-10,4.772
2020-05-11,4.554
2020-05-12,4.729
2020-05-13,4.333
2020-05-14,4.012
2020-05-15,4.15
2020-05-16,4.15
2020-05-17,4.15
2020-05-18,4.848
2020-05-19,4.697
2020-05-20,4.99
2020-05-21,4.903
2020-05-22,4.911
2020-05-23,4.911
2020-05-24,4.911
2020-05-25,4.911
2020-05-26,4.863
2020-05-27,5.022
2020-05-28,4.715
2020-05-29,4.746
2020-05-30,4.746
2020-05-31,4.746
2020-06-01,4.984
2020-06-02,5.07
2020-06-03,5.164
2020-06-04,5.52
2020-06-05,5.996
2020-06-06,5.996
2020-06-07,5.996
2020-06-08,6.102
2020-06-09,5.957
2020-06-10,5.551
2020-06-11,4.609
2020-06-12,5.016
2020-06-13,5.016
2020-06-14,5.016
2020-06-15,5.363
2020-06-16,5.41
2020-06-17,4.652
2020-06-18,4.605
2020-06-19,4.273
2020-06-20,4.273
2020-06-21,4.273
2020-06-22,3.949
2020-06-23,4.045
2020-06-24,4.043
2020-06-25,4.092
2020-06-26,3.902
2020-06-27,3.902
2020-06-28,3.902
2020-06-29,3.959
2020-06-30,4.065
2020-07-01,3.858
2020-07-02,3.981
2020-07-03,3.981
2020-07-04,3.981
2020-07-05,3.981
2020-07-06,3.92
2020-07-07,3.668
2020-07-08,3.73
2020-07-09,3.522
2020-07-10,3.491
2020-07-11,3.491
2020-07-12,3.491
2020-07-13,3.336
2020-07-14,3.469
2020-07-15,3.769
2020-07-16,3.734
2020-07-17,3.604
2020-07-18,3.604
2020-07-19,3.604
2020-07-20,3.564
2020-07-21,3.827
2020-07-22,3.684
2020-07-23,3.547
2020-07-24,3.422
2020-07-25,3.422
2020-07-26,3.422
2020-07-27,3.147
2020-07-28,3.116
2020-07-29,3.156
2020-07-30,3.102
2020-07-31,3.027
2020-08-01,3.027
2020-08-02,3.027
2020-08-03,3.098
2020-08-04,3.342
2020-08-05,3.418
2020-08-06,3.196
2020-08-07,3.307
2020-08-08,3.307
2020-08-09,3.307
2020-08-10,3.918
2020-08-11,3.904
2020-08-12,4.006
2020-08-13,4.108
2020-08-14,4.239
2020-08-15,4.239
2020-08-16,4.239
2020-08-17,4.084
2020-08-18,3.943
2020-08-19,4.06
2020-08-20,3.923
2020-08-21,3.729
2020-08-22,3.729
2020-08-23,3.729
2020-08-24,3.816
2020-08-25,3.897
2020-08-26,3.765
2020-08-27,3.785
2020-08-28,3.892
2020-08-29,3.892
2020-08-30,3.892
2020-08-31,3.826
2020-09-01,3.617
2020-09-02,3.51
2020-09-03,3.51
2020-09-04,3.505
2020-09-05,3.505
2020-09-06,3.505
2020-09-07,3.505
2020-09-08,3.286
2020-09-09,3.194
2020-09-10,2.97
2020-09-11,2.914
2020-09-12,2.914
2020-09-13,2.914
2020-09-14,2.878
2020-09-15,2.863
2020-09-16,3.214
2020-09-17,3.423
2020-09-18,3.403
2020-09-19,3.403
2020-09-20,3.403
2020-09-21,3.123
2020-09-22,3.041
2020-09-23,2.843
2020-09-24,2.832
2020-09-25,3.036
2020-09-26,3.036
2020-09-27,3.036
2020-09-28,3.184
2020-09-29,3.189
2020-09-30,3.286
2020-10-01,3.245
2020-10-02,3.372
2020-10-03,3.372
2020-10-04,3.372
2020-10-05,3.505
2020-10-06,3.164
2020-10-07,3.449
2020-10-08,3.673
2020-10-09,3.535
2020-10-10,3.535
2020-10-11,3.535
2020-10-12,3.546
2020-10-13,3.439
2020-10-14,3.571
2020-10-15,3.688
2020-10-16,3.586
2020-10-17,3.586
2020-10-18,3.586
2020-10-19,3.361
2020-10-20,3.415
2020-10-21,3.254
2020-10-22,3.595
2020-10-23,3.668
2020-10-24,3.668
2020-10-25,3.668
2020-10-26,3.361
2020-10-27,3.21
2020-10-28,3.049
2020-10-29,3.127
2020-10-30,3.21
2020-10-31,3.21
2020-11-01,3.21
2020-11-02,3.259
2020-11-03,3.098
2020-11-04,2.995
2020-11-05,2.951
2020-11-06,2.834
2020-11-07,2.834
2020-11-08,2.834
2020-11-09,3.395
2020-11-10,3.634
2020-11-11,3.243
2020-11-12,3.078
2020-11-13,3.269
2020-11-14,3.269
2020-11-15,3.269
2020-11-16,3.439
2020-11-17,3.625
2020-11-18,3.456
2020-11-19,3.507
2020-11-20,3.485
2020-11-21,3.485
2020-11-22,3.485
2020-11-23,3.794
2020-11-24,4.246
2020-11-25,4.106
2020-11-26,4.106
2020-11-27,3.997
2020-11-28,3.997
2020-11-29,3.997
2020-11-30,3.616
2020-12-01,3.625
2020-12-02,3.718
2020-12-03,3.798
2020-12-04,4.254
2020-12-05,4.254
2020-12-06,4.254
2020-12-07,4.128
2020-12-08,4.255
2020-12-09,5.048
2020-12-10,5.464
2020-12-11,5.554
2020-12-12,5.554
2020-12-13,5.554
2020-12-14,5.548
2020-12-15,5.367
2020-12-16,5.271
2020-12-17,5.381
2020-12-18,5.166
2020-12-19,5.166
2020-12-20,5.166
2020-12-21,9.23
2020-12-22,8.874
2020-12-23,9.471
2020-12-24,9.437
2020-12-25,9.437
2020-12-26,9.437
2020-12-27,9.437
2020-12-28,9.253
2020-12-29,9.241
2020-12-30,9.483
2020-12-31,9.471
2021-01-01,9.471
2021-01-02,9.471
2021-01-03,9.471
2021-01-04,9.759
2021-01-05,10.667
2021-01-06,10.862
2021-01-07,11.034
2021-01-08,10.736
2021-01-09,10.736
2021-01-10,10.736
2021-01-11,7.496
2021-01-12,8.209
2021-01-13,8.062
2021-01-14,8.202
2021-01-15,7.721
2021-01-16,7.721
2021-01-17,7.721
2021-01-18,7.721
2021-01-19,8.589
2021-01-20,8.105
2021-01-21,7.376
2021-01-22,6.265
2021-01-23,6.265
2021-01-24,6.265
2021-01-25,6.497
2021-01-26,6.175
2021-01-27,5.934
2021-01-28,5.914
2021-01-29,5.666
2021-01-30,5.666
2021-01-31,5.666
2021-02-01,5.747
2021-02-02,5.787
2021-02-03,6.202
2021-02-04,6.155
2021-02-05,6.175
2021-02-06,6.175
2021-02-07,6.175
2021-02-08,6.457
2021-02-09,6.289
2021-02-10,6.112
2021-02-11,5.871
2021-02-12,5.975
2021-02-13,5.975
2021-02-14,5.975
2021-02-15,5.975
2021-02-16,6.308
2021-02-17,6.491
2021-02-18,6.099
2021-02-19,6.145
2021-02-20,6.145
2021-02-21,6.145
2021-02-22,6.504
2021-02-23,6.504
2021-02-24,7.11
2021-02-25,7.045
2021-02-26,6.908
2021-02-27,6.908
2021-02-28,6.908
2021-03-01,7.11
2021-03-02,6.83
2021-03-03,7.28
2021-03-04,7.776
2021-03-05,8.727
2021-03-06,8.727
2021-03-07,8.727
2021-03-08,8.785
2021-03-09,8.403
2021-03-10,8.746
2021-03-11,6.692
2021-03-12,7.198
2021-03-13,7.198
2021-03-14,7.198
2021-03-15,7.604
2021-03-16,7.257
2021-03-17,8.214
2021-03-18,7.477
2021-03-19,7.773
2021-03-20,7.773
2021-03-21,7.773
2021-03-22,7.761
2021-03-23,7.405
2021-03-24,7.489
2021-03-25,7.333
2021-03-26,7.544
2021-03-27,7.544
2021-03-28,7.544
2021-03-29,7.375
2021-03-30,7.339
2021-03-31,7.266
2021-04-01,7.797
2021-04-02,7.797
2021-04-03,7.797
2021-04-04,7.797
2021-04-05,7.345
2021-04-06,7.375
2021-04-07,7.369
2021-04-08,7.103
2021-04-09,7.079
2021-04-10,7.079
2021-04-11,7.079
2021-04-12,6.832
2021-04-13,7.007
2021-04-14,7.417
2021-04-15,7.236
2021-04-16,7.121
2021-04-17,7.121
2021-04-18,7.121
2021-04-19,7.267
2021-04-20,6.889
2021-04-21,7.074
2021-04-22,6.987
2021-04-23,6.931
2021-04-24,6.931
2021-04-25,6.931
2021-04-26,6.75
2021-04-27,6.956
2021-04-28,7.324
2021-04-29,7.392
2021-04-30,6.981
2021-05-01,6.981
2021-05-02,6.981
2021-05-03,6.959
2021-05-04,6.888
2021-05-05,7.327
2021-05-06,7.285
2021-05-07,7.439
2021-05-08,7.439
2021-05-09,7.439
2021-05-10,7.333
2021-05-11,12.51
2021-05-12,13.436
2021-05-13,13.138
2021-05-14,13.543
2021-05-15,13.543
2021-05-16,13.543
2021-05-17,20.309
2021-05-18,20.263
2021-05-19,19.49
2021-05-20,19.753
2021-05-21,20.943
2021-05-22,20.943
2021-05-23,20.943
2021-05-24,21.623
2021-05-25,20.835
2021-05-26,12.87
2021-05-27,12.907
2021-05-28,13.13
2021-05-29,13.13
2021-05-30,13.13
2021-05-31,13.13
2021-06-01,13.75
2021-06-02,14.213
2021-06-03,14.278
2021-06-04,14.926
2021-06-05,14.926
2021-06-06,14.926
2021-06-07,14.824
2021-06-08,15.731
2021-06-09,15.213
2021-06-10,15.185
2021-06-11,15.657
2021-06-12,15.657
2021-06-13,15.657
2021-06-14,15.361
2021-06-15,15.963
2021-06-16,16.454
2021-06-17,8.704
2021-06-18,8.608
2021-06-19,8.608
2021-06-20,8.608
2021-06-21,9.148
2021-06-22,9.153
2021-06-23,9.405
2021-06-24,8.8
2021-06-25,8.578
2021-06-26,8.578
2021-06-27,8.578
2021-06-28,8.154
2021-06-29,7.907
