,TALO US Equity
2021-06-30,7.887
2021-07-01,8.27
2021-07-02,8.114
2021-07-03,8.114
2021-07-04,8.114
2021-07-05,8.114
2021-07-06,7.474
2021-07-07,7.136
2021-07-08,7.186
2021-07-09,7.332
2021-07-10,7.332
2021-07-11,7.332
2021-07-12,7.252
2021-07-13,7.05
2021-07-14,6.702
2021-07-15,7.558
2021-07-16,7.103
2021-07-17,7.103
2021-07-18,7.103
2021-07-19,6.557
2021-07-20,6.677
2021-07-21,6.983
2021-07-22,6.761
2021-07-23,6.551
2021-07-24,6.551
2021-07-25,6.551
2021-07-26,7.99
2021-07-27,7.831
2021-07-28,8.087
2021-07-29,8.136
2021-07-30,7.997
2021-07-31,7.997
2021-08-01,7.997
2021-08-02,7.782
2021-08-03,6.025
2021-08-04,5.543
2021-08-05,5.718
2021-08-06,5.829
2021-08-07,5.829
2021-08-08,5.829
2021-08-09,5.644
2021-08-10,5.19
2021-08-11,5.256
2021-08-12,3.875
2021-08-13,3.665
2021-08-14,3.665
2021-08-15,3.665
2021-08-16,3.515
2021-08-17,3.458
2021-08-18,3.33
2021-08-19,3.18
2021-08-20,3.205
2021-08-21,3.205
2021-08-22,3.205
2021-08-23,3.455
2021-08-24,3.861
2021-08-25,3.932
2021-08-26,4.103
2021-08-27,4.428
2021-08-28,4.428
2021-08-29,4.428
2021-08-30,4.335
2021-08-31,4.421
2021-09-01,4.371
2021-09-02,4.617
2021-09-03,4.538
2021-09-04,4.538
2021-09-05,4.538
2021-09-06,4.538
2021-09-07,4.553
2021-09-08,4.492
2021-09-09,4.485
2021-09-10,4.449
2021-09-11,4.449
2021-09-12,4.449
2021-09-13,4.813
2021-09-14,4.588
2021-09-15,4.938
2021-09-16,4.709
2021-09-17,4.649
2021-09-18,4.649
2021-09-19,4.649
2021-09-20,4.385
2021-09-21,4.389
2021-09-22,4.585
2021-09-23,4.909
2021-09-24,4.926
2021-09-25,4.926
2021-09-26,4.926
2021-09-27,5.005
2021-09-28,4.861
2021-09-29,4.933
2021-09-30,4.962
2021-10-01,5.211
2021-10-02,5.211
2021-10-03,5.211
2021-10-04,5.02
2021-10-05,5.099
2021-10-06,4.739
2021-10-07,4.836
2021-10-08,4.84
2021-10-09,4.84
2021-10-10,4.84
2021-10-11,4.937
2021-10-12,4.764
2021-10-13,4.544
2021-10-14,4.519
2021-10-15,4.519
2021-10-16,4.519
2021-10-17,4.519
2021-10-18,4.454
2021-10-19,4.476
2021-10-20,4.58
2021-10-21,4.465
2021-10-22,4.551
2021-10-23,4.551
2021-10-24,4.551
2021-10-25,4.793
2021-10-26,4.836
2021-10-27,4.49
2021-10-28,4.486
2021-10-29,4.674
2021-10-30,4.674
2021-10-31,4.674
2021-11-01,4.919
2021-11-02,4.782
2021-11-03,4.764
2021-11-04,4.641
2021-11-05,4.688
2021-11-06,4.688
2021-11-07,4.688
2021-11-08,5.148
2021-11-09,4.572
2021-11-10,4.276
2021-11-11,4.772
2021-11-12,4.656
2021-11-13,4.656
2021-11-14,4.656
2021-11-15,4.807
2021-11-16,4.878
2021-11-17,4.643
2021-11-18,4.528
2021-11-19,4.279
2021-11-20,4.279
2021-11-21,4.279
2021-11-22,4.545
2021-11-23,4.71
2021-11-24,4.869
2021-11-25,4.869
2021-11-26,4.545
2021-11-27,4.545
2021-11-28,4.545
2021-11-29,4.599
2021-11-30,4.421
2021-12-01,4.204
2021-12-02,4.373
2021-12-03,4.309
2021-12-04,4.309
2021-12-05,4.309
2021-12-06,4.575
2021-12-07,4.741
2021-12-08,4.736
2021-12-09,4.484
2021-12-10,4.357
2021-12-11,4.357
2021-12-12,4.357
2021-12-13,4.187
2021-12-14,4.24
2021-12-15,4.144
2021-12-16,4.07
2021-12-17,4.061
2021-12-18,4.061
2021-12-19,4.061
2021-12-20,3.895
2021-12-21,4.357
2021-12-22,4.366
2021-12-23,4.279
2021-12-24,4.279
2021-12-25,4.279
2021-12-26,4.279
2021-12-27,4.492
2021-12-28,4.353
2021-12-29,4.366
2021-12-30,4.388
2021-12-31,4.27
2022-01-01,4.27
2022-01-02,4.27
2022-01-03,4.423
2022-01-04,4.688
2022-01-05,4.688
2022-01-06,4.741
2022-01-07,4.545
2022-01-08,4.545
2022-01-09,4.545
2022-01-10,4.299
2022-01-11,4.748
2022-01-12,4.753
2022-01-13,4.595
2022-01-14,4.703
2022-01-15,4.703
2022-01-16,4.703
2022-01-17,4.703
2022-01-18,6.531
2022-01-19,6.501
2022-01-20,6.035
2022-01-21,5.77
2022-01-22,5.77
2022-01-23,5.77
2022-01-24,5.976
2022-01-25,6.177
2022-01-26,6.012
2022-01-27,6.041
2022-01-28,6.077
2022-01-29,6.077
2022-01-30,6.077
2022-01-31,6.277
2022-02-01,6.661
2022-02-02,6.696
2022-02-03,6.59
2022-02-04,6.861
2022-02-05,6.861
2022-02-06,6.861
2022-02-07,6.861
2022-02-08,6.437
2022-02-09,6.537
2022-02-10,6.723
2022-02-11,7.464
2022-02-12,7.464
2022-02-13,7.464
2022-02-14,7.085
2022-02-15,6.921
2022-02-16,7.265
2022-02-17,7.347
2022-02-18,7.09
2022-02-19,7.09
2022-02-20,7.09
2022-02-21,7.09
2022-02-22,7.16
2022-02-23,7.51
2022-02-24,7.685
2022-02-25,8.233
2022-02-26,8.233
2022-02-27,8.233
2022-02-28,9.16
2022-03-01,6.884
2022-03-02,6.972
2022-03-03,7.656
2022-03-04,7.987
2022-03-05,7.987
2022-03-06,7.987
2022-03-07,8.203
2022-03-08,7.713
2022-03-09,7.4
2022-03-10,5.127
2022-03-11,4.806
2022-03-12,4.806
2022-03-13,4.806
2022-03-14,4.573
2022-03-15,4.456
2022-03-16,4.352
2022-03-17,4.692
2022-03-18,4.634
2022-03-19,4.634
2022-03-20,4.634
2022-03-21,4.741
2022-03-22,3.524
2022-03-23,3.569
2022-03-24,3.578
2022-03-25,3.764
2022-03-26,3.764
2022-03-27,3.764
2022-03-28,3.608
2022-03-29,3.599
2022-03-30,3.744
2022-03-31,3.58
2022-04-01,3.866
2022-04-02,3.866
2022-04-03,3.866
2022-04-04,3.902
2022-04-05,3.81
2022-04-06,3.939
2022-04-07,4.036
2022-04-08,4.247
2022-04-09,4.247
2022-04-10,4.247
2022-04-11,4.111
2022-04-12,4.218
2022-04-13,4.254
2022-04-14,4.493
2022-04-15,4.493
2022-04-16,4.493
2022-04-17,4.493
2022-04-18,4.505
2022-04-19,4.414
2022-04-20,4.826
2022-04-21,4.517
2022-04-22,4.316
2022-04-23,4.316
2022-04-24,4.316
2022-04-25,4.304
2022-04-26,4.278
2022-04-27,4.354
2022-04-28,4.517
2022-04-29,4.352
2022-04-30,4.352
2022-05-01,4.352
2022-05-02,4.35
2022-05-03,4.683
2022-05-04,5.155
2022-05-05,4.912
2022-05-06,4.919
2022-05-07,4.919
2022-05-08,4.919
2022-05-09,4.325
2022-05-10,4.434
2022-05-11,4.546
2022-05-12,4.554
2022-05-13,4.825
2022-05-14,4.825
2022-05-15,4.825
2022-05-16,4.898
2022-05-17,4.97
2022-05-18,4.947
2022-05-19,4.926
2022-05-20,5.009
2022-05-21,5.009
2022-05-22,5.009
2022-05-23,5.273
2022-05-24,5.309
2022-05-25,5.591
2022-05-26,5.617
2022-05-27,5.752
2022-05-28,5.752
2022-05-29,5.752
2022-05-30,5.752
2022-05-31,5.589
2022-06-01,5.891
2022-06-02,5.915
2022-06-03,6.103
2022-06-04,6.103
2022-06-05,6.103
2022-06-06,6.106
2022-06-07,6.507
2022-06-08,6.373
2022-06-09,6.194
2022-06-10,6.129
2022-06-11,6.129
2022-06-12,6.129
2022-06-13,5.656
2022-06-14,5.589
2022-06-15,5.477
2022-06-16,5.18
2022-06-17,4.815
2022-06-18,4.815
2022-06-19,4.815
2022-06-20,4.815
2022-06-21,3.808
2022-06-22,3.434
2022-06-23,3.21
2022-06-24,3.145
2022-06-25,3.145
2022-06-26,3.145
2022-06-27,3.384
2022-06-28,3.535
2022-06-29,3.319
2022-06-30,3.125
2022-07-01,3.143
2022-07-02,3.143
2022-07-03,3.143
2022-07-04,3.143
2022-07-05,2.859
2022-07-06,2.703
2022-07-07,2.929
2022-07-08,2.91
2022-07-09,2.91
2022-07-10,2.91
2022-07-11,2.92
2022-07-12,2.745
2022-07-13,2.768
2022-07-14,2.694
2022-07-15,2.759
2022-07-16,2.759
2022-07-17,2.759
2022-07-18,3.029
2022-07-19,3.159
2022-07-20,3.237
2022-07-21,3.105
2022-07-22,3.07
2022-07-23,3.07
2022-07-24,3.07
2022-07-25,3.389
2022-07-26,3.362
2022-07-27,3.635
2022-07-28,3.781
2022-07-29,3.923
2022-07-30,3.923
2022-07-31,3.923
2022-08-01,3.696
2022-08-02,3.723
2022-08-03,3.507
2022-08-04,3.629
2022-08-05,4.147
2022-08-06,4.147
2022-08-07,4.147
2022-08-08,4.086
2022-08-09,4.18
2022-08-10,4.212
2022-08-11,4.41
2022-08-12,4.363
2022-08-13,4.363
2022-08-14,4.363
2022-08-15,4.2
2022-08-16,4.122
2022-08-17,4.295
2022-08-18,4.554
2022-08-19,4.45
2022-08-20,4.45
2022-08-21,4.45
2022-08-22,4.495
2022-08-23,4.613
2022-08-24,4.741
2022-08-25,4.833
2022-08-26,4.775
2022-08-27,4.775
2022-08-28,4.775
2022-08-29,4.827
2022-08-30,4.466
2022-08-31,4.669
2022-09-01,4.441
2022-09-02,4.734
2022-09-03,4.734
2022-09-04,4.734
2022-09-05,4.734
2022-09-06,4.435
2022-09-07,4.345
2022-09-08,4.403
2022-09-09,4.574
2022-09-10,4.574
2022-09-11,4.574
2022-09-12,4.642
2022-09-13,4.579
2022-09-14,4.227
2022-09-15,4.08
2022-09-16,3.85
2022-09-17,3.85
2022-09-18,3.85
2022-09-19,3.831
2022-09-20,3.733
2022-09-21,3.577
2022-09-22,3.312
2022-09-23,2.958
2022-09-24,2.958
2022-09-25,2.958
2022-09-26,2.844
2022-09-27,2.937
2022-09-28,3.161
2022-09-29,3.133
2022-09-30,3.139
2022-10-01,3.139
2022-10-02,3.139
2022-10-03,3.533
2022-10-04,3.825
2022-10-05,3.949
2022-10-06,4.112
2022-10-07,4.07
2022-10-08,4.07
2022-10-09,4.07
2022-10-10,3.926
2022-10-11,3.921
2022-10-12,3.934
2022-10-13,4.076
2022-10-14,3.756
2022-10-15,3.756
2022-10-16,3.756
2022-10-17,3.864
2022-10-18,3.732
2022-10-19,3.834
2022-10-20,3.762
2022-10-21,3.904
2022-10-22,3.904
2022-10-23,3.904
2022-10-24,3.974
2022-10-25,4.004
2022-10-26,4.047
2022-10-27,3.989
2022-10-28,3.907
2022-10-29,3.907
2022-10-30,3.907
2022-10-31,4.023
2022-11-01,4.119
2022-11-02,3.979
2022-11-03,3.934
2022-11-04,4.038
2022-11-05,4.038
2022-11-06,4.038
2022-11-07,4.714
2022-11-08,4.619
2022-11-09,4.169
2022-11-10,4.325
2022-11-11,4.511
2022-11-12,4.511
2022-11-13,4.511
2022-11-14,4.407
2022-11-15,4.576
2022-11-16,4.392
2022-11-17,4.359
2022-11-18,4.392
2022-11-19,4.392
2022-11-20,4.392
2022-11-21,4.324
2022-11-22,4.521
2022-11-23,4.424
2022-11-24,4.424
2022-11-25,4.405
2022-11-26,4.405
2022-11-27,4.405
2022-11-28,4.117
2022-11-29,4.184
2022-11-30,4.253
2022-12-01,4.121
2022-12-02,4.281
2022-12-03,4.281
2022-12-04,4.281
2022-12-05,4.175
2022-12-06,4.184
2022-12-07,4.177
2022-12-08,4.006
2022-12-09,3.935
2022-12-10,3.935
2022-12-11,3.935
2022-12-12,4.143
2022-12-13,4.212
2022-12-14,4.13
2022-12-15,4.173
2022-12-16,4.192
2022-12-17,4.192
2022-12-18,4.192
2022-12-19,4.075
2022-12-20,4.078
2022-12-21,4.225
2022-12-22,4.026
2022-12-23,4.247
2022-12-24,4.247
2022-12-25,4.247
2022-12-26,4.247
2022-12-27,4.286
2022-12-28,3.926
2022-12-29,4.097
2022-12-30,4.093
2022-12-31,4.093
2023-01-01,4.093
2023-01-02,4.093
2023-01-03,3.997
2023-01-04,3.896
2023-01-05,3.861
2023-01-06,3.922
2023-01-07,3.922
2023-01-08,3.922
2023-01-09,4.062
2023-01-10,3.949
2023-01-11,3.974
2023-01-12,4.172
2023-01-13,4.397
2023-01-14,4.397
2023-01-15,4.397
2023-01-16,4.397
2023-01-17,4.368
2023-01-18,4.007
2023-01-19,4.21
2023-01-20,4.233
2023-01-21,4.233
2023-01-22,4.233
2023-01-23,4.994
2023-01-24,4.92
2023-01-25,4.889
2023-01-26,4.982
2023-01-27,4.863
2023-01-28,4.863
2023-01-29,4.863
2023-01-30,4.596
2023-01-31,4.691
2023-02-01,4.684
2023-02-02,4.549
2023-02-03,4.506
2023-02-04,4.506
2023-02-05,4.506
2023-02-06,4.532
2023-02-07,4.559
2023-02-08,4.458
2023-02-09,4.385
2023-02-10,4.703
2023-02-11,4.703
2023-02-12,4.703
2023-02-13,4.581
2023-02-14,4.523
2023-02-15,4.499
2023-02-16,4.455
2023-02-17,4.236
2023-02-18,4.236
2023-02-19,4.236
2023-02-20,4.236
2023-02-21,4.031
2023-02-22,4.002
2023-02-23,4.113
2023-02-24,4.291
2023-02-25,4.291
2023-02-26,4.291
2023-02-27,4.354
2023-02-28,4.294
2023-03-01,3.7
2023-03-02,3.744
2023-03-03,3.877
2023-03-04,3.877
2023-03-05,3.877
2023-03-06,3.944
2023-03-07,3.869
2023-03-08,3.764
2023-03-09,3.616
2023-03-10,3.504
2023-03-11,3.504
2023-03-12,3.504
2023-03-13,3.408
2023-03-14,3.336
2023-03-15,3.008
2023-03-16,3.138
2023-03-17,2.975
2023-03-18,2.975
2023-03-19,2.975
2023-03-20,3.236
2023-03-21,3.451
2023-03-22,3.354
2023-03-23,3.416
2023-03-24,3.585
2023-03-25,3.585
2023-03-26,3.585
2023-03-27,3.714
2023-03-28,3.771
2023-03-29,4.157
2023-03-30,4.041
2023-03-31,4.083
2023-04-01,4.083
2023-04-02,4.083
2023-04-03,4.327
2023-04-04,4.195
2023-04-05,4.187
2023-04-06,4.072
2023-04-07,4.072
2023-04-08,4.072
2023-04-09,4.072
2023-04-10,4.11
2023-04-11,4.129
2023-04-12,4.141
2023-04-13,4.122
2023-04-14,4.181
2023-04-15,4.181
2023-04-16,4.181
2023-04-17,4.026
2023-04-18,4.073
2023-04-19,4.213
2023-04-20,3.915
2023-04-21,3.889
2023-04-22,3.889
2023-04-23,3.889
2023-04-24,3.912
2023-04-25,3.693
2023-04-26,3.579
2023-04-27,3.61
2023-04-28,3.874
2023-04-29,3.874
2023-04-30,3.874
2023-05-01,3.866
2023-05-02,3.633
2023-05-03,3.633
2023-05-04,3.636
2023-05-05,3.809
2023-05-06,3.809
2023-05-07,3.809
2023-05-08,3.761
2023-05-09,3.952
2023-05-10,4.119
2023-05-11,4.083
2023-05-12,5.176
2023-05-13,5.176
2023-05-14,5.176
2023-05-15,5.296
2023-05-16,4.912
2023-05-17,5.019
2023-05-18,5.302
2023-05-19,5.32
2023-05-20,5.32
2023-05-21,5.32
2023-05-22,5.588
2023-05-23,5.725
2023-05-24,5.84
2023-05-25,6.214
2023-05-26,6.202
2023-05-27,6.202
2023-05-28,6.202
2023-05-29,6.202
2023-05-30,6.133
2023-05-31,5.987
2023-06-01,6.216
2023-06-02,6.673
2023-06-03,6.673
2023-06-04,6.673
2023-06-05,6.552
2023-06-06,6.873
2023-06-07,6.804
2023-06-08,6.707
2023-06-09,6.727
2023-06-10,6.727
2023-06-11,6.727
2023-06-12,6.576
2023-06-13,6.809
2023-06-14,6.741
2023-06-15,6.916
2023-06-16,6.911
2023-06-17,6.911
2023-06-18,6.911
2023-06-19,6.911
2023-06-20,6.696
2023-06-21,6.779
2023-06-22,6.842
