,MXIM US Equity
,BEST_PE_RATIO
2020-01-01,20.074
2020-01-02,20.374
2020-01-03,20.022
2020-01-04,20.022
2020-01-05,20.022
2020-01-06,19.658
2020-01-07,20.104
2020-01-08,20.097
2020-01-09,20.244
2020-01-10,20.055
2020-01-11,20.055
2020-01-12,20.055
2020-01-13,20.18
2020-01-14,20.294
2020-01-15,20.055
2020-01-16,20.221
2020-01-17,20.028
2020-01-18,20.028
2020-01-19,20.028
2020-01-20,20.028
2020-01-21,20.241
2020-01-22,20.397
2020-01-23,20.753
2020-01-24,20.417
2020-01-25,20.417
2020-01-26,20.417
2020-01-27,19.676
2020-01-28,20.183
2020-01-29,19.652
2020-01-30,19.586
2020-01-31,19.017
2020-02-01,19.017
2020-02-02,19.017
2020-02-03,19.245
2020-02-04,19.735
2020-02-05,20.402
2020-02-06,20.27
2020-02-07,19.779
2020-02-08,19.779
2020-02-09,19.779
2020-02-10,19.928
2020-02-11,20.149
2020-02-12,20.393
2020-02-13,20.339
2020-02-14,20.105
2020-02-15,20.105
2020-02-16,20.105
2020-02-17,20.105
2020-02-18,19.754
2020-02-19,19.991
2020-02-20,19.748
2020-02-21,19.349
2020-02-22,19.349
2020-02-23,19.349
2020-02-24,18.659
2020-02-25,18.134
2020-02-26,18.358
2020-02-27,17.851
2020-02-28,17.742
2020-02-29,17.742
2020-03-01,17.742
2020-03-02,18.441
2020-03-03,17.825
2020-03-04,18.511
2020-03-05,17.822
2020-03-06,17.474
2020-03-07,17.474
2020-03-08,17.474
2020-03-09,15.939
2020-03-10,17.167
2020-03-11,16.052
2020-03-12,14.507
2020-03-13,15.735
2020-03-14,15.735
2020-03-15,15.735
2020-03-16,13.771
2020-03-17,15.605
2020-03-18,14.953
2020-03-19,15.29
2020-03-20,14.742
2020-03-21,14.742
2020-03-22,14.742
2020-03-23,15.313
2020-03-24,17.526
2020-03-25,17.734
2020-03-26,18.307
2020-03-27,17.494
2020-03-28,17.494
2020-03-29,17.494
2020-03-30,18.358
2020-03-31,18.29
2020-04-01,17.315
2020-04-02,17.97
2020-04-03,18.301
2020-04-04,18.301
2020-04-05,18.301
2020-04-06,20.118
2020-04-07,19.479
2020-04-08,20.062
2020-04-09,19.486
2020-04-10,19.486
2020-04-11,19.486
2020-04-12,19.486
2020-04-13,19.655
2020-04-14,20.017
2020-04-15,19.607
2020-04-16,19.753
2020-04-17,19.975
2020-04-18,19.975
2020-04-19,19.975
2020-04-20,19.497
2020-04-21,18.944
2020-04-22,19.701
2020-04-23,19.731
2020-04-24,20.194
2020-04-25,20.194
2020-04-26,20.194
2020-04-27,20.995
2020-04-28,20.893
2020-04-29,22.375
2020-04-30,21.431
2020-05-01,20.293
2020-05-02,20.293
2020-05-03,20.293
2020-05-04,20.118
2020-05-05,20.554
2020-05-06,20.613
2020-05-07,20.601
2020-05-08,21.096
2020-05-09,21.096
2020-05-10,21.096
2020-05-11,21.283
2020-05-12,21.084
2020-05-13,20.675
2020-05-14,20.804
2020-05-15,20.293
2020-05-16,20.293
2020-05-17,20.293
2020-05-18,21.494
2020-05-19,21.459
2020-05-20,22.211
2020-05-21,21.693
2020-05-22,21.876
2020-05-23,21.876
2020-05-24,21.876
2020-05-25,21.876
2020-05-26,22.69
2020-05-27,22.628
2020-05-28,22.215
2020-05-29,22.671
2020-05-30,22.671
2020-05-31,22.671
2020-06-01,22.742
2020-06-02,23.072
2020-06-03,23.803
2020-06-04,23.807
2020-06-05,24.086
2020-06-06,24.086
2020-06-07,24.086
2020-06-08,24.05
2020-06-09,23.842
2020-06-10,23.567
2020-06-11,22.181
2020-06-12,22.216
2020-06-13,22.216
2020-06-14,22.216
2020-06-15,22.656
2020-06-16,23.278
2020-06-17,23.452
2020-06-18,23.542
2020-06-19,23.499
2020-06-20,23.499
2020-06-21,23.499
2020-06-22,23.546
2020-06-23,23.915
2020-06-24,23.289
2020-06-25,23.398
2020-06-26,23.013
2020-06-27,23.013
2020-06-28,23.013
2020-06-29,23.169
2020-06-30,23.561
2020-07-01,23.204
2020-07-02,23.48
2020-07-03,23.48
2020-07-04,23.48
2020-07-05,23.48
2020-07-06,24.094
2020-07-07,23.911
2020-07-08,24.133
2020-07-09,25.062
2020-07-10,24.204
2020-07-11,24.204
2020-07-12,24.204
2020-07-13,26.197
2020-07-14,26.437
2020-07-15,26.097
2020-07-16,25.772
2020-07-17,25.957
2020-07-18,25.957
2020-07-19,25.957
2020-07-20,26.45
2020-07-21,25.572
2020-07-22,25.546
2020-07-23,24.994
2020-07-24,24.879
2020-07-25,24.879
2020-07-26,24.879
2020-07-27,25.538
2020-07-28,24.908
2020-07-29,25.819
2020-07-30,25.452
2020-07-31,25.113
2020-08-01,25.113
2020-08-02,25.113
2020-08-03,25.404
2020-08-04,25.515
2020-08-05,25.408
2020-08-06,25.482
2020-08-07,25.334
2020-08-08,25.334
2020-08-09,25.334
2020-08-10,25.415
2020-08-11,25.363
2020-08-12,25.854
2020-08-13,25.596
2020-08-14,25.301
2020-08-15,25.301
2020-08-16,25.301
2020-08-17,25.437
2020-08-18,25.411
2020-08-19,25.43
2020-08-20,25.446
2020-08-21,25.268
2020-08-22,25.268
2020-08-23,25.268
2020-08-24,25.485
2020-08-25,26.12
2020-08-26,26.107
2020-08-27,26.008
2020-08-28,26.075
2020-08-29,26.075
2020-08-30,26.075
2020-08-31,25.414
2020-09-01,25.75
2020-09-02,26.257
2020-09-03,25.455
2020-09-04,25.503
2020-09-05,25.503
2020-09-06,25.503
2020-09-07,25.503
2020-09-08,24.27
2020-09-09,24.864
2020-09-10,24.638
2020-09-11,24.508
2020-09-12,24.508
2020-09-13,24.508
2020-09-14,24.638
2020-09-15,24.913
