,WBT US Equity
,BEST_PE_RATIO
2020-01-01,13.342
2020-01-02,13.154
2020-01-03,13.265
2020-01-04,13.265
2020-01-05,13.265
2020-01-06,13.171
2020-01-07,12.915
2020-01-08,12.915
2020-01-09,12.974
2020-01-10,13.128
2020-01-11,13.128
2020-01-12,13.128
2020-01-13,13.128
2020-01-14,13.111
2020-01-15,13.043
2020-01-16,13.205
2020-01-17,13.256
2020-01-18,13.256
2020-01-19,13.256
2020-01-20,13.256
2020-01-21,13.06
2020-01-22,13.094
2020-01-23,13.41
2020-01-24,12.966
2020-01-25,12.966
2020-01-26,12.966
2020-01-27,13.051
2020-01-28,12.991
2020-01-29,13.009
2020-01-30,13.145
2020-01-31,12.897
2020-02-01,12.897
2020-02-02,12.897
2020-02-03,12.436
2020-02-04,12.564
2020-02-05,12.983
2020-02-06,12.88
2020-02-07,12.547
2020-02-08,12.547
2020-02-09,12.547
2020-02-10,12.667
2020-02-11,12.41
2020-02-12,12.239
2020-02-13,12.128
2020-02-14,12.017
2020-02-15,12.017
2020-02-16,12.017
2020-02-17,12.017
2020-02-18,11.778
2020-02-19,11.65
2020-02-20,11.966
2020-02-21,11.974
2020-02-22,11.974
2020-02-23,11.974
2020-02-24,11.453
2020-02-25,17.208
2020-02-26,17.208
2020-02-27,16.844
2020-02-28,17.169
2020-02-29,17.169
2020-03-01,17.169
2020-03-02,16.974
2020-03-03,16.571
2020-03-04,16.468
2020-03-05,15.026
2020-03-06,14.766
2020-03-07,14.766
2020-03-08,14.766
2020-03-09,12.818
2020-03-10,12.364
2020-03-11,11.013
2020-03-12,8.597
2020-03-13,8.857
2020-03-14,8.857
2020-03-15,8.857
2020-03-16,5.909
2020-03-17,5.364
2020-03-18,4.545
2020-03-19,5.532
2020-03-20,5.727
2020-03-21,5.727
2020-03-22,5.727
2020-03-23,5.519
2020-03-24,5.95
2020-03-25,5.689
2020-03-26,5.901
2020-03-27,6.037
2020-03-28,6.037
2020-03-29,6.037
2020-03-30,5.826
2020-03-31,6.373
2020-04-01,5.602
2020-04-02,5.155
2020-04-03,4.957
2020-04-04,4.957
2020-04-05,4.957
2020-04-06,8.835
2020-04-07,8.757
2020-04-08,23.789
2020-04-09,27.105
2020-04-10,27.105
2020-04-11,27.105
2020-04-12,27.105
2020-04-13,23.579
2020-04-14,25.947
2020-04-15,22.737
2020-04-16,22.316
2020-04-17,22.474
2020-04-18,22.474
2020-04-19,22.474
2020-04-20,22.947
2020-04-21,20.842
2020-04-22,21.053
2020-04-23,21.789
2020-04-24,21.579
2020-04-25,21.579
2020-04-26,21.579
2020-04-27,21.579
2020-04-28,23.105
2020-04-29,27.684
2020-04-30,25.947
2020-05-01,24.684
2020-05-02,24.684
2020-05-03,24.684
2020-05-04,25.053
2020-05-05,26.211
2020-05-06,16.519
2020-05-07,18.519
2020-05-08,14.738
2020-05-09,14.738
2020-05-10,14.738
2020-05-11,14.215
2020-05-12,13.196
2020-05-13,12.59
2020-05-14,12.259
2020-05-15,12.948
2020-05-16,12.948
2020-05-17,12.948
2020-05-18,14.38
2020-05-19,14.876
2020-05-20,15.096
2020-05-21,15.041
2020-05-22,15.289
2020-05-23,15.289
2020-05-24,15.289
2020-05-25,15.289
2020-05-26,17.658
2020-05-27,17.576
2020-05-28,16.832
2020-05-29,16.749
2020-05-30,16.749
2020-05-31,16.749
2020-06-01,18.072
2020-06-02,17.576
2020-06-03,19.256
2020-06-04,19.532
2020-06-05,23.03
2020-06-06,23.03
2020-06-07,23.03
2020-06-08,21.983
2020-06-09,20.331
2020-06-10,19.063
2020-06-11,17.218
2020-06-12,17.355
2020-06-13,17.355
2020-06-14,17.355
2020-06-15,17.989
2020-06-16,18.072
2020-06-17,17.3
2020-06-18,17.273
2020-06-19,16.667
2020-06-20,16.667
2020-06-21,16.667
2020-06-22,16.804
2020-06-23,17.328
2020-06-24,14.986
2020-06-25,15.565
2020-06-26,14.986
2020-06-27,14.986
2020-06-28,14.986
2020-06-29,16.667
2020-06-30,16.777
2020-07-01,15.95
2020-07-02,15.813
2020-07-03,15.813
2020-07-04,15.813
2020-07-05,15.813
2020-07-06,15.895
2020-07-07,14.904
2020-07-08,15.592
2020-07-09,14.545
2020-07-10,15.785
2020-07-11,15.785
2020-07-12,15.785
2020-07-13,16.501
2020-07-14,16.804
2020-07-15,18.237
2020-07-16,18.32
2020-07-17,17.548
2020-07-18,17.548
2020-07-19,17.548
2020-07-20,16.804
2020-07-21,18.209
2020-07-22,18.292
2020-07-23,18.678
2020-07-24,17.438
2020-07-25,17.438
2020-07-26,17.438
2020-07-27,17.989
