,PCAR US Equity
,BEST_PE_RATIO
2020-01-01,8.553
2020-01-02,8.597
2020-01-03,8.513
2020-01-04,8.513
2020-01-05,8.513
2020-01-06,8.482
2020-01-07,8.425
2020-01-08,8.538
2020-01-09,8.483
2020-01-10,8.414
2020-01-11,8.414
2020-01-12,8.414
2020-01-13,8.441
2020-01-14,8.456
2020-01-15,8.376
2020-01-16,8.495
2020-01-17,8.49
2020-01-18,8.49
2020-01-19,8.49
2020-01-20,8.49
2020-01-21,8.384
2020-01-22,8.32
2020-01-23,8.391
2020-01-24,8.303
2020-01-25,8.303
2020-01-26,8.303
2020-01-27,8.128
2020-01-28,8.301
2020-01-29,8.23
2020-01-30,8.224
2020-01-31,8.024
2020-02-01,8.024
2020-02-02,8.024
2020-02-03,8.038
2020-02-04,8.237
2020-02-05,8.433
2020-02-06,8.39
2020-02-07,8.154
2020-02-08,8.154
2020-02-09,8.154
2020-02-10,8.178
2020-02-11,8.216
2020-02-12,8.314
2020-02-13,8.126
2020-02-14,8.116
2020-02-15,8.116
2020-02-16,8.116
2020-02-17,8.116
2020-02-18,8.068
2020-02-19,8.061
2020-02-20,8.203
2020-02-21,8.183
2020-02-22,8.183
2020-02-23,8.183
2020-02-24,7.898
2020-02-25,7.6
2020-02-26,7.538
2020-02-27,7.359
2020-02-28,7.265
2020-02-29,7.265
2020-03-01,7.265
2020-03-02,7.567
2020-03-03,7.335
2020-03-04,7.542
2020-03-05,7.097
2020-03-06,7.011
2020-03-07,7.011
2020-03-08,7.011
2020-03-09,6.614
2020-03-10,7.02
2020-03-11,6.786
2020-03-12,6.43
2020-03-13,7.073
2020-03-14,7.073
2020-03-15,7.073
2020-03-16,6.534
2020-03-17,6.48
2020-03-18,6.054
2020-03-19,6.084
2020-03-20,5.679
2020-03-21,5.679
2020-03-22,5.679
2020-03-23,5.42
2020-03-24,6.19
2020-03-25,6.405
2020-03-26,6.564
2020-03-27,6.46
2020-03-28,6.46
2020-03-29,6.46
2020-03-30,6.762
2020-03-31,6.638
2020-04-01,6.528
2020-04-02,6.61
2020-04-03,6.69
2020-04-04,6.69
2020-04-05,6.69
2020-04-06,7.052
2020-04-07,7.116
2020-04-08,7.217
2020-04-09,7.305
2020-04-10,7.305
2020-04-11,7.305
2020-04-12,7.305
2020-04-13,7.159
2020-04-14,7.255
2020-04-15,7.1
2020-04-16,7.188
2020-04-17,7.346
2020-04-18,7.346
2020-04-19,7.346
2020-04-20,7.297
2020-04-21,7.137
2020-04-22,7.182
2020-04-23,7.157
2020-04-24,7.328
2020-04-25,7.328
2020-04-26,7.328
2020-04-27,7.472
2020-04-28,7.51
2020-04-29,7.557
2020-04-30,7.518
2020-05-01,7.416
2020-05-02,7.416
2020-05-03,7.416
2020-05-04,7.424
2020-05-05,7.391
2020-05-06,7.417
2020-05-07,7.45
2020-05-08,7.56
2020-05-09,7.56
2020-05-10,7.56
2020-05-11,7.509
2020-05-12,7.682
2020-05-13,7.585
2020-05-14,7.655
2020-05-15,7.68
2020-05-16,7.68
2020-05-17,7.68
2020-05-18,8.041
2020-05-19,7.878
2020-05-20,7.933
2020-05-21,7.837
2020-05-22,7.863
2020-05-23,7.863
2020-05-24,7.863
2020-05-25,7.863
2020-05-26,8.337
2020-05-27,8.626
2020-05-28,8.505
2020-05-29,8.488
2020-05-30,8.488
2020-05-31,8.488
2020-06-01,8.403
2020-06-02,8.439
2020-06-03,8.577
2020-06-04,8.699
2020-06-05,8.958
2020-06-06,8.958
2020-06-07,8.958
2020-06-08,9.06
2020-06-09,9.073
2020-06-10,8.826
2020-06-11,8.341
2020-06-12,8.409
2020-06-13,8.409
2020-06-14,8.409
2020-06-15,8.472
2020-06-16,8.563
2020-06-17,8.539
2020-06-18,8.558
2020-06-19,8.615
2020-06-20,8.615
2020-06-21,8.615
2020-06-22,8.587
2020-06-23,8.593
2020-06-24,8.334
2020-06-25,8.418
2020-06-26,8.325
2020-06-27,8.325
2020-06-28,8.325
2020-06-29,8.468
2020-06-30,8.602
2020-07-01,8.533
2020-07-02,8.697
2020-07-03,8.697
2020-07-04,8.697
2020-07-05,8.697
2020-07-06,8.868
2020-07-07,8.708
2020-07-08,8.672
2020-07-09,8.554
2020-07-10,8.647
2020-07-11,8.647
2020-07-12,8.647
2020-07-13,8.693
2020-07-14,8.855
2020-07-15,10.244
2020-07-16,10.339
2020-07-17,10.336
2020-07-18,10.336
2020-07-19,10.336
2020-07-20,10.369
2020-07-21,10.886
2020-07-22,11.65
2020-07-23,11.76
2020-07-24,11.717
2020-07-25,11.717
2020-07-26,11.717
2020-07-27,12.118
2020-07-28,12.052
2020-07-29,12.128
2020-07-30,11.933
2020-07-31,11.999
2020-08-01,11.999
2020-08-02,11.999
2020-08-03,12.074
2020-08-04,11.975
2020-08-05,12.256
2020-08-06,12.321
2020-08-07,12.496
2020-08-08,12.496
2020-08-09,12.496
2020-08-10,12.718
2020-08-11,12.795
2020-08-12,12.786
2020-08-13,12.527
2020-08-14,12.591
2020-08-15,12.591
2020-08-16,12.591
2020-08-17,12.543
2020-08-18,12.536
2020-08-19,12.472
2020-08-20,12.34
2020-08-21,12.318
2020-08-22,12.318
2020-08-23,12.318
2020-08-24,12.301
2020-08-25,12.231
2020-08-26,12.296
2020-08-27,12.22
2020-08-28,12.243
2020-08-29,12.243
2020-08-30,12.243
2020-08-31,12.151
2020-09-01,12.322
2020-09-02,12.439
2020-09-03,12.095
2020-09-04,12.119
2020-09-05,12.119
2020-09-06,12.119
2020-09-07,12.119
2020-09-08,11.818
2020-09-09,12.026
2020-09-10,11.726
2020-09-11,11.875
2020-09-12,11.875
2020-09-13,11.875
2020-09-14,12.223
2020-09-15,12.141
2020-09-16,12.233
2020-09-17,12.153
2020-09-18,11.924
2020-09-19,11.924
2020-09-20,11.924
2020-09-21,11.587
2020-09-22,11.206
2020-09-23,11.106
2020-09-24,11.181
2020-09-25,11.368
2020-09-26,11.368
2020-09-27,11.368
2020-09-28,11.779
2020-09-29,11.724
2020-09-30,11.606
2020-10-01,11.498
2020-10-02,11.566
2020-10-03,11.566
2020-10-04,11.566
2020-10-05,11.988
2020-10-06,11.933
2020-10-07,12.233
2020-10-08,12.24
2020-10-09,12.142
2020-10-10,12.142
2020-10-11,12.142
2020-10-12,12.218
2020-10-13,12.178
2020-10-14,12.237
2020-10-15,12.263
2020-10-16,12.37
2020-10-17,12.37
2020-10-18,12.37
2020-10-19,12.524
2020-10-20,12.425
2020-10-21,12.392
2020-10-22,12.075
2020-10-23,12.2
2020-10-24,12.2
2020-10-25,12.2
2020-10-26,11.927
2020-10-27,11.648
2020-10-28,11.179
2020-10-29,11.282
2020-10-30,11.244
2020-10-31,11.244
2020-11-01,11.244
2020-11-02,11.698
2020-11-03,12.087
2020-11-04,11.688
2020-11-05,11.933
2020-11-06,11.864
2020-11-07,11.864
2020-11-08,11.864
2020-11-09,11.974
2020-11-10,12.043
2020-11-11,11.917
2020-11-12,11.321
2020-11-13,11.438
2020-11-14,11.438
2020-11-15,11.438
2020-11-16,11.439
2020-11-17,11.299
2020-11-18,11.429
2020-11-19,11.454
2020-11-20,11.294
2020-11-21,11.294
2020-11-22,11.294
2020-11-23,11.393
2020-11-24,11.501
2020-11-25,11.299
2020-11-26,11.299
2020-11-27,11.162
2020-11-28,11.162
2020-11-29,11.162
2020-11-30,11.075
