,ITW US Equity
,BEST_PE_RATIO
2020-01-01,14.199
2020-01-02,14.361
2020-01-03,14.157
2020-01-04,14.157
2020-01-05,14.157
2020-01-06,14.112
2020-01-07,14.055
2020-01-08,14.128
2020-01-09,14.199
2020-01-10,14.089
2020-01-11,14.089
2020-01-12,14.089
2020-01-13,14.214
2020-01-14,14.12
2020-01-15,14.102
2020-01-16,14.211
2020-01-17,14.262
2020-01-18,14.262
2020-01-19,14.262
2020-01-20,14.262
2020-01-21,14.06
2020-01-22,14.031
2020-01-23,14.196
2020-01-24,13.935
2020-01-25,13.935
2020-01-26,13.935
2020-01-27,13.704
2020-01-28,13.901
2020-01-29,13.897
2020-01-30,14.062
2020-01-31,13.831
2020-02-01,13.831
2020-02-02,13.831
2020-02-03,13.948
2020-02-04,14.388
2020-02-05,14.683
2020-02-06,14.708
2020-02-07,14.508
2020-02-08,14.508
2020-02-09,14.508
2020-02-10,14.531
2020-02-11,14.791
2020-02-12,14.992
2020-02-13,14.945
2020-02-14,14.849
2020-02-15,14.849
2020-02-16,14.849
2020-02-17,14.849
2020-02-18,14.74
2020-02-19,14.823
2020-02-20,15.018
2020-02-21,14.985
2020-02-22,14.985
2020-02-23,14.985
2020-02-24,14.47
2020-02-25,14.037
2020-02-26,13.911
2020-02-27,13.448
2020-02-28,13.262
2020-02-29,13.262
2020-03-01,13.262
2020-03-02,13.697
2020-03-03,13.347
2020-03-04,14.022
2020-03-05,13.256
2020-03-06,12.972
2020-03-07,12.972
2020-03-08,12.972
2020-03-09,12.214
2020-03-10,13.012
2020-03-11,12.523
2020-03-12,11.081
2020-03-13,12.366
2020-03-14,12.366
2020-03-15,12.366
2020-03-16,11.795
2020-03-17,12.607
2020-03-18,11.205
2020-03-19,10.776
2020-03-20,9.942
2020-03-21,9.942
2020-03-22,9.942
2020-03-23,9.334
2020-03-24,10.884
2020-03-25,11.345
2020-03-26,11.895
2020-03-27,11.327
2020-03-28,11.327
2020-03-29,11.327
2020-03-30,11.336
2020-03-31,11.318
2020-04-01,10.932
2020-04-02,11.277
2020-04-03,11.182
2020-04-04,11.182
2020-04-05,11.182
2020-04-06,12.029
2020-04-07,12.127
2020-04-08,12.647
2020-04-09,12.685
2020-04-10,12.685
2020-04-11,12.685
2020-04-12,12.685
2020-04-13,12.099
2020-04-14,12.428
2020-04-15,12.161
2020-04-16,12.21
2020-04-17,12.629
2020-04-18,12.629
2020-04-19,12.629
2020-04-20,12.361
2020-04-21,12.087
2020-04-22,12.387
2020-04-23,12.353
2020-04-24,12.601
2020-04-25,12.601
2020-04-26,12.601
2020-04-27,12.999
2020-04-28,13.258
2020-04-29,13.34
2020-04-30,12.941
2020-05-01,12.698
2020-05-02,12.698
2020-05-03,12.698
2020-05-04,12.61
2020-05-05,12.717
2020-05-06,12.645
2020-05-07,12.499
2020-05-08,12.823
2020-05-09,12.823
2020-05-10,12.823
2020-05-11,12.893
2020-05-12,12.321
2020-05-13,12.144
2020-05-14,12.332
2020-05-15,12.398
2020-05-16,12.398
2020-05-17,12.398
2020-05-18,14.767
2020-05-19,14.461
2020-05-20,14.793
2020-05-21,14.712
2020-05-22,14.68
2020-05-23,14.68
2020-05-24,14.68
2020-05-25,14.68
2020-05-26,15.519
2020-05-27,15.8
2020-05-28,15.502
2020-05-29,15.461
2020-05-30,15.461
2020-05-31,15.461
2020-06-01,15.351
2020-06-02,15.445
2020-06-03,15.998
2020-06-04,16.023
2020-06-05,16.395
2020-06-06,16.395
2020-06-07,16.395
2020-06-08,16.158
2020-06-09,15.961
2020-06-10,15.644
2020-06-11,14.808
2020-06-12,14.787
2020-06-13,14.787
2020-06-14,14.787
2020-06-15,14.788
2020-06-16,15.187
2020-06-17,15.459
2020-06-18,15.285
2020-06-19,15.32
2020-06-20,15.32
2020-06-21,15.32
2020-06-22,17.353
2020-06-23,17.441
2020-06-24,17.084
2020-06-25,17.279
2020-06-26,16.961
2020-06-27,16.961
2020-06-28,16.961
2020-06-29,17.333
2020-06-30,17.785
2020-07-01,17.54
2020-07-02,17.76
2020-07-03,17.76
2020-07-04,17.76
2020-07-05,17.76
2020-07-06,18.071
2020-07-07,17.834
2020-07-08,17.731
2020-07-09,17.627
2020-07-10,17.705
2020-07-11,17.705
2020-07-12,17.705
2020-07-13,17.778
2020-07-14,18.251
2020-07-15,18.211
2020-07-16,18.151
2020-07-17,18.198
2020-07-18,18.198
2020-07-19,18.198
2020-07-20,17.824
2020-07-21,18.184
2020-07-22,18.252
2020-07-23,18.371
2020-07-24,18.469
2020-07-25,18.469
2020-07-26,18.469
2020-07-27,18.762
2020-07-28,18.502
2020-07-29,18.739
2020-07-30,18.557
2020-07-31,18.489
2020-08-01,18.489
2020-08-02,18.489
2020-08-03,17.913
2020-08-04,17.834
2020-08-05,18.165
2020-08-06,18.109
2020-08-07,18.36
2020-08-08,18.36
2020-08-09,18.36
2020-08-10,18.868
2020-08-11,18.916
2020-08-12,19.714
2020-08-13,19.612
2020-08-14,19.475
2020-08-15,19.475
2020-08-16,19.475
2020-08-17,19.519
2020-08-18,19.491
2020-08-19,19.44
2020-08-20,19.238
2020-08-21,19.194
2020-08-22,19.194
2020-08-23,19.194
2020-08-24,19.404
2020-08-25,19.583
2020-08-26,19.733
2020-08-27,19.711
2020-08-28,19.908
2020-08-29,19.908
2020-08-30,19.908
2020-08-31,19.599
2020-09-01,19.944
2020-09-02,20.036
2020-09-03,19.31
2020-09-04,19.237
2020-09-05,19.237
2020-09-06,19.237
2020-09-07,19.237
2020-09-08,18.939
2020-09-09,19.36
2020-09-10,19.043
2020-09-11,19.392
2020-09-12,19.392
2020-09-13,19.392
2020-09-14,19.666
2020-09-15,19.708
2020-09-16,19.793
2020-09-17,19.936
2020-09-18,19.754
2020-09-19,19.754
2020-09-20,19.754
2020-09-21,19.0
2020-09-22,19.157
2020-09-23,18.934
2020-09-24,19.083
2020-09-25,19.111
2020-09-26,19.111
2020-09-27,19.111
2020-09-28,19.414
2020-09-29,19.307
2020-09-30,19.281
2020-10-01,19.051
2020-10-02,19.145
2020-10-03,19.145
2020-10-04,19.145
2020-10-05,19.789
2020-10-06,19.651
2020-10-07,19.975
2020-10-08,20.109
2020-10-09,20.582
2020-10-10,20.582
2020-10-11,20.582
2020-10-12,20.278
2020-10-13,20.213
2020-10-14,20.207
2020-10-15,20.276
2020-10-16,20.559
2020-10-17,20.559
2020-10-18,20.559
2020-10-19,20.189
2020-10-20,20.291
2020-10-21,20.212
2020-10-22,20.12
2020-10-23,20.479
2020-10-24,20.479
2020-10-25,20.479
2020-10-26,19.064
2020-10-27,18.941
2020-10-28,18.374
2020-10-29,18.769
2020-10-30,18.68
2020-10-31,18.68
2020-11-01,18.68
2020-11-02,19.271
2020-11-03,19.855
