,MMM US Equity
,BEST_PE_RATIO
2020-01-01,10.012
2020-01-02,10.215
2020-01-03,10.127
2020-01-04,10.127
2020-01-05,10.127
2020-01-06,10.137
2020-01-07,10.096
2020-01-08,10.251
2020-01-09,10.283
2020-01-10,10.242
2020-01-11,10.242
2020-01-12,10.242
2020-01-13,10.268
2020-01-14,10.293
2020-01-15,10.203
2020-01-16,10.273
2020-01-17,10.292
2020-01-18,10.292
2020-01-19,10.292
2020-01-20,10.292
2020-01-21,10.181
2020-01-22,10.104
2020-01-23,10.087
2020-01-24,10.11
2020-01-25,10.11
2020-01-26,10.11
2020-01-27,9.967
2020-01-28,9.397
2020-01-29,9.194
2020-01-30,9.223
2020-01-31,9.004
2020-02-01,9.004
2020-02-02,9.004
2020-02-03,8.887
2020-02-04,8.924
2020-02-05,9.213
2020-02-06,9.244
2020-02-07,9.085
2020-02-08,9.085
2020-02-09,9.085
2020-02-10,9.089
2020-02-11,9.219
2020-02-12,9.296
2020-02-13,9.149
2020-02-14,9.22
2020-02-15,9.22
2020-02-16,9.22
2020-02-17,9.22
2020-02-18,9.098
2020-02-19,9.125
2020-02-20,9.08
2020-02-21,8.987
2020-02-22,8.987
2020-02-23,8.987
2020-02-24,8.736
2020-02-25,8.409
2020-02-26,8.53
2020-02-27,8.599
2020-02-28,8.546
2020-02-29,8.546
2020-03-01,8.546
2020-03-02,8.763
2020-03-03,8.317
2020-03-04,8.818
2020-03-05,8.671
2020-03-06,8.799
2020-03-07,8.799
2020-03-08,8.799
2020-03-09,8.25
2020-03-10,8.779
2020-03-11,8.432
2020-03-12,7.65
2020-03-13,8.113
2020-03-14,8.113
2020-03-15,8.113
2020-03-16,7.497
2020-03-17,7.699
2020-03-18,7.847
2020-03-19,7.875
2020-03-20,7.152
2020-03-21,7.152
2020-03-22,7.152
2020-03-23,6.75
2020-03-24,7.6
2020-03-25,7.533
2020-03-26,7.798
2020-03-27,7.63
2020-03-28,7.63
2020-03-29,7.63
2020-03-30,7.888
2020-03-31,7.817
2020-04-01,7.624
2020-04-02,7.898
2020-04-03,7.662
2020-04-04,7.662
2020-04-05,7.662
2020-04-06,8.057
2020-04-07,8.281
2020-04-08,8.532
2020-04-09,8.463
2020-04-10,8.463
2020-04-11,8.463
2020-04-12,8.463
2020-04-13,8.384
2020-04-14,8.598
2020-04-15,8.313
2020-04-16,8.298
2020-04-17,8.387
2020-04-18,8.387
2020-04-19,8.387
2020-04-20,8.227
2020-04-21,8.111
2020-04-22,8.224
2020-04-23,8.265
2020-04-24,8.418
2020-04-25,8.418
2020-04-26,8.418
2020-04-27,8.799
2020-04-28,9.026
2020-04-29,8.948
2020-04-30,8.7
2020-05-01,8.51
2020-05-02,8.51
2020-05-03,8.51
2020-05-04,8.498
2020-05-05,8.443
2020-05-06,8.372
2020-05-07,8.346
2020-05-08,8.505
2020-05-09,8.505
2020-05-10,8.505
2020-05-11,8.345
2020-05-12,8.104
2020-05-13,7.795
2020-05-14,7.788
2020-05-15,7.942
2020-05-16,7.942
2020-05-17,7.942
2020-05-18,8.294
2020-05-19,8.245
2020-05-20,8.63
2020-05-21,8.49
2020-05-22,8.527
2020-05-23,8.527
2020-05-24,8.527
2020-05-25,8.527
2020-05-26,8.855
2020-05-27,9.209
2020-05-28,9.131
2020-05-29,9.109
2020-05-30,9.109
2020-05-31,9.109
