,VCTR US Equity
,BEST_PE_RATIO
2020-01-01,3.353
2020-01-02,3.414
2020-01-03,3.379
2020-01-04,3.379
2020-01-05,3.379
2020-01-06,3.302
2020-01-07,3.294
2020-01-08,3.257
2020-01-09,3.403
2020-01-10,3.393
2020-01-11,3.393
2020-01-12,3.393
2020-01-13,3.455
2020-01-14,3.511
2020-01-15,3.481
2020-01-16,3.489
2020-01-17,3.414
2020-01-18,3.414
2020-01-19,3.414
2020-01-20,3.414
2020-01-21,3.422
2020-01-22,3.516
2020-01-23,3.492
2020-01-24,3.462
2020-01-25,3.462
2020-01-26,3.462
2020-01-27,3.401
2020-01-28,3.435
2020-01-29,3.411
2020-01-30,3.393
2020-01-31,3.336
2020-02-01,3.336
2020-02-02,3.336
2020-02-03,3.316
2020-02-04,3.324
2020-02-05,3.372
2020-02-06,3.471
2020-02-07,3.519
2020-02-08,3.519
2020-02-09,3.519
2020-02-10,3.462
2020-02-11,3.63
2020-02-12,3.703
2020-02-13,3.566
2020-02-14,3.542
2020-02-15,3.542
2020-02-16,3.542
2020-02-17,3.542
2020-02-18,3.764
2020-02-19,3.685
2020-02-20,3.689
2020-02-21,3.671
2020-02-22,3.671
2020-02-23,3.671
2020-02-24,3.529
2020-02-25,3.39
2020-02-26,3.417
2020-02-27,3.257
2020-02-28,3.161
2020-02-29,3.161
2020-03-01,3.161
2020-03-02,3.209
2020-03-03,3.257
2020-03-04,3.236
2020-03-05,3.051
2020-03-06,2.875
2020-03-07,2.875
2020-03-08,2.875
2020-03-09,2.485
2020-03-10,2.771
2020-03-11,2.437
2020-03-12,2.073
2020-03-13,2.372
2020-03-14,2.372
2020-03-15,2.372
2020-03-16,2.158
2020-03-17,2.19
2020-03-18,2.186
2020-03-19,2.237
2020-03-20,2.314
2020-03-21,2.314
2020-03-22,2.314
2020-03-23,2.235
2020-03-24,2.357
2020-03-25,2.509
2020-03-26,2.646
2020-03-27,2.594
2020-03-28,2.594
2020-03-29,2.594
2020-03-30,2.625
2020-03-31,2.623
2020-04-01,2.529
2020-04-02,2.487
2020-04-03,2.407
2020-04-04,2.407
2020-04-05,2.407
2020-04-06,2.566
2020-04-07,2.614
2020-04-08,2.457
2020-04-09,2.41
2020-04-10,2.41
2020-04-11,2.41
2020-04-12,2.41
2020-04-13,2.291
2020-04-14,2.344
2020-04-15,2.254
2020-04-16,2.25
2020-04-17,2.311
2020-04-18,2.311
2020-04-19,2.311
2020-04-20,2.24
2020-04-21,2.237
2020-04-22,2.341
2020-04-23,2.407
2020-04-24,2.346
2020-04-25,2.346
2020-04-26,2.346
2020-04-27,2.346
2020-04-28,2.346
2020-04-29,2.458
2020-04-30,2.42
2020-05-01,2.391
2020-05-02,2.391
2020-05-03,2.391
2020-05-04,2.344
2020-05-05,2.304
2020-05-06,2.367
2020-05-07,2.362
2020-05-08,2.386
2020-05-09,2.386
2020-05-10,2.386
2020-05-11,2.439
2020-05-12,2.402
2020-05-13,2.267
2020-05-14,2.192
2020-05-15,2.24
2020-05-16,2.24
2020-05-17,2.24
2020-05-18,2.479
2020-05-19,2.479
2020-05-20,2.45
2020-05-21,2.505
2020-05-22,2.5
2020-05-23,2.5
2020-05-24,2.5
2020-05-25,2.5
2020-05-26,2.633
2020-05-27,2.691
2020-05-28,2.66
2020-05-29,2.679
2020-05-30,2.679
2020-05-31,2.679
2020-06-01,2.711
2020-06-02,2.755
2020-06-03,2.843
2020-06-04,2.801
2020-06-05,2.872
2020-06-06,2.872
2020-06-07,2.872
2020-06-08,3.055
2020-06-09,3.043
2020-06-10,2.907
2020-06-11,2.465
2020-06-12,2.542
2020-06-13,2.542
2020-06-14,2.542
2020-06-15,2.558
2020-06-16,2.592
2020-06-17,2.706
2020-06-18,2.646
2020-06-19,2.653
2020-06-20,2.653
2020-06-21,2.653
2020-06-22,2.699
2020-06-23,2.637
2020-06-24,2.622
2020-06-25,2.616
2020-06-26,2.604
2020-06-27,2.604
2020-06-28,2.604
2020-06-29,2.646
2020-06-30,2.764
2020-07-01,2.785
2020-07-02,2.83
2020-07-03,2.83
2020-07-04,2.83
2020-07-05,2.83
2020-07-06,2.895
2020-07-07,2.857
2020-07-08,2.9
2020-07-09,2.875
2020-07-10,3.014
2020-07-11,3.014
2020-07-12,3.014
2020-07-13,2.857
2020-07-14,2.936
2020-07-15,3.045
2020-07-16,3.066
2020-07-17,3.058
2020-07-18,3.058
2020-07-19,3.058
2020-07-20,3.132
2020-07-21,3.088
2020-07-22,3.116
2020-07-23,3.066
2020-07-24,3.029
2020-07-25,3.029
2020-07-26,3.029
2020-07-27,3.047
2020-07-28,3.034
2020-07-29,2.992
2020-07-30,2.931
2020-07-31,2.854
2020-08-01,2.854
2020-08-02,2.854
2020-08-03,2.932
2020-08-04,2.921
2020-08-05,2.897
2020-08-06,2.93
2020-08-07,3.011
2020-08-08,3.011
2020-08-09,3.011
2020-08-10,3.031
2020-08-11,3.042
2020-08-12,2.989
2020-08-13,2.957
2020-08-14,2.957
2020-08-15,2.957
2020-08-16,2.957
2020-08-17,2.879
2020-08-18,2.828
2020-08-19,2.807
2020-08-20,2.812
2020-08-21,2.796
2020-08-22,2.796
2020-08-23,2.796
2020-08-24,2.78
2020-08-25,2.764
2020-08-26,2.746
2020-08-27,2.725
2020-08-28,2.731
2020-08-29,2.731
2020-08-30,2.731
2020-08-31,2.796
2020-09-01,2.831
2020-09-02,2.918
2020-09-03,2.899
2020-09-04,2.876
2020-09-05,2.876
2020-09-06,2.876
2020-09-07,2.876
2020-09-08,2.823
2020-09-09,2.776
2020-09-10,2.652
2020-09-11,2.673
2020-09-12,2.673
2020-09-13,2.673
2020-09-14,2.734
2020-09-15,2.707
2020-09-16,2.697
2020-09-17,2.694
2020-09-18,2.688
2020-09-19,2.688
2020-09-20,2.688
2020-09-21,2.644
2020-09-22,2.642
2020-09-23,2.589
2020-09-24,2.63
2020-09-25,2.641
2020-09-26,2.641
2020-09-27,2.641
2020-09-28,2.712
2020-09-29,2.71
2020-09-30,2.725
2020-10-01,2.71
2020-10-02,2.791
2020-10-03,2.791
2020-10-04,2.791
2020-10-05,2.831
2020-10-06,2.791
2020-10-07,2.807
2020-10-08,2.981
2020-10-09,2.988
2020-10-10,2.988
2020-10-11,2.988
2020-10-12,3.055
2020-10-13,3.065
2020-10-14,3.057
2020-10-15,3.075
2020-10-16,3.11
2020-10-17,3.11
2020-10-18,3.11
2020-10-19,3.086
2020-10-20,3.136
2020-10-21,3.141
2020-10-22,3.167
2020-10-23,3.21
2020-10-24,3.21
2020-10-25,3.21
2020-10-26,3.18
2020-10-27,3.181
2020-10-28,3.054
2020-10-29,3.009
2020-10-30,2.959
2020-10-31,2.959
2020-11-01,2.959
2020-11-02,2.942
2020-11-03,2.954
2020-11-04,3.046
2020-11-05,3.165
2020-11-06,3.091
2020-11-07,3.091
2020-11-08,3.091
2020-11-09,3.168
2020-11-10,3.122
2020-11-11,3.138
2020-11-12,3.162
2020-11-13,3.188
2020-11-14,3.188
2020-11-15,3.188
2020-11-16,3.251
2020-11-17,3.226
2020-11-18,3.255
2020-11-19,3.073
2020-11-20,2.967
2020-11-21,2.967
2020-11-22,2.967
2020-11-23,3.068
2020-11-24,3.264
2020-11-25,3.297
2020-11-26,3.297
2020-11-27,3.293
2020-11-28,3.293
2020-11-29,3.293
2020-11-30,3.312
2020-12-01,3.464
2020-12-02,3.518
2020-12-03,3.714
2020-12-04,3.618
2020-12-05,3.618
2020-12-06,3.618
2020-12-07,3.568
2020-12-08,3.641
2020-12-09,3.722
2020-12-10,3.741
2020-12-11,3.788
2020-12-12,3.788
2020-12-13,3.788
2020-12-14,3.639
2020-12-15,3.647
2020-12-16,3.622
2020-12-17,3.741
2020-12-18,3.749
2020-12-19,3.749
2020-12-20,3.749
2020-12-21,3.74
2020-12-22,3.736
2020-12-23,3.881
2020-12-24,3.85
2020-12-25,3.85
2020-12-26,3.85
2020-12-27,3.85
2020-12-28,3.884
2020-12-29,3.872
2020-12-30,3.953
2020-12-31,4.015
2021-01-01,4.015
2021-01-02,4.015
2021-01-03,4.015
2021-01-04,4.031
2021-01-05,3.85
2021-01-06,3.887
2021-01-07,3.766
2021-01-08,3.847
2021-01-09,3.847
2021-01-10,3.847
2021-01-11,3.803
2021-01-12,3.906
2021-01-13,3.984
2021-01-14,3.955
2021-01-15,3.953
2021-01-16,3.953
2021-01-17,3.953
2021-01-18,3.953
2021-01-19,3.945
2021-01-20,3.903
2021-01-21,3.874
2021-01-22,3.785
2021-01-23,3.785
2021-01-24,3.785
2021-01-25,3.626
2021-01-26,3.669
2021-01-27,3.515
2021-01-28,3.513
2021-01-29,3.434
2021-01-30,3.434
2021-01-31,3.434
2021-02-01,3.558
2021-02-02,3.746
2021-02-03,3.754
2021-02-04,3.921
2021-02-05,4.002
2021-02-06,4.002
2021-02-07,4.002
2021-02-08,4.021
2021-02-09,4.034
2021-02-10,4.008
2021-02-11,4.133
2021-02-12,4.065
2021-02-13,4.065
2021-02-14,4.065
2021-02-15,4.065
2021-02-16,4.037
2021-02-17,3.992
2021-02-18,3.892
2021-02-19,3.885
2021-02-20,3.885
2021-02-21,3.885
2021-02-22,4.012
2021-02-23,3.929
2021-02-24,3.974
2021-02-25,3.881
2021-02-26,3.843
2021-02-27,3.843
2021-02-28,3.843
2021-03-01,4.05
2021-03-02,3.989
2021-03-03,3.966
2021-03-04,3.825
2021-03-05,3.971
2021-03-06,3.971
2021-03-07,3.971
2021-03-08,4.046
2021-03-09,4.062
2021-03-10,4.117
2021-03-11,4.128
2021-03-12,4.239
2021-03-13,4.239
2021-03-14,4.239
2021-03-15,4.349
2021-03-16,4.327
2021-03-17,4.37
2021-03-18,4.25
2021-03-19,4.304
2021-03-20,4.304
2021-03-21,4.304
2021-03-22,4.206
2021-03-23,4.052
2021-03-24,4.072
2021-03-25,4.167
2021-03-26,4.231
2021-03-27,4.231
2021-03-28,4.231
2021-03-29,4.208
2021-03-30,4.177
2021-03-31,4.151
2021-04-01,4.205
2021-04-02,4.205
2021-04-03,4.205
2021-04-04,4.205
2021-04-05,4.323
2021-04-06,4.499
2021-04-07,4.59
2021-04-08,4.603
2021-04-09,4.951
2021-04-10,4.951
2021-04-11,4.951
2021-04-12,4.827
2021-04-13,4.661
2021-04-14,4.671
2021-04-15,4.702
2021-04-16,4.706
2021-04-17,4.706
2021-04-18,4.706
2021-04-19,4.866
2021-04-20,4.76
2021-04-21,4.804
2021-04-22,4.837
2021-04-23,4.902
2021-04-24,4.902
2021-04-25,4.902
2021-04-26,4.883
2021-04-27,4.823
2021-04-28,4.801
2021-04-29,4.798
2021-04-30,4.731
2021-05-01,4.731
2021-05-02,4.731
2021-05-03,4.803
2021-05-04,4.777
2021-05-05,4.774
2021-05-06,4.816
2021-05-07,5.072
2021-05-08,5.072
2021-05-09,5.072
2021-05-10,5.072
2021-05-11,4.944
2021-05-12,4.661
2021-05-13,4.56
2021-05-14,4.793
2021-05-15,4.793
2021-05-16,4.793
2021-05-17,4.775
2021-05-18,4.818
2021-05-19,4.723
2021-05-20,4.767
2021-05-21,4.829
2021-05-22,4.829
2021-05-23,4.829
2021-05-24,4.871
2021-05-25,4.754
2021-05-26,4.803
2021-05-27,4.831
2021-05-28,4.871
2021-05-29,4.871
2021-05-30,4.871
2021-05-31,4.871
2021-06-01,4.891
2021-06-02,4.861
2021-06-03,4.91
2021-06-04,4.868
2021-06-05,4.868
2021-06-06,4.868
2021-06-07,4.876
2021-06-08,4.959
2021-06-09,4.999
2021-06-10,4.926
2021-06-11,4.92
2021-06-12,4.92
2021-06-13,4.92
2021-06-14,4.892
2021-06-15,4.939
2021-06-16,4.941
2021-06-17,5.003
2021-06-18,4.908
2021-06-19,4.908
2021-06-20,4.908
2021-06-21,5.016
2021-06-22,5.118
2021-06-23,5.056
2021-06-24,5.102
2021-06-25,5.276
2021-06-26,5.276
2021-06-27,5.276
2021-06-28,5.184
2021-06-29,5.232
2021-06-30,5.26
2021-07-01,5.397
2021-07-02,5.394
2021-07-03,5.394
2021-07-04,5.394
2021-07-05,5.394
2021-07-06,5.376
2021-07-07,5.371
2021-07-08,5.294
2021-07-09,5.366
2021-07-10,5.366
2021-07-11,5.366
2021-07-12,5.381
2021-07-13,5.279
2021-07-14,5.333
2021-07-15,5.389
2021-07-16,5.312
2021-07-17,5.312
2021-07-18,5.312
2021-07-19,5.022
2021-07-20,5.253
2021-07-21,5.154
2021-07-22,5.014
2021-07-23,4.926
2021-07-24,4.926
2021-07-25,4.926
2021-07-26,4.962
2021-07-27,4.867
2021-07-28,4.768
2021-07-29,4.834
2021-07-30,4.971
2021-07-31,4.971
2021-08-01,4.971
2021-08-02,5.12
2021-08-03,5.213
2021-08-04,5.195
2021-08-05,5.25
2021-08-06,5.531
2021-08-07,5.531
2021-08-08,5.531
2021-08-09,5.532
2021-08-10,5.557
2021-08-11,5.589
2021-08-12,5.586
2021-08-13,5.71
2021-08-14,5.71
2021-08-15,5.71
2021-08-16,5.749
2021-08-17,5.703
2021-08-18,5.672
2021-08-19,5.565
2021-08-20,5.666
2021-08-21,5.666
2021-08-22,5.666
2021-08-23,5.653
2021-08-24,5.664
2021-08-25,5.666
2021-08-26,5.519
2021-08-27,5.713
2021-08-28,5.713
2021-08-29,5.713
2021-08-30,5.646
2021-08-31,5.712
2021-09-01,5.656
2021-09-02,5.638
2021-09-03,5.545
2021-09-04,5.545
2021-09-05,5.545
2021-09-06,5.545
2021-09-07,5.875
2021-09-08,5.495
2021-09-09,5.526
2021-09-10,5.444
2021-09-11,5.444
2021-09-12,5.444
2021-09-13,5.544
2021-09-14,5.562
2021-09-15,5.634
2021-09-16,5.657
2021-09-17,5.747
2021-09-18,5.747
2021-09-19,5.747
2021-09-20,5.47
2021-09-21,5.452
2021-09-22,5.416
2021-09-23,5.532
2021-09-24,5.475
2021-09-25,5.475
2021-09-26,5.475
2021-09-27,5.586
2021-09-28,5.652
2021-09-29,5.752
2021-09-30,5.734
2021-10-01,5.732
2021-10-02,5.732
2021-10-03,5.732
2021-10-04,5.658
2021-10-05,5.629
2021-10-06,5.691
2021-10-07,5.803
2021-10-08,6.03
2021-10-09,6.03
2021-10-10,6.03
2021-10-11,5.901
2021-10-12,5.897
2021-10-13,5.922
2021-10-14,6.053
2021-10-15,6.033
2021-10-16,6.033
2021-10-17,6.033
2021-10-18,5.819
2021-10-19,5.836
2021-10-20,5.929
2021-10-21,5.908
2021-10-22,5.963
2021-10-23,5.963
2021-10-24,5.963
2021-10-25,6.019
2021-10-26,6.034
2021-10-27,5.974
2021-10-28,6.023
2021-10-29,6.116
2021-10-30,6.116
2021-10-31,6.116
2021-11-01,6.115
2021-11-02,6.052
2021-11-03,6.12
2021-11-04,6.124
2021-11-05,6.623
2021-11-06,6.623
2021-11-07,6.623
2021-11-08,6.556
2021-11-09,6.562
2021-11-10,6.296
2021-11-11,6.267
2021-11-12,6.151
2021-11-13,6.151
2021-11-14,6.151
2021-11-15,6.161
2021-11-16,6.189
2021-11-17,5.656
2021-11-18,5.171
2021-11-19,5.302
2021-11-20,5.302
2021-11-21,5.302
2021-11-22,5.365
2021-11-23,5.514
2021-11-24,5.504
2021-11-25,5.504
2021-11-26,5.327
2021-11-27,5.327
2021-11-28,5.327
2021-11-29,5.507
2021-11-30,5.493
2021-12-01,5.601
2021-12-02,5.681
2021-12-03,5.47
2021-12-04,5.47
2021-12-05,5.47
2021-12-06,5.388
2021-12-07,5.514
2021-12-08,5.627
2021-12-09,5.452
2021-12-10,5.438
2021-12-11,5.438
2021-12-12,5.438
2021-12-13,5.335
2021-12-14,5.417
2021-12-15,5.482
2021-12-16,5.357
2021-12-17,5.464
2021-12-18,5.464
2021-12-19,5.464
2021-12-20,5.326
2021-12-21,5.406
2021-12-22,5.644
2021-12-23,5.779
2021-12-24,5.779
2021-12-25,5.779
2021-12-26,5.779
2021-12-27,5.812
2021-12-28,5.819
2021-12-29,5.775
2021-12-30,5.734
2021-12-31,5.751
2022-01-01,5.751
2022-01-02,5.751
2022-01-03,5.705
2022-01-04,5.696
2022-01-05,5.415
2022-01-06,5.231
2022-01-07,5.27
2022-01-08,5.27
2022-01-09,5.27
2022-01-10,5.194
2022-01-11,5.339
2022-01-12,5.436
2022-01-13,5.325
2022-01-14,5.162
2022-01-15,5.162
2022-01-16,5.162
2022-01-17,5.162
2022-01-18,5.117
2022-01-19,5.069
2022-01-20,5.072
2022-01-21,4.902
2022-01-22,4.902
2022-01-23,4.902
2022-01-24,4.847
2022-01-25,4.781
2022-01-26,4.863
2022-01-27,4.875
2022-01-28,4.975
2022-01-29,4.975
2022-01-30,4.975
2022-01-31,5.107
2022-02-01,5.219
2022-02-02,5.236
2022-02-03,5.132
2022-02-04,5.282
2022-02-05,5.282
2022-02-06,5.282
2022-02-07,5.371
2022-02-08,5.422
2022-02-09,5.557
2022-02-10,5.491
2022-02-11,5.519
2022-02-12,5.519
2022-02-13,5.519
2022-02-14,5.303
2022-02-15,5.433
2022-02-16,5.544
2022-02-17,5.345
2022-02-18,5.315
2022-02-19,5.315
2022-02-20,5.315
2022-02-21,5.315
2022-02-22,5.153
2022-02-23,5.067
2022-02-24,5.063
2022-02-25,5.254
2022-02-26,5.254
2022-02-27,5.254
2022-02-28,5.254
2022-03-01,5.134
2022-03-02,5.376
2022-03-03,5.248
2022-03-04,4.971
2022-03-05,4.971
2022-03-06,4.971
2022-03-07,4.646
2022-03-08,4.637
2022-03-09,4.948
2022-03-10,4.993
2022-03-11,5.012
2022-03-12,5.012
2022-03-13,5.012
2022-03-14,5.073
2022-03-15,5.14
2022-03-16,5.443
2022-03-17,5.432
2022-03-18,5.149
2022-03-19,5.149
2022-03-20,5.149
2022-03-21,4.978
2022-03-22,5.138
2022-03-23,4.838
2022-03-24,4.857
2022-03-25,4.8
2022-03-26,4.8
2022-03-27,4.8
2022-03-28,4.715
2022-03-29,4.793
2022-03-30,4.744
2022-03-31,4.613
2022-04-01,4.657
2022-04-02,4.657
2022-04-03,4.657
2022-04-04,4.593
2022-04-05,4.569
2022-04-06,4.453
2022-04-07,4.41
2022-04-08,4.375
2022-04-09,4.375
2022-04-10,4.375
2022-04-11,4.42
2022-04-12,4.379
2022-04-13,4.511
2022-04-14,4.513
2022-04-15,4.513
2022-04-16,4.513
2022-04-17,4.513
2022-04-18,4.495
2022-04-19,4.783
2022-04-20,4.854
2022-04-21,4.724
2022-04-22,4.546
2022-04-23,4.546
2022-04-24,4.546
2022-04-25,4.674
2022-04-26,4.467
2022-04-27,4.48
2022-04-28,4.536
