,LOW US Equity
,BEST_PE_RATIO
2020-01-01,8.555
2020-01-02,8.605
2020-01-03,8.544
2020-01-04,8.544
2020-01-05,8.544
2020-01-06,8.597
2020-01-07,8.546
2020-01-08,8.682
2020-01-09,8.719
2020-01-10,8.644
2020-01-11,8.644
2020-01-12,8.644
2020-01-13,8.647
2020-01-14,8.577
2020-01-15,8.538
2020-01-16,8.52
2020-01-17,8.741
2020-01-18,8.741
2020-01-19,8.741
2020-01-20,8.741
2020-01-21,8.678
2020-01-22,8.748
2020-01-23,8.806
2020-01-24,8.628
2020-01-25,8.628
2020-01-26,8.628
2020-01-27,8.594
2020-01-28,8.694
2020-01-29,8.641
2020-01-30,8.591
2020-01-31,8.341
2020-02-01,8.341
2020-02-02,8.341
2020-02-03,8.409
2020-02-04,8.565
2020-02-05,8.764
2020-02-06,8.72
2020-02-07,8.717
2020-02-08,8.717
2020-02-09,8.717
2020-02-10,8.698
2020-02-11,8.829
2020-02-12,8.972
2020-02-13,8.953
2020-02-14,9.0
2020-02-15,9.0
2020-02-16,9.0
2020-02-17,9.0
2020-02-18,8.843
2020-02-19,8.858
2020-02-20,9.083
2020-02-21,8.992
2020-02-22,8.992
2020-02-23,8.992
2020-02-24,8.82
2020-02-25,8.505
2020-02-26,8.364
2020-02-27,7.944
2020-02-28,7.867
2020-02-29,7.867
2020-03-01,7.867
2020-03-02,8.197
2020-03-03,8.095
2020-03-04,8.447
2020-03-05,8.017
2020-03-06,7.852
2020-03-07,7.852
2020-03-08,7.852
2020-03-09,7.025
2020-03-10,7.756
2020-03-11,7.393
2020-03-12,6.705
2020-03-13,7.195
2020-03-14,7.195
2020-03-15,7.195
2020-03-16,5.413
2020-03-17,5.502
2020-03-18,4.848
2020-03-19,5.21
2020-03-20,4.948
2020-03-21,4.948
2020-03-22,4.948
2020-03-23,5.055
2020-03-24,5.764
2020-03-25,6.243
2020-03-26,6.57
2020-03-27,6.486
2020-03-28,6.486
2020-03-29,6.486
2020-03-30,6.615
2020-03-31,6.416
2020-04-01,5.996
2020-04-02,6.178
2020-04-03,6.129
2020-04-04,6.129
2020-04-05,6.129
2020-04-06,6.619
2020-04-07,6.953
2020-04-08,7.212
2020-04-09,7.286
2020-04-10,7.286
2020-04-11,7.286
2020-04-12,7.286
2020-04-13,7.277
2020-04-14,7.573
2020-04-15,7.212
2020-04-16,7.066
2020-04-17,7.423
2020-04-18,7.423
2020-04-19,7.423
2020-04-20,7.272
2020-04-21,7.121
2020-04-22,7.301
2020-04-23,7.297
2020-04-24,7.593
2020-04-25,7.593
2020-04-26,7.593
2020-04-27,7.84
2020-04-28,7.959
2020-04-29,8.162
2020-04-30,8.054
2020-05-01,8.032
2020-05-02,8.032
2020-05-03,8.032
2020-05-04,8.254
2020-05-05,8.469
2020-05-06,8.429
2020-05-07,8.605
2020-05-08,8.783
2020-05-09,8.783
2020-05-10,8.783
2020-05-11,8.718
2020-05-12,8.553
2020-05-13,8.491
2020-05-14,8.488
2020-05-15,8.748
2020-05-16,8.748
2020-05-17,8.748
2020-05-18,8.975
2020-05-19,8.986
2020-05-20,8.647
2020-05-21,8.917
2020-05-22,9.036
2020-05-23,9.036
2020-05-24,9.036
2020-05-25,9.036
2020-05-26,9.135
2020-05-27,9.464
2020-05-28,9.472
2020-05-29,9.637
2020-05-30,9.637
2020-05-31,9.637
2020-06-01,9.561
2020-06-02,9.758
2020-06-03,9.821
2020-06-04,9.514
2020-06-05,9.683
2020-06-06,9.683
2020-06-07,9.683
2020-06-08,9.671
2020-06-09,9.579
2020-06-10,9.619
2020-06-11,9.163
2020-06-12,9.319
2020-06-13,9.319
2020-06-14,9.319
2020-06-15,9.443
2020-06-16,9.74
2020-06-17,10.029
2020-06-18,9.948
2020-06-19,9.894
2020-06-20,9.894
2020-06-21,9.894
2020-06-22,9.96
2020-06-23,9.928
2020-06-24,9.579
2020-06-25,9.564
2020-06-26,9.393
2020-06-27,9.393
2020-06-28,9.393
2020-06-29,9.691
2020-06-30,9.807
2020-07-01,9.844
2020-07-02,9.85
2020-07-03,9.85
2020-07-04,9.85
2020-07-05,9.85
2020-07-06,9.853
2020-07-07,9.8
2020-07-08,9.853
2020-07-09,9.843
2020-07-10,9.975
2020-07-11,9.975
2020-07-12,9.975
2020-07-13,9.911
2020-07-14,10.166
2020-07-15,10.25
2020-07-16,10.361
2020-07-17,10.48
2020-07-18,10.48
2020-07-19,10.48
2020-07-20,10.459
2020-07-21,10.564
2020-07-22,10.822
2020-07-23,10.674
2020-07-24,10.712
2020-07-25,10.712
2020-07-26,10.712
2020-07-27,10.865
2020-07-28,10.762
2020-07-29,10.835
2020-07-30,10.87
2020-07-31,10.849
2020-08-01,10.849
2020-08-02,10.849
2020-08-03,10.948
2020-08-04,10.905
2020-08-05,10.948
2020-08-06,11.015
2020-08-07,11.131
2020-08-08,11.131
2020-08-09,11.131
2020-08-10,11.2
2020-08-11,11.211
2020-08-12,11.412
2020-08-13,11.344
2020-08-14,11.245
2020-08-15,11.245
2020-08-16,11.245
2020-08-17,11.541
2020-08-18,11.616
2020-08-19,11.643
2020-08-20,10.822
2020-08-21,11.037
2020-08-22,11.037
2020-08-23,11.037
2020-08-24,11.304
2020-08-25,11.323
2020-08-26,11.628
2020-08-27,11.35
2020-08-28,11.295
2020-08-29,11.295
2020-08-30,11.295
2020-08-31,11.239
2020-09-01,11.437
2020-09-02,11.635
2020-09-03,11.023
2020-09-04,10.673
2020-09-05,10.673
2020-09-06,10.673
2020-09-07,10.673
2020-09-08,10.492
2020-09-09,10.887
2020-09-10,10.805
2020-09-11,11.048
2020-09-12,11.048
2020-09-13,11.048
2020-09-14,11.274
2020-09-15,11.536
2020-09-16,11.377
2020-09-17,11.177
2020-09-18,10.926
2020-09-19,10.926
2020-09-20,10.926
2020-09-21,10.892
2020-09-22,11.025
2020-09-23,10.622
2020-09-24,10.616
2020-09-25,10.685
2020-09-26,10.685
2020-09-27,10.685
2020-09-28,10.889
2020-09-29,10.867
2020-09-30,11.108
2020-10-01,11.196
2020-10-02,11.15
2020-10-03,11.15
2020-10-04,11.15
2020-10-05,11.287
2020-10-06,11.05
2020-10-07,11.283
2020-10-08,11.83
2020-10-09,11.994
2020-10-10,11.994
2020-10-11,11.994
2020-10-12,11.959
2020-10-13,12.139
2020-10-14,12.02
2020-10-15,12.196
2020-10-16,12.303
2020-10-17,12.303
2020-10-18,12.303
2020-10-19,12.125
2020-10-20,12.303
2020-10-21,12.123
2020-10-22,11.897
2020-10-23,11.959
2020-10-24,11.959
2020-10-25,11.959
2020-10-26,11.681
2020-10-27,11.473
2020-10-28,11.215
2020-10-29,11.168
2020-10-30,10.984
2020-10-31,10.984
2020-11-01,10.984
2020-11-02,11.132
2020-11-03,11.439
2020-11-04,11.687
2020-11-05,11.759
2020-11-06,11.708
2020-11-07,11.708
2020-11-08,11.708
2020-11-09,10.661
2020-11-10,10.818
2020-11-11,10.977
2020-11-12,10.976
2020-11-13,11.062
2020-11-14,11.062
2020-11-15,11.062
2020-11-16,11.248
2020-11-17,11.106
2020-11-18,10.071
2020-11-19,10.215
2020-11-20,10.238
2020-11-21,10.238
2020-11-22,10.238
2020-11-23,10.482
2020-11-24,10.57
2020-11-25,10.564
2020-11-26,10.564
2020-11-27,10.55
2020-11-28,10.55
2020-11-29,10.55
2020-11-30,10.628
2020-12-01,10.463
2020-12-02,10.355
2020-12-03,10.366
2020-12-04,10.231
2020-12-05,10.231
2020-12-06,10.231
2020-12-07,10.367
2020-12-08,10.316
2020-12-09,10.442
2020-12-10,10.448
2020-12-11,10.291
2020-12-12,10.291
2020-12-13,10.291
2020-12-14,10.439
2020-12-15,10.423
2020-12-16,10.415
2020-12-17,10.436
2020-12-18,10.415
2020-12-19,10.415
2020-12-20,10.415
2020-12-21,10.487
2020-12-22,10.505
2020-12-23,10.366
2020-12-24,10.387
2020-12-25,10.387
2020-12-26,10.387
2020-12-27,10.387
2020-12-28,10.341
2020-12-29,10.245
2020-12-30,10.246
2020-12-31,10.243
2021-01-01,10.243
2021-01-02,10.243
2021-01-03,10.243
2021-01-04,10.235
2021-01-05,10.269
2021-01-06,10.406
2021-01-07,10.447
2021-01-08,10.533
2021-01-09,10.533
2021-01-10,10.533
2021-01-11,10.614
2021-01-12,10.784
2021-01-13,10.838
2021-01-14,10.874
2021-01-15,10.934
2021-01-16,10.934
2021-01-17,10.934
2021-01-18,10.934
2021-01-19,10.935
2021-01-20,11.04
2021-01-21,11.037
2021-01-22,11.04
2021-01-23,11.04
2021-01-24,11.04
2021-01-25,11.149
2021-01-26,11.124
2021-01-27,10.74
2021-01-28,11.037
2021-01-29,10.669
2021-01-30,10.669
2021-01-31,10.669
2021-02-01,10.447
2021-02-02,10.657
2021-02-03,10.863
2021-02-04,11.064
2021-02-05,11.192
2021-02-06,11.192
2021-02-07,11.192
2021-02-08,11.457
2021-02-09,11.368
2021-02-10,11.334
2021-02-11,11.237
2021-02-12,11.328
2021-02-13,11.328
2021-02-14,11.328
2021-02-15,11.328
2021-02-16,11.13
2021-02-17,11.327
2021-02-18,11.328
2021-02-19,11.222
2021-02-20,11.222
2021-02-21,11.222
2021-02-22,10.898
2021-02-23,10.657
2021-02-24,10.094
2021-02-25,9.858
2021-02-26,9.935
2021-02-27,9.935
2021-02-28,9.935
2021-03-01,10.071
2021-03-02,10.14
2021-03-03,9.844
2021-03-04,9.563
2021-03-05,9.862
2021-03-06,9.862
2021-03-07,9.862
2021-03-08,10.132
2021-03-09,10.323
2021-03-10,10.476
2021-03-11,10.619
2021-03-12,10.668
2021-03-13,10.668
2021-03-14,10.668
2021-03-15,10.833
2021-03-16,10.904
2021-03-17,10.741
2021-03-18,10.767
2021-03-19,11.052
2021-03-20,11.052
2021-03-21,11.052
2021-03-22,11.2
2021-03-23,11.108
2021-03-24,11.125
2021-03-25,11.402
2021-03-26,11.798
2021-03-27,11.798
2021-03-28,11.798
2021-03-29,11.614
2021-03-30,11.7
2021-03-31,11.71
2021-04-01,11.78
2021-04-02,11.78
2021-04-03,11.78
2021-04-04,11.78
2021-04-05,11.929
2021-04-06,11.958
2021-04-07,11.925
2021-04-08,11.958
2021-04-09,12.223
2021-04-10,12.223
2021-04-11,12.223
2021-04-12,12.368
2021-04-13,12.31
2021-04-14,12.421
2021-04-15,12.609
2021-04-16,12.441
2021-04-17,12.441
2021-04-18,12.441
2021-04-19,12.188
2021-04-20,12.149
2021-04-21,12.152
2021-04-22,11.996
2021-04-23,11.974
2021-04-24,11.974
2021-04-25,11.974
2021-04-26,11.87
2021-04-27,11.862
2021-04-28,11.684
2021-04-29,12.155
2021-04-30,12.021
2021-05-01,12.021
2021-05-02,12.021
2021-05-03,12.202
2021-05-04,12.269
2021-05-05,12.251
2021-05-06,12.615
2021-05-07,12.765
2021-05-08,12.765
2021-05-09,12.765
2021-05-10,12.943
2021-05-11,12.578
2021-05-12,11.977
2021-05-13,12.272
2021-05-14,12.184
2021-05-15,12.184
2021-05-16,12.184
2021-05-17,11.865
2021-05-18,11.781
2021-05-19,11.232
2021-05-20,11.226
2021-05-21,11.172
2021-05-22,11.172
2021-05-23,11.172
2021-05-24,11.013
2021-05-25,11.149
2021-05-26,11.183
2021-05-27,11.192
2021-05-28,11.254
2021-05-29,11.254
2021-05-30,11.254
2021-05-31,11.254
2021-06-01,11.082
2021-06-02,11.019
2021-06-03,10.992
2021-06-04,10.97
2021-06-05,10.97
2021-06-06,10.97
2021-06-07,10.989
2021-06-08,11.056
2021-06-09,11.009
2021-06-10,10.904
2021-06-11,11.021
2021-06-12,11.021
2021-06-13,11.021
2021-06-14,10.955
2021-06-15,10.852
2021-06-16,10.755
2021-06-17,10.792
2021-06-18,10.794
2021-06-19,10.794
2021-06-20,10.794
2021-06-21,10.91
2021-06-22,11.074
2021-06-23,11.041
2021-06-24,11.076
2021-06-25,11.128
2021-06-26,11.128
2021-06-27,11.128
2021-06-28,11.16
2021-06-29,11.217
2021-06-30,11.204
2021-07-01,11.311
2021-07-02,11.305
2021-07-03,11.305
2021-07-04,11.305
2021-07-05,11.305
2021-07-06,11.249
2021-07-07,11.314
2021-07-08,11.136
2021-07-09,11.283
2021-07-10,11.283
2021-07-11,11.283
2021-07-12,11.296
2021-07-13,11.222
2021-07-14,11.133
2021-07-15,11.307
2021-07-16,11.329
2021-07-17,11.329
2021-07-18,11.329
2021-07-19,11.142
2021-07-20,11.259
2021-07-21,11.318
2021-07-22,11.413
2021-07-23,11.649
2021-07-24,11.649
2021-07-25,11.649
2021-07-26,11.469
2021-07-27,11.224
2021-07-28,11.159
2021-07-29,11.23
2021-07-30,11.176
2021-07-31,11.176
2021-08-01,11.176
2021-08-02,11.076
2021-08-03,11.25
2021-08-04,11.015
2021-08-05,11.06
2021-08-06,11.03
2021-08-07,11.03
2021-08-08,11.03
2021-08-09,10.904
2021-08-10,11.005
2021-08-11,11.283
2021-08-12,11.136
2021-08-13,11.05
2021-08-14,11.05
2021-08-15,11.05
2021-08-16,11.222
2021-08-17,10.571
2021-08-18,11.649
2021-08-19,11.884
2021-08-20,12.213
2021-08-21,12.213
2021-08-22,12.213
2021-08-23,12.087
2021-08-24,11.931
2021-08-25,12.027
2021-08-26,11.996
2021-08-27,12.011
2021-08-28,12.011
2021-08-29,12.011
2021-08-30,11.958
2021-08-31,11.893
2021-09-01,11.867
2021-09-02,12.025
2021-09-03,12.015
2021-09-04,12.015
2021-09-05,12.015
2021-09-06,12.015
2021-09-07,11.967
2021-09-08,11.905
2021-09-09,11.842
2021-09-10,11.919
2021-09-11,11.919
2021-09-12,11.919
2021-09-13,12.213
2021-09-14,12.101
2021-09-15,12.187
2021-09-16,12.357
2021-09-17,12.39
2021-09-18,12.39
2021-09-19,12.39
2021-09-20,12.167
2021-09-21,12.226
2021-09-22,12.381
2021-09-23,12.327
2021-09-24,12.321
2021-09-25,12.321
2021-09-26,12.321
2021-09-27,12.484
2021-09-28,12.176
2021-09-29,12.275
2021-09-30,12.024
2021-10-01,12.074
2021-10-02,12.074
2021-10-03,12.074
2021-10-04,12.122
2021-10-05,12.107
2021-10-06,12.091
2021-10-07,12.323
2021-10-08,12.219
2021-10-09,12.219
2021-10-10,12.219
2021-10-11,12.379
2021-10-12,12.435
2021-10-13,12.573
2021-10-14,12.829
2021-10-15,12.99
2021-10-16,12.99
2021-10-17,12.99
2021-10-18,13.143
2021-10-19,13.26
2021-10-20,13.349
2021-10-21,13.492
2021-10-22,13.572
2021-10-23,13.572
2021-10-24,13.572
2021-10-25,13.753
2021-10-26,13.709
2021-10-27,13.75
2021-10-28,13.75
2021-10-29,13.872
2021-10-30,13.872
2021-10-31,13.872
2021-11-01,13.749
2021-11-02,13.825
2021-11-03,13.9
2021-11-04,14.107
2021-11-05,13.974
2021-11-06,13.974
2021-11-07,13.974
2021-11-08,13.93
2021-11-09,13.877
2021-11-10,13.797
2021-11-11,13.686
2021-11-12,13.922
2021-11-13,13.922
2021-11-14,13.922
2021-11-15,13.839
2021-11-16,14.42
2021-11-17,14.319
2021-11-18,14.359
2021-11-19,14.484
2021-11-20,14.484
2021-11-21,14.484
2021-11-22,14.611
2021-11-23,14.585
2021-11-24,14.522
2021-11-25,14.522
2021-11-26,14.238
2021-11-27,14.238
2021-11-28,14.238
2021-11-29,14.29
2021-11-30,14.06
2021-12-01,14.103
2021-12-02,14.394
2021-12-03,14.296
2021-12-04,14.296
2021-12-05,14.296
2021-12-06,14.585
2021-12-07,14.918
2021-12-08,14.908
2021-12-09,14.99
2021-12-10,15.178
2021-12-11,15.178
2021-12-12,15.178
2021-12-13,14.937
2021-12-14,14.66
2021-12-15,15.186
2021-12-16,14.923
2021-12-17,14.62
2021-12-18,14.62
2021-12-19,14.62
2021-12-20,14.437
2021-12-21,14.517
2021-12-22,14.677
2021-12-23,14.7
2021-12-24,14.7
2021-12-25,14.7
2021-12-26,14.7
2021-12-27,14.912
2021-12-28,14.931
2021-12-29,15.139
2021-12-30,15.07
2021-12-31,15.193
2022-01-01,15.193
2022-01-02,15.193
2022-01-03,15.018
2022-01-04,15.271
2022-01-05,14.973
2022-01-06,15.285
2022-01-07,14.887
2022-01-08,14.887
2022-01-09,14.887
2022-01-10,14.689
2022-01-11,14.797
2022-01-12,14.869
2022-01-13,14.868
2022-01-14,14.435
2022-01-15,14.435
2022-01-16,14.435
2022-01-17,14.435
2022-01-18,14.186
2022-01-19,13.965
2022-01-20,13.324
2022-01-21,13.389
2022-01-22,13.389
2022-01-23,13.389
2022-01-24,13.825
2022-01-25,13.686
2022-01-26,13.572
2022-01-27,13.443
2022-01-28,13.982
2022-01-29,13.982
2022-01-30,13.982
2022-01-31,14.123
2022-02-01,14.182
2022-02-02,14.227
2022-02-03,13.93
2022-02-04,13.63
2022-02-05,13.63
2022-02-06,13.63
2022-02-07,13.508
2022-02-08,13.79
2022-02-09,13.903
2022-02-10,13.531
2022-02-11,13.442
2022-02-12,13.442
2022-02-13,13.442
2022-02-14,13.444
2022-02-15,13.572
2022-02-16,13.507
2022-02-17,13.312
2022-02-18,13.246
2022-02-19,13.246
2022-02-20,13.246
2022-02-21,13.246
2022-02-22,12.716
2022-02-23,12.445
2022-02-24,12.246
2022-02-25,12.578
2022-02-26,12.578
2022-02-27,12.578
2022-02-28,12.676
2022-03-01,12.59
2022-03-02,12.997
2022-03-03,12.823
2022-03-04,12.697
2022-03-05,12.697
2022-03-06,12.697
2022-03-07,12.595
2022-03-08,12.651
2022-03-09,12.8
2022-03-10,12.703
2022-03-11,12.592
2022-03-12,12.592
2022-03-13,12.592
2022-03-14,12.846
2022-03-15,13.105
2022-03-16,13.12
2022-03-17,13.293
2022-03-18,13.366
2022-03-19,13.366
2022-03-20,13.366
2022-03-21,12.908
2022-03-22,12.957
2022-03-23,12.529
2022-03-24,12.43
2022-03-25,12.075
2022-03-26,12.075
2022-03-27,12.075
2022-03-28,12.124
2022-03-29,12.453
2022-03-30,11.881
2022-03-31,11.467
2022-04-01,11.479
2022-04-02,11.479
2022-04-03,11.479
2022-04-04,11.512
2022-04-05,11.554
2022-04-06,11.316
2022-04-07,11.428
2022-04-08,11.655
2022-04-09,11.655
2022-04-10,11.655
2022-04-11,11.538
2022-04-12,11.646
2022-04-13,11.724
2022-04-14,11.483
2022-04-15,11.483
2022-04-16,11.483
2022-04-17,11.483
2022-04-18,11.326
2022-04-19,11.63
2022-04-20,11.957
2022-04-21,11.744
2022-04-22,11.288
2022-04-23,11.288
2022-04-24,11.288
2022-04-25,11.478
2022-04-26,11.433
2022-04-27,11.432
2022-04-28,11.751
2022-04-29,11.326
2022-04-30,11.326
2022-05-01,11.326
2022-05-02,11.642
2022-05-03,11.555
2022-05-04,11.872
2022-05-05,11.228
2022-05-06,11.007
2022-05-07,11.007
2022-05-08,11.007
2022-05-09,11.23
2022-05-10,11.004
2022-05-11,10.754
2022-05-12,10.982
2022-05-13,11.138
2022-05-14,11.138
2022-05-15,11.138
2022-05-16,11.243
2022-05-17,11.202
2022-05-18,10.607
2022-05-19,10.827
2022-05-20,10.644
2022-05-21,10.644
2022-05-22,10.644
2022-05-23,10.738
2022-05-24,10.644
2022-05-25,10.87
