,EBSB US Equity
,BEST_PE_RATIO
2020-01-01,13.163
2020-01-02,13.045
2020-01-03,12.989
2020-01-04,12.989
2020-01-05,12.989
2020-01-06,12.861
2020-01-07,12.743
2020-01-08,12.77
2020-01-09,12.717
2020-01-10,12.645
2020-01-11,12.645
2020-01-12,12.645
2020-01-13,12.776
2020-01-14,12.743
2020-01-15,12.711
2020-01-16,12.861
2020-01-17,12.77
2020-01-18,12.77
2020-01-19,12.77
2020-01-20,12.77
2020-01-21,12.573
2020-01-22,12.606
2020-01-23,12.652
2020-01-24,12.606
2020-01-25,12.606
2020-01-26,12.606
2020-01-27,12.632
2020-01-28,12.697
2020-01-29,12.41
2020-01-30,12.894
2020-01-31,12.669
2020-02-01,12.669
2020-02-02,12.669
2020-02-03,12.838
2020-02-04,12.92
2020-02-05,12.996
2020-02-06,12.992
2020-02-07,12.87
2020-02-08,12.87
2020-02-09,12.87
2020-02-10,12.83
2020-02-11,12.931
2020-02-12,12.996
2020-02-13,13.157
2020-02-14,12.992
2020-02-15,12.992
2020-02-16,12.992
2020-02-17,12.992
2020-02-18,12.96
2020-02-19,13.014
2020-02-20,13.014
2020-02-21,12.841
2020-02-22,12.841
2020-02-23,12.841
2020-02-24,12.704
2020-02-25,12.395
2020-02-26,12.402
2020-02-27,12.065
2020-02-28,11.87
2020-02-29,11.87
2020-03-01,11.87
2020-03-02,12.352
2020-03-03,11.796
2020-03-04,11.932
2020-03-05,11.704
2020-03-06,11.561
2020-03-07,11.561
2020-03-08,11.561
2020-03-09,10.441
2020-03-10,10.655
2020-03-11,10.069
2020-03-12,9.12
2020-03-13,9.641
2020-03-14,9.641
2020-03-15,9.641
2020-03-16,8.35
2020-03-17,9.17
2020-03-18,7.361
2020-03-19,7.835
2020-03-20,7.338
2020-03-21,7.338
2020-03-22,7.338
2020-03-23,7.56
2020-03-24,8.028
2020-03-25,8.457
2020-03-26,9.214
2020-03-27,8.73
2020-03-28,8.73
2020-03-29,8.73
2020-03-30,8.937
2020-03-31,9.069
2020-04-01,8.398
2020-04-02,8.357
2020-04-03,8.066
2020-04-04,8.066
2020-04-05,8.066
2020-04-06,8.341
2020-04-07,8.341
2020-04-08,8.866
2020-04-09,9.634
2020-04-10,9.634
2020-04-11,9.634
2020-04-12,9.634
2020-04-13,9.069
2020-04-14,8.834
2020-04-15,8.179
2020-04-16,8.058
2020-04-17,8.705
2020-04-18,8.705
2020-04-19,8.705
2020-04-20,8.543
2020-04-21,8.406
2020-04-22,8.286
2020-04-23,12.121
2020-04-24,11.839
2020-04-25,11.839
2020-04-26,11.839
2020-04-27,13.076
