,CMI US Equity
,BEST_PE_RATIO
2020-01-01,7.498
2020-01-02,7.513
2020-01-03,7.408
2020-01-04,7.408
2020-01-05,7.408
2020-01-06,7.296
2020-01-07,7.301
2020-01-08,7.305
2020-01-09,7.27
2020-01-10,7.183
2020-01-11,7.183
2020-01-12,7.183
2020-01-13,7.227
2020-01-14,7.223
2020-01-15,7.232
2020-01-16,7.343
2020-01-17,7.282
2020-01-18,7.282
2020-01-19,7.282
2020-01-20,7.282
2020-01-21,7.168
2020-01-22,7.127
2020-01-23,7.192
2020-01-24,7.087
2020-01-25,7.087
2020-01-26,7.087
2020-01-27,6.904
2020-01-28,6.959
2020-01-29,6.942
2020-01-30,6.959
2020-01-31,6.703
2020-02-01,6.703
2020-02-02,6.703
2020-02-03,6.825
2020-02-04,6.746
2020-02-05,6.973
2020-02-06,6.953
2020-02-07,6.737
2020-02-08,6.737
2020-02-09,6.737
2020-02-10,6.797
2020-02-11,6.884
2020-02-12,7.041
2020-02-13,6.959
2020-02-14,6.988
2020-02-15,6.988
2020-02-16,6.988
2020-02-17,6.988
2020-02-18,6.958
2020-02-19,7.032
2020-02-20,7.057
2020-02-21,7.072
2020-02-22,7.072
2020-02-23,7.072
2020-02-24,6.874
2020-02-25,6.799
2020-02-26,6.671
2020-02-27,6.523
2020-02-28,6.389
2020-02-29,6.389
2020-03-01,6.389
2020-03-02,6.573
2020-03-03,6.425
2020-03-04,6.606
2020-03-05,6.278
2020-03-06,6.275
2020-03-07,6.275
2020-03-08,6.275
2020-03-09,5.881
2020-03-10,6.15
2020-03-11,5.957
2020-03-12,5.451
2020-03-13,5.779
2020-03-14,5.779
2020-03-15,5.779
2020-03-16,5.551
2020-03-17,5.777
2020-03-18,5.214
2020-03-19,5.006
2020-03-20,4.919
2020-03-21,4.919
2020-03-22,4.919
2020-03-23,4.339
2020-03-24,5.257
2020-03-25,5.396
2020-03-26,5.699
2020-03-27,5.56
2020-03-28,5.56
2020-03-29,5.56
2020-03-30,5.679
2020-03-31,5.714
2020-04-01,5.506
2020-04-02,5.606
2020-04-03,5.586
2020-04-04,5.586
2020-04-05,5.586
2020-04-06,6.002
2020-04-07,6.159
2020-04-08,6.316
2020-04-09,6.364
2020-04-10,6.364
2020-04-11,6.364
2020-04-12,6.364
2020-04-13,6.184
2020-04-14,6.256
2020-04-15,6.143
2020-04-16,6.125
2020-04-17,6.3
2020-04-18,6.3
2020-04-19,6.3
2020-04-20,6.17
2020-04-21,6.013
2020-04-22,6.12
2020-04-23,6.141
2020-04-24,6.24
2020-04-25,6.24
2020-04-26,6.24
2020-04-27,6.395
2020-04-28,6.802
2020-04-29,6.976
2020-04-30,6.904
2020-05-01,6.648
2020-05-02,6.648
2020-05-03,6.648
2020-05-04,6.502
2020-05-05,6.496
2020-05-06,6.488
2020-05-07,6.576
2020-05-08,6.811
2020-05-09,6.811
2020-05-10,6.811
2020-05-11,6.833
2020-05-12,7.41
2020-05-13,7.123
2020-05-14,7.501
2020-05-15,7.507
2020-05-16,7.507
2020-05-17,7.507
2020-05-18,7.816
2020-05-19,7.611
2020-05-20,7.806
2020-05-21,7.662
2020-05-22,7.54
2020-05-23,7.54
2020-05-24,7.54
2020-05-25,7.54
2020-05-26,8.127
2020-05-27,8.379
2020-05-28,8.289
2020-05-29,8.28
2020-05-30,8.28
2020-05-31,8.28
2020-06-01,8.291
2020-06-02,8.371
2020-06-03,8.541
2020-06-04,8.534
2020-06-05,8.788
2020-06-06,8.788
2020-06-07,8.788
2020-06-08,8.978
2020-06-09,8.873
2020-06-10,8.602
2020-06-11,8.122
2020-06-12,8.157
2020-06-13,8.157
2020-06-14,8.157
2020-06-15,8.257
2020-06-16,8.365
2020-06-17,8.368
2020-06-18,8.359
2020-06-19,8.509
2020-06-20,8.509
2020-06-21,8.509
2020-06-22,8.396
2020-06-23,8.418
2020-06-24,8.134
2020-06-25,8.285
2020-06-26,8.238
2020-06-27,8.238
2020-06-28,8.238
2020-06-29,8.449
2020-06-30,8.458
2020-07-01,8.345
2020-07-02,8.467
2020-07-03,8.467
2020-07-04,8.467
2020-07-05,8.467
2020-07-06,8.697
2020-07-07,8.571
2020-07-08,8.496
2020-07-09,8.405
2020-07-10,8.485
2020-07-11,8.485
2020-07-12,8.485
2020-07-13,8.513
2020-07-14,9.339
2020-07-15,9.518
2020-07-16,9.623
2020-07-17,9.591
2020-07-18,9.591
2020-07-19,9.591
2020-07-20,9.443
2020-07-21,9.751
2020-07-22,9.965
2020-07-23,9.948
2020-07-24,9.859
2020-07-25,9.859
2020-07-26,9.859
2020-07-27,9.635
2020-07-28,9.84
2020-07-29,9.878
2020-07-30,9.659
2020-07-31,9.599
2020-08-01,9.599
2020-08-02,9.599
2020-08-03,9.701
2020-08-04,9.586
2020-08-05,9.851
2020-08-06,9.746
2020-08-07,9.897
2020-08-08,9.897
2020-08-09,9.897
2020-08-10,10.439
2020-08-11,10.532
2020-08-12,10.589
2020-08-13,10.442
2020-08-14,10.605
2020-08-15,10.605
2020-08-16,10.605
2020-08-17,10.453
2020-08-18,10.426
2020-08-19,10.488
2020-08-20,10.445
2020-08-21,10.447
2020-08-22,10.447
2020-08-23,10.447
2020-08-24,10.551
2020-08-25,10.498
2020-08-26,10.453
2020-08-27,10.379
2020-08-28,10.431
2020-08-29,10.431
2020-08-30,10.431
2020-08-31,10.358
2020-09-01,10.548
2020-09-02,10.637
2020-09-03,10.223
2020-09-04,10.213
2020-09-05,10.213
2020-09-06,10.213
2020-09-07,10.213
2020-09-08,10.198
2020-09-09,10.599
2020-09-10,10.353
2020-09-11,10.391
2020-09-12,10.391
2020-09-13,10.391
2020-09-14,10.524
2020-09-15,10.502
2020-09-16,10.475
2020-09-17,10.517
2020-09-18,10.59
2020-09-19,10.59
2020-09-20,10.59
2020-09-21,10.189
2020-09-22,9.785
2020-09-23,9.725
2020-09-24,9.84
2020-09-25,9.994
2020-09-26,9.994
2020-09-27,9.994
2020-09-28,10.193
2020-09-29,10.198
2020-09-30,10.115
2020-10-01,9.918
2020-10-02,10.076
2020-10-03,10.076
2020-10-04,10.076
2020-10-05,10.435
2020-10-06,10.363
2020-10-07,10.611
2020-10-08,10.587
2020-10-09,10.697
2020-10-10,10.697
2020-10-11,10.697
2020-10-12,10.958
2020-10-13,11.223
2020-10-14,11.291
2020-10-15,11.325
2020-10-16,11.343
2020-10-17,11.343
2020-10-18,11.343
2020-10-19,11.259
2020-10-20,11.316
2020-10-21,11.201
2020-10-22,11.268
2020-10-23,11.404
2020-10-24,11.404
2020-10-25,11.404
2020-10-26,11.122
2020-10-27,11.076
2020-10-28,10.475
2020-10-29,10.7
2020-10-30,10.821
2020-10-31,10.821
2020-11-01,10.821
2020-11-02,11.204
2020-11-03,11.418
2020-11-04,10.964
2020-11-05,11.297
2020-11-06,11.272
2020-11-07,11.272
2020-11-08,11.272
2020-11-09,11.268
2020-11-10,11.508
2020-11-11,11.56
2020-11-12,11.286
2020-11-13,11.451
2020-11-14,11.451
2020-11-15,11.451
2020-11-16,11.224
2020-11-17,11.338
2020-11-18,11.455
2020-11-19,11.506
2020-11-20,11.383
2020-11-21,11.383
2020-11-22,11.383
2020-11-23,11.608
2020-11-24,11.581
2020-11-25,11.37
2020-11-26,11.37
2020-11-27,11.303
2020-11-28,11.303
2020-11-29,11.303
2020-11-30,11.408
2020-12-01,11.368
2020-12-02,11.211
2020-12-03,10.874
2020-12-04,10.854
2020-12-05,10.854
2020-12-06,10.854
2020-12-07,10.812
2020-12-08,10.908
2020-12-09,11.064
2020-12-10,10.835
2020-12-11,10.791
2020-12-12,10.791
2020-12-13,10.791
2020-12-14,10.548
2020-12-15,10.92
2020-12-16,10.86
2020-12-17,10.89
2020-12-18,11.296
2020-12-19,11.296
2020-12-20,11.296
2020-12-21,11.316
2020-12-22,11.257
2020-12-23,11.291
2020-12-24,11.407
2020-12-25,11.407
2020-12-26,11.407
2020-12-27,11.407
2020-12-28,11.287
2020-12-29,11.214
2020-12-30,11.33
2020-12-31,11.436
2021-01-01,11.436
2021-01-02,11.436
2021-01-03,11.436
2021-01-04,11.147
2021-01-05,11.161
2021-01-06,11.763
2021-01-07,12.046
2021-01-08,11.799
2021-01-09,11.799
2021-01-10,11.799
2021-01-11,11.918
2021-01-12,12.108
2021-01-13,12.05
2021-01-14,12.073
2021-01-15,11.869
2021-01-16,11.869
2021-01-17,11.869
2021-01-18,11.869
