,LPLA US Equity
,BEST_PE_RATIO
2020-01-01,4.319
2020-01-02,4.397
2020-01-03,4.323
2020-01-04,4.323
2020-01-05,4.323
2020-01-06,4.338
2020-01-07,4.431
2020-01-08,4.471
2020-01-09,4.541
2020-01-10,4.544
2020-01-11,4.544
2020-01-12,4.544
2020-01-13,4.611
2020-01-14,4.573
2020-01-15,4.571
2020-01-16,4.629
2020-01-17,4.595
2020-01-18,4.595
2020-01-19,4.595
2020-01-20,4.595
2020-01-21,4.545
2020-01-22,4.556
2020-01-23,4.544
2020-01-24,4.445
2020-01-25,4.445
2020-01-26,4.445
2020-01-27,4.343
2020-01-28,4.416
2020-01-29,4.413
2020-01-30,4.477
2020-01-31,4.313
2020-02-01,4.313
2020-02-02,4.313
2020-02-03,4.256
2020-02-04,4.345
2020-02-05,4.434
2020-02-06,4.401
2020-02-07,4.424
2020-02-08,4.424
2020-02-09,4.424
2020-02-10,4.384
2020-02-11,4.493
2020-02-12,4.481
2020-02-13,4.45
2020-02-14,4.432
2020-02-15,4.432
2020-02-16,4.432
2020-02-17,4.432
2020-02-18,4.419
2020-02-19,4.564
2020-02-20,4.626
2020-02-21,4.441
2020-02-22,4.441
2020-02-23,4.441
2020-02-24,4.1
2020-02-25,3.955
2020-02-26,3.9
2020-02-27,3.808
2020-02-28,3.721
2020-02-29,3.721
2020-03-01,3.721
2020-03-02,3.863
2020-03-03,3.531
2020-03-04,3.4
2020-03-05,3.101
2020-03-06,3.112
2020-03-07,3.112
2020-03-08,3.112
2020-03-09,2.628
2020-03-10,2.827
2020-03-11,2.714
2020-03-12,2.36
2020-03-13,2.798
2020-03-14,2.798
2020-03-15,2.798
2020-03-16,2.465
2020-03-17,2.345
2020-03-18,1.836
2020-03-19,2.126
2020-03-20,2.108
2020-03-21,2.108
2020-03-22,2.108
2020-03-23,1.953
2020-03-24,2.436
2020-03-25,2.538
2020-03-26,2.65
2020-03-27,2.489
2020-03-28,2.489
2020-03-29,2.489
2020-03-30,2.594
2020-03-31,2.561
2020-04-01,2.443
2020-04-02,2.418
2020-04-03,2.289
2020-04-04,2.289
2020-04-05,2.289
2020-04-06,2.508
2020-04-07,2.469
2020-04-08,2.561
2020-04-09,2.709
2020-04-10,2.709
2020-04-11,2.709
2020-04-12,2.709
2020-04-13,2.596
2020-04-14,2.642
2020-04-15,2.577
2020-04-16,2.51
2020-04-17,2.531
2020-04-18,2.531
2020-04-19,2.531
2020-04-20,2.459
2020-04-21,2.39
2020-04-22,2.429
2020-04-23,2.465
2020-04-24,2.513
2020-04-25,2.513
2020-04-26,2.513
2020-04-27,2.673
2020-04-28,2.735
2020-04-29,2.891
2020-04-30,2.833
2020-05-01,2.916
2020-05-02,2.916
2020-05-03,2.916
2020-05-04,2.904
2020-05-05,2.925
2020-05-06,2.946
2020-05-07,3.046
2020-05-08,3.111
2020-05-09,3.111
2020-05-10,3.111
2020-05-11,3.074
2020-05-12,2.895
2020-05-13,2.794
2020-05-14,2.895
2020-05-15,2.952
2020-05-16,2.952
2020-05-17,2.952
2020-05-18,3.218
2020-05-19,3.155
2020-05-20,3.277
2020-05-21,3.206
2020-05-22,3.19
2020-05-23,3.19
2020-05-24,3.19
2020-05-25,3.19
2020-05-26,3.418
2020-05-27,3.515
2020-05-28,3.42
2020-05-29,3.37
2020-05-30,3.37
2020-05-31,3.37
2020-06-01,3.464
2020-06-02,3.561
2020-06-03,3.706
2020-06-04,3.744
2020-06-05,3.874
2020-06-06,3.874
2020-06-07,3.874
2020-06-08,3.982
2020-06-09,4.038
2020-06-10,3.915
2020-06-11,3.615
2020-06-12,3.776
2020-06-13,3.776
2020-06-14,3.776
2020-06-15,3.823
2020-06-16,3.867
2020-06-17,3.909
2020-06-18,3.851
2020-06-19,3.816
2020-06-20,3.816
2020-06-21,3.816
2020-06-22,3.785
2020-06-23,3.784
2020-06-24,3.583
2020-06-25,3.655
2020-06-26,3.435
2020-06-27,3.435
2020-06-28,3.435
2020-06-29,3.61
2020-06-30,3.701
2020-07-01,3.623
2020-07-02,3.64
2020-07-03,3.64
2020-07-04,3.64
2020-07-05,3.64
2020-07-06,3.684
2020-07-07,3.56
2020-07-08,3.618
2020-07-09,3.5
2020-07-10,3.613
2020-07-11,3.613
2020-07-12,3.613
2020-07-13,3.591
2020-07-14,3.61
2020-07-15,3.743
2020-07-16,3.691
2020-07-17,3.659
2020-07-18,3.659
2020-07-19,3.659
2020-07-20,3.618
2020-07-21,3.69
2020-07-22,3.634
2020-07-23,3.589
2020-07-24,3.585
2020-07-25,3.585
2020-07-26,3.585
2020-07-27,3.657
2020-07-28,3.612
2020-07-29,3.826
2020-07-30,3.742
2020-07-31,3.73
2020-08-01,3.73
2020-08-02,3.73
2020-08-03,5.259
2020-08-04,5.227
2020-08-05,5.329
2020-08-06,5.406
2020-08-07,5.56
2020-08-08,5.56
2020-08-09,5.56
2020-08-10,5.487
2020-08-11,5.502
2020-08-12,5.513
2020-08-13,5.49
2020-08-14,5.479
2020-08-15,5.479
2020-08-16,5.479
2020-08-17,5.32
2020-08-18,5.263
2020-08-19,5.343
2020-08-20,5.246
2020-08-21,5.237
2020-08-22,5.237
2020-08-23,5.237
2020-08-24,5.331
2020-08-25,5.352
2020-08-26,5.312
2020-08-27,5.384
2020-08-28,5.398
2020-08-29,5.398
2020-08-30,5.398
2020-08-31,5.384
2020-09-01,5.426
2020-09-02,5.531
2020-09-03,5.47
2020-09-04,5.489
2020-09-05,5.489
2020-09-06,5.489
2020-09-07,5.489
2020-09-08,5.217
2020-09-09,5.268
2020-09-10,5.177
2020-09-11,5.15
2020-09-12,5.15
2020-09-13,5.15
2020-09-14,5.303
2020-09-15,5.281
2020-09-16,5.29
2020-09-17,5.173
2020-09-18,5.175
2020-09-19,5.175
2020-09-20,5.175
2020-09-21,5.015
2020-09-22,5.003
2020-09-23,4.892
2020-09-24,4.873
2020-09-25,4.935
2020-09-26,4.935
2020-09-27,4.935
2020-09-28,5.056
2020-09-29,4.983
2020-09-30,5.025
2020-10-01,5.023
2020-10-02,5.054
2020-10-03,5.054
2020-10-04,5.054
2020-10-05,5.208
2020-10-06,5.223
2020-10-07,6.101
2020-10-08,6.263
2020-10-09,6.324
2020-10-10,6.324
2020-10-11,6.324
2020-10-12,6.322
2020-10-13,6.135
2020-10-14,6.08
2020-10-15,6.167
2020-10-16,6.289
2020-10-17,6.289
2020-10-18,6.289
2020-10-19,6.24
2020-10-20,6.236
2020-10-21,6.138
2020-10-22,6.258
2020-10-23,6.262
2020-10-24,6.262
2020-10-25,6.262
2020-10-26,6.095
2020-10-27,5.994
2020-10-28,5.782
2020-10-29,5.847
2020-10-30,6.017
2020-10-31,6.017
2020-11-01,6.017
2020-11-02,6.048
2020-11-03,6.217
2020-11-04,5.892
2020-11-05,5.906
2020-11-06,5.719
2020-11-07,5.719
2020-11-08,5.719
2020-11-09,6.446
2020-11-10,6.619
2020-11-11,6.616
2020-11-12,6.521
2020-11-13,6.744
2020-11-14,6.744
2020-11-15,6.744
2020-11-16,6.878
2020-11-17,6.976
2020-11-18,6.907
2020-11-19,6.851
2020-11-20,6.784
2020-11-21,6.784
2020-11-22,6.784
2020-11-23,6.936
2020-11-24,7.142
2020-11-25,7.034
2020-11-26,7.034
2020-11-27,6.985
2020-11-28,6.985
2020-11-29,6.985
2020-11-30,6.837
2020-12-01,7.03
2020-12-02,7.165
2020-12-03,7.43
2020-12-04,7.642
2020-12-05,7.642
2020-12-06,7.642
2020-12-07,7.476
2020-12-08,7.146
2020-12-09,7.168
2020-12-10,7.133
2020-12-11,7.11
2020-12-12,7.11
2020-12-13,7.11
2020-12-14,7.119
2020-12-15,7.366
2020-12-16,7.429
2020-12-17,7.459
2020-12-18,7.515
2020-12-19,7.515
2020-12-20,7.515
2020-12-21,7.487
2020-12-22,7.52
2020-12-23,7.566
2020-12-24,7.536
2020-12-25,7.536
2020-12-26,7.536
2020-12-27,7.536
2020-12-28,7.566
2020-12-29,7.552
2020-12-30,7.548
2020-12-31,7.564
2021-01-01,7.564
2021-01-02,7.564
2021-01-03,7.564
2021-01-04,6.344
2021-01-05,6.33
2021-01-06,6.673
2021-01-07,6.883
2021-01-08,7.046
2021-01-09,7.046
2021-01-10,7.046
2021-01-11,7.171
2021-01-12,7.39
2021-01-13,8.849
2021-01-14,8.939
2021-01-15,8.875
2021-01-16,8.875
2021-01-17,8.875
2021-01-18,8.875
2021-01-19,8.937
2021-01-20,8.936
2021-01-21,8.731
2021-01-22,8.591
2021-01-23,8.591
2021-01-24,8.591
2021-01-25,8.417
2021-01-26,8.343
2021-01-27,7.867
2021-01-28,8.271
2021-01-29,8.098
2021-01-30,8.098
2021-01-31,8.098
2021-02-01,8.291
2021-02-02,8.55
2021-02-03,8.66
2021-02-04,8.819
2021-02-05,9.394
2021-02-06,9.394
2021-02-07,9.394
2021-02-08,8.849
2021-02-09,9.016
2021-02-10,9.197
2021-02-11,9.194
2021-02-12,9.306
2021-02-13,9.306
2021-02-14,9.306
2021-02-15,9.306
2021-02-16,9.507
2021-02-17,9.406
2021-02-18,9.308
2021-02-19,9.427
2021-02-20,9.427
2021-02-21,9.427
2021-02-22,9.605
2021-02-23,9.675
2021-02-24,9.674
2021-02-25,9.439
2021-02-26,9.399
2021-02-27,9.399
2021-02-28,9.399
2021-03-01,9.669
2021-03-02,9.617
2021-03-03,9.623
2021-03-04,9.404
2021-03-05,9.575
2021-03-06,9.575
2021-03-07,9.575
2021-03-08,9.653
2021-03-09,9.818
2021-03-10,10.021
2021-03-11,10.173
2021-03-12,10.247
2021-03-13,10.247
2021-03-14,10.247
2021-03-15,10.339
2021-03-16,10.069
2021-03-17,10.261
2021-03-18,10.319
2021-03-19,10.471
2021-03-20,10.471
2021-03-21,10.471
2021-03-22,10.363
2021-03-23,9.812
2021-03-24,9.675
2021-03-25,9.941
2021-03-26,10.143
2021-03-27,10.143
2021-03-28,10.143
2021-03-29,10.102
2021-03-30,10.134
2021-03-31,10.175
2021-04-01,10.266
2021-04-02,10.266
2021-04-03,10.266
2021-04-04,10.266
2021-04-05,11.102
2021-04-06,10.979
2021-04-07,11.041
