,CSX US Equity
,BEST_PE_RATIO
2020-01-01,10.777
2020-01-02,10.901
2020-01-03,10.856
2020-01-04,10.856
2020-01-05,10.856
2020-01-06,10.8
2020-01-07,10.873
2020-01-08,10.929
2020-01-09,10.983
2020-01-10,10.926
2020-01-11,10.926
2020-01-12,10.926
2020-01-13,11.124
2020-01-14,11.12
2020-01-15,11.169
2020-01-16,11.43
2020-01-17,12.308
2020-01-18,12.308
2020-01-19,12.308
2020-01-20,12.308
2020-01-21,12.055
2020-01-22,12.02
2020-01-23,12.347
2020-01-24,12.356
2020-01-25,12.356
2020-01-26,12.356
2020-01-27,12.11
2020-01-28,12.279
2020-01-29,12.49
2020-01-30,12.53
2020-01-31,12.298
2020-02-01,12.298
2020-02-02,12.298
2020-02-03,12.421
2020-02-04,12.529
2020-02-05,12.593
2020-02-06,12.617
2020-02-07,12.545
2020-02-08,12.545
2020-02-09,12.545
2020-02-10,12.708
2020-02-11,12.65
2020-02-12,12.805
2020-02-13,12.862
2020-02-14,12.822
2020-02-15,12.822
2020-02-16,12.822
2020-02-17,12.822
2020-02-18,12.809
2020-02-19,12.915
2020-02-20,12.96
2020-02-21,12.817
2020-02-22,12.817
2020-02-23,12.817
2020-02-24,12.575
2020-02-25,12.174
2020-02-26,12.132
2020-02-27,11.683
2020-02-28,11.389
2020-02-29,11.389
2020-03-01,11.389
2020-03-02,11.437
2020-03-03,11.14
2020-03-04,11.639
2020-03-05,11.148
2020-03-06,11.033
2020-03-07,11.033
2020-03-08,11.033
2020-03-09,9.763
2020-03-10,10.165
2020-03-11,9.426
2020-03-12,8.634
2020-03-13,9.366
2020-03-14,9.366
2020-03-15,9.366
2020-03-16,7.91
2020-03-17,8.772
2020-03-18,8.24
2020-03-19,9.321
2020-03-20,8.45
2020-03-21,8.45
2020-03-22,8.45
2020-03-23,8.075
2020-03-24,9.404
2020-03-25,9.578
2020-03-26,9.924
2020-03-27,9.538
2020-03-28,9.538
2020-03-29,9.538
2020-03-30,9.831
2020-03-31,9.709
2020-04-01,9.294
2020-04-02,9.634
2020-04-03,9.619
2020-04-04,9.619
2020-04-05,9.619
2020-04-06,10.381
2020-04-07,10.361
2020-04-08,15.847
2020-04-09,15.967
2020-04-10,15.967
2020-04-11,15.967
2020-04-12,15.967
2020-04-13,15.361
2020-04-14,15.603
2020-04-15,15.191
2020-04-16,15.129
2020-04-17,15.66
2020-04-18,15.66
2020-04-19,15.66
2020-04-20,13.357
2020-04-21,13.024
2020-04-22,13.305
2020-04-23,14.042
2020-04-24,14.579
2020-04-25,14.579
2020-04-26,14.579
2020-04-27,15.171
2020-04-28,13.908
2020-04-29,14.178
2020-04-30,13.779
2020-05-01,13.523
2020-05-02,13.523
2020-05-03,13.523
2020-05-04,13.261
2020-05-05,13.267
2020-05-06,13.03
2020-05-07,13.298
2020-05-08,13.754
2020-05-09,13.754
2020-05-10,13.754
2020-05-11,13.712
2020-05-12,13.348
2020-05-13,12.967
2020-05-14,13.1
2020-05-15,12.899
2020-05-16,12.899
2020-05-17,12.899
2020-05-18,13.812
2020-05-19,13.723
2020-05-20,14.222
2020-05-21,14.105
2020-05-22,14.257
2020-05-23,14.257
2020-05-24,14.257
2020-05-25,14.257
2020-05-26,15.008
2020-05-27,15.312
2020-05-28,14.876
2020-05-29,14.945
2020-05-30,14.945
2020-05-31,14.945
2020-06-01,14.795
2020-06-02,15.07
2020-06-03,15.59
2020-06-04,15.458
2020-06-05,15.675
2020-06-06,15.675
2020-06-07,15.675
2020-06-08,15.519
2020-06-09,15.379
2020-06-10,15.302
2020-06-11,14.258
2020-06-12,14.525
2020-06-13,14.525
2020-06-14,14.525
2020-06-15,14.646
2020-06-16,14.69
2020-06-17,14.594
2020-06-18,14.746
2020-06-19,14.432
2020-06-20,14.432
2020-06-21,14.432
2020-06-22,14.561
2020-06-23,14.738
2020-06-24,14.328
