,AEP US Equity
,BEST_PE_RATIO
2020-01-01,13.48
2020-01-02,13.48
2020-01-03,13.48
2020-01-04,13.48
2020-01-05,13.48
2020-01-06,13.48
2020-01-07,13.48
2020-01-08,13.48
2020-01-09,13.48
2020-01-10,13.48
2020-01-11,13.48
2020-01-12,13.48
2020-01-13,13.48
2020-01-14,13.48
2020-01-15,13.48
2020-01-16,13.48
2020-01-17,14.539
2020-01-18,14.539
2020-01-19,14.539
2020-01-20,14.539
2020-01-21,14.654
2020-01-22,14.751
2020-01-23,14.894
2020-01-24,15.07
2020-01-25,15.07
2020-01-26,15.07
2020-01-27,15.014
2020-01-28,15.074
2020-01-29,15.166
2020-01-30,15.356
2020-01-31,15.374
2020-02-01,15.374
2020-02-02,15.374
2020-02-03,15.374
2020-02-04,15.175
2020-02-05,15.064
2020-02-06,15.083
2020-02-07,15.052
2020-02-08,15.052
2020-02-09,15.052
2020-02-10,15.138
2020-02-11,15.183
2020-02-12,15.119
2020-02-13,15.276
2020-02-14,15.411
2020-02-15,15.411
2020-02-16,15.411
2020-02-17,15.411
2020-02-18,15.496
2020-02-19,15.373
2020-02-20,15.206
2020-02-21,15.107
2020-02-22,15.107
2020-02-23,15.107
2020-02-24,14.859
2020-02-25,14.581
2020-02-26,14.471
2020-02-27,13.644
2020-02-28,13.258
2020-02-29,13.258
2020-03-01,13.258
2020-03-02,14.124
2020-03-03,14.177
2020-03-04,14.826
2020-03-05,14.673
2020-03-06,14.511
2020-03-07,14.511
2020-03-08,14.511
2020-03-09,14.104
2020-03-10,14.069
2020-03-11,13.899
2020-03-12,12.787
2020-03-13,13.396
2020-03-14,13.396
2020-03-15,13.396
2020-03-16,12.651
2020-03-17,14.128
2020-03-18,13.676
2020-03-19,12.519
2020-03-20,11.069
2020-03-21,11.069
2020-03-22,11.069
2020-03-23,10.844
2020-03-24,11.162
2020-03-25,11.354
2020-03-26,12.672
2020-03-27,12.92
2020-03-28,12.92
2020-03-29,12.92
2020-03-30,12.968
2020-03-31,12.39
2020-04-01,11.552
2020-04-02,11.896
2020-04-03,11.232
2020-04-04,11.232
2020-04-05,11.232
2020-04-06,12.175
2020-04-07,12.2
2020-04-08,12.905
2020-04-09,13.371
2020-04-10,13.371
2020-04-11,13.371
2020-04-12,13.371
2020-04-13,12.936
2020-04-14,13.362
2020-04-15,12.953
2020-04-16,13.021
2020-04-17,13.382
2020-04-18,13.382
2020-04-19,13.382
2020-04-20,13.382
2020-04-21,13.382
2020-04-22,13.382
2020-04-23,13.382
2020-04-24,13.382
2020-04-25,13.382
2020-04-26,13.382
2020-04-27,13.382
2020-04-28,13.382
2020-04-29,13.382
2020-04-30,13.382
2020-05-01,13.382
2020-05-02,13.382
2020-05-03,13.382
2020-05-04,13.382
2020-05-05,13.382
2020-05-06,13.382
2020-05-07,13.382
2020-05-08,13.382
2020-05-09,13.382
2020-05-10,13.382
2020-05-11,13.382
2020-05-12,13.382
2020-05-13,13.382
2020-05-14,13.382
2020-05-15,13.382
2020-05-16,13.382
2020-05-17,13.382
2020-05-18,13.382
2020-05-19,13.382
2020-05-20,13.382
2020-05-21,13.382
2020-05-22,13.382
2020-05-23,13.382
2020-05-24,13.382
2020-05-25,13.382
2020-05-26,13.382
2020-05-27,13.382
2020-05-28,13.382
2020-05-29,13.382
2020-05-30,13.382
2020-05-31,13.382
2020-06-01,13.382
2020-06-02,13.382
2020-06-03,13.382
2020-06-04,13.382
2020-06-05,13.382
2020-06-06,13.382
2020-06-07,13.382
2020-06-08,13.382
2020-06-09,13.382
2020-06-10,13.382
2020-06-11,13.382
2020-06-12,13.382
2020-06-13,13.382
2020-06-14,13.382
2020-06-15,13.382
2020-06-16,13.382
2020-06-17,13.382
2020-06-18,13.382
2020-06-19,13.382
2020-06-20,13.382
2020-06-21,13.382
2020-06-22,13.382
2020-06-23,13.382
2020-06-24,13.382
2020-06-25,13.382
2020-06-26,13.382
2020-06-27,13.382
2020-06-28,13.382
2020-06-29,13.382
2020-06-30,13.382
2020-07-01,13.382
2020-07-02,13.382
2020-07-03,13.382
2020-07-04,13.382
2020-07-05,13.382
2020-07-06,13.382
2020-07-07,12.541
2020-07-08,12.545
2020-07-09,12.485
2020-07-10,12.809
2020-07-11,12.809
