,PARA US Equity
,BEST_PE_RATIO
2020-01-01,4.352
2020-01-02,4.364
2020-01-03,4.298
2020-01-04,4.298
2020-01-05,4.298
2020-01-06,4.361
2020-01-07,4.369
2020-01-08,4.342
2020-01-09,4.232
2020-01-10,4.18
2020-01-11,4.18
2020-01-12,4.18
2020-01-13,4.231
2020-01-14,4.182
2020-01-15,4.116
2020-01-16,4.152
2020-01-17,4.095
2020-01-18,4.095
2020-01-19,4.095
2020-01-20,4.095
2020-01-21,4.016
2020-01-22,3.987
2020-01-23,3.836
2020-01-24,3.711
2020-01-25,3.711
2020-01-26,3.711
2020-01-27,3.643
2020-01-28,3.667
2020-01-29,3.597
2020-01-30,3.93
2020-01-31,3.923
2020-02-01,3.923
2020-02-02,3.923
2020-02-03,4.265
2020-02-04,4.328
2020-02-05,4.428
2020-02-06,4.461
2020-02-07,4.475
2020-02-08,4.475
2020-02-09,4.475
2020-02-10,4.411
2020-02-11,4.509
2020-02-12,4.55
2020-02-13,4.51
2020-02-14,4.51
2020-02-15,4.51
2020-02-16,4.51
2020-02-17,4.51
2020-02-18,4.778
2020-02-19,4.855
2020-02-20,3.987
2020-02-21,3.847
2020-02-22,3.847
2020-02-23,3.847
2020-02-24,3.847
2020-02-25,3.847
2020-02-26,3.847
2020-02-27,3.847
2020-02-28,3.847
2020-02-29,3.847
2020-03-01,3.847
2020-03-02,3.847
2020-03-03,3.847
2020-03-04,3.847
2020-03-05,3.847
2020-03-06,3.847
2020-03-07,3.847
2020-03-08,3.847
2020-03-09,3.847
2020-03-10,3.847
2020-03-11,3.847
2020-03-12,3.847
2020-03-13,3.847
2020-03-14,3.847
2020-03-15,3.847
2020-03-16,3.847
2020-03-17,3.847
2020-03-18,3.847
2020-03-19,3.847
2020-03-20,3.847
2020-03-21,3.847
2020-03-22,3.847
2020-03-23,3.847
2020-03-24,3.847
2020-03-25,3.847
2020-03-26,3.847
2020-03-27,3.847
2020-03-28,3.847
2020-03-29,3.847
2020-03-30,3.847
2020-03-31,3.847
2020-04-01,3.847
2020-04-02,3.847
2020-04-03,3.847
2020-04-04,3.847
2020-04-05,3.847
2020-04-06,3.847
2020-04-07,3.847
2020-04-08,3.847
2020-04-09,2.904
2020-04-10,2.904
2020-04-11,2.904
2020-04-12,2.904
2020-04-13,2.816
2020-04-14,2.853
2020-04-15,2.665
2020-04-16,2.566
2020-04-17,2.771
2020-04-18,2.771
2020-04-19,2.771
2020-04-20,2.722
2020-04-21,2.657
2020-04-22,2.618
2020-04-23,2.721
2020-04-24,2.741
2020-04-25,2.741
2020-04-26,2.741
2020-04-27,2.978
2020-04-28,3.06
2020-04-29,2.553
2020-04-30,2.32
2020-05-01,2.213
2020-05-02,2.213
2020-05-03,2.213
2020-05-04,2.164
2020-05-05,2.051
2020-05-06,2.0
2020-05-07,2.385
2020-05-08,2.626
2020-05-09,2.626
2020-05-10,2.626
2020-05-11,2.62
2020-05-12,2.642
2020-05-13,2.44
2020-05-14,2.484
2020-05-15,2.505
2020-05-16,2.505
2020-05-17,2.505
2020-05-18,2.758
2020-05-19,2.844
2020-05-20,2.842
2020-05-21,2.872
2020-05-22,2.836
2020-05-23,2.836
2020-05-24,2.836
2020-05-25,2.836
2020-05-26,2.949
2020-05-27,3.187
2020-05-28,3.069
2020-05-29,3.003
2020-05-30,3.003
2020-05-31,3.003
2020-06-01,3.117
2020-06-02,3.162
2020-06-03,3.289
2020-06-04,3.492
2020-06-05,3.594
2020-06-06,3.594
2020-06-07,3.594
2020-06-08,4.128
2020-06-09,3.767
2020-06-10,3.475
2020-06-11,3.415
2020-06-12,3.35
2020-06-13,3.35
2020-06-14,3.35
2020-06-15,3.641
2020-06-16,3.538
2020-06-17,3.408
2020-06-18,4.01
2020-06-19,3.877
2020-06-20,3.877
2020-06-21,3.877
2020-06-22,3.844
2020-06-23,3.88
2020-06-24,3.859
2020-06-25,3.759
2020-06-26,3.653
2020-06-27,3.653
2020-06-28,3.653
2020-06-29,3.772
2020-06-30,3.817
2020-07-01,3.862
2020-07-02,3.805
2020-07-03,3.805
2020-07-04,3.805
2020-07-05,3.805
2020-07-06,3.877
2020-07-07,3.756
2020-07-08,3.751
2020-07-09,3.617
2020-07-10,3.753
2020-07-11,3.753
2020-07-12,3.753
2020-07-13,4.513
2020-07-14,4.615
2020-07-15,4.749
2020-07-16,4.853
2020-07-17,4.794
2020-07-18,4.794
2020-07-19,4.794
2020-07-20,4.657
2020-07-21,4.667
2020-07-22,4.731
2020-07-23,4.783
2020-07-24,4.711
2020-07-25,4.711
2020-07-26,4.711
2020-07-27,4.726
