,D US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,12.417
2020-01-18,12.417
2020-01-19,12.417
2020-01-20,12.417
2020-01-21,12.414
2020-01-22,13.775
2020-01-23,13.838
2020-01-24,13.826
2020-01-25,13.826
2020-01-26,13.826
2020-01-27,13.714
2020-01-28,13.912
2020-01-29,14.055
2020-01-30,14.234
2020-01-31,14.114
2020-02-01,14.114
2020-02-02,14.114
2020-02-03,14.129
2020-02-04,13.918
2020-02-05,13.978
2020-02-06,14.035
2020-02-07,13.96
2020-02-08,13.96
2020-02-09,13.96
2020-02-10,13.923
2020-02-11,14.027
2020-02-12,14.119
2020-02-13,14.195
2020-02-14,14.396
2020-02-15,14.396
2020-02-16,14.396
2020-02-17,14.396
2020-02-18,14.646
2020-02-19,14.458
2020-02-20,14.69
2020-02-21,14.712
2020-02-22,14.712
2020-02-23,14.712
2020-02-24,15.2
2020-02-25,14.86
2020-02-26,14.687
2020-02-27,13.908
2020-02-28,13.378
2020-02-29,13.378
2020-03-01,13.378
2020-03-02,14.405
2020-03-03,14.268
2020-03-04,15.234
2020-03-05,14.916
2020-03-06,14.836
2020-03-07,14.836
2020-03-08,14.836
2020-03-09,13.917
2020-03-10,14.24
2020-03-11,13.51
2020-03-12,12.202
2020-03-13,13.397
2020-03-14,13.397
2020-03-15,13.397
2020-03-16,11.747
2020-03-17,13.771
2020-03-18,13.734
2020-03-19,12.295
2020-03-20,11.502
2020-03-21,11.502
2020-03-22,11.502
2020-03-23,10.163
2020-03-24,11.237
2020-03-25,11.523
2020-03-26,12.396
2020-03-27,12.503
2020-03-28,12.503
2020-03-29,12.503
2020-03-30,13.143
2020-03-31,12.353
2020-04-01,11.966
2020-04-02,12.16
2020-04-03,11.901
2020-04-04,11.901
2020-04-05,11.901
2020-04-06,12.681
2020-04-07,12.567
2020-04-08,13.385
2020-04-09,13.961
2020-04-10,13.961
2020-04-11,13.961
2020-04-12,13.961
2020-04-13,13.609
2020-04-14,14.035
2020-04-15,13.653
2020-04-16,13.359
2020-04-17,13.948
2020-04-18,13.948
2020-04-19,13.948
2020-04-20,13.948
2020-04-21,13.948
2020-04-22,13.948
2020-04-23,13.948
2020-04-24,13.948
2020-04-25,13.948
2020-04-26,13.948
2020-04-27,13.948
2020-04-28,13.948
2020-04-29,13.948
2020-04-30,13.948
2020-05-01,13.948
2020-05-02,13.948
2020-05-03,13.948
2020-05-04,13.948
2020-05-05,13.948
2020-05-06,13.948
2020-05-07,13.948
2020-05-08,13.948
2020-05-09,13.948
2020-05-10,13.948
2020-05-11,13.948
2020-05-12,13.948
2020-05-13,13.948
2020-05-14,13.948
2020-05-15,13.948
2020-05-16,13.948
2020-05-17,13.948
2020-05-18,13.948
2020-05-19,13.948
2020-05-20,13.948
2020-05-21,13.948
2020-05-22,13.948
2020-05-23,13.948
2020-05-24,13.948
2020-05-25,13.948
2020-05-26,13.948
2020-05-27,13.948
2020-05-28,13.948
2020-05-29,13.948
2020-05-30,13.948
2020-05-31,13.948
2020-06-01,13.948
2020-06-02,13.948
2020-06-03,13.948
2020-06-04,13.948
2020-06-05,13.948
2020-06-06,13.948
2020-06-07,13.948
2020-06-08,13.948
2020-06-09,13.948
2020-06-10,13.948
2020-06-11,13.948
2020-06-12,13.948
2020-06-13,13.948
2020-06-14,13.948
2020-06-15,14.689
2020-06-16,14.841
2020-06-17,14.707
2020-06-18,14.773
2020-06-19,14.282
2020-06-20,14.282
2020-06-21,14.282
2020-06-22,14.549
2020-06-23,14.471
2020-06-24,14.432
2020-06-25,14.18
2020-06-26,13.925
2020-06-27,13.925
2020-06-28,13.925
2020-06-29,14.088
2020-06-30,14.187
2020-07-01,14.392
2020-07-02,14.451
2020-07-03,14.451
2020-07-04,14.451
2020-07-05,14.451
2020-07-06,13.409
2020-07-07,13.553
2020-07-08,13.736
2020-07-09,13.471
2020-07-10,13.436
2020-07-11,13.436
2020-07-12,13.436
2020-07-13,13.455
2020-07-14,13.498
2020-07-15,13.778
2020-07-16,14.052
2020-07-17,14.349
2020-07-18,14.349
2020-07-19,14.349
2020-07-20,14.161
2020-07-21,14.282
2020-07-22,14.526
2020-07-23,14.716
2020-07-24,14.683
2020-07-25,14.683
2020-07-26,14.683
2020-07-27,14.664
2020-07-28,15.001
2020-07-29,15.037
2020-07-30,14.902
2020-07-31,14.813
2020-08-01,14.813
2020-08-02,14.813
2020-08-03,14.575
2020-08-04,14.675
2020-08-05,14.463
2020-08-06,14.448
2020-08-07,14.628
2020-08-08,14.628
2020-08-09,14.628
2020-08-10,14.537
2020-08-11,14.254
2020-08-12,14.439
2020-08-13,14.39
2020-08-14,14.307
2020-08-15,14.307
2020-08-16,14.307
2020-08-17,14.276
2020-08-18,14.185
2020-08-19,14.142
2020-08-20,14.098
2020-08-21,14.269
2020-08-22,14.269
2020-08-23,14.269
2020-08-24,14.352
2020-08-25,14.243
2020-08-26,14.167
2020-08-27,14.153
2020-08-28,14.156
2020-08-29,14.156
2020-08-30,14.156
2020-08-31,14.232
2020-09-01,14.12
2020-09-02,14.443
2020-09-03,14.504
2020-09-04,14.403
2020-09-05,14.403
2020-09-06,14.403
