,DTE US Equity
,BEST_PE_RATIO
2020-01-01,14.099
2020-01-02,13.972
2020-01-03,14.006
2020-01-04,14.006
2020-01-05,14.006
2020-01-06,14.002
2020-01-07,13.956
2020-01-08,13.948
2020-01-09,13.968
2020-01-10,13.998
2020-01-11,13.998
2020-01-12,13.998
2020-01-13,14.069
2020-01-14,14.141
2020-01-15,14.329
2020-01-16,14.43
2020-01-17,12.887
2020-01-18,12.887
2020-01-19,12.887
2020-01-20,12.887
2020-01-21,12.897
2020-01-22,12.771
2020-01-23,12.894
2020-01-24,12.784
2020-01-25,12.784
2020-01-26,12.784
2020-01-27,12.739
2020-01-28,12.755
2020-01-29,12.706
2020-01-30,12.822
2020-01-31,12.77
2020-02-01,12.77
2020-02-02,12.77
2020-02-03,12.882
2020-02-04,12.817
2020-02-05,12.947
2020-02-06,12.924
2020-02-07,12.866
2020-02-08,12.866
2020-02-09,12.866
2020-02-10,12.852
2020-02-11,12.905
2020-02-12,12.879
2020-02-13,12.86
2020-02-14,12.905
2020-02-15,12.905
2020-02-16,12.905
2020-02-17,12.905
2020-02-18,12.966
2020-02-19,12.91
2020-02-20,12.899
2020-02-21,12.996
2020-02-22,12.996
2020-02-23,12.996
2020-02-24,12.794
2020-02-25,12.337
2020-02-26,12.011
2020-02-27,11.364
2020-02-28,10.753
2020-02-29,10.753
2020-03-01,10.753
2020-03-02,11.232
2020-03-03,10.883
2020-03-04,11.489
2020-03-05,11.195
2020-03-06,11.182
2020-03-07,11.182
2020-03-08,11.182
2020-03-09,9.873
2020-03-10,10.401
2020-03-11,10.025
2020-03-12,9.022
2020-03-13,9.649
2020-03-14,9.649
2020-03-15,9.649
2020-03-16,8.308
2020-03-17,8.843
2020-03-18,7.704
2020-03-19,8.546
2020-03-20,8.305
2020-03-21,8.305
2020-03-22,8.305
2020-03-23,7.685
2020-03-24,8.657
2020-03-25,9.253
2020-03-26,9.803
2020-03-27,9.758
2020-03-28,9.758
2020-03-29,9.758
2020-03-30,9.949
2020-03-31,9.502
2020-04-01,8.813
2020-04-02,8.922
2020-04-03,8.718
2020-04-04,8.718
2020-04-05,8.718
2020-04-06,9.609
2020-04-07,9.75
2020-04-08,10.39
2020-04-09,11.131
2020-04-10,11.131
2020-04-11,11.131
2020-04-12,11.131
2020-04-13,10.87
2020-04-14,10.84
2020-04-15,10.486
2020-04-16,10.163
2020-04-17,10.591
2020-04-18,10.591
2020-04-19,10.591
2020-04-20,10.116
2020-04-21,9.953
2020-04-22,10.276
2020-04-23,10.141
2020-04-24,10.342
2020-04-25,10.342
2020-04-26,10.342
2020-04-27,10.308
2020-04-28,10.753
2020-04-29,10.319
2020-04-30,9.978
2020-05-01,9.684
2020-05-02,9.684
2020-05-03,9.684
2020-05-04,9.698
2020-05-05,9.85
2020-05-06,9.667
2020-05-07,9.495
2020-05-08,9.739
2020-05-09,9.739
2020-05-10,9.739
2020-05-11,9.499
2020-05-12,9.55
2020-05-13,9.232
2020-05-14,9.428
2020-05-15,9.366
2020-05-16,9.366
2020-05-17,9.366
2020-05-18,9.932
2020-05-19,9.896
2020-05-20,9.933
2020-05-21,9.721
2020-05-22,9.825
2020-05-23,9.825
2020-05-24,9.825
2020-05-25,9.825
2020-05-26,10.135
2020-05-27,10.246
2020-05-28,10.367
2020-05-29,10.349
2020-05-30,10.349
2020-05-31,10.349
2020-06-01,10.431
2020-06-02,10.622
2020-06-03,10.875
2020-06-04,10.692
2020-06-05,11.051
2020-06-06,11.051
2020-06-07,11.051
2020-06-08,11.296
2020-06-09,11.064
2020-06-10,10.866
2020-06-11,10.102
2020-06-12,10.207
2020-06-13,10.207
2020-06-14,10.207
2020-06-15,10.299
2020-06-16,10.49
2020-06-17,10.412
2020-06-18,10.465
2020-06-19,10.08
2020-06-20,10.08
2020-06-21,10.08
2020-06-22,10.37
2020-06-23,10.42
2020-06-24,10.226
2020-06-25,10.192
2020-06-26,10.115
2020-06-27,10.115
2020-06-28,10.115
2020-06-29,10.352
2020-06-30,10.443
2020-07-01,10.686
2020-07-02,10.683
2020-07-03,10.683
2020-07-04,10.683
2020-07-05,10.683
2020-07-06,10.533
2020-07-07,10.403
2020-07-08,10.482
2020-07-09,10.184
2020-07-10,10.264
2020-07-11,10.264
2020-07-12,10.264
2020-07-13,10.359
2020-07-14,10.385
2020-07-15,10.425
2020-07-16,10.473
2020-07-17,10.646
2020-07-18,10.646
2020-07-19,10.646
2020-07-20,10.366
2020-07-21,10.724
2020-07-22,11.047
2020-07-23,11.095
2020-07-24,10.552
2020-07-25,10.552
2020-07-26,10.552
2020-07-27,10.501
2020-07-28,10.558
2020-07-29,10.612
2020-07-30,10.467
2020-07-31,10.552
2020-08-01,10.552
2020-08-02,10.552
2020-08-03,10.391
2020-08-04,10.553
2020-08-05,10.54
2020-08-06,10.671
2020-08-07,10.847
2020-08-08,10.847
2020-08-09,10.847
2020-08-10,10.972
2020-08-11,10.712
2020-08-12,10.842
2020-08-13,10.783
2020-08-14,10.742
2020-08-15,10.742
2020-08-16,10.742
2020-08-17,10.681
2020-08-18,10.634
2020-08-19,10.679
2020-08-20,10.464
2020-08-21,10.498
2020-08-22,10.498
2020-08-23,10.498
2020-08-24,10.691
2020-08-25,10.604
2020-08-26,10.489
2020-08-27,10.605
2020-08-28,10.682
2020-08-29,10.682
2020-08-30,10.682
2020-08-31,10.755
2020-09-01,10.675
2020-09-02,10.917
2020-09-03,10.796
2020-09-04,10.768
2020-09-05,10.768
2020-09-06,10.768
2020-09-07,10.768
2020-09-08,10.701
2020-09-09,10.849
2020-09-10,10.687
2020-09-11,10.734
2020-09-12,10.734
2020-09-13,10.734
2020-09-14,10.91
2020-09-15,10.745
2020-09-16,10.788
2020-09-17,10.591
2020-09-18,10.242
2020-09-19,10.242
2020-09-20,10.242
2020-09-21,10.175
2020-09-22,10.24
2020-09-23,10.23
2020-09-24,10.33
2020-09-25,10.488
2020-09-26,10.488
2020-09-27,10.488
2020-09-28,10.496
2020-09-29,10.459
2020-09-30,10.517
2020-10-01,10.371
2020-10-02,10.437
2020-10-03,10.437
2020-10-04,10.437
2020-10-05,10.469
2020-10-06,10.55
2020-10-07,10.469
2020-10-08,11.141
2020-10-09,10.997
2020-10-10,10.997
2020-10-11,10.997
2020-10-12,11.042
2020-10-13,10.885
2020-10-14,10.916
2020-10-15,10.782
2020-10-16,10.907
2020-10-17,10.907
2020-10-18,10.907
2020-10-19,10.845
2020-10-20,11.053
2020-10-21,11.064
2020-10-22,11.207
2020-10-23,11.4
2020-10-24,11.4
2020-10-25,11.4
2020-10-26,11.317
2020-10-27,11.587
2020-10-28,11.059
2020-10-29,11.179
2020-10-30,11.174
2020-10-31,11.174
2020-11-01,11.174
2020-11-02,11.381
2020-11-03,11.449
2020-11-04,11.333
2020-11-05,11.329
2020-11-06,11.214
2020-11-07,11.214
2020-11-08,11.214
2020-11-09,11.629
2020-11-10,11.917
2020-11-11,11.742
2020-11-12,11.601
2020-11-13,11.8
2020-11-14,11.8
2020-11-15,11.8
2020-11-16,12.206
2020-11-17,11.993
2020-11-18,11.754
2020-11-19,11.706
2020-11-20,11.724
2020-11-21,11.724
2020-11-22,11.724
2020-11-23,11.773
2020-11-24,11.891
2020-11-25,11.939
2020-11-26,11.939
2020-11-27,11.604
2020-11-28,11.604
2020-11-29,11.604
2020-11-30,11.358
2020-12-01,11.397
2020-12-02,11.623
2020-12-03,11.45
2020-12-04,11.369
2020-12-05,11.369
2020-12-06,11.369
2020-12-07,11.271
2020-12-08,11.252
2020-12-09,11.283
2020-12-10,11.215
2020-12-11,11.291
2020-12-12,11.291
2020-12-13,11.291
2020-12-14,11.151
2020-12-15,11.267
2020-12-16,11.395
2020-12-17,11.395
2020-12-18,11.324
2020-12-19,11.324
2020-12-20,11.324
2020-12-21,11.011
2020-12-22,11.065
2020-12-23,11.034
2020-12-24,11.14
2020-12-25,11.14
2020-12-26,11.14
2020-12-27,11.14
2020-12-28,11.094
2020-12-29,11.095
2020-12-30,11.134
2020-12-31,11.297
2021-01-01,11.297
2021-01-02,11.297
2021-01-03,11.297
