,HMTV US Equity
,BEST_PE_RATIO
2020-01-01,33.75
2020-01-02,33.568
2020-01-03,33.341
2020-01-04,33.341
2020-01-05,33.341
2020-01-06,33.932
2020-01-07,33.364
2020-01-08,32.136
2020-01-09,34.22
2020-01-10,34.195
2020-01-11,34.195
2020-01-12,34.195
2020-01-13,34.22
2020-01-14,34.561
2020-01-15,34.854
2020-01-16,35.22
2020-01-17,34.805
2020-01-18,34.805
2020-01-19,34.805
2020-01-20,34.805
2020-01-21,34.171
2020-01-22,34.024
2020-01-23,34.122
2020-01-24,34.098
2020-01-25,34.098
2020-01-26,34.098
2020-01-27,34.146
2020-01-28,34.146
2020-01-29,33.61
2020-01-30,34.098
2020-01-31,32.78
2020-02-01,32.78
2020-02-02,32.78
2020-02-03,33.024
2020-02-04,33.146
2020-02-05,33.805
2020-02-06,33.439
2020-02-07,33.317
2020-02-08,33.317
2020-02-09,33.317
2020-02-10,34.341
2020-02-11,34.268
2020-02-12,34.122
2020-02-13,34.244
2020-02-14,34.049
2020-02-15,34.049
2020-02-16,34.049
2020-02-17,34.049
2020-02-18,34.024
2020-02-19,33.78
2020-02-20,33.634
2020-02-21,32.951
2020-02-22,32.951
2020-02-23,32.951
2020-02-24,32.146
2020-02-25,30.854
2020-02-26,31.024
2020-02-27,30.61
2020-02-28,30.805
2020-02-29,30.805
2020-03-01,30.805
2020-03-02,30.561
2020-03-03,37.662
2020-03-04,37.877
2020-03-05,35.046
2020-03-06,60.632
2020-03-07,60.632
2020-03-08,60.632
2020-03-09,55.368
2020-03-10,54.737
2020-03-11,53.526
2020-03-12,50.632
2020-03-13,49.737
2020-03-14,49.737
2020-03-15,49.737
2020-03-16,45.579
2020-03-17,50.105
2020-03-18,44.421
2020-03-19,46.316
2020-03-20,45.684
2020-03-21,45.684
2020-03-22,45.684
2020-03-23,44.421
2020-03-24,47.263
2020-03-25,45.579
2020-03-26,45.842
2020-03-27,44.632
2020-03-28,44.632
2020-03-29,44.632
2020-03-30,45.158
2020-03-31,44.947
2020-04-01,43.895
2020-04-02,44.0
2020-04-03,43.684
2020-04-04,43.684
2020-04-05,43.684
