,EIX US Equity
,BEST_PE_RATIO
2020-01-01,11.298
2020-01-02,11.144
2020-01-03,11.204
2020-01-04,11.204
2020-01-05,11.204
2020-01-06,11.257
2020-01-07,11.366
2020-01-08,11.348
2020-01-09,11.408
2020-01-10,11.312
2020-01-11,11.312
2020-01-12,11.312
2020-01-13,11.292
2020-01-14,11.242
2020-01-15,11.526
2020-01-16,11.471
2020-01-17,11.531
2020-01-18,11.531
2020-01-19,11.531
2020-01-20,11.531
2020-01-21,11.716
2020-01-22,11.547
2020-01-23,11.64
2020-01-24,11.525
2020-01-25,11.525
2020-01-26,11.525
2020-01-27,11.418
2020-01-28,11.507
2020-01-29,11.534
2020-01-30,11.487
2020-01-31,11.469
2020-02-01,11.469
2020-02-02,11.469
2020-02-03,11.636
2020-02-04,11.307
2020-02-05,11.586
2020-02-06,11.43
2020-02-07,11.537
2020-02-08,11.537
2020-02-09,11.537
2020-02-10,11.716
2020-02-11,11.687
2020-02-12,11.612
2020-02-13,11.592
2020-02-14,11.558
2020-02-15,11.558
2020-02-16,11.558
2020-02-17,11.558
2020-02-18,11.555
2020-02-19,11.483
2020-02-20,11.585
2020-02-21,11.622
2020-02-22,11.622
2020-02-23,11.622
2020-02-24,11.435
2020-02-25,11.249
2020-02-26,11.134
2020-02-27,10.525
2020-02-28,10.067
2020-02-29,10.067
2020-03-01,10.067
2020-03-02,10.554
2020-03-03,10.233
2020-03-04,10.512
2020-03-05,10.34
2020-03-06,10.127
2020-03-07,10.127
2020-03-08,10.127
2020-03-09,9.253
2020-03-10,9.572
2020-03-11,8.951
2020-03-12,7.855
2020-03-13,7.978
2020-03-14,7.978
2020-03-15,7.978
2020-03-16,6.915
2020-03-17,7.695
2020-03-18,7.348
2020-03-19,7.306
2020-03-20,7.021
2020-03-21,7.021
2020-03-22,7.021
2020-03-23,6.663
2020-03-24,7.548
2020-03-25,8.064
2020-03-26,8.65
2020-03-27,8.294
2020-03-28,8.294
2020-03-29,8.294
2020-03-30,8.535
2020-03-31,8.305
2020-04-01,7.771
2020-04-02,7.811
2020-04-03,7.482
2020-04-04,7.482
2020-04-05,7.482
2020-04-06,8.059
2020-04-07,8.189
2020-04-08,8.726
2020-04-09,9.135
2020-04-10,9.135
2020-04-11,9.135
2020-04-12,9.135
2020-04-13,9.002
2020-04-14,9.073
2020-04-15,8.773
2020-04-16,9.067
2020-04-17,9.407
2020-04-18,9.407
2020-04-19,9.407
2020-04-20,9.096
2020-04-21,8.82
2020-04-22,8.941
2020-04-23,8.826
2020-04-24,8.981
2020-04-25,8.981
2020-04-26,8.981
2020-04-27,9.208
2020-04-28,9.426
2020-04-29,9.15
2020-04-30,8.899
2020-05-01,8.441
2020-05-02,8.441
2020-05-03,8.441
2020-05-04,8.538
2020-05-05,8.547
2020-05-06,8.191
2020-05-07,8.265
2020-05-08,8.647
2020-05-09,8.647
2020-05-10,8.647
2020-05-11,8.558
2020-05-12,8.496
2020-05-13,8.647
2020-05-14,8.439
2020-05-15,8.208
2020-05-16,8.208
2020-05-17,8.208
2020-05-18,8.389
2020-05-19,8.424
2020-05-20,8.254
2020-05-21,8.255
2020-05-22,8.279
2020-05-23,8.279
2020-05-24,8.279
2020-05-25,8.279
2020-05-26,8.217
2020-05-27,8.37
2020-05-28,8.508
2020-05-29,8.525
2020-05-30,8.525
2020-05-31,8.525
2020-06-01,8.693
2020-06-02,8.782
2020-06-03,8.945
2020-06-04,8.665
2020-06-05,8.932
2020-06-06,8.932
2020-06-07,8.932
2020-06-08,9.501
2020-06-09,9.042
2020-06-10,8.852
2020-06-11,8.335
2020-06-12,8.446
2020-06-13,8.446
2020-06-14,8.446
2020-06-15,8.722
2020-06-16,8.879
2020-06-17,8.786
2020-06-18,8.632
2020-06-19,8.166
2020-06-20,8.166
2020-06-21,8.166
2020-06-22,8.185
2020-06-23,8.182
2020-06-24,7.977
