,STLD US Equity
,BEST_PE_RATIO
2020-01-01,8.028
2020-01-02,7.971
2020-01-03,7.83
2020-01-04,7.83
2020-01-05,7.83
2020-01-06,7.805
2020-01-07,7.978
2020-01-08,7.985
2020-01-09,7.91
2020-01-10,7.709
2020-01-11,7.709
2020-01-12,7.709
2020-01-13,7.841
2020-01-14,7.926
2020-01-15,7.788
2020-01-16,7.773
2020-01-17,7.832
2020-01-18,7.832
2020-01-19,7.832
2020-01-20,7.832
2020-01-21,8.371
2020-01-22,8.411
2020-01-23,8.295
2020-01-24,8.065
2020-01-25,8.065
2020-01-26,8.065
2020-01-27,7.566
2020-01-28,7.655
2020-01-29,7.548
2020-01-30,7.593
2020-01-31,7.451
2020-02-01,7.451
2020-02-02,7.451
2020-02-03,7.483
2020-02-04,7.465
2020-02-05,7.511
2020-02-06,7.344
2020-02-07,7.237
2020-02-08,7.237
2020-02-09,7.237
2020-02-10,7.259
2020-02-11,7.401
2020-02-12,7.331
2020-02-13,7.259
2020-02-14,7.092
2020-02-15,7.092
2020-02-16,7.092
2020-02-17,7.092
2020-02-18,7.162
2020-02-19,7.264
2020-02-20,7.319
2020-02-21,7.404
2020-02-22,7.404
2020-02-23,7.404
2020-02-24,7.311
2020-02-25,6.995
2020-02-26,6.947
2020-02-27,6.705
2020-02-28,6.641
2020-02-29,6.641
2020-03-01,6.641
2020-03-02,6.805
2020-03-03,6.648
2020-03-04,6.82
2020-03-05,6.396
2020-03-06,6.222
2020-03-07,6.222
2020-03-08,6.222
2020-03-09,5.284
2020-03-10,5.633
2020-03-11,5.274
2020-03-12,4.673
2020-03-13,4.673
2020-03-14,4.673
2020-03-15,4.673
2020-03-16,4.673
2020-03-17,4.673
2020-03-18,4.673
2020-03-19,4.673
2020-03-20,4.673
2020-03-21,4.673
2020-03-22,4.673
2020-03-23,4.673
2020-03-24,4.673
2020-03-25,4.673
2020-03-26,4.673
2020-03-27,4.673
2020-03-28,4.673
2020-03-29,4.673
2020-03-30,4.673
2020-03-31,4.673
2020-04-01,4.673
2020-04-02,4.673
2020-04-03,4.673
2020-04-04,4.673
2020-04-05,4.673
2020-04-06,4.673
2020-04-07,4.673
2020-04-08,4.673
2020-04-09,4.673
2020-04-10,4.673
2020-04-11,4.673
2020-04-12,4.673
2020-04-13,4.673
2020-04-14,4.673
2020-04-15,4.673
2020-04-16,4.673
2020-04-17,4.673
2020-04-18,4.673
2020-04-19,4.673
2020-04-20,4.673
2020-04-21,4.673
2020-04-22,4.673
2020-04-23,4.673
2020-04-24,4.673
2020-04-25,4.673
2020-04-26,4.673
2020-04-27,4.673
2020-04-28,4.673
2020-04-29,4.673
