,DUK US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,12.968
2020-01-18,12.968
2020-01-19,12.968
2020-01-20,12.968
2020-01-21,13.116
2020-01-22,13.188
2020-01-23,13.294
2020-01-24,13.322
2020-01-25,13.322
2020-01-26,13.322
2020-01-27,13.297
2020-01-28,13.312
2020-01-29,13.387
2020-01-30,13.487
2020-01-31,13.509
2020-02-01,13.509
2020-02-02,13.509
2020-02-03,13.514
2020-02-04,13.366
2020-02-05,13.441
2020-02-06,13.412
2020-02-07,13.321
2020-02-08,13.321
2020-02-09,13.321
2020-02-10,13.315
2020-02-11,13.42
2020-02-12,13.549
2020-02-13,13.987
2020-02-14,14.15
2020-02-15,14.15
2020-02-16,14.15
2020-02-17,14.15
2020-02-18,14.254
2020-02-19,14.17
2020-02-20,14.171
2020-02-21,14.311
2020-02-22,14.311
2020-02-23,14.311
2020-02-24,14.293
2020-02-25,13.87
2020-02-26,13.823
2020-02-27,13.272
2020-02-28,12.812
2020-02-29,12.812
2020-03-01,12.812
2020-03-02,13.596
2020-03-03,13.447
2020-03-04,14.296
2020-03-05,14.082
2020-03-06,13.931
2020-03-07,13.931
2020-03-08,13.931
2020-03-09,13.302
2020-03-10,13.368
2020-03-11,12.79
2020-03-12,11.319
2020-03-13,12.063
2020-03-14,12.063
2020-03-15,12.063
2020-03-16,10.77
2020-03-17,12.095
2020-03-18,11.15
2020-03-19,10.555
2020-03-20,9.62
2020-03-21,9.62
2020-03-22,9.62
2020-03-23,9.022
2020-03-24,10.056
2020-03-25,10.507
2020-03-26,11.419
2020-03-27,11.278
2020-03-28,11.278
2020-03-29,11.278
2020-03-30,11.738
2020-03-31,11.375
2020-04-01,10.91
2020-04-02,11.166
2020-04-03,10.692
2020-04-04,10.692
2020-04-05,10.692
2020-04-06,11.427
2020-04-07,11.267
2020-04-08,12.025
2020-04-09,12.701
2020-04-10,12.701
2020-04-11,12.701
2020-04-12,12.701
2020-04-13,12.286
2020-04-14,12.717
2020-04-15,12.312
2020-04-16,12.319
2020-04-17,12.672
2020-04-18,12.672
2020-04-19,12.672
2020-04-20,12.672
2020-04-21,12.672
2020-04-22,12.672
2020-04-23,12.672
2020-04-24,12.672
2020-04-25,12.672
2020-04-26,12.672
2020-04-27,12.672
2020-04-28,12.672
2020-04-29,12.672
2020-04-30,12.672
2020-05-01,12.672
2020-05-02,12.672
2020-05-03,12.672
2020-05-04,12.672
2020-05-05,12.672
2020-05-06,12.672
2020-05-07,12.672
2020-05-08,12.672
2020-05-09,12.672
2020-05-10,12.672
2020-05-11,12.672
2020-05-12,12.672
2020-05-13,12.672
2020-05-14,11.262
2020-05-15,11.11
2020-05-16,11.11
2020-05-17,11.11
2020-05-18,11.429
2020-05-19,11.209
2020-05-20,11.212
2020-05-21,11.082
2020-05-22,11.201
2020-05-23,11.201
2020-05-24,11.201
2020-05-25,11.201
2020-05-26,11.145
2020-05-27,11.267
2020-05-28,11.551
2020-05-29,11.524
2020-05-30,11.524
2020-05-31,11.524
2020-06-01,11.768
2020-06-02,11.799
2020-06-03,12.009
2020-06-04,11.903
2020-06-05,12.044
2020-06-06,12.044
2020-06-07,12.044
2020-06-08,12.37
2020-06-09,12.156
2020-06-10,12.138
2020-06-11,11.72
2020-06-12,11.674
2020-06-13,11.674
2020-06-14,11.674
2020-06-15,11.924
2020-06-16,11.923
2020-06-17,11.821
2020-06-18,11.761
2020-06-19,11.259
2020-06-20,11.259
2020-06-21,11.259
2020-06-22,11.317
2020-06-23,11.223
2020-06-24,11.034
2020-06-25,10.894
2020-06-26,10.823
2020-06-27,10.823
2020-06-28,10.823
2020-06-29,11.004
2020-06-30,10.955
2020-07-01,11.234
2020-07-02,11.096
2020-07-03,11.096
2020-07-04,11.096
2020-07-05,11.096
2020-07-06,10.821
2020-07-07,11.179
2020-07-08,11.264
2020-07-09,11.029
2020-07-10,11.248
2020-07-11,11.248
2020-07-12,11.248
2020-07-13,11.262
2020-07-14,11.299
2020-07-15,11.125
2020-07-16,11.213
2020-07-17,11.397
2020-07-18,11.397
2020-07-19,11.397
2020-07-20,11.11
2020-07-21,11.278
2020-07-22,11.528
2020-07-23,11.506
2020-07-24,11.341
2020-07-25,11.341
2020-07-26,11.341
2020-07-27,11.136
2020-07-28,11.589
2020-07-29,11.64
2020-07-30,11.585
2020-07-31,11.609
2020-08-01,11.609
2020-08-02,11.609
2020-08-03,11.437
2020-08-04,11.557
2020-08-05,11.396
2020-08-06,11.492
2020-08-07,11.819
2020-08-08,11.819
2020-08-09,11.819
2020-08-10,11.567
2020-08-11,11.353
2020-08-12,11.441
2020-08-13,11.357
2020-08-14,11.276
2020-08-15,11.276
2020-08-16,11.276
2020-08-17,11.338
2020-08-18,11.209
2020-08-19,11.209
2020-08-20,11.124
2020-08-21,11.118
2020-08-22,11.118
2020-08-23,11.118
2020-08-24,11.183
2020-08-25,11.098
2020-08-26,10.919
2020-08-27,10.919
2020-08-28,10.941
2020-08-29,10.941
2020-08-30,10.941
2020-08-31,11.028
2020-09-01,10.872
2020-09-02,11.183
2020-09-03,11.137
2020-09-04,11.114
2020-09-05,11.114
