,NI US Equity
,BEST_PE_RATIO
2020-01-01,13.948
2020-01-02,13.617
2020-01-03,13.728
2020-01-04,13.728
2020-01-05,13.728
2020-01-06,13.723
2020-01-07,13.843
2020-01-08,13.858
2020-01-09,13.903
2020-01-10,13.848
2020-01-11,13.848
2020-01-12,13.848
2020-01-13,13.958
2020-01-14,14.119
2020-01-15,14.374
2020-01-16,14.374
2020-01-17,14.374
2020-01-18,14.374
2020-01-19,14.374
2020-01-20,14.374
2020-01-21,14.374
2020-01-22,14.374
2020-01-23,14.374
2020-01-24,14.374
2020-01-25,14.374
2020-01-26,14.374
2020-01-27,14.374
2020-01-28,14.374
2020-01-29,14.374
2020-01-30,14.374
2020-01-31,14.374
2020-02-01,14.374
2020-02-02,14.374
2020-02-03,14.374
2020-02-04,14.374
2020-02-05,14.374
2020-02-06,14.374
2020-02-07,14.374
2020-02-08,14.374
2020-02-09,14.374
2020-02-10,14.374
2020-02-11,14.374
2020-02-12,14.374
2020-02-13,14.374
2020-02-14,14.374
2020-02-15,14.374
2020-02-16,14.374
2020-02-17,14.374
2020-02-18,14.374
2020-02-19,14.374
2020-02-20,14.374
2020-02-21,14.374
2020-02-22,14.374
2020-02-23,14.374
2020-02-24,14.374
2020-02-25,14.374
2020-02-26,14.374
2020-02-27,14.374
2020-02-28,14.374
2020-02-29,14.374
2020-03-01,14.374
2020-03-02,14.374
2020-03-03,14.374
2020-03-04,14.374
2020-03-05,14.374
2020-03-06,14.374
2020-03-07,14.374
2020-03-08,14.374
2020-03-09,14.374
2020-03-10,14.374
2020-03-11,14.374
2020-03-12,14.374
2020-03-13,14.374
2020-03-14,14.374
2020-03-15,14.374
2020-03-16,14.374
2020-03-17,14.374
2020-03-18,12.565
2020-03-19,12.437
2020-03-20,11.181
2020-03-21,11.181
2020-03-22,11.181
2020-03-23,11.106
2020-03-24,11.681
2020-03-25,12.155
2020-03-26,13.071
2020-03-27,13.183
2020-03-28,13.183
2020-03-29,13.183
2020-03-30,13.886
2020-03-31,13.295
2020-04-01,12.278
2020-04-02,12.507
2020-04-03,11.974
2020-04-04,11.974
2020-04-05,11.974
2020-04-06,13.071
2020-04-07,12.837
2020-04-08,13.561
2020-04-09,14.152
2020-04-10,14.152
2020-04-11,14.152
2020-04-12,14.152
2020-04-13,13.689
2020-04-14,14.173
2020-04-15,13.55
2020-04-16,13.806
2020-04-17,14.045
2020-04-18,14.045
2020-04-19,14.045
2020-04-20,13.566
2020-04-21,13.513
2020-04-22,13.848
2020-04-23,13.763
2020-04-24,14.031
2020-04-25,14.031
2020-04-26,14.031
2020-04-27,14.15
2020-04-28,14.473
2020-04-29,14.088
2020-04-30,13.642
2020-05-01,13.294
2020-05-02,13.294
2020-05-03,13.294
2020-05-04,13.256
2020-05-05,13.327
2020-05-06,12.452
2020-05-07,12.441
2020-05-08,12.642
2020-05-09,12.642
2020-05-10,12.642
2020-05-11,12.762
2020-05-12,12.371
2020-05-13,12.175
2020-05-14,12.219
2020-05-15,12.153
2020-05-16,12.153
2020-05-17,12.153
2020-05-18,12.588
2020-05-19,12.523
2020-05-20,12.539
2020-05-21,12.49
2020-05-22,12.545
2020-05-23,12.545
2020-05-24,12.545
2020-05-25,12.545
2020-05-26,12.708
2020-05-27,12.67
2020-05-28,13.05
2020-05-29,12.557
2020-05-30,12.557
2020-05-31,12.557
2020-06-01,12.757
2020-06-02,13.026
2020-06-03,13.342
2020-06-04,12.973
2020-06-05,13.215
2020-06-06,13.215
2020-06-07,13.215
2020-06-08,13.495
2020-06-09,13.084
2020-06-10,12.862
2020-06-11,12.183
2020-06-12,12.256
2020-06-13,12.256
2020-06-14,12.256
2020-06-15,12.372
2020-06-16,12.457
2020-06-17,12.409
2020-06-18,12.504
2020-06-19,12.103
2020-06-20,12.103
2020-06-21,12.103
2020-06-22,12.24
2020-06-23,12.04
2020-06-24,11.803
2020-06-25,11.766
2020-06-26,11.777
2020-06-27,11.777
2020-06-28,11.777
2020-06-29,11.956
2020-06-30,11.982
2020-07-01,12.362
2020-07-02,12.309
2020-07-03,12.309
2020-07-04,12.309
2020-07-05,12.309
2020-07-06,12.272
2020-07-07,12.293
2020-07-08,12.32
2020-07-09,12.093
2020-07-10,12.42
2020-07-11,12.42
2020-07-12,12.42
2020-07-13,12.657
2020-07-14,12.514
2020-07-15,12.499
2020-07-16,12.567
2020-07-17,12.825
2020-07-18,12.825
2020-07-19,12.825
2020-07-20,12.514
2020-07-21,12.546
2020-07-22,12.983
2020-07-23,13.036
2020-07-24,13.036
2020-07-25,13.036
2020-07-26,13.036
2020-07-27,13.036
2020-07-28,13.036
2020-07-29,13.036
2020-07-30,13.036
2020-07-31,13.036
2020-08-01,13.036
2020-08-02,13.036
2020-08-03,13.036
2020-08-04,13.036
2020-08-05,13.036
2020-08-06,13.036
2020-08-07,13.036
2020-08-08,13.036
2020-08-09,13.036
2020-08-10,13.036
2020-08-11,13.036
2020-08-12,13.036
2020-08-13,13.036
2020-08-14,13.036
2020-08-15,13.036
2020-08-16,13.036
2020-08-17,13.036
2020-08-18,13.036
2020-08-19,13.036
2020-08-20,13.036
2020-08-21,13.036
2020-08-22,13.036
2020-08-23,13.036
2020-08-24,13.036
2020-08-25,13.036
2020-08-26,13.036
2020-08-27,13.036
2020-08-28,13.036
2020-08-29,13.036
2020-08-30,13.036
2020-08-31,13.036
2020-09-01,13.036
2020-09-02,13.036
2020-09-03,13.036
2020-09-04,13.036
2020-09-05,13.036
2020-09-06,13.036
2020-09-07,13.036
2020-09-08,13.036
2020-09-09,13.036
2020-09-10,13.036
2020-09-11,13.036
2020-09-12,13.036
2020-09-13,13.036
2020-09-14,13.036
2020-09-15,13.036
2020-09-16,13.036
2020-09-17,13.036
2020-09-18,13.036
2020-09-19,13.036
2020-09-20,13.036
2020-09-21,13.036
2020-09-22,13.036
2020-09-23,11.484
2020-09-24,11.506
2020-09-25,11.766
2020-09-26,11.766
2020-09-27,11.766
2020-09-28,11.612
2020-09-29,11.67
2020-09-30,11.692
2020-10-01,11.692
