,MAR US Equity
,BEST_PE_RATIO
2020-01-01,15.78
2020-01-02,15.787
2020-01-03,15.555
2020-01-04,15.555
2020-01-05,15.555
2020-01-06,15.354
2020-01-07,15.104
2020-01-08,15.291
2020-01-09,15.261
2020-01-10,15.151
2020-01-11,15.151
2020-01-12,15.151
2020-01-13,15.298
2020-01-14,15.334
2020-01-15,15.35
2020-01-16,15.529
2020-01-17,15.659
2020-01-18,15.659
2020-01-19,15.659
2020-01-20,15.659
2020-01-21,15.659
2020-01-22,15.659
2020-01-23,15.659
2020-01-24,15.659
2020-01-25,15.659
2020-01-26,15.659
2020-01-27,15.659
2020-01-28,15.659
2020-01-29,15.659
2020-01-30,15.659
2020-01-31,15.659
2020-02-01,15.659
2020-02-02,15.659
2020-02-03,15.659
2020-02-04,15.659
2020-02-05,15.659
2020-02-06,15.659
2020-02-07,15.659
2020-02-08,15.659
2020-02-09,15.659
2020-02-10,15.659
2020-02-11,15.659
2020-02-12,15.659
2020-02-13,15.659
2020-02-14,15.659
2020-02-15,15.659
2020-02-16,15.659
2020-02-17,15.659
2020-02-18,15.659
2020-02-19,15.659
2020-02-20,15.659
2020-02-21,15.659
2020-02-22,15.659
2020-02-23,15.659
2020-02-24,15.659
2020-02-25,15.659
2020-02-26,15.659
2020-02-27,15.659
2020-02-28,11.601
2020-02-29,11.601
2020-03-01,11.601
2020-03-02,11.504
2020-03-03,10.296
2020-03-04,11.088
2020-03-05,10.329
2020-03-06,10.37
2020-03-07,10.37
2020-03-08,10.37
2020-03-09,9.763
2020-03-10,10.306
2020-03-11,9.381
2020-03-12,8.781
2020-03-13,8.959
2020-03-14,8.959
2020-03-15,8.959
2020-03-16,8.098
2020-03-17,7.051
2020-03-18,5.98
2020-03-19,6.705
2020-03-20,7.486
2020-03-21,7.486
2020-03-22,7.486
2020-03-23,6.781
2020-03-24,7.652
2020-03-25,8.243
2020-03-26,8.007
2020-03-27,7.624
2020-03-28,7.624
2020-03-29,7.624
2020-03-30,7.794
2020-03-31,7.656
2020-04-01,7.743
2020-04-02,7.054
2020-04-03,6.615
2020-04-04,6.615
2020-04-05,6.615
2020-04-06,7.904
2020-04-07,8.266
2020-04-08,9.241
2020-04-09,9.104
2020-04-10,9.104
2020-04-11,9.104
2020-04-12,9.104
2020-04-13,8.744
2020-04-14,9.258
2020-04-15,9.039
2020-04-16,8.536
2020-04-17,9.434
2020-04-18,9.434
2020-04-19,9.434
2020-04-20,8.932
2020-04-21,8.946
2020-04-22,8.96
2020-04-23,9.081
2020-04-24,9.037
2020-04-25,9.037
2020-04-26,9.037
2020-04-27,9.548
2020-04-28,9.788
2020-04-29,10.748
2020-04-30,10.182
2020-05-01,9.489
2020-05-02,9.489
2020-05-03,9.489
2020-05-04,9.246
2020-05-05,9.367
2020-05-06,9.082
2020-05-07,9.627
2020-05-08,9.76
2020-05-09,9.76
2020-05-10,9.76
2020-05-11,9.312
2020-05-12,8.648
2020-05-13,8.204
2020-05-14,8.801
2020-05-15,8.858
2020-05-16,8.858
2020-05-17,8.858
2020-05-18,10.397
2020-05-19,10.069
2020-05-20,10.293
2020-05-21,10.145
2020-05-22,10.112
2020-05-23,10.112
2020-05-24,10.112
2020-05-25,10.112
2020-05-26,10.541
2020-05-27,10.879
2020-05-28,10.177
2020-05-29,9.828
2020-05-30,9.828
2020-05-31,9.828
2020-06-01,12.049
2020-06-02,12.123
2020-06-03,12.667
2020-06-04,13.291
2020-06-05,13.689
2020-06-06,13.689
2020-06-07,13.689
2020-06-08,14.346
2020-06-09,13.608
2020-06-10,13.012
2020-06-11,11.594
2020-06-12,11.698
2020-06-13,11.698
2020-06-14,11.698
2020-06-15,11.512
2020-06-16,11.918
2020-06-17,11.555
2020-06-18,11.76
2020-06-19,11.371
2020-06-20,11.371
2020-06-21,11.371
2020-06-22,11.435
2020-06-23,11.49
2020-06-24,10.778
2020-06-25,10.656
2020-06-26,10.263
2020-06-27,10.263
2020-06-28,10.263
2020-06-29,10.981
2020-06-30,10.87
2020-07-01,10.983
2020-07-02,11.133
2020-07-03,11.133
2020-07-04,11.133
2020-07-05,11.133
2020-07-06,11.39
2020-07-07,11.086
2020-07-08,11.41
2020-07-09,10.936
2020-07-10,11.223
2020-07-11,11.223
2020-07-12,11.223
2020-07-13,11.095
2020-07-14,11.047
2020-07-15,11.923
2020-07-16,11.806
2020-07-17,11.599
2020-07-18,11.599
2020-07-19,11.599
2020-07-20,11.219
2020-07-21,11.208
2020-07-22,11.915
2020-07-23,11.673
2020-07-24,11.48
2020-07-25,11.48
2020-07-26,11.48
2020-07-27,11.319
2020-07-28,11.356
2020-07-29,11.433
2020-07-30,11.219
2020-07-31,10.998
2020-08-01,10.998
2020-08-02,10.998
2020-08-03,10.958
2020-08-04,11.297
2020-08-05,11.45
2020-08-06,11.86
2020-08-07,12.304
2020-08-08,12.304
2020-08-09,12.304
2020-08-10,12.744
2020-08-11,12.757
2020-08-12,12.628
2020-08-13,12.689
2020-08-14,12.626
2020-08-15,12.626
2020-08-16,12.626
2020-08-17,12.587
2020-08-18,12.419
2020-08-19,12.361
2020-08-20,12.798
2020-08-21,12.968
2020-08-22,12.968
2020-08-23,12.968
2020-08-24,13.325
2020-08-25,13.444
2020-08-26,13.255
2020-08-27,13.855
2020-08-28,14.464
2020-08-29,14.464
2020-08-30,14.464
2020-08-31,14.008
2020-09-01,14.032
2020-09-02,14.209
2020-09-03,14.032
2020-09-04,14.268
2020-09-05,14.268
2020-09-06,14.268
2020-09-07,14.268
2020-09-08,14.153
2020-09-09,13.885
2020-09-10,13.663
2020-09-11,13.511
2020-09-12,13.511
2020-09-13,13.511
2020-09-14,13.896
2020-09-15,13.99
2020-09-16,14.305
2020-09-17,13.86
2020-09-18,13.259
2020-09-19,13.259
2020-09-20,13.259
2020-09-21,12.348
2020-09-22,12.677
2020-09-23,12.338
2020-09-24,12.127
2020-09-25,12.344
2020-09-26,12.344
2020-09-27,12.344
2020-09-28,12.744
2020-09-29,12.374
2020-09-30,12.29
2020-10-01,12.525
2020-10-02,12.644
