,NKE US Equity
,BEST_PE_RATIO
2020-01-01,17.489
2020-01-02,17.643
2020-01-03,17.594
2020-01-04,17.594
2020-01-05,17.594
2020-01-06,17.494
2020-01-07,17.485
2020-01-08,17.446
2020-01-09,17.434
2020-01-10,17.334
2020-01-11,17.334
2020-01-12,17.334
2020-01-13,17.55
2020-01-14,17.681
2020-01-15,17.659
2020-01-16,17.758
2020-01-17,17.958
2020-01-18,17.958
2020-01-19,17.958
2020-01-20,17.958
2020-01-21,17.966
2020-01-22,17.951
2020-01-23,17.698
2020-01-24,17.528
2020-01-25,17.528
2020-01-26,17.528
2020-01-27,17.221
2020-01-28,17.25
2020-01-29,17.152
2020-01-30,16.868
2020-01-31,16.544
2020-02-01,16.544
2020-02-02,16.544
2020-02-03,17.054
2020-02-04,17.416
2020-02-05,16.878
2020-02-06,16.833
2020-02-07,16.693
2020-02-08,16.693
2020-02-09,16.693
2020-02-10,16.791
2020-02-11,16.791
2020-02-12,17.291
2020-02-13,17.353
2020-02-14,17.382
2020-02-15,17.382
2020-02-16,17.382
2020-02-17,17.382
2020-02-18,17.123
2020-02-19,17.2
2020-02-20,17.212
2020-02-21,16.829
2020-02-22,16.829
2020-02-23,16.829
2020-02-24,16.101
2020-02-25,15.596
2020-02-26,15.444
2020-02-27,15.576
2020-02-28,15.765
2020-02-29,15.765
2020-03-01,15.765
2020-03-02,16.347
2020-03-03,16.039
2020-03-04,16.543
2020-03-05,15.977
2020-03-06,15.585
2020-03-07,15.585
2020-03-08,15.585
2020-03-09,14.836
2020-03-10,15.575
2020-03-11,14.816
2020-03-12,13.088
2020-03-13,13.331
2020-03-14,13.331
2020-03-15,13.331
2020-03-16,13.2
2020-03-17,13.803
2020-03-18,13.447
2020-03-19,13.902
2020-03-20,13.331
2020-03-21,13.331
2020-03-22,13.331
2020-03-23,12.412
2020-03-24,14.846
2020-03-25,16.217
2020-03-26,17.303
2020-03-27,17.083
2020-03-28,17.083
2020-03-29,17.083
2020-03-30,17.524
2020-03-31,16.982
2020-04-01,16.262
2020-04-02,16.449
2020-04-03,16.186
2020-04-04,16.186
2020-04-05,16.186
2020-04-06,17.37
2020-04-07,17.274
2020-04-08,17.508
2020-04-09,17.814
2020-04-10,17.814
2020-04-11,17.814
2020-04-12,17.814
2020-04-13,17.335
2020-04-14,17.953
2020-04-15,17.454
2020-04-16,17.713
2020-04-17,18.454
2020-04-18,18.454
2020-04-19,18.454
2020-04-20,18.041
2020-04-21,17.487
2020-04-22,18.22
2020-04-23,17.929
2020-04-24,18.138
2020-04-25,18.138
2020-04-26,18.138
2020-04-27,18.343
2020-04-28,18.226
2020-04-29,18.076
2020-04-30,17.894
2020-05-01,17.557
2020-05-02,17.557
2020-05-03,17.557
2020-05-04,17.6
2020-05-05,17.898
2020-05-06,18.152
2020-05-07,18.177
2020-05-08,18.567
2020-05-09,18.567
2020-05-10,18.567
2020-05-11,18.663
2020-05-12,18.115
2020-05-13,17.656
2020-05-14,17.764
2020-05-15,17.855
2020-05-16,17.855
2020-05-17,17.855
2020-05-18,18.686
2020-05-19,18.782
2020-05-20,19.078
2020-05-21,19.347
2020-05-22,19.242
2020-05-23,19.242
2020-05-24,19.242
2020-05-25,19.242
2020-05-26,19.831
2020-05-27,20.498
2020-05-28,20.209
2020-05-29,20.284
2020-05-30,20.284
2020-05-31,20.284
2020-06-01,21.207
2020-06-02,21.463
2020-06-03,22.181
2020-06-04,21.578
2020-06-05,21.883
2020-06-06,21.883
2020-06-07,21.883
2020-06-08,22.219
2020-06-09,21.866
2020-06-10,21.757
2020-06-11,20.276
2020-06-12,20.545
2020-06-13,20.545
2020-06-14,20.545
2020-06-15,20.845
2020-06-16,21.101
2020-06-17,21.137
2020-06-18,20.975
2020-06-19,20.406
2020-06-20,20.406
2020-06-21,20.406
2020-06-22,21.201
2020-06-23,21.714
2020-06-24,21.322
2020-06-25,22.183
2020-06-26,21.311
2020-06-27,21.311
2020-06-28,21.311
2020-06-29,21.812
2020-06-30,22.308
2020-07-01,22.16
2020-07-02,22.394
2020-07-03,22.394
2020-07-04,22.394
2020-07-05,22.394
2020-07-06,22.74
2020-07-07,22.085
2020-07-08,22.488
2020-07-09,22.067
2020-07-10,22.294
2020-07-11,22.294
2020-07-12,22.294
2020-07-13,21.946
2020-07-14,22.014
2020-07-15,22.419
2020-07-16,22.128
2020-07-17,21.905
2020-07-18,21.905
2020-07-19,21.905
2020-07-20,21.477
2020-07-21,22.086
2020-07-22,22.209
2020-07-23,22.072
2020-07-24,22.102
2020-07-25,22.102
2020-07-26,22.102
2020-07-27,21.828
2020-07-28,21.617
2020-07-29,21.774
2020-07-30,21.796
2020-07-31,21.974
2020-08-01,21.974
2020-08-02,21.974
2020-08-03,22.136
2020-08-04,21.911
2020-08-05,22.724
2020-08-06,22.613
2020-08-07,22.931
2020-08-08,22.931
2020-08-09,22.931
2020-08-10,23.73
2020-08-11,23.665
2020-08-12,23.687
2020-08-13,23.98
2020-08-14,23.959
2020-08-15,23.959
2020-08-16,23.959
2020-08-17,23.786
2020-08-18,24.081
2020-08-19,24.401
2020-08-20,24.315
2020-08-21,24.707
2020-08-22,24.707
2020-08-23,24.707
2020-08-24,25.175
2020-08-25,25.103
2020-08-26,25.108
2020-08-27,24.952
2020-08-28,25.335
2020-08-29,25.335
2020-08-30,25.335
2020-08-31,25.244
2020-09-01,25.91
2020-09-02,26.352
2020-09-03,25.461
2020-09-04,25.359
2020-09-05,25.359
2020-09-06,25.359
2020-09-07,25.359
2020-09-08,25.432
2020-09-09,25.923
2020-09-10,25.899
2020-09-11,26.116
2020-09-12,26.116
2020-09-13,26.116
2020-09-14,26.399
2020-09-15,26.397
2020-09-16,26.246
2020-09-17,25.735
2020-09-18,25.026
2020-09-19,25.026
2020-09-20,25.026
2020-09-21,24.744
2020-09-22,24.801
2020-09-23,25.728
2020-09-24,24.972
2020-09-25,24.868
2020-09-26,24.868
2020-09-27,24.868
2020-09-28,24.886
2020-09-29,25.293
2020-09-30,25.131
2020-10-01,25.351
2020-10-02,25.351
2020-10-03,25.351
2020-10-04,25.351
2020-10-05,25.605
2020-10-06,25.553
2020-10-07,26.035
2020-10-08,25.965
2020-10-09,26.22
2020-10-10,26.22
2020-10-11,26.22
2020-10-12,25.915
2020-10-13,25.863
2020-10-14,25.555
2020-10-15,25.823
2020-10-16,25.623
2020-10-17,25.623
2020-10-18,25.623
2020-10-19,25.509
2020-10-20,25.721
2020-10-21,25.909
2020-10-22,26.027
2020-10-23,26.021
2020-10-24,26.021
2020-10-25,26.021
2020-10-26,25.697
2020-10-27,25.621
2020-10-28,24.438
2020-10-29,24.594
2020-10-30,24.038
2020-10-31,24.038
2020-11-01,24.038
2020-11-02,24.5
2020-11-03,24.94
2020-11-04,25.491
2020-11-05,25.963
2020-11-06,25.803
2020-11-07,25.803
2020-11-08,25.803
2020-11-09,25.813
2020-11-10,25.565
2020-11-11,25.555
2020-11-12,25.351
2020-11-13,25.679
2020-11-14,25.679
2020-11-15,25.679
2020-11-16,26.045
2020-11-17,26.466
2020-11-18,26.35
2020-11-19,26.406
2020-11-20,26.62
2020-11-21,26.62
2020-11-22,26.62
2020-11-23,26.85
2020-11-24,26.964
2020-11-25,27.132
2020-11-26,27.132
2020-11-27,26.874
2020-11-28,26.874
2020-11-29,26.874
2020-11-30,26.964
2020-12-01,27.112
2020-12-02,27.14
2020-12-03,27.417
2020-12-04,27.518
2020-12-05,27.518
2020-12-06,27.518
2020-12-07,27.831
2020-12-08,27.905
2020-12-09,27.839
2020-12-10,27.596
2020-12-11,27.562
2020-12-12,27.562
2020-12-13,27.562
2020-12-14,27.352
2020-12-15,27.977
2020-12-16,27.691
2020-12-17,28.123
2020-12-18,27.462
2020-12-19,27.462
2020-12-20,27.462
2020-12-21,28.203
2020-12-22,27.895
2020-12-23,27.76
2020-12-24,27.729
2020-12-25,27.729
2020-12-26,27.729
2020-12-27,27.729
2020-12-28,27.891
2020-12-29,27.723
2020-12-30,27.725
2020-12-31,27.703
2021-01-01,27.703
2021-01-02,27.703
2021-01-03,27.703
2021-01-04,27.435
2021-01-05,27.656
2021-01-06,27.876
2021-01-07,28.385
2021-01-08,28.332
2021-01-09,28.332
2021-01-10,28.332
2021-01-11,28.467
2021-01-12,28.08
2021-01-13,27.691
2021-01-14,27.354
2021-01-15,27.242
2021-01-16,27.242
2021-01-17,27.242
2021-01-18,27.242
2021-01-19,26.961
2021-01-20,27.644
2021-01-21,27.414
2021-01-22,26.977
2021-01-23,26.977
2021-01-24,26.977
2021-01-25,26.628
2021-01-26,26.154
2021-01-27,25.364
2021-01-28,26.08
2021-01-29,25.861
2021-01-30,25.861
2021-01-31,25.861
2021-02-01,26.272
2021-02-02,27.023
2021-02-03,26.64
2021-02-04,27.024
2021-02-05,27.885
2021-02-06,27.885
2021-02-07,27.885
2021-02-08,27.558
2021-02-09,27.247
2021-02-10,27.376
2021-02-11,27.583
2021-02-12,27.31
2021-02-13,27.31
2021-02-14,27.31
2021-02-15,27.31
2021-02-16,27.231
2021-02-17,27.67
2021-02-18,27.881
2021-02-19,27.291
2021-02-20,27.291
2021-02-21,27.291
2021-02-22,26.263
2021-02-23,26.159
2021-02-24,26.067
2021-02-25,26.046
2021-02-26,25.952
2021-02-27,25.952
2021-02-28,25.952
2021-03-01,26.505
2021-03-02,26.384
2021-03-03,25.852
2021-03-04,25.425
2021-03-05,25.677
2021-03-06,25.677
2021-03-07,25.677
2021-03-08,25.91
2021-03-09,26.178
2021-03-10,26.493
2021-03-11,27.187
2021-03-12,27.044
2021-03-13,27.044
2021-03-14,27.044
2021-03-15,27.301
2021-03-16,27.056
2021-03-17,27.114
2021-03-18,26.915
2021-03-19,25.653
2021-03-20,25.653
2021-03-21,25.653
2021-03-22,25.798
2021-03-23,25.584
2021-03-24,24.854
2021-03-25,24.011
2021-03-26,24.823
2021-03-27,24.823
2021-03-28,24.823
2021-03-29,24.916
2021-03-30,24.815
2021-03-31,24.804
2021-04-01,24.737
2021-04-02,24.737
2021-04-03,24.737
2021-04-04,24.737
2021-04-05,25.22
2021-04-06,25.601
2021-04-07,25.485
2021-04-08,24.951
2021-04-09,25.282
2021-04-10,25.282
2021-04-11,25.282
2021-04-12,25.504
2021-04-13,24.925
2021-04-14,24.686
2021-04-15,24.95
2021-04-16,25.069
2021-04-17,25.069
2021-04-18,25.069
2021-04-19,24.744
2021-04-20,23.725
2021-04-21,24.411
2021-04-22,24.275
2021-04-23,24.465
2021-04-24,24.465
2021-04-25,24.465
2021-04-26,24.759
2021-04-27,24.855
2021-04-28,24.591
2021-04-29,25.071
2021-04-30,24.951
2021-05-01,24.951
2021-05-02,24.951
2021-05-03,25.028
2021-05-04,24.644
2021-05-05,24.768
2021-05-06,25.008
2021-05-07,25.817
2021-05-08,25.817
2021-05-09,25.817
2021-05-10,25.632
2021-05-11,25.767
2021-05-12,25.066
2021-05-13,24.677
2021-05-14,25.105
2021-05-15,25.105
2021-05-16,25.105
2021-05-17,25.194
2021-05-18,25.037
2021-05-19,24.557
2021-05-20,24.614
