,TPR US Equity
,BEST_PE_RATIO
2020-01-01,6.973
2020-01-02,6.962
2020-01-03,6.96
2020-01-04,6.96
2020-01-05,6.96
2020-01-06,7.028
2020-01-07,7.095
2020-01-08,7.141
2020-01-09,7.058
2020-01-10,7.071
2020-01-11,7.071
2020-01-12,7.071
2020-01-13,7.244
2020-01-14,7.381
2020-01-15,7.363
2020-01-16,7.437
2020-01-17,7.448
2020-01-18,7.448
2020-01-19,7.448
2020-01-20,7.448
2020-01-21,7.311
2020-01-22,7.128
2020-01-23,7.203
2020-01-24,7.035
2020-01-25,7.035
2020-01-26,7.035
2020-01-27,6.765
2020-01-28,6.806
2020-01-29,6.899
2020-01-30,6.868
2020-01-31,6.643
2020-02-01,6.643
2020-02-02,6.643
2020-02-03,6.71
2020-02-04,7.012
2020-02-05,7.319
2020-02-06,7.476
2020-02-07,7.476
2020-02-08,7.476
2020-02-09,7.476
2020-02-10,7.476
2020-02-11,7.476
2020-02-12,7.476
2020-02-13,7.476
2020-02-14,7.476
2020-02-15,7.476
2020-02-16,7.476
2020-02-17,7.476
2020-02-18,7.476
2020-02-19,7.476
2020-02-20,7.476
2020-02-21,7.476
2020-02-22,7.476
2020-02-23,7.476
2020-02-24,7.476
2020-02-25,7.476
2020-02-26,7.476
2020-02-27,7.476
2020-02-28,7.476
2020-02-29,7.476
2020-03-01,7.476
2020-03-02,7.476
2020-03-03,7.476
2020-03-04,7.476
2020-03-05,7.476
2020-03-06,7.476
2020-03-07,7.476
2020-03-08,7.476
2020-03-09,7.476
2020-03-10,7.476
2020-03-11,7.476
2020-03-12,7.476
2020-03-13,7.476
2020-03-14,7.476
2020-03-15,7.476
2020-03-16,7.476
2020-03-17,7.476
2020-03-18,7.476
2020-03-19,7.476
2020-03-20,7.476
2020-03-21,7.476
2020-03-22,7.476
2020-03-23,7.476
2020-03-24,7.476
2020-03-25,7.476
2020-03-26,7.476
2020-03-27,7.476
2020-03-28,7.476
2020-03-29,7.476
2020-03-30,7.476
2020-03-31,7.476
2020-04-01,7.476
2020-04-02,7.476
2020-04-03,7.476
2020-04-04,7.476
2020-04-05,7.476
2020-04-06,7.476
2020-04-07,7.476
2020-04-08,7.476
2020-04-09,7.476
2020-04-10,7.476
2020-04-11,7.476
2020-04-12,7.476
2020-04-13,7.476
2020-04-14,7.476
2020-04-15,7.476
2020-04-16,7.476
2020-04-17,7.476
2020-04-18,7.476
2020-04-19,7.476
2020-04-20,7.476
2020-04-21,7.476
2020-04-22,7.476
2020-04-23,7.476
2020-04-24,7.476
2020-04-25,7.476
2020-04-26,7.476
2020-04-27,7.476
2020-04-28,7.476
2020-04-29,7.476
2020-04-30,5.462
2020-05-01,5.564
2020-05-02,5.564
2020-05-03,5.564
2020-05-04,5.421
2020-05-05,5.421
2020-05-06,5.164
2020-05-07,5.322
2020-05-08,5.462
2020-05-09,5.462
2020-05-10,5.462
2020-05-11,4.696
2020-05-12,4.567
2020-05-13,4.131
2020-05-14,4.297
2020-05-15,4.224
2020-05-16,4.224
2020-05-17,4.224
2020-05-18,4.636
2020-05-19,4.453
2020-05-20,4.591
2020-05-21,4.931
2020-05-22,4.841
2020-05-23,4.841
2020-05-24,4.841
2020-05-25,4.841
2020-05-26,5.107
2020-05-27,5.326
2020-05-28,4.844
2020-05-29,4.709
2020-05-30,4.709
2020-05-31,4.709
2020-06-01,4.913
2020-06-02,5.021
2020-06-03,5.433
2020-06-04,5.693
2020-06-05,5.994
2020-06-06,5.994
2020-06-07,5.994
2020-06-08,6.226
2020-06-09,5.731
2020-06-10,5.36
2020-06-11,4.889
2020-06-12,5.014
2020-06-13,5.014
2020-06-14,5.014
2020-06-15,4.913
2020-06-16,5.19
2020-06-17,4.924
2020-06-18,4.841
2020-06-19,4.685
2020-06-20,4.685
2020-06-21,4.685
2020-06-22,4.747
2020-06-23,4.771
2020-06-24,4.432
2020-06-25,4.363
2020-06-26,4.346
2020-06-27,4.346
2020-06-28,4.346
2020-06-29,4.623
2020-06-30,4.598
2020-07-01,4.491
2020-07-02,4.505
2020-07-03,4.505
2020-07-04,4.505
2020-07-05,4.505
2020-07-06,4.564
2020-07-07,4.38
2020-07-08,4.501
2020-07-09,4.273
2020-07-10,4.37
2020-07-11,4.37
2020-07-12,4.37
2020-07-13,4.467
2020-07-14,4.491
2020-07-15,4.855
2020-07-16,4.862
2020-07-17,4.73
2020-07-18,4.73
2020-07-19,4.73
2020-07-20,4.543
2020-07-21,4.726
2020-07-22,4.744
2020-07-23,4.803
2020-07-24,4.664
2020-07-25,4.664
2020-07-26,4.664
2020-07-27,4.726
2020-07-28,4.678
2020-07-29,4.803
2020-07-30,4.605
2020-07-31,4.626
2020-08-01,4.626
2020-08-02,4.626
2020-08-03,4.619
2020-08-04,4.598
2020-08-05,4.758
2020-08-06,4.858
2020-08-07,5.024
2020-08-08,5.024
2020-08-09,5.024
2020-08-10,5.343
2020-08-11,5.377
2020-08-12,5.402
2020-08-13,5.343
2020-08-14,5.027
2020-08-15,5.027
2020-08-16,5.027
2020-08-17,5.115
2020-08-18,4.953
2020-08-19,4.872
2020-08-20,4.64
2020-08-21,4.698
2020-08-22,4.698
2020-08-23,4.698
2020-08-24,4.953
2020-08-25,4.827
2020-08-26,4.798
2020-08-27,4.811
2020-08-28,4.808
2020-08-29,4.808
2020-08-30,4.808
2020-08-31,4.759
2020-09-01,4.766
2020-09-02,4.759
2020-09-03,4.753
2020-09-04,4.704
2020-09-05,4.704
2020-09-06,4.704
2020-09-07,4.704
2020-09-08,4.846
2020-09-09,4.711
2020-09-10,5.105
2020-09-11,5.218
2020-09-12,5.218
2020-09-13,5.218
2020-09-14,5.661
2020-09-15,5.441
2020-09-16,5.848
2020-09-17,5.686
2020-09-18,5.609
2020-09-19,5.609
2020-09-20,5.609
2020-09-21,5.334
2020-09-22,5.37
2020-09-23,5.36
2020-09-24,5.279
2020-09-25,5.286
2020-09-26,5.286
2020-09-27,5.286
2020-09-28,5.357
2020-09-29,5.008
2020-09-30,5.08
2020-10-01,5.168
2020-10-02,5.249
2020-10-03,5.249
2020-10-04,5.249
2020-10-05,5.516
2020-10-06,5.47
2020-10-07,5.808
2020-10-08,6.069
2020-10-09,6.117
2020-10-10,6.117
2020-10-11,6.117
2020-10-12,6.241
2020-10-13,6.15
2020-10-14,6.176
2020-10-15,6.351
2020-10-16,6.348
2020-10-17,6.348
2020-10-18,6.348
2020-10-19,6.52
2020-10-20,6.657
2020-10-21,6.657
2020-10-22,7.102
2020-10-23,6.966
2020-10-24,6.966
2020-10-25,6.966
2020-10-26,6.914
2020-10-27,6.962
2020-10-28,6.927
2020-10-29,7.148
2020-10-30,6.723
2020-10-31,6.723
2020-11-01,6.723
2020-11-02,7.147
2020-11-03,7.277
2020-11-04,7.075
2020-11-05,7.333
2020-11-06,7.217
2020-11-07,7.217
2020-11-08,7.217
2020-11-09,7.398
2020-11-10,7.716
2020-11-11,7.52
2020-11-12,7.502
2020-11-13,7.817
2020-11-14,7.817
2020-11-15,7.817
2020-11-16,8.099
2020-11-17,8.446
2020-11-18,8.303
