,WNC US Equity
,BEST_PE_RATIO
2020-01-01,25.452
2020-01-02,25.226
2020-01-03,25.226
2020-01-04,25.226
2020-01-05,25.226
2020-01-06,25.105
2020-01-07,24.759
2020-01-08,24.845
2020-01-09,24.62
2020-01-10,24.152
2020-01-11,24.152
2020-01-12,24.152
2020-01-13,23.788
2020-01-14,23.563
2020-01-15,22.801
2020-01-16,23.217
2020-01-17,22.905
2020-01-18,22.905
2020-01-19,22.905
2020-01-20,22.905
2020-01-21,21.761
2020-01-22,21.467
2020-01-23,21.623
2020-01-24,21.276
2020-01-25,21.276
2020-01-26,21.276
2020-01-27,20.479
2020-01-28,20.86
2020-01-29,20.756
2020-01-30,20.86
2020-01-31,20.098
2020-02-01,20.098
2020-02-02,20.098
2020-02-03,20.254
2020-02-04,20.687
2020-02-05,21.172
2020-02-06,20.982
2020-02-07,20.358
2020-02-08,20.358
2020-02-09,20.358
2020-02-10,20.167
2020-02-11,20.635
2020-02-12,21.553
2020-02-13,21.883
2020-02-14,21.588
2020-02-15,21.588
2020-02-16,21.588
2020-02-17,21.588
2020-02-18,21.761
2020-02-19,21.536
2020-02-20,21.605
2020-02-21,21.553
2020-02-22,21.553
2020-02-23,21.553
2020-02-24,20.289
2020-02-25,20.011
2020-02-26,19.509
2020-02-27,19.076
2020-02-28,19.024
2020-02-29,19.024
2020-03-01,19.024
2020-03-02,19.058
2020-03-03,18.695
2020-03-04,19.249
2020-03-05,18.331
2020-03-06,18.383
2020-03-07,18.383
2020-03-08,18.383
2020-03-09,17.412
2020-03-10,16.667
2020-03-11,15.974
2020-03-12,13.601
2020-03-13,15.056
2020-03-14,15.056
2020-03-15,15.056
2020-03-16,15.073
2020-03-17,15.281
2020-03-18,13.202
2020-03-19,14.19
2020-03-20,13.41
2020-03-21,13.41
2020-03-22,13.41
2020-03-23,12.197
2020-03-24,12.648
2020-03-25,12.405
2020-03-26,12.527
2020-03-27,12.388
2020-03-28,12.388
2020-03-29,12.388
2020-03-30,12.284
2020-03-31,12.509
2020-04-01,11.476
2020-04-02,12.159
2020-04-03,11.16
2020-04-04,11.16
2020-04-05,11.16
2020-04-06,12.054
2020-04-07,12.544
2020-04-08,13.473
2020-04-09,13.963
2020-04-10,13.963
2020-04-11,13.963
2020-04-12,13.963
2020-04-13,14.016
2020-04-14,13.876
2020-04-15,13.543
2020-04-16,12.702
2020-04-17,13.315
2020-04-18,13.315
2020-04-19,13.315
2020-04-20,12.597
2020-04-21,12.387
2020-04-22,12.632
2020-04-23,13.017
2020-04-24,13.035
2020-04-25,13.035
2020-04-26,13.035
2020-04-27,13.455
2020-04-28,13.49
2020-04-29,14.717
2020-04-30,14.366
2020-05-01,14.051
2020-05-02,14.051
2020-05-03,14.051
2020-05-04,14.086
2020-05-05,13.876
2020-05-06,13.42
2020-05-07,13.631
2020-05-08,14.752
2020-05-09,14.752
2020-05-10,14.752
2020-05-11,14.279
2020-05-12,13.56
2020-05-13,13.42
2020-05-14,13.368
2020-05-15,13.438
2020-05-16,13.438
2020-05-17,13.438
2020-05-18,15.785
2020-05-19,15.26
2020-05-20,15.943
2020-05-21,15.978
2020-05-22,15.68
2020-05-23,15.68
2020-05-24,15.68
2020-05-25,15.68
2020-05-26,17.362
2020-05-27,18.957
2020-05-28,17.327
2020-05-29,16.732
2020-05-30,16.732
2020-05-31,16.732
2020-06-01,15.926
2020-06-02,16.346
2020-06-03,18.484
2020-06-04,18.922
2020-06-05,20.428
2020-06-06,20.428
2020-06-07,20.428
2020-06-08,20.936
2020-06-09,20.06
2020-06-10,18.729
2020-06-11,16.959
2020-06-12,17.608
2020-06-13,17.608
2020-06-14,17.608
2020-06-15,17.853
2020-06-16,17.993
2020-06-17,17.643
2020-06-18,17.59
2020-06-19,17.275
2020-06-20,17.275
2020-06-21,17.275
2020-06-22,17.064
2020-06-23,17.608
2020-06-24,17.047
2020-06-25,17.625
2020-06-26,17.502
2020-06-27,17.502
2020-06-28,17.502
2020-06-29,18.746
2020-06-30,18.606
2020-07-01,17.388
2020-07-02,17.847
2020-07-03,17.847
2020-07-04,17.847
2020-07-05,17.847
2020-07-06,18.836
2020-07-07,17.953
2020-07-08,18.324
2020-07-09,17.918
2020-07-10,18.235
2020-07-11,18.235
2020-07-12,18.235
2020-07-13,18.288
2020-07-14,18.906
2020-07-15,19.754
2020-07-16,20.142
2020-07-17,20.071
2020-07-18,20.071
2020-07-19,20.071
2020-07-20,19.877
2020-07-21,20.919
2020-07-22,20.371
2020-07-23,20.513
2020-07-24,20.46
2020-07-25,20.46
2020-07-26,20.46
2020-07-27,20.848
2020-07-28,20.477
2020-07-29,22.984
2020-07-30,22.013
2020-07-31,20.107
2020-08-01,20.107
2020-08-02,20.107
2020-08-03,20.513
2020-08-04,20.795
2020-08-05,21.519
2020-08-06,21.148
2020-08-07,21.66
2020-08-08,21.66
2020-08-09,21.66
2020-08-10,22.702
2020-08-11,23.143
2020-08-12,23.09
2020-08-13,22.49
2020-08-14,22.455
2020-08-15,22.455
2020-08-16,22.455
2020-08-17,22.437
2020-08-18,22.013
2020-08-19,22.384
2020-08-20,22.243
2020-08-21,22.101
2020-08-22,22.101
2020-08-23,22.101
2020-08-24,22.649
2020-08-25,22.402
2020-08-26,22.313
2020-08-27,22.19
2020-08-28,21.96
2020-08-29,21.96
2020-08-30,21.96
2020-08-31,21.554
2020-09-01,21.642
2020-09-02,21.36
2020-09-03,20.83
2020-09-04,21.184
2020-09-05,21.184
2020-09-06,21.184
2020-09-07,21.184
2020-09-08,20.795
2020-09-09,21.078
2020-09-10,19.895
2020-09-11,19.577
2020-09-12,19.577
2020-09-13,19.577
2020-09-14,19.542
2020-09-15,19.683
2020-09-16,20.195
2020-09-17,20.371
2020-09-18,20.477
2020-09-19,20.477
2020-09-20,20.477
2020-09-21,19.489
2020-09-22,20.301
2020-09-23,20.16
2020-09-24,20.389
2020-09-25,20.848
2020-09-26,20.848
2020-09-27,20.848
2020-09-28,21.89
2020-09-29,21.36
2020-09-30,21.253
2020-10-01,21.236
2020-10-02,21.769
2020-10-03,21.769
2020-10-04,21.769
2020-10-05,23.048
2020-10-06,24.026
2020-10-07,24.399
2020-10-08,24.914
2020-10-09,24.452
2020-10-10,24.452
2020-10-11,24.452
2020-10-12,24.825
2020-10-13,24.825
2020-10-14,24.79
2020-10-15,25.074
2020-10-16,25.341
2020-10-17,25.341
2020-10-18,25.341
2020-10-19,25.341
2020-10-20,25.341
2020-10-21,25.483
2020-10-22,26.069
2020-10-23,26.265
2020-10-24,26.265
2020-10-25,26.265
2020-10-26,26.389
2020-10-27,25.927
2020-10-28,25.181
2020-10-29,25.465
2020-10-30,25.341
2020-10-31,25.341
2020-11-01,25.341
2020-11-02,26.371
2020-11-03,27.597
2020-11-04,27.207
2020-11-05,30.068
2020-11-06,28.806
2020-11-07,28.806
2020-11-08,28.806
2020-11-09,29.303
2020-11-10,30.654
2020-11-11,30.512
2020-11-12,29.392
2020-11-13,29.659
2020-11-14,29.659
2020-11-15,29.659
2020-11-16,30.743
2020-11-17,31.383
2020-11-18,30.849
2020-11-19,30.867
2020-11-20,30.974
2020-11-21,30.974
2020-11-22,30.974
2020-11-23,31.543
2020-11-24,32.84
2020-11-25,31.969
2020-11-26,31.969
2020-11-27,32.005
2020-11-28,32.005
2020-11-29,32.005
2020-11-30,31.418
2020-12-01,31.489
2020-12-02,32.022
2020-12-03,31.898
2020-12-04,32.911
2020-12-05,32.911
2020-12-06,32.911
2020-12-07,32.147
2020-12-08,32.875
2020-12-09,33.426
2020-12-10,32.236
2020-12-11,32.307
2020-12-12,32.307
2020-12-13,32.307
2020-12-14,30.245
2020-12-15,31.436
2020-12-16,30.743
2020-12-17,30.174
2020-12-18,30.832
2020-12-19,30.832
