,MUR US Equity
,BEST_PE_RATIO
2020-01-01,14.582
2020-01-02,14.446
2020-01-03,14.859
2020-01-04,14.859
2020-01-05,14.859
2020-01-06,14.919
2020-01-07,15.082
2020-01-08,14.74
2020-01-09,14.897
2020-01-10,14.767
2020-01-11,14.767
2020-01-12,14.767
2020-01-13,14.854
2020-01-14,11.391
2020-01-15,11.342
2020-01-16,12.549
2020-01-17,12.077
2020-01-18,12.077
2020-01-19,12.077
2020-01-20,12.077
2020-01-21,11.705
2020-01-22,11.753
2020-01-23,11.543
2020-01-24,11.348
2020-01-25,11.348
2020-01-26,11.348
2020-01-27,10.463
2020-01-28,10.563
2020-01-29,10.24
2020-01-30,8.754
2020-01-31,8.855
2020-02-01,8.855
2020-02-02,8.855
2020-02-03,8.296
2020-02-04,8.413
2020-02-05,8.811
2020-02-06,8.717
2020-02-07,8.561
2020-02-08,8.561
2020-02-09,8.561
2020-02-10,8.401
2020-02-11,8.526
2020-02-12,8.818
2020-02-13,8.725
2020-02-14,8.701
2020-02-15,8.701
2020-02-16,8.701
2020-02-17,8.701
2020-02-18,8.816
2020-02-19,8.819
2020-02-20,8.816
2020-02-21,8.677
2020-02-22,8.677
2020-02-23,8.677
2020-02-24,8.303
2020-02-25,7.853
2020-02-26,7.427
2020-02-27,7.021
2020-02-28,7.435
2020-02-29,7.435
2020-03-01,7.435
2020-03-02,7.518
2020-03-03,7.4
2020-03-04,7.486
2020-03-05,7.163
2020-03-06,6.256
2020-03-07,6.256
2020-03-08,6.256
2020-03-09,3.597
2020-03-10,3.68
2020-03-11,2.958
2020-03-12,2.532
2020-03-13,2.998
2020-03-14,2.998
2020-03-15,2.998
2020-03-16,2.587
2020-03-17,2.189
2020-03-18,1.846
2020-03-19,2.197
2020-03-20,3.877
2020-03-21,3.877
2020-03-22,3.877
2020-03-23,3.729
2020-03-24,4.405
2020-03-25,4.405
2020-03-26,4.531
2020-03-27,4.074
2020-03-28,4.074
2020-03-29,4.074
2020-03-30,4.018
2020-03-31,4.313
2020-04-01,3.94
2020-04-02,4.383
2020-04-03,4.193
2020-04-04,4.193
2020-04-05,4.193
2020-04-06,4.32
2020-04-07,4.651
2020-04-08,5.157
2020-04-09,5.566
2020-04-10,5.566
2020-04-11,5.566
2020-04-12,5.566
2020-04-13,7.273
2020-04-14,6.747
2020-04-15,6.578
2020-04-16,6.257
2020-04-17,7.077
2020-04-18,7.077
2020-04-19,7.077
2020-04-20,7.05
2020-04-21,7.506
2020-04-22,8.043
2020-04-23,8.791
2020-04-24,8.955
2020-04-25,8.955
2020-04-26,8.955
2020-04-27,8.906
2020-04-28,8.925
2020-04-29,11.261
2020-04-30,11.544
2020-05-01,10.093
2020-05-02,10.093
2020-05-03,10.093
2020-05-04,10.561
2020-05-05,10.181
2020-05-06,10.113
2020-05-07,10.317
2020-05-08,11.417
2020-05-09,11.417
2020-05-10,11.417
2020-05-11,14.98
2020-05-12,15.589
2020-05-13,14.434
2020-05-14,14.358
2020-05-15,14.519
2020-05-16,14.519
2020-05-17,14.519
2020-05-18,15.828
2020-05-19,15.327
2020-05-20,16.033
2020-05-21,14.055
2020-05-22,13.753
2020-05-23,13.753
2020-05-24,13.753
2020-05-25,13.753
2020-05-26,14.077
2020-05-27,14.659
2020-05-28,14.122
2020-05-29,13.372
2020-05-30,13.372
2020-05-31,13.372
2020-06-01,14.693
2020-06-02,15.252
2020-06-03,15.812
2020-06-04,16.483
2020-06-05,18.979
2020-06-06,18.979
2020-06-07,18.979
2020-06-08,20.271
2020-06-09,19.199
2020-06-10,17.32
2020-06-11,15.098
2020-06-12,16.203
2020-06-13,16.203
2020-06-14,16.203
2020-06-15,16.557
2020-06-16,17.331
2020-06-17,16.137
2020-06-18,16.48
2020-06-19,16.712
2020-06-20,16.712
2020-06-21,16.712
2020-06-22,6.94
2020-06-23,7.06
2020-06-24,6.224
2020-06-25,6.385
2020-06-26,5.984
2020-06-27,5.984
2020-06-28,5.984
2020-06-29,6.424
2020-06-30,6.747
2020-07-01,6.527
2020-07-02,6.654
2020-07-03,6.654
2020-07-04,6.654
2020-07-05,6.654
2020-07-06,6.668
2020-07-07,6.316
2020-07-08,6.463
2020-07-09,5.974
2020-07-10,6.346
2020-07-11,6.346
2020-07-12,6.346
2020-07-13,6.121
2020-07-14,6.517
2020-07-15,6.615
2020-07-16,6.747
2020-07-17,6.492
2020-07-18,6.492
2020-07-19,6.492
2020-07-20,6.439
2020-07-21,7.671
2020-07-22,7.639
2020-07-23,7.469
2020-07-24,7.39
2020-07-25,7.39
2020-07-26,7.39
2020-07-27,7.437
2020-07-28,7.236
2020-07-29,7.379
2020-07-30,7.141
2020-07-31,6.983
2020-08-01,6.983
2020-08-02,6.983
2020-08-03,7.057
2020-08-04,7.379
2020-08-05,7.728
2020-08-06,7.448
2020-08-07,6.777
2020-08-08,6.777
2020-08-09,6.777
2020-08-10,9.31
2020-08-11,7.496
2020-08-12,7.551
2020-08-13,7.432
2020-08-14,7.554
2020-08-15,7.554
2020-08-16,7.554
2020-08-17,7.514
2020-08-18,7.355
2020-08-19,6.759
2020-08-20,6.573
2020-08-21,6.383
2020-08-22,6.383
2020-08-23,6.383
2020-08-24,6.632
2020-08-25,6.759
2020-08-26,7.188
2020-08-27,7.325
2020-08-28,7.336
2020-08-29,7.336
2020-08-30,7.336
2020-08-31,6.994
2020-09-01,7.05
2020-09-02,6.643
2020-09-03,6.287
2020-09-04,6.205
2020-09-05,6.205
2020-09-06,6.205
2020-09-07,6.205
2020-09-08,5.61
2020-09-09,5.661
2020-09-10,5.101
2020-09-11,5.106
2020-09-12,5.106
2020-09-13,5.106
2020-09-14,5.195
2020-09-15,5.124
2020-09-16,5.795
2020-09-17,5.719
2020-09-18,5.628
2020-09-19,5.628
2020-09-20,5.628
2020-09-21,4.991
2020-09-22,5.135
2020-09-23,4.634
2020-09-24,4.688
2020-09-25,4.645
2020-09-26,4.645
2020-09-27,4.645
2020-09-28,4.895
2020-09-29,4.693
2020-09-30,4.803
2020-10-01,4.539
2020-10-02,4.614
2020-10-03,4.614
2020-10-04,4.614
2020-10-05,4.754
2020-10-06,4.533
2020-10-07,4.619
2020-10-08,4.948
2020-10-09,4.679
2020-10-10,4.679
2020-10-11,4.679
2020-10-12,4.646
2020-10-13,4.528
2020-10-14,4.632
2020-10-15,4.828
2020-10-16,4.664
2020-10-17,4.664
2020-10-18,4.664
2020-10-19,4.597
2020-10-20,4.836
2020-10-21,4.76
2020-10-22,5.779
2020-10-23,5.468
2020-10-24,5.468
2020-10-25,5.468
2020-10-26,5.035
2020-10-27,5.017
2020-10-28,4.628
2020-10-29,4.891
2020-10-30,4.841
2020-10-31,4.841
2020-11-01,4.841
2020-11-02,4.973
2020-11-03,4.822
2020-11-04,4.822
2020-11-05,4.905
2020-11-06,4.743
2020-11-07,4.743
2020-11-08,4.743
2020-11-09,6.004
2020-11-10,7.366
2020-11-11,7.231
2020-11-12,7.013
2020-11-13,7.425
2020-11-14,7.425
2020-11-15,7.425
2020-11-16,8.226
2020-11-17,8.698
2020-11-18,8.508
2020-11-19,8.898
2020-11-20,8.662
2020-11-21,8.662
2020-11-22,8.662
2020-11-23,9.735
2020-11-24,10.389
2020-11-25,10.307
2020-11-26,10.307
2020-11-27,10.125
2020-11-28,10.125
2020-11-29,10.125
2020-11-30,9.144
2020-12-01,9.135
2020-12-02,9.798
2020-12-03,10.198
2020-12-04,11.325
2020-12-05,11.325
2020-12-06,11.325
2020-12-07,10.634
2020-12-08,11.372
2020-12-09,11.521
2020-12-10,12.645
2020-12-11,12.497
2020-12-12,12.497
2020-12-13,12.497
2020-12-14,12.004
2020-12-15,12.199
2020-12-16,11.53
2020-12-17,11.673
2020-12-18,11.74
2020-12-19,11.74
2020-12-20,11.74
2020-12-21,11.308
2020-12-22,11.03
2020-12-23,11.855
2020-12-24,11.663
2020-12-25,11.663
2020-12-26,11.663
2020-12-27,11.663
2020-12-28,11.519
2020-12-29,11.577
2020-12-30,11.807
2020-12-31,11.606
2021-01-01,11.606
2021-01-02,11.606
2021-01-03,11.606
2021-01-04,12.009
2021-01-05,13.044
2021-01-06,14.09
2021-01-07,11.403
2021-01-08,10.9
2021-01-09,10.9
2021-01-10,10.9
2021-01-11,10.931
2021-01-12,11.906
2021-01-13,11.426
2021-01-14,11.935
2021-01-15,11.26
2021-01-16,11.26
2021-01-17,11.26
2021-01-18,11.26
2021-01-19,11.927
2021-01-20,11.352
2021-01-21,9.558
2021-01-22,8.493
2021-01-23,8.493
2021-01-24,8.493
2021-01-25,7.424
2021-01-26,7.518
2021-01-27,8.281
2021-01-28,7.982
2021-01-29,9.147
2021-01-30,9.147
2021-01-31,9.147
2021-02-01,8.947
2021-02-02,9.05
2021-02-03,9.716
2021-02-04,11.062
2021-02-05,14.907
2021-02-06,14.907
2021-02-07,14.907
2021-02-08,16.497
2021-02-09,15.685
2021-02-10,14.507
