,EQT US Equity
,BEST_PE_RATIO
2020-01-01,2.428
2020-01-02,2.308
2020-01-03,2.303
2020-01-04,2.303
2020-01-05,2.303
2020-01-06,2.33
2020-01-07,2.292
2020-01-08,2.034
2020-01-09,2.007
2020-01-10,1.969
2020-01-11,1.969
2020-01-12,1.969
2020-01-13,1.864
2020-01-14,1.918
2020-01-15,1.884
2020-01-16,1.904
2020-01-17,1.835
2020-01-18,1.835
2020-01-19,1.835
2020-01-20,1.835
2020-01-21,1.711
2020-01-22,1.648
2020-01-23,1.586
2020-01-24,1.481
2020-01-25,1.481
2020-01-26,1.481
2020-01-27,1.468
2020-01-28,1.488
2020-01-29,1.357
2020-01-30,1.379
2020-01-31,1.348
2020-02-01,1.348
2020-02-02,1.348
2020-02-03,1.314
2020-02-04,1.274
2020-02-05,1.336
2020-02-06,1.212
2020-02-07,1.181
2020-02-08,1.181
2020-02-09,1.181
2020-02-10,1.138
2020-02-11,1.143
2020-02-12,1.176
2020-02-13,1.212
2020-02-14,1.185
2020-02-15,1.185
2020-02-16,1.185
2020-02-17,1.185
2020-02-18,1.272
2020-02-19,1.324
2020-02-20,1.346
2020-02-21,1.302
2020-02-22,1.302
2020-02-23,1.302
2020-02-24,1.234
2020-02-25,1.156
2020-02-26,1.111
2020-02-27,1.205
2020-02-28,1.315
2020-02-29,1.315
2020-03-01,1.315
2020-03-02,1.362
2020-03-03,1.378
2020-03-04,1.369
2020-03-05,1.423
2020-03-06,1.431
2020-03-07,1.431
2020-03-08,1.431
2020-03-09,1.582
2020-03-10,1.582
2020-03-11,1.541
2020-03-12,1.555
2020-03-13,2.135
2020-03-14,2.135
2020-03-15,2.135
2020-03-16,1.947
2020-03-17,2.108
2020-03-18,1.947
2020-03-19,1.81
2020-03-20,1.669
2020-03-21,1.669
2020-03-22,1.669
2020-03-23,1.358
2020-03-24,1.624
2020-03-25,1.732
2020-03-26,1.559
2020-03-27,1.546
2020-03-28,1.546
2020-03-29,1.546
2020-03-30,1.564
2020-03-31,1.584
2020-04-01,1.635
2020-04-02,1.768
2020-04-03,1.965
2020-04-04,1.965
2020-04-05,1.965
2020-04-06,2.186
2020-04-07,2.408
2020-04-08,2.428
2020-04-09,2.424
2020-04-10,2.424
2020-04-11,2.424
2020-04-12,2.424
2020-04-13,2.785
2020-04-14,2.881
2020-04-15,2.923
2020-04-16,2.87
2020-04-17,2.995
2020-04-18,2.995
2020-04-19,2.995
2020-04-20,3.486
2020-04-21,3.488
2020-04-22,3.192
2020-04-23,2.8
2020-04-24,3.0
2020-04-25,3.0
2020-04-26,3.0
2020-04-27,3.089
2020-04-28,3.0
2020-04-29,3.156
2020-04-30,3.268
2020-05-01,3.219
2020-05-02,3.219
2020-05-03,3.219
2020-05-04,3.316
2020-05-05,3.21
2020-05-06,3.053
2020-05-07,3.051
2020-05-08,3.134
2020-05-09,3.134
2020-05-10,3.134
2020-05-11,5.78
2020-05-12,5.556
2020-05-13,5.459
2020-05-14,5.503
2020-05-15,5.591
2020-05-16,5.591
2020-05-17,5.591
2020-05-18,5.652
2020-05-19,5.617
2020-05-20,5.85
2020-05-21,5.78
2020-05-22,6.03
2020-05-23,6.03
2020-05-24,6.03
2020-05-25,6.03
2020-05-26,6.473
2020-05-27,6.219
2020-05-28,5.868
2020-05-29,5.854
2020-05-30,5.854
2020-05-31,5.854
2020-06-01,5.648
2020-06-02,5.876
2020-06-03,6.087
2020-06-04,6.276
2020-06-05,6.596
2020-06-06,6.596
