,ALK US Equity
,BEST_PE_RATIO
2020-01-01,6.572
2020-01-02,6.613
2020-01-03,6.492
2020-01-04,6.492
2020-01-05,6.492
2020-01-06,6.461
2020-01-07,6.42
2020-01-08,6.451
2020-01-09,6.439
2020-01-10,6.392
2020-01-11,6.392
2020-01-12,6.392
2020-01-13,6.39
2020-01-14,6.42
2020-01-15,6.46
2020-01-16,6.455
2020-01-17,6.463
2020-01-18,6.463
2020-01-19,6.463
2020-01-20,6.463
2020-01-21,6.305
2020-01-22,6.363
2020-01-23,6.517
2020-01-24,6.473
2020-01-25,6.473
2020-01-26,6.473
2020-01-27,6.339
2020-01-28,6.358
2020-01-29,6.489
2020-01-30,6.404
2020-01-31,6.266
2020-02-01,6.266
2020-02-02,6.266
2020-02-03,6.272
2020-02-04,6.38
2020-02-05,6.435
2020-02-06,6.211
2020-02-07,6.205
2020-02-08,6.205
2020-02-09,6.205
2020-02-10,6.25
2020-02-11,6.262
2020-02-12,6.358
2020-02-13,6.451
2020-02-14,6.45
2020-02-15,6.45
2020-02-16,6.45
2020-02-17,6.45
2020-02-18,6.389
2020-02-19,6.358
2020-02-20,6.377
2020-02-21,6.383
2020-02-22,6.383
2020-02-23,6.383
2020-02-24,6.147
2020-02-25,5.738
2020-02-26,5.597
2020-02-27,5.167
2020-02-28,4.923
2020-02-29,4.923
2020-03-01,4.923
2020-03-02,4.881
2020-03-03,4.621
2020-03-04,4.848
2020-03-05,4.24
2020-03-06,4.411
2020-03-07,4.411
2020-03-08,4.411
2020-03-09,4.214
2020-03-10,4.564
2020-03-11,4.459
2020-03-12,3.422
2020-03-13,3.702
2020-03-14,3.702
2020-03-15,3.702
2020-03-16,3.174
2020-03-17,3.174
2020-03-18,2.452
2020-03-19,2.359
2020-03-20,2.299
2020-03-21,2.299
2020-03-22,2.299
2020-03-23,2.344
2020-03-24,2.82
2020-03-25,2.911
2020-03-26,3.17
2020-03-27,2.914
2020-03-28,2.914
2020-03-29,2.914
2020-03-30,2.764
2020-03-31,2.778
2020-04-01,2.571
2020-04-02,2.406
2020-04-03,2.409
2020-04-04,2.409
2020-04-05,2.409
2020-04-06,2.602
2020-04-07,2.832
2020-04-08,2.843
2020-04-09,3.084
2020-04-10,3.084
2020-04-11,3.084
2020-04-12,3.084
2020-04-13,2.879
2020-04-14,3.029
2020-04-15,2.935
2020-04-16,2.757
2020-04-17,2.92
2020-04-18,2.92
2020-04-19,2.92
2020-04-20,2.852
2020-04-21,2.76
2020-04-22,2.686
2020-04-23,2.751
2020-04-24,2.733
2020-04-25,2.733
2020-04-26,2.733
2020-04-27,2.717
2020-04-28,3.081
2020-04-29,3.317
2020-04-30,3.173
2020-05-01,2.938
2020-05-02,2.938
2020-05-03,2.938
2020-05-04,2.807
2020-05-05,2.826
2020-05-06,2.715
2020-05-07,2.756
2020-05-08,2.927
2020-05-09,2.927
2020-05-10,2.927
2020-05-11,2.767
2020-05-12,2.62
2020-05-13,2.49
2020-05-14,2.55
2020-05-15,2.5
2020-05-16,2.5
2020-05-17,2.5
2020-05-18,2.834
2020-05-19,2.796
2020-05-20,2.952
2020-05-21,3.106
2020-05-22,3.026
2020-05-23,3.026
2020-05-24,3.026
2020-05-25,3.026
2020-05-26,3.418
2020-05-27,3.487
2020-05-28,3.362
2020-05-29,3.336
2020-05-30,3.336
2020-05-31,3.336
2020-06-01,3.523
2020-06-02,3.532
2020-06-03,3.834
2020-06-04,4.129
2020-06-05,4.168
2020-06-06,4.168
2020-06-07,4.168
2020-06-08,4.901
2020-06-09,4.498
2020-06-10,4.047
2020-06-11,3.472
2020-06-12,3.753
2020-06-13,3.753
2020-06-14,3.753
2020-06-15,3.685
2020-06-16,3.728
2020-06-17,3.65
2020-06-18,3.654
2020-06-19,3.54
2020-06-20,3.54
2020-06-21,3.54
2020-06-22,3.558
2020-06-23,3.593
2020-06-24,3.355
2020-06-25,3.461
2020-06-26,3.346
2020-06-27,3.346
2020-06-28,3.346
2020-06-29,3.601
2020-06-30,3.538
2020-07-01,3.483
2020-07-02,3.56
2020-07-03,3.56
2020-07-04,3.56
2020-07-05,3.56
2020-07-06,3.618
2020-07-07,3.522
2020-07-08,3.538
2020-07-09,3.36
2020-07-10,3.486
2020-07-11,3.486
2020-07-12,3.486
2020-07-13,3.403
2020-07-14,3.462
2020-07-15,3.781
2020-07-16,3.637
2020-07-17,3.61
2020-07-18,3.61
2020-07-19,3.61
2020-07-20,3.501
2020-07-21,3.532
2020-07-22,3.541
2020-07-23,3.578
2020-07-24,3.42
2020-07-25,3.42
