,CACC US Equity
,BEST_PE_RATIO
2020-01-01,13.72
2020-01-02,13.734
2020-01-03,13.519
2020-01-04,13.519
2020-01-05,13.519
2020-01-06,13.555
2020-01-07,13.369
2020-01-08,13.437
2020-01-09,13.426
2020-01-10,13.512
2020-01-11,13.512
2020-01-12,13.512
2020-01-13,13.692
2020-01-14,13.821
2020-01-15,13.792
2020-01-16,13.892
2020-01-17,13.982
2020-01-18,13.982
2020-01-19,13.982
2020-01-20,13.982
2020-01-21,14.044
2020-01-22,14.125
2020-01-23,14.255
2020-01-24,14.195
2020-01-25,14.195
2020-01-26,14.195
2020-01-27,14.078
2020-01-28,14.197
2020-01-29,14.315
2020-01-30,14.48
2020-01-31,13.306
2020-02-01,13.306
2020-02-02,13.306
2020-02-03,13.485
2020-02-04,13.408
2020-02-05,13.491
2020-02-06,13.918
2020-02-07,13.857
2020-02-08,13.857
2020-02-09,13.857
2020-02-10,13.571
2020-02-11,13.5
2020-02-12,13.436
2020-02-13,13.462
2020-02-14,13.555
2020-02-15,13.555
2020-02-16,13.555
2020-02-17,13.555
2020-02-18,13.509
2020-02-19,13.477
2020-02-20,13.485
2020-02-21,13.48
2020-02-22,13.48
2020-02-23,13.48
2020-02-24,13.159
2020-02-25,12.643
2020-02-26,12.717
2020-02-27,12.63
2020-02-28,12.506
2020-02-29,12.506
2020-03-01,12.506
2020-03-02,12.338
2020-03-03,13.064
2020-03-04,13.469
2020-03-05,13.343
2020-03-06,13.1
2020-03-07,13.1
2020-03-08,13.1
2020-03-09,12.785
2020-03-10,13.497
2020-03-11,12.715
2020-03-12,11.427
2020-03-13,12.158
2020-03-14,12.158
2020-03-15,12.158
2020-03-16,10.11
2020-03-17,9.125
2020-03-18,9.158
2020-03-19,8.878
2020-03-20,8.014
2020-03-21,8.014
2020-03-22,8.014
2020-03-23,7.269
2020-03-24,8.072
2020-03-25,8.707
2020-03-26,9.361
2020-03-27,8.849
2020-03-28,8.849
2020-03-29,8.849
2020-03-30,8.355
2020-03-31,7.931
2020-04-01,7.382
2020-04-02,7.343
2020-04-03,6.694
2020-04-04,6.694
2020-04-05,6.694
2020-04-06,7.823
2020-04-07,8.099
2020-04-08,8.437
2020-04-09,9.838
2020-04-10,9.838
2020-04-11,9.838
2020-04-12,9.838
2020-04-13,9.049
2020-04-14,9.092
2020-04-15,8.628
2020-04-16,8.847
2020-04-17,9.285
2020-04-18,9.285
2020-04-19,9.285
2020-04-20,9.141
2020-04-21,7.878
2020-04-22,7.894
2020-04-23,8.247
2020-04-24,8.43
2020-04-25,8.43
2020-04-26,8.43
2020-04-27,9.043
2020-04-28,9.178
2020-04-29,10.398
2020-04-30,9.664
2020-05-01,9.361
2020-05-02,9.361
2020-05-03,9.361
2020-05-04,9.486
2020-05-05,9.491
2020-05-06,9.337
2020-05-07,9.764
2020-05-08,10.326
2020-05-09,10.326
2020-05-10,10.326
2020-05-11,10.09
2020-05-12,9.699
2020-05-13,9.424
2020-05-14,9.804
2020-05-15,9.735
2020-05-16,9.735
2020-05-17,9.735
2020-05-18,10.669
2020-05-19,10.65
2020-05-20,10.799
2020-05-21,10.552
2020-05-22,10.386
2020-05-23,10.386
2020-05-24,10.386
2020-05-25,10.386
2020-05-26,10.948
2020-05-27,11.714
2020-05-28,11.395
2020-05-29,11.471
2020-05-30,11.471
2020-05-31,11.471
2020-06-01,12.209
2020-06-02,12.065
2020-06-03,12.92
2020-06-04,13.895
2020-06-05,14.989
2020-06-06,14.989
2020-06-07,14.989
2020-06-08,15.187
