,H US Equity
,BEST_PE_RATIO
2020-01-01,25.664
2020-01-02,25.51
2020-01-03,25.432
2020-01-04,25.432
2020-01-05,25.432
2020-01-06,25.058
2020-01-07,24.757
2020-01-08,25.075
2020-01-09,24.989
2020-01-10,24.62
2020-01-11,24.62
2020-01-12,24.62
2020-01-13,24.763
2020-01-14,24.82
2020-01-15,24.668
2020-01-16,25.052
2020-01-17,25.229
2020-01-18,25.229
2020-01-19,25.229
2020-01-20,25.229
2020-01-21,24.537
2020-01-22,24.603
2020-01-23,24.543
2020-01-24,24.088
2020-01-25,24.088
2020-01-26,24.088
2020-01-27,23.919
2020-01-28,24.248
2020-01-29,24.414
2020-01-30,24.58
2020-01-31,24.185
2020-02-01,24.185
2020-02-02,24.185
2020-02-03,24.588
2020-02-04,25.183
2020-02-05,25.787
2020-02-06,25.452
2020-02-07,25.178
2020-02-08,25.178
2020-02-09,25.178
2020-02-10,25.375
2020-02-11,25.312
2020-02-12,25.455
2020-02-13,25.103
2020-02-14,25.158
2020-02-15,25.158
2020-02-16,25.158
2020-02-17,25.158
2020-02-18,25.369
2020-02-19,25.73
2020-02-20,26.565
2020-02-21,26.25
2020-02-22,26.25
2020-02-23,26.25
2020-02-24,24.543
2020-02-25,22.983
2020-02-26,22.782
2020-02-27,22.028
2020-02-28,21.965
2020-02-29,21.965
2020-03-01,21.965
2020-03-02,22.091
2020-03-03,21.377
2020-03-04,21.649
2020-03-05,19.975
2020-03-06,19.849
2020-03-07,19.849
2020-03-08,19.849
2020-03-09,18.28
2020-03-10,19.172
2020-03-11,17.494
2020-03-12,14.985
2020-03-13,15.785
2020-03-14,15.785
2020-03-15,15.785
2020-03-16,14.225
2020-03-17,12.941
2020-03-18,10.483
2020-03-19,11.41
2020-03-20,13.397
2020-03-21,13.397
2020-03-22,13.397
2020-03-23,13.618
2020-03-24,13.953
2020-03-25,14.871
2020-03-26,14.679
2020-03-27,14.091
2020-03-28,14.091
2020-03-29,14.091
2020-03-30,13.922
2020-03-31,13.735
2020-04-01,12.514
2020-04-02,11.513
2020-04-03,11.447
2020-04-04,11.447
2020-04-05,11.447
2020-04-06,13.319
2020-04-07,14.002
2020-04-08,14.739
2020-04-09,15.243
2020-04-10,15.243
2020-04-11,15.243
2020-04-12,15.243
2020-04-13,14.842
2020-04-14,15.688
2020-04-15,15.513
2020-04-16,15.47
2020-04-17,16.362
2020-04-18,16.362
2020-04-19,16.362
2020-04-20,15.691
2020-04-21,15.871
2020-04-22,15.49
2020-04-23,15.281
2020-04-24,15.091
2020-04-25,15.091
2020-04-26,15.091
2020-04-27,15.98
2020-04-28,15.977
2020-04-29,16.843
2020-04-30,16.132
2020-05-01,14.776
2020-05-02,14.776
2020-05-03,14.776
2020-05-04,14.862
2020-05-05,14.67
2020-05-06,14.395
2020-05-07,14.452
2020-05-08,15.223
2020-05-09,15.223
2020-05-10,15.223
2020-05-11,14.332
2020-05-12,13.483
2020-05-13,12.717
2020-05-14,13.388
2020-05-15,13.5
2020-05-16,13.5
2020-05-17,13.5
2020-05-18,15.381
2020-05-19,15.43
2020-05-20,15.464
2020-05-21,15.324
2020-05-22,15.123
2020-05-23,15.123
2020-05-24,15.123
2020-05-25,15.123
2020-05-26,16.213
2020-05-27,16.319
2020-05-28,15.917
2020-05-29,15.797
2020-05-30,15.797
2020-05-31,15.797
2020-06-01,16.112
2020-06-02,16.456
2020-06-03,17.176
2020-06-04,17.557
2020-06-05,18.205
2020-06-06,18.205
2020-06-07,18.205
2020-06-08,19.355
2020-06-09,18.056
2020-06-10,17.153
2020-06-11,15.553
2020-06-12,16.035
2020-06-13,16.035
2020-06-14,16.035
2020-06-15,15.9
2020-06-16,16.238
2020-06-17,15.737
2020-06-18,15.937
2020-06-19,15.209
2020-06-20,15.209
2020-06-21,15.209
2020-06-22,15.289
2020-06-23,15.232
2020-06-24,14.314
2020-06-25,14.099
2020-06-26,13.563
2020-06-27,13.563
2020-06-28,13.563
2020-06-29,14.484
2020-06-30,14.42
2020-07-01,14.664
2020-07-02,14.793
2020-07-03,14.793
2020-07-04,14.793
2020-07-05,14.793
2020-07-06,15.008
2020-07-07,14.291
2020-07-08,14.506
2020-07-09,14.019
2020-07-10,14.297
2020-07-11,14.297
2020-07-12,14.297
2020-07-13,20.944
2020-07-14,21.0
2020-07-15,23.041
2020-07-16,23.092
2020-07-17,22.423
2020-07-18,22.423
2020-07-19,22.423
2020-07-20,21.664
2020-07-21,22.018
2020-07-22,22.227
2020-07-23,21.89
2020-07-24,21.451
2020-07-25,21.451
2020-07-26,21.451
2020-07-27,21.076
2020-07-28,20.991
2020-07-29,21.345
2020-07-30,20.931
2020-07-31,20.454
2020-08-01,20.454
2020-08-02,20.454
2020-08-03,20.446
2020-08-04,20.983
2020-08-05,20.787
2020-08-06,21.494
2020-08-07,14.661
2020-08-08,14.661
2020-08-09,14.661
2020-08-10,15.588
2020-08-11,15.84
2020-08-12,15.608
2020-08-13,15.639
2020-08-14,16.075
2020-08-15,16.075
2020-08-16,16.075
2020-08-17,15.682
2020-08-18,15.467
2020-08-19,15.424
2020-08-20,15.433
2020-08-21,15.668
2020-08-22,15.668
2020-08-23,15.668
2020-08-24,16.468
2020-08-25,16.514
2020-08-26,15.679
2020-08-27,16.362
2020-08-28,16.964
2020-08-29,16.964
2020-08-30,16.964
2020-08-31,16.198
2020-09-01,16.267
2020-09-02,16.471
2020-09-03,16.663
2020-09-04,17.202
2020-09-05,17.202
2020-09-06,17.202
2020-09-07,17.202
2020-09-08,16.64
2020-09-09,16.416
2020-09-10,16.238
2020-09-11,15.803
2020-09-12,15.803
2020-09-13,15.803
2020-09-14,16.95
2020-09-15,17.167
2020-09-16,17.526
2020-09-17,17.061
2020-09-18,16.35
2020-09-19,16.35
2020-09-20,16.35
2020-09-21,15.304
2020-09-22,15.301
2020-09-23,15.037
2020-09-24,15.046
2020-09-25,15.309
2020-09-26,15.309
2020-09-27,15.309
2020-09-28,15.625
2020-09-29,15.269
2020-09-30,15.304
2020-10-01,15.381
2020-10-02,15.393
2020-10-03,15.393
