,CLR US Equity
,BEST_PE_RATIO
2020-01-01,16.323
2020-01-02,16.252
2020-01-03,16.818
2020-01-04,16.818
2020-01-05,16.818
2020-01-06,17.142
2020-01-07,16.994
2020-01-08,16.266
2020-01-09,16.185
2020-01-10,15.866
2020-01-11,15.866
2020-01-12,15.866
2020-01-13,15.895
2020-01-14,16.319
2020-01-15,16.338
2020-01-16,15.885
2020-01-17,15.543
2020-01-18,15.543
2020-01-19,15.543
2020-01-20,15.543
2020-01-21,14.915
2020-01-22,14.467
2020-01-23,9.062
2020-01-24,8.741
2020-01-25,8.741
2020-01-26,8.741
2020-01-27,8.507
2020-01-28,8.76
2020-01-29,8.61
2020-01-30,8.46
2020-01-31,8.164
2020-02-01,8.164
2020-02-02,8.164
2020-02-03,7.996
2020-02-04,7.96
2020-02-05,8.517
2020-02-06,8.214
2020-02-07,8.07
2020-02-08,8.07
2020-02-09,8.07
2020-02-10,7.706
2020-02-11,7.781
2020-02-12,7.977
2020-02-13,8.049
2020-02-14,7.872
2020-02-15,7.872
2020-02-16,7.872
2020-02-17,7.872
2020-02-18,7.817
2020-02-19,7.832
2020-02-20,7.736
2020-02-21,7.601
2020-02-22,7.601
2020-02-23,7.601
2020-02-24,7.036
2020-02-25,6.58
2020-02-26,6.243
2020-02-27,5.246
2020-02-28,6.342
2020-02-29,6.342
2020-03-01,6.342
2020-03-02,6.054
2020-03-03,5.834
2020-03-04,5.951
2020-03-05,5.854
2020-03-06,4.97
2020-03-07,4.97
2020-03-08,4.97
2020-03-09,2.36
2020-03-10,3.143
2020-03-11,2.939
2020-03-12,2.657
2020-03-13,3.287
2020-03-14,3.287
2020-03-15,3.287
2020-03-16,3.002
2020-03-17,2.775
2020-03-18,2.637
2020-03-19,3.052
2020-03-20,7.863
2020-03-21,7.863
2020-03-22,7.863
2020-03-23,7.505
2020-03-24,8.561
2020-03-25,8.503
2020-03-26,8.27
2020-03-27,7.081
2020-03-28,7.081
2020-03-29,7.081
2020-03-30,6.408
2020-03-31,6.35
2020-04-01,6.209
2020-04-02,6.932
2020-04-03,7.547
2020-04-04,7.547
2020-04-05,7.547
2020-04-06,7.888
2020-04-07,8.685
2020-04-08,10.281
2020-04-09,10.132
2020-04-10,10.132
2020-04-11,10.132
2020-04-12,10.132
2020-04-13,6.866
2020-04-14,6.35
2020-04-15,5.827
2020-04-16,5.466
2020-04-17,6.233
2020-04-18,6.233
2020-04-19,6.233
2020-04-20,5.955
2020-04-21,6.122
2020-04-22,6.894
2020-04-23,7.349
2020-04-24,6.994
2020-04-25,6.994
2020-04-26,6.994
2020-04-27,7.107
2020-04-28,7.445
2020-04-29,8.78
2020-04-30,9.079
2020-05-01,7.871
2020-05-02,7.871
2020-05-03,7.871
2020-05-04,7.921
2020-05-05,7.567
2020-05-06,7.539
2020-05-07,7.534
2020-05-08,7.805
2020-05-09,7.805
2020-05-10,7.805
2020-05-11,7.241
2020-05-12,7.359
2020-05-13,6.437
2020-05-14,6.61
2020-05-15,6.559
2020-05-16,6.559
2020-05-17,6.559
2020-05-18,7.309
2020-05-19,6.692
2020-05-20,6.911
2020-05-21,6.911
2020-05-22,7.166
2020-05-23,7.166
2020-05-24,7.166
2020-05-25,7.166
2020-05-26,7.274
2020-05-27,7.243
2020-05-28,6.738
2020-05-29,6.243
2020-05-30,6.243
2020-05-31,6.243
2020-06-01,6.753
2020-06-02,7.355
2020-06-03,7.651
2020-06-04,7.845
2020-06-05,9.407
2020-06-06,9.407
2020-06-07,9.407
2020-06-08,11.015
2020-06-09,9.729
2020-06-10,8.841
2020-06-11,7.881
2020-06-12,8.478
2020-06-13,8.478
2020-06-14,8.478
2020-06-15,8.596
2020-06-16,9.326
2020-06-17,8.494
2020-06-18,8.779
2020-06-19,8.631
2020-06-20,8.631
2020-06-21,8.631
2020-06-22,8.698
2020-06-23,8.455
2020-06-24,7.587
2020-06-25,8.169
2020-06-26,7.577
2020-06-27,7.577
2020-06-28,7.577
2020-06-29,8.124
2020-06-30,8.796
2020-07-01,8.56
2020-07-02,9.182
2020-07-03,9.182
2020-07-04,9.182
2020-07-05,9.182
2020-07-06,8.61
2020-07-07,7.797
2020-07-08,8.093
2020-07-09,7.567
2020-07-10,8.043
2020-07-11,8.043
2020-07-12,8.043
2020-07-13,7.913
2020-07-14,8.47
2020-07-15,9.032
2020-07-16,8.946
2020-07-17,8.589
2020-07-18,8.589
2020-07-19,8.589
2020-07-20,8.439
2020-07-21,8.994
2020-07-22,8.844
2020-07-23,8.654
2020-07-24,8.609
2020-07-25,8.609
2020-07-26,8.609
2020-07-27,8.699
2020-07-28,8.459
2020-07-29,8.754
2020-07-30,10.009
2020-07-31,9.986
2020-08-01,9.986
2020-08-02,9.986
2020-08-03,10.188
2020-08-04,9.732
2020-08-05,11.891
2020-08-06,11.341
2020-08-07,11.535
2020-08-08,11.535
2020-08-09,11.535
2020-08-10,12.415
2020-08-11,12.213
2020-08-12,12.536
2020-08-13,12.321
2020-08-14,12.475
2020-08-15,12.475
2020-08-16,12.475
2020-08-17,12.334
2020-08-18,12.187
2020-08-19,11.962
2020-08-20,11.645
2020-08-21,11.315
2020-08-22,11.315
