,DAL US Equity
,BEST_PE_RATIO
2020-01-01,6.947
2020-01-02,7.013
2020-01-03,6.897
2020-01-04,6.897
2020-01-05,6.897
2020-01-06,6.849
2020-01-07,6.843
2020-01-08,6.991
2020-01-09,7.004
2020-01-10,7.037
2020-01-11,7.037
2020-01-12,7.037
2020-01-13,7.067
2020-01-14,7.3
2020-01-15,7.32
2020-01-16,7.351
2020-01-17,7.368
2020-01-18,7.368
2020-01-19,7.368
2020-01-20,7.368
2020-01-21,7.168
2020-01-22,7.085
2020-01-23,7.159
2020-01-24,6.986
2020-01-25,6.986
2020-01-26,6.986
2020-01-27,6.751
2020-01-28,6.828
2020-01-29,6.729
2020-01-30,6.783
2020-01-31,6.621
2020-02-01,6.621
2020-02-02,6.621
2020-02-03,6.657
2020-02-04,6.881
2020-02-05,6.996
2020-02-06,6.911
2020-02-07,6.88
2020-02-08,6.88
2020-02-09,6.88
2020-02-10,6.855
2020-02-11,6.968
2020-02-12,7.064
2020-02-13,7.024
2020-02-14,6.997
2020-02-15,6.997
2020-02-16,6.997
2020-02-17,6.997
2020-02-18,6.975
2020-02-19,6.998
2020-02-20,6.983
2020-02-21,6.922
2020-02-22,6.922
2020-02-23,6.922
2020-02-24,6.486
2020-02-25,6.087
2020-02-26,5.931
2020-02-27,5.764
2020-02-28,5.518
2020-02-29,5.518
2020-03-01,5.518
2020-03-02,5.641
2020-03-03,5.524
2020-03-04,5.801
2020-03-05,5.384
2020-03-06,5.489
2020-03-07,5.489
2020-03-08,5.489
2020-03-09,5.205
2020-03-10,5.439
2020-03-11,5.104
2020-03-12,4.032
2020-03-13,4.588
2020-03-14,4.588
2020-03-15,4.588
2020-03-16,4.283
2020-03-17,3.796
2020-03-18,2.81
2020-03-19,2.573
2020-03-20,2.554
2020-03-21,2.554
2020-03-22,2.554
2020-03-23,2.658
2020-03-24,3.216
2020-03-25,3.72
2020-03-26,3.792
2020-03-27,3.534
2020-03-28,3.534
2020-03-29,3.534
2020-03-30,3.429
2020-03-31,3.412
2020-04-01,2.855
2020-04-02,2.713
2020-04-03,2.689
2020-04-04,2.689
2020-04-05,2.689
2020-04-06,2.67
2020-04-07,2.661
2020-04-08,2.779
2020-04-09,2.917
2020-04-10,2.917
2020-04-11,2.917
2020-04-12,2.917
2020-04-13,2.781
2020-04-14,2.935
2020-04-15,2.912
2020-04-16,2.725
2020-04-17,2.903
2020-04-18,2.903
2020-04-19,2.903
2020-04-20,2.828
2020-04-21,2.763
2020-04-22,2.688
2020-04-23,2.689
2020-04-24,2.68
2020-04-25,2.68
2020-04-26,2.68
2020-04-27,2.85
2020-04-28,3.13
2020-04-29,3.513
2020-04-30,3.332
2020-05-01,3.102
2020-05-02,3.102
2020-05-03,3.102
2020-05-04,2.902
2020-05-05,2.792
2020-05-06,2.701
2020-05-07,2.788
2020-05-08,2.922
2020-05-09,2.922
2020-05-10,2.922
2020-05-11,2.83
2020-05-12,2.704
2020-05-13,2.496
2020-05-14,2.492
2020-05-15,2.468
2020-05-16,2.468
2020-05-17,2.468
2020-05-18,2.811
2020-05-19,2.798
2020-05-20,2.922
2020-05-21,2.978
2020-05-22,2.918
2020-05-23,2.918
2020-05-24,2.918
2020-05-25,2.918
2020-05-26,3.298
2020-05-27,3.385
2020-05-28,3.3
2020-05-29,3.242
2020-05-30,3.242
2020-05-31,3.242
2020-06-01,3.365
2020-06-02,3.396
2020-06-03,3.661
2020-06-04,4.164
2020-06-05,4.393
2020-06-06,4.393
2020-06-07,4.393
2020-06-08,4.754
2020-06-09,4.394
2020-06-10,4.069
2020-06-11,3.498
2020-06-12,3.913
2020-06-13,3.913
2020-06-14,3.913
2020-06-15,3.917
2020-06-16,4.025
2020-06-17,3.95
2020-06-18,3.959
2020-06-19,3.795
2020-06-20,3.795
2020-06-21,3.795
2020-06-22,3.769
2020-06-23,3.812
2020-06-24,3.516
2020-06-25,3.602
2020-06-26,3.461
2020-06-27,3.461
2020-06-28,3.461
2020-06-29,3.679
2020-06-30,3.607
2020-07-01,3.562
2020-07-02,3.565
2020-07-03,3.565
2020-07-04,3.565
2020-07-05,3.565
2020-07-06,3.657
2020-07-07,3.473
2020-07-08,3.473
2020-07-09,3.298
2020-07-10,3.484
2020-07-11,3.484
2020-07-12,3.484
2020-07-13,3.449
2020-07-14,3.358
2020-07-15,3.342
2020-07-16,3.186
2020-07-17,3.161
2020-07-18,3.161
2020-07-19,3.161
2020-07-20,3.064
2020-07-21,3.089
2020-07-22,3.068
2020-07-23,3.133
2020-07-24,3.037
2020-07-25,3.037
2020-07-26,3.037
2020-07-27,2.984
2020-07-28,3.035
2020-07-29,3.009
2020-07-30,2.918
2020-07-31,2.922
2020-08-01,2.922
2020-08-02,2.922
2020-08-03,2.948
2020-08-04,3.003
2020-08-05,3.097
2020-08-06,3.168
2020-08-07,3.18
2020-08-08,3.18
2020-08-09,3.18
2020-08-10,3.433
2020-08-11,3.468
2020-08-12,3.404
2020-08-13,3.358
2020-08-14,3.387
2020-08-15,3.387
2020-08-16,3.387
2020-08-17,3.278
2020-08-18,3.233
2020-08-19,3.237
2020-08-20,3.232
2020-08-21,3.191
2020-08-22,3.191
2020-08-23,3.191
2020-08-24,3.487
2020-08-25,3.522
2020-08-26,3.504
2020-08-27,3.606
2020-08-28,3.743
2020-08-29,3.743
2020-08-30,3.743
2020-08-31,3.609
2020-09-01,3.593
2020-09-02,3.643
2020-09-03,3.653
2020-09-04,3.717
2020-09-05,3.717
2020-09-06,3.717
2020-09-07,3.717
2020-09-08,3.807
2020-09-09,3.716
2020-09-10,3.719
2020-09-11,3.709
2020-09-12,3.709
2020-09-13,3.709
2020-09-14,3.84
2020-09-15,3.921
2020-09-16,4.045
2020-09-17,3.973
2020-09-18,3.842
2020-09-19,3.842
