,PDCO US Equity
,BEST_PE_RATIO
2020-01-01,9.586
2020-01-02,9.563
2020-01-03,9.535
2020-01-04,9.535
2020-01-05,9.535
2020-01-06,9.708
2020-01-07,10.171
2020-01-08,10.18
2020-01-09,10.266
2020-01-10,10.332
2020-01-11,10.332
2020-01-12,10.332
2020-01-13,10.327
2020-01-14,10.687
2020-01-15,10.896
2020-01-16,11.227
2020-01-17,11.028
2020-01-18,11.028
2020-01-19,11.028
2020-01-20,11.028
2020-01-21,11.227
2020-01-22,11.256
2020-01-23,11.152
2020-01-24,11.062
2020-01-25,11.062
2020-01-26,11.062
2020-01-27,10.993
2020-01-28,11.152
2020-01-29,10.891
2020-01-30,10.943
2020-01-31,10.427
2020-02-01,10.427
2020-02-02,10.427
2020-02-03,10.583
2020-02-04,10.479
2020-02-05,10.962
2020-02-06,11.026
2020-02-07,10.848
2020-02-08,10.848
2020-02-09,10.848
2020-02-10,10.815
2020-02-11,10.976
2020-02-12,11.133
2020-02-13,10.948
2020-02-14,10.901
2020-02-15,10.901
2020-02-16,10.901
2020-02-17,10.901
2020-02-18,10.905
2020-02-19,11.099
2020-02-20,10.711
2020-02-21,10.768
2020-02-22,10.768
2020-02-23,10.768
2020-02-24,11.076
2020-02-25,11.085
2020-02-26,10.744
2020-02-27,11.22
2020-02-28,11.117
2020-02-29,11.117
2020-03-01,11.117
2020-03-02,11.193
2020-03-03,10.807
2020-03-04,11.22
2020-03-05,10.794
2020-03-06,10.708
2020-03-07,10.708
2020-03-08,10.708
2020-03-09,9.622
2020-03-10,10.008
2020-03-11,9.379
2020-03-12,8.764
2020-03-13,9.357
2020-03-14,9.357
2020-03-15,9.357
2020-03-16,8.459
2020-03-17,8.76
2020-03-18,7.085
2020-03-19,7.22
2020-03-20,7.323
2020-03-21,7.323
2020-03-22,7.323
2020-03-23,7.269
2020-03-24,7.759
2020-03-25,7.821
2020-03-26,7.945
2020-03-27,7.338
2020-03-28,7.338
2020-03-29,7.338
2020-03-30,7.513
2020-03-31,7.126
2020-04-01,6.781
2020-04-02,6.692
2020-04-03,6.277
2020-04-04,6.277
2020-04-05,6.277
2020-04-06,6.105
2020-04-07,6.548
2020-04-08,7.051
2020-04-09,7.236
2020-04-10,7.236
