,KO US Equity
,BEST_PE_RATIO
2020-01-01,16.154
2020-01-02,16.049
2020-01-03,15.962
2020-01-04,15.962
2020-01-05,15.962
2020-01-06,15.956
2020-01-07,15.833
2020-01-08,15.863
2020-01-09,16.151
2020-01-10,16.207
2020-01-11,16.207
2020-01-12,16.207
2020-01-13,16.382
2020-01-14,16.344
2020-01-15,16.548
2020-01-16,16.583
2020-01-17,16.618
2020-01-18,16.618
2020-01-19,16.618
2020-01-20,16.618
2020-01-21,16.686
2020-01-22,16.814
2020-01-23,16.878
2020-01-24,16.834
2020-01-25,16.834
2020-01-26,16.834
2020-01-27,16.776
2020-01-28,16.639
2020-01-29,16.639
2020-01-30,16.897
2020-01-31,16.765
2020-02-01,16.765
2020-02-02,16.765
2020-02-03,16.817
2020-02-04,16.891
2020-02-05,16.894
2020-02-06,16.935
2020-02-07,16.992
2020-02-08,16.992
2020-02-09,16.992
2020-02-10,17.153
2020-02-11,17.107
2020-02-12,17.055
2020-02-13,17.112
2020-02-14,17.21
2020-02-15,17.21
2020-02-16,17.21
2020-02-17,17.21
2020-02-18,17.09
2020-02-19,17.158
2020-02-20,17.144
2020-02-21,17.262
2020-02-22,17.262
2020-02-23,17.262
2020-02-24,16.837
2020-02-25,16.599
2020-02-26,16.535
2020-02-27,15.769
2020-02-28,15.356
2020-02-29,15.356
2020-03-01,15.356
2020-03-02,16.053
2020-03-03,16.093
2020-03-04,16.914
2020-03-05,16.289
2020-03-06,15.864
2020-03-07,15.864
2020-03-08,15.864
2020-03-09,14.888
2020-03-10,15.404
2020-03-11,14.988
2020-03-12,13.538
2020-03-13,14.037
2020-03-14,14.037
2020-03-15,14.037
2020-03-16,13.107
2020-03-17,13.663
2020-03-18,12.988
2020-03-19,12.114
2020-03-20,11.091
2020-03-21,11.091
2020-03-22,11.091
2020-03-23,10.877
2020-03-24,11.424
2020-03-25,12.05
2020-03-26,12.826
2020-03-27,12.397
2020-03-28,12.397
2020-03-29,12.397
2020-03-30,12.397
2020-03-31,12.397
2020-04-01,13.1
2020-04-02,13.669
2020-04-03,13.631
2020-04-04,13.631
2020-04-05,13.631
2020-04-06,14.515
2020-04-07,14.465
2020-04-08,14.872
2020-04-09,15.239
2020-04-10,15.239
2020-04-11,15.239
2020-04-12,15.239
