,ROK US Equity
,BEST_PE_RATIO
2020-01-01,16.039
2020-01-02,16.274
2020-01-03,16.037
2020-01-04,16.037
2020-01-05,16.037
2020-01-06,16.164
2020-01-07,16.131
2020-01-08,16.253
2020-01-09,16.395
2020-01-10,16.23
2020-01-11,16.23
2020-01-12,16.23
2020-01-13,16.348
2020-01-14,16.057
2020-01-15,16.004
2020-01-16,16.244
2020-01-17,16.203
2020-01-18,16.203
2020-01-19,16.203
2020-01-20,16.203
2020-01-21,15.969
2020-01-22,15.779
2020-01-23,16.01
2020-01-24,15.806
2020-01-25,15.806
2020-01-26,15.806
2020-01-27,15.347
2020-01-28,15.564
2020-01-29,15.525
2020-01-30,15.254
2020-01-31,15.008
2020-02-01,15.008
2020-02-02,15.008
2020-02-03,15.235
2020-02-04,15.848
2020-02-05,16.073
2020-02-06,16.055
2020-02-07,15.874
2020-02-08,15.874
2020-02-09,15.874
2020-02-10,15.96
2020-02-11,15.971
2020-02-12,16.119
2020-02-13,15.751
2020-02-14,15.794
2020-02-15,15.794
2020-02-16,15.794
2020-02-17,15.794
2020-02-18,15.641
2020-02-19,15.769
2020-02-20,16.158
2020-02-21,16.478
2020-02-22,16.478
2020-02-23,16.478
2020-02-24,15.958
2020-02-25,15.494
2020-02-26,15.36
2020-02-27,14.654
2020-02-28,14.442
2020-02-29,14.442
2020-03-01,14.442
2020-03-02,15.0
2020-03-03,14.477
2020-03-04,15.131
2020-03-05,14.434
2020-03-06,14.076
2020-03-07,14.076
2020-03-08,14.076
2020-03-09,12.013
2020-03-10,13.332
2020-03-11,12.521
2020-03-12,11.773
2020-03-13,13.079
2020-03-14,13.079
2020-03-15,13.079
2020-03-16,12.066
2020-03-17,12.212
2020-03-18,10.118
2020-03-19,10.631
2020-03-20,9.979
2020-03-21,9.979
2020-03-22,9.979
2020-03-23,9.498
2020-03-24,11.168
2020-03-25,12.164
2020-03-26,12.537
2020-03-27,11.92
2020-03-28,11.92
2020-03-29,11.92
2020-03-30,11.983
2020-03-31,11.877
2020-04-01,11.308
2020-04-02,11.783
2020-04-03,11.552
2020-04-04,11.552
2020-04-05,11.552
2020-04-06,12.389
2020-04-07,12.599
2020-04-08,13.206
2020-04-09,13.194
2020-04-10,13.194
2020-04-11,13.194
2020-04-12,13.194
2020-04-13,12.635
2020-04-14,12.891
2020-04-15,12.511
2020-04-16,12.51
2020-04-17,13.268
2020-04-18,13.268
2020-04-19,13.268
2020-04-20,13.265
2020-04-21,12.943
2020-04-22,13.08
2020-04-23,13.328
2020-04-24,13.741
2020-04-25,13.741
2020-04-26,13.741
2020-04-27,14.299
2020-04-28,15.434
2020-04-29,14.955
2020-04-30,14.385
2020-05-01,13.907
2020-05-02,13.907
2020-05-03,13.907
2020-05-04,14.266
2020-05-05,14.499
2020-05-06,14.364
2020-05-07,14.501
2020-05-08,14.61
2020-05-09,14.61
2020-05-10,14.61
2020-05-11,14.679
2020-05-12,14.315
2020-05-13,14.186
2020-05-14,14.501
2020-05-15,15.102
2020-05-16,15.102
2020-05-17,15.102
2020-05-18,15.464
2020-05-19,15.273
2020-05-20,15.53
2020-05-21,15.356
2020-05-22,15.24
2020-05-23,15.24
2020-05-24,15.24
2020-05-25,15.24
2020-05-26,16.273
2020-05-27,16.525
2020-05-28,16.311
2020-05-29,16.293
2020-05-30,16.293
2020-05-31,16.293
2020-06-01,16.18
2020-06-02,16.4
2020-06-03,16.605
2020-06-04,16.77
2020-06-05,17.139
2020-06-06,17.139
2020-06-07,17.139
2020-06-08,17.002
2020-06-09,16.585
2020-06-10,16.442
2020-06-11,15.531
2020-06-12,15.692
2020-06-13,15.692
2020-06-14,15.692
2020-06-15,15.864
2020-06-16,16.11
2020-06-17,15.969
2020-06-18,15.803
2020-06-19,15.763
2020-06-20,15.763
2020-06-21,15.763
2020-06-22,15.87
2020-06-23,15.729
2020-06-24,15.454
2020-06-25,15.693
2020-06-26,15.472
2020-06-27,15.472
2020-06-28,15.472
2020-06-29,15.728
2020-06-30,16.054
2020-07-01,15.866
2020-07-02,15.903
2020-07-03,15.903
2020-07-04,15.903
2020-07-05,15.903
2020-07-06,16.174
2020-07-07,16.082
2020-07-08,16.145
2020-07-09,16.076
2020-07-10,16.04
2020-07-11,16.04
2020-07-12,16.04
2020-07-13,16.109
2020-07-14,16.662
2020-07-15,16.888
2020-07-16,16.982
2020-07-17,17.134
2020-07-18,17.134
2020-07-19,17.134
2020-07-20,16.918
2020-07-21,17.252
2020-07-22,17.235
2020-07-23,17.188
2020-07-24,17.203
2020-07-25,17.203
2020-07-26,17.203
2020-07-27,17.417
2020-07-28,16.906
2020-07-29,16.705
2020-07-30,16.619
2020-07-31,16.491
2020-08-01,16.491
2020-08-02,16.491
2020-08-03,16.69
2020-08-04,16.665
2020-08-05,16.929
2020-08-06,16.779
2020-08-07,16.907
2020-08-08,16.907
2020-08-09,16.907
2020-08-10,17.336
2020-08-11,17.552
2020-08-12,17.85
2020-08-13,17.689
2020-08-14,17.619
2020-08-15,17.619
2020-08-16,17.619
2020-08-17,17.725
2020-08-18,17.693
2020-08-19,17.363
2020-08-20,17.498
2020-08-21,17.73
