,AL US Equity
,BEST_PE_RATIO
2020-01-01,5.89
2020-01-02,5.865
2020-01-03,5.902
2020-01-04,5.902
2020-01-05,5.902
2020-01-06,5.849
2020-01-07,5.768
2020-01-08,5.791
2020-01-09,5.869
2020-01-10,5.902
2020-01-11,5.902
2020-01-12,5.902
2020-01-13,6.019
2020-01-14,6.015
2020-01-15,6.066
2020-01-16,6.151
2020-01-17,6.125
2020-01-18,6.125
2020-01-19,6.125
2020-01-20,6.125
2020-01-21,5.917
2020-01-22,5.834
2020-01-23,5.87
2020-01-24,5.701
2020-01-25,5.701
2020-01-26,5.701
2020-01-27,5.497
2020-01-28,5.529
2020-01-29,5.517
2020-01-30,5.464
2020-01-31,5.322
2020-02-01,5.322
2020-02-02,5.322
2020-02-03,5.333
2020-02-04,5.491
2020-02-05,5.615
2020-02-06,5.512
2020-02-07,5.346
2020-02-08,5.346
2020-02-09,5.346
2020-02-10,5.402
2020-02-11,5.478
2020-02-12,5.513
2020-02-13,5.615
2020-02-14,5.613
2020-02-15,5.613
2020-02-16,5.613
2020-02-17,5.613
2020-02-18,5.392
2020-02-19,5.423
2020-02-20,5.535
2020-02-21,5.371
2020-02-22,5.371
2020-02-23,5.371
2020-02-24,5.149
2020-02-25,4.776
2020-02-26,4.657
2020-02-27,4.678
2020-02-28,4.755
2020-02-29,4.755
2020-03-01,4.755
2020-03-02,4.859
2020-03-03,4.737
2020-03-04,4.721
2020-03-05,4.338
2020-03-06,4.347
2020-03-07,4.347
2020-03-08,4.347
2020-03-09,3.959
2020-03-10,4.205
2020-03-11,3.831
2020-03-12,2.779
2020-03-13,2.945
2020-03-14,2.945
2020-03-15,2.945
2020-03-16,2.486
2020-03-17,1.942
2020-03-18,1.34
2020-03-19,1.856
2020-03-20,2.08
2020-03-21,2.08
2020-03-22,2.08
2020-03-23,1.937
2020-03-24,2.815
2020-03-25,3.313
2020-03-26,3.146
2020-03-27,2.631
2020-03-28,2.631
2020-03-29,2.631
2020-03-30,2.743
2020-03-31,2.783
2020-04-01,2.589
2020-04-02,2.557
2020-04-03,2.374
2020-04-04,2.374
2020-04-05,2.374
2020-04-06,2.727
2020-04-07,3.004
2020-04-08,3.094
2020-04-09,3.273
2020-04-10,3.273
2020-04-11,3.273
2020-04-12,3.273
2020-04-13,3.042
2020-04-14,3.048
2020-04-15,2.941
2020-04-16,2.738
2020-04-17,2.986
2020-04-18,2.986
2020-04-19,2.986
2020-04-20,2.78
2020-04-21,2.695
2020-04-22,2.515
2020-04-23,2.53
2020-04-24,2.587
2020-04-25,2.587
2020-04-26,2.587
2020-04-27,2.743
2020-04-28,2.895
2020-04-29,3.358
2020-04-30,3.287
2020-05-01,3.042
2020-05-02,3.042
2020-05-03,3.042
2020-05-04,2.966
2020-05-05,3.012
2020-05-06,2.936
2020-05-07,3.063
2020-05-08,3.391
2020-05-09,3.391
2020-05-10,3.391
2020-05-11,3.108
2020-05-12,2.986
2020-05-13,2.76
2020-05-14,2.815
2020-05-15,2.771
2020-05-16,2.771
2020-05-17,2.771
2020-05-18,3.282
2020-05-19,3.179
2020-05-20,3.273
2020-05-21,3.356
2020-05-22,3.36
2020-05-23,3.36
2020-05-24,3.36
2020-05-25,3.36
2020-05-26,3.585
2020-05-27,3.821
2020-05-28,3.818
2020-05-29,3.785
2020-05-30,3.785
2020-05-31,3.785
2020-06-01,3.924
2020-06-02,4.009
2020-06-03,4.344
2020-06-04,4.356
2020-06-05,4.403
2020-06-06,4.403
2020-06-07,4.403
2020-06-08,4.661
2020-06-09,4.46
2020-06-10,4.069
2020-06-11,3.766
2020-06-12,4.011
2020-06-13,4.011
2020-06-14,4.011
2020-06-15,4.062
