,ON US Equity
,BEST_PE_RATIO
2020-01-01,4.78
2020-01-02,4.914
2020-01-03,4.841
2020-01-04,4.841
2020-01-05,4.841
2020-01-06,4.72
2020-01-07,4.835
2020-01-08,4.867
2020-01-09,4.875
2020-01-10,4.82
2020-01-11,4.82
2020-01-12,4.82
2020-01-13,4.965
2020-01-14,5.024
2020-01-15,4.878
2020-01-16,4.908
2020-01-17,4.902
2020-01-18,4.902
2020-01-19,4.902
2020-01-20,4.902
2020-01-21,4.861
2020-01-22,4.861
2020-01-23,4.994
2020-01-24,4.9
2020-01-25,4.9
2020-01-26,4.9
2020-01-27,4.639
2020-01-28,4.739
2020-01-29,4.682
2020-01-30,4.694
2020-01-31,4.539
2020-02-01,4.539
2020-02-02,4.539
2020-02-03,3.903
2020-02-04,3.886
2020-02-05,4.147
2020-02-06,4.1
2020-02-07,4.01
2020-02-08,4.01
2020-02-09,4.01
2020-02-10,4.027
2020-02-11,4.196
2020-02-12,4.193
2020-02-13,4.241
2020-02-14,4.204
2020-02-15,4.204
2020-02-16,4.204
2020-02-17,4.204
2020-02-18,4.139
2020-02-19,4.098
2020-02-20,4.039
2020-02-21,3.925
2020-02-22,3.925
2020-02-23,3.925
2020-02-24,3.794
2020-02-25,3.651
2020-02-26,3.6
2020-02-27,3.439
2020-02-28,3.659
2020-02-29,3.659
2020-03-01,3.659
2020-03-02,3.712
2020-03-03,3.555
2020-03-04,3.673
2020-03-05,3.496
2020-03-06,3.388
2020-03-07,3.388
2020-03-08,3.388
2020-03-09,3.045
2020-03-10,3.312
2020-03-11,2.955
2020-03-12,2.535
2020-03-13,2.841
2020-03-14,2.841
2020-03-15,2.841
2020-03-16,2.316
2020-03-17,2.265
2020-03-18,1.657
2020-03-19,2.061
2020-03-20,2.122
2020-03-21,2.122
2020-03-22,2.122
2020-03-23,2.253
2020-03-24,2.716
2020-03-25,2.9
2020-03-26,2.776
2020-03-27,2.527
2020-03-28,2.527
2020-03-29,2.527
2020-03-30,2.543
2020-03-31,2.439
2020-04-01,2.157
2020-04-02,2.21
2020-04-03,2.145
2020-04-04,2.145
2020-04-05,2.145
2020-04-06,2.524
2020-04-07,2.506
2020-04-08,2.692
2020-04-09,2.692
2020-04-10,2.692
2020-04-11,2.692
2020-04-12,2.692
2020-04-13,2.786
2020-04-14,2.859
2020-04-15,2.671
2020-04-16,2.615
2020-04-17,2.692
2020-04-18,2.692
2020-04-19,2.692
2020-04-20,2.62
2020-04-21,2.516
2020-04-22,2.767
2020-04-23,2.729
2020-04-24,2.875
2020-04-25,2.875
2020-04-26,2.875
2020-04-27,3.018
2020-04-28,3.106
2020-04-29,3.382
2020-04-30,3.146
2020-05-01,2.965
2020-05-02,2.965
2020-05-03,2.965
2020-05-04,2.916
2020-05-05,2.971
2020-05-06,3.027
2020-05-07,3.133
2020-05-08,3.357
2020-05-09,3.357
2020-05-10,3.357
2020-05-11,3.071
2020-05-12,2.931
2020-05-13,2.755
2020-05-14,2.885
2020-05-15,2.775
2020-05-16,2.775
2020-05-17,2.775
2020-05-18,3.061
2020-05-19,3.035
2020-05-20,3.19
2020-05-21,3.064
2020-05-22,3.086
2020-05-23,3.086
2020-05-24,3.086
2020-05-25,3.086
2020-05-26,3.271
2020-05-27,3.419
2020-05-28,3.149
2020-05-29,3.233
2020-05-30,3.233
2020-05-31,3.233
2020-06-01,3.29
2020-06-02,3.361
2020-06-03,3.692
2020-06-04,3.722
2020-06-05,3.953
2020-06-06,3.953
2020-06-07,3.953
2020-06-08,4.082
2020-06-09,3.955
2020-06-10,3.816
2020-06-11,3.555
2020-06-12,3.724
2020-06-13,3.724
2020-06-14,3.724
2020-06-15,3.835
2020-06-16,3.91
2020-06-17,3.88
2020-06-18,3.847
2020-06-19,3.802
2020-06-20,3.802
2020-06-21,3.802
2020-06-22,3.841
2020-06-23,3.957
2020-06-24,3.782
2020-06-25,3.82
2020-06-26,3.743
2020-06-27,3.743
2020-06-28,3.743
2020-06-29,3.827
2020-06-30,3.886
2020-07-01,3.735
2020-07-02,3.761
2020-07-03,3.761
2020-07-04,3.761
2020-07-05,3.761
2020-07-06,3.855
2020-07-07,3.778
2020-07-08,3.916
2020-07-09,4.071
2020-07-10,4.018
2020-07-11,4.018
2020-07-12,4.018
2020-07-13,4.029
2020-07-14,4.057
2020-07-15,4.222
2020-07-16,4.184
2020-07-17,4.155
2020-07-18,4.155
2020-07-19,4.155
2020-07-20,4.241
2020-07-21,4.247
2020-07-22,4.206
2020-07-23,4.09
2020-07-24,4.014
2020-07-25,4.014
2020-07-26,4.014
2020-07-27,4.173
2020-07-28,4.02
2020-07-29,4.11
2020-07-30,4.073
2020-07-31,4.039
2020-08-01,4.039
2020-08-02,4.039
2020-08-03,4.165
2020-08-04,4.253
2020-08-05,4.169
2020-08-06,4.143
2020-08-07,4.086
2020-08-08,4.086
2020-08-09,4.086
2020-08-10,4.298
2020-08-11,5.973
2020-08-12,6.024
2020-08-13,5.895
2020-08-14,5.933
2020-08-15,5.933
2020-08-16,5.933
2020-08-17,5.911
2020-08-18,5.855
2020-08-19,5.83
2020-08-20,5.669
2020-08-21,5.629
2020-08-22,5.629
2020-08-23,5.629
2020-08-24,5.756
2020-08-25,5.812
2020-08-26,5.836
2020-08-27,5.742
2020-08-28,5.929
2020-08-29,5.929
2020-08-30,5.929
2020-08-31,5.752
2020-09-01,5.855
2020-09-02,6.024
2020-09-03,5.774
2020-09-04,6.105
2020-09-05,6.105
2020-09-06,6.105
2020-09-07,6.105
2020-09-08,5.634
2020-09-09,5.873
2020-09-10,5.793
2020-09-11,5.808
2020-09-12,5.808
2020-09-13,5.808
2020-09-14,5.925
2020-09-15,5.927
2020-09-16,5.935
2020-09-17,5.895
2020-09-18,5.766
2020-09-19,5.766
2020-09-20,5.766
2020-09-21,5.548
2020-09-22,5.604
2020-09-23,5.405
2020-09-24,5.467
2020-09-25,5.515
2020-09-26,5.515
2020-09-27,5.515
2020-09-28,5.848
2020-09-29,5.863
2020-09-30,5.838
2020-10-01,6.167
2020-10-02,6.04
2020-10-03,6.04
2020-10-04,6.04
2020-10-05,6.231
2020-10-06,6.162
2020-10-07,6.285
2020-10-08,7.009
2020-10-09,7.093
2020-10-10,7.093
2020-10-11,7.093
2020-10-12,7.136
2020-10-13,6.973
2020-10-14,6.98
2020-10-15,7.017
2020-10-16,7.017
2020-10-17,7.017
2020-10-18,7.017
2020-10-19,7.055
2020-10-20,7.026
2020-10-21,6.872
2020-10-22,6.977
2020-10-23,7.042
2020-10-24,7.042
2020-10-25,7.042
2020-10-26,6.878
2020-10-27,6.775
2020-10-28,6.606
2020-10-29,6.781
2020-10-30,6.754
2020-10-31,6.754
2020-11-01,6.754
2020-11-02,6.557
2020-11-03,6.725
2020-11-04,6.95
2020-11-05,7.101
2020-11-06,7.136
2020-11-07,7.136
2020-11-08,7.136
2020-11-09,7.391
2020-11-10,7.272
2020-11-11,7.498
2020-11-12,7.377
2020-11-13,7.532
2020-11-14,7.532
2020-11-15,7.532
2020-11-16,7.672
2020-11-17,7.56
2020-11-18,7.409
2020-11-19,7.477
2020-11-20,7.366
2020-11-21,7.366
2020-11-22,7.366
2020-11-23,7.627
2020-11-24,7.681
2020-11-25,7.672
2020-11-26,7.672
2020-11-27,7.691
2020-11-28,7.691
2020-11-29,7.691
2020-11-30,7.718
2020-12-01,7.858
2020-12-02,7.774
2020-12-03,7.812
2020-12-04,8.032
2020-12-05,8.032
2020-12-06,8.032
2020-12-07,8.208
2020-12-08,8.427
2020-12-09,8.234
2020-12-10,8.199
2020-12-11,8.231
2020-12-12,8.231
2020-12-13,8.231
2020-12-14,8.274
2020-12-15,8.421
2020-12-16,8.352
